n,family,sample_id,gamma,beta,action_mode,log_H_mean,log_H_std,penalty_neutral,penalty_geometric,penalty_effective,score,score_per_node,score_per_nlogn,log_H_norm,penalty_norm,log_H_norm_scale,penalty_norm_scale,score_norm,score_norm_std_est,normalization_method,normalization_group
20,absolute_layered,2,0.4,1.0,A2,21.971345857537393,0.0,0.15756875000000004,2.287310440497127,2.4448791904971268,-20.993394181338545,-1.0496697090669271,-0.3503883569080258,-0.9452614365069462,4.386101536260062,4.466824171866162,0.4692462426610778,2.6997020510109713,0.0,robust_zscore,n
20,absolute_layered,2,0.4,1.0,A3,21.971345857537393,0.0,0.15756875000000004,2.287310440497127,2.287310440497127,-21.05642168133854,-1.052821084066927,-0.351440311726492,-0.9452614365069462,4.050310355266404,4.466824171866162,0.4692462426610778,2.565385578613508,0.0,robust_zscore,n
20,absolute_layered,2,0.8,1.0,A1,21.971345857537393,0.0,0.15756875000000004,2.287310440497127,0.15756875000000004,-21.845290857537393,-1.0922645428768696,-0.36460686174103946,-0.9452614365069462,-0.48833374429940535,4.466824171866162,0.4692462426610778,0.5545944410674218,0.0,robust_zscore,n
20,absolute_layered,2,0.8,1.0,A2,21.971345857537393,0.0,0.15756875000000004,2.287310440497127,2.4448791904971268,-20.015442505139692,-1.0007721252569846,-0.3340659424380795,-0.9452614365069462,4.386101536260062,4.466824171866162,0.4692462426610778,4.454142665514996,0.0,robust_zscore,n
20,absolute_layered,2,0.8,1.0,A3,21.971345857537393,0.0,0.15756875000000004,2.287310440497127,2.287310440497127,-20.141497505139693,-1.0070748752569847,-0.33616985207501204,-0.9452614365069462,4.050310355266404,4.466824171866162,0.4692462426610778,4.18550972072007,0.0,robust_zscore,n
20,absolute_layered,2,1.2,1.0,A1,21.971345857537393,0.0,0.15756875000000004,2.287310440497127,0.15756875000000004,-21.782263357537392,-1.0891131678768695,-0.36355490692257314,-0.9452614365069462,-0.48833374429940535,4.466824171866162,0.4692462426610778,0.3592609433476598,0.0,robust_zscore,n
20,absolute_layered,2,1.2,1.0,A2,21.971345857537393,0.0,0.15756875000000004,2.287310440497127,2.4448791904971268,-19.03749082894084,-0.951874541447042,-0.31774352796813327,-0.9452614365069462,4.386101536260062,4.466824171866162,0.4692462426610778,6.208583280019021,0.0,robust_zscore,n
20,absolute_layered,2,1.2,1.0,A3,21.971345857537393,0.0,0.15756875000000004,2.287310440497127,2.287310440497127,-19.22657332894084,-0.9613286664470421,-0.3208993924235321,-0.9452614365069462,4.050310355266404,4.466824171866162,0.4692462426610778,5.805633862826632,0.0,robust_zscore,n
20,absolute_layered,2,1.6,1.0,A1,21.971345857537393,0.0,0.15756875000000004,2.287310440497127,0.15756875000000004,-21.71923585753739,-1.0859617928768697,-0.3625029521041069,-0.9452614365069462,-0.48833374429940535,4.466824171866162,0.4692462426610778,0.16392744562789752,0.0,robust_zscore,n
20,absolute_layered,2,1.6,1.0,A2,21.971345857537393,0.0,0.15756875000000004,2.287310440497127,2.4448791904971268,-18.05953915274199,-0.9029769576370995,-0.3014211134981871,-0.9452614365069462,4.386101536260062,4.466824171866162,0.4692462426610778,7.9630238945230465,0.0,robust_zscore,n
