n,mlr_seed,lor_seed,match_distance,log_H_mlr,log_H_lor2d,log_H_delta_mlr_minus_lor2d,score_A2_gamma_mlr,score_A2_gamma_lor2d,score_A2_gamma_delta_mlr_minus_lor2d,geo_total_mlr,geo_total_lor2d,geo_total_delta_mlr_minus_lor2d,cg_family_switch_rate_mlr,cg_family_switch_rate_lor2d,cg_family_switch_rate_delta_mlr_minus_lor2d,cg_mean_penalty_mlr,cg_mean_penalty_lor2d,cg_mean_penalty_delta_mlr_minus_lor2d,antichain_width_mlr,antichain_width_lor2d,antichain_width_delta_mlr_minus_lor2d,comparable_fraction_mlr,comparable_fraction_lor2d,comparable_fraction_delta_mlr_minus_lor2d,geo_dim_eff_mlr,geo_dim_eff_lor2d,geo_dim_eff_delta_mlr_minus_lor2d,geo_interval_shape_mlr,geo_interval_shape_lor2d,geo_interval_shape_delta_mlr_minus_lor2d
30,1061035,1060008,4.511869374168719,42.46032882252234,36.57656134442812,5.883767478094221,-41.39662199132141,-35.80202372578094,-5.594598265540469,1.275540946408574,0.9117720233089716,0.3637689230996025,0.6666666666666666,0.1666666666666666,0.5,1.0916108204296202,0.3675927343948025,0.7240180860348178,8.0,7.0,1.0,0.4482758620689655,0.5195402298850574,-0.07126436781609191,2.315744827586207,1.8881586206896557,0.42758620689655147,0.0005301277235161,0.0,0.0005301277235161
30,1062643,1060014,5.7835764139541554,43.27464527885384,36.86994069897259,6.404704579881248,-42.41321550335305,-36.51061250099923,-5.902603002353821,1.0199180835735204,0.390990185738303,0.6289278978352174,1.0,0.1666666666666666,0.8333333333333334,1.581220502913351,0.451956924201066,1.129263578712285,8.0,7.0,1.0,0.4735632183908046,0.5195402298850574,-0.04597701149425282,2.1640206896551724,1.8881586206896557,0.2758620689655167,0.0592951247165533,0.0,0.0592951247165533
40,1161284,1160017,0.2571040353007712,63.82069162551773,54.06615492417295,9.754536701344783,-62.93138750636037,-53.68441132872601,-9.246976177634366,1.0591180395717004,0.428141613328737,0.6309764262429634,1.0,0.0,1.0,1.606853935029095,0.0465113411578083,1.5603425938712867,10.0,10.0,0.0,0.4961538461538461,0.4935897435897436,0.0025641025641024995,2.028476923076923,2.043861538461538,-0.01538461538461533,0.0014673469387755,0.0004,0.0010673469387755
40,1162218,1160005,0.36247004785305287,62.61956951688638,56.252726307884,6.366843209002383,-61.80965936713124,-56.00608149314365,-5.803577873987592,0.9555943278189244,0.252731409050437,0.7028629187684874,1.0,0.0,1.0,1.5869074895716275,0.0968602377836169,1.4900472517880106,10.0,10.0,0.0,0.5217948717948718,0.5217948717948718,0.0,1.874630769230769,1.874630769230769,0.0,0.0025842469504236,0.0001285714285714,0.0024556755218522004
40,1162651,1160011,0.5123519808347318,61.7683325320784,56.41578570099456,5.352546831083835,-61.02692768064737,-56.250957709453786,-4.775969971193582,0.8714295017887859,0.1500853800509709,0.7213441217378149,0.8333333333333334,0.0,0.8333333333333334,1.3909394623634206,0.0524405126292061,1.3384989497342146,9.0,9.0,0.0,0.5153846153846153,0.5089743589743589,0.0064102564102563875,1.913092307692308,1.9515538461538464,-0.038461538461538325,0.0006341269120489,0.00018,0.00045412691204889995
40,1162022,1160009,0.7146030351756459,63.64337931470161,56.0933320506421,7.550047264059515,-62.971972680624575,-55.95210534143947,-7.0198673391851045,0.7848770425962973,0.1242837771282879,0.6605932654680094,1.0,0.0,1.0,1.5711613857180111,0.0737990374033371,1.497362348314674,9.0,9.0,0.0,0.4974358974358974,0.4884615384615384,0.008974358974358998,2.020784615384615,2.0746307692307693,-0.0538461538461541,0.0009125147579693,0.0004356091467057,0.0004769056112636
40,1162273,1160004,0.794986013217523,65.04040362154626,57.8567117092724,7.183691912273858,-64.11625510492868,-57.73104411781677,-6.385210987111911,1.0927231457719713,0.1033251143195264,0.9893980314524449,1.0,0.1666666666666666,0.8333333333333334,1.5673572337592077,0.3485132256845141,1.2188440080746936,10.0,10.0,0.0,0.4923076923076923,0.4923076923076923,0.0,2.051553846153846,2.051553846153846,0.0,0.0056628238001314,0.000276923076923,0.0053859007232084
40,1162062,1160000,1.2605356387147075,64.50824615209442,56.230610659929326,8.27763549216509,-63.555071876349984,-56.07466251058593,-7.480409365764054,1.1323151103055389,0.1385137023042445,0.9938014080012944,0.8333333333333334,0.0,0.8333333333333334,1.3291593262182604,0.0815171784817502,1.2476421477365103,10.0,9.0,1.0,0.4833333333333333,0.4858974358974359,-0.0025641025641026105,2.1054,2.0900153846153846,0.01538461538461533,0.0031313271604938,0.0002097604259094,0.0029215667345844
40,1161492,1160002,1.3888128784042608,63.26844568115417,56.25444124147639,7.014004439677777,-62.52543877892812,-55.940711462243655,-6.584727316684464,0.87900276840756,0.3417032396659216,0.5372995287416384,0.6666666666666666,0.1666666666666666,0.5,1.108918686379064,0.3053681527779686,0.8035505336010955,10.0,10.0,0.0,0.4935897435897436,0.4807692307692308,0.01282051282051283,2.043861538461538,2.1207846153846157,-0.07692307692307754,0.0187294971983283,0.0251450777754101,-0.0064155805770818
40,1162737,1160008,1.502031976045734,63.21376997061146,56.26885257229699,6.944917398314466,-62.09501715684529,-55.69361046270736,-6.4014066941379255,1.339738282832713,0.6604864212070911,0.6792518616256218,1.0,0.0,1.0,1.5501699062733645,0.0382107467904463,1.5119591594829183,10.0,9.0,1.0,0.5243589743589744,0.5166666666666667,0.007692307692307665,1.8592461538461535,1.9054,-0.046153846153846434,0.017872902494331,0.012974074074074,0.0048988284202569985
40,1162750,1160003,2.357256189573574,63.02940862152498,55.66356572124495,7.365842900280029,-61.998902888785125,-55.2054908819429,-6.793412006842225,1.221727478424821,0.5162896667933786,0.7054378116314425,1.0,0.0,1.0,1.546957342888202,0.0518035644112664,1.4951537784769355,10.0,8.0,2.0,0.5358974358974359,0.5346153846153846,0.0012820512820512775,1.7900153846153848,1.7977076923076925,-0.007692307692307665,0.003308755769828,0.0011714285714285,0.0021373271983995
40,1163715,1160006,2.666763324779726,62.36992377051588,54.68622762028663,7.6836961502292525,-61.32703676291449,-53.98726069894054,-7.33977606397395,1.2474931345017457,0.8157867766826163,0.43170635781912936,1.0,0.0,1.0,1.5571772931762746,0.0463434811406188,1.510833812035656,10.0,8.0,2.0,0.5230769230769231,0.5384615384615384,-0.01538461538461533,1.8669384615384612,1.7746307692307697,0.09230769230769154,0.0032361174040744,0.0003724137931034,0.002863703610971
40,1163545,1160007,3.0794628099404915,64.6780320378583,56.37608095334868,8.301951084509618,-63.741699698096696,-56.19396842844103,-7.547731269655664,1.110588862202006,0.1730785467595668,0.9375103154424391,1.0,0.0,1.0,1.5584050456530625,0.0373005609846337,1.5211044846684287,10.0,8.0,2.0,0.5102564102564102,0.4858974358974359,0.024358974358974328,1.9438615384615388,2.0900153846153846,-0.14615384615384586,0.0039090449954086,0.0001333333333333,0.0037757116620752997
40,1162828,1160015,3.5640003010734302,62.61384746074932,52.59937759877083,10.01446986197849,-61.83151522809429,-52.13796543581872,-9.693549792275569,0.9251594314437864,0.5216808286901443,0.4034786027536421,1.0,0.0,1.0,1.612602808519375,0.0430909148982062,1.569511893621169,10.0,7.0,3.0,0.5192307692307693,0.5230769230769231,-0.0038461538461538325,1.8900153846153844,1.8669384615384612,0.023076923076923217,0.0040302873992619,0.0,0.0040302873992619
44,1303074,1300004,1.1765366863859597,75.09631465803892,62.30536856866963,12.790946089369292,-73.93561726797196,-61.57212291244367,-12.363494355528296,1.3941827413573544,0.8676991968448454,0.526483544512509,1.0,0.0,1.0,1.550919528831619,0.0561015904453989,1.4948179383862201,11.0,10.0,1.0,0.4852008456659619,0.4862579281183932,-0.0010570824524313016,2.0941949260042283,2.0878524312896407,0.006342494714587588,0.0021770596503064,0.0,0.0021770596503064
44,1302405,1300003,1.235690445354226,72.84955135463547,65.63221222550192,7.217339129133549,-71.71785511540041,-65.48218842204548,-6.235666693354929,1.351561135137664,0.1253050941197327,1.2262560410179313,1.0,0.0,1.0,1.5999269322149916,0.0609339600206104,1.5389929721943811,11.0,10.0,1.0,0.4936575052854122,0.4968287526427061,-0.003171247357293905,2.0434549682875267,2.024427484143763,0.01902748414376365,0.0017802791364479,0.0011453514739229,0.0006349276625249999
44,1301975,1300005,1.603603751882626,73.90566712780468,65.35110830282771,8.554558824976965,-72.75775842808861,-65.19260677212523,-7.565151655963376,1.373977936321194,0.1395446523390045,1.2344332839821894,1.0,0.0,1.0,1.568344574188857,0.0773846966034958,1.4909598775853612,11.0,11.0,0.0,0.4947145877378435,0.5063424947145877,-0.011627906976744207,2.0371124735729387,1.9673450317124737,0.06976744186046502,0.0063783241927347,2.6619343389529743e-05,0.00635170484934517
44,1302840,1300006,2.172259827288791,74.48838662353384,66.23564750770541,8.252739115828433,-73.36082926842091,-66.00267441025109,-7.358154858169826,1.3520576088730671,0.2377140068838025,1.1143436019892645,1.0,0.0,1.0,1.5829211201365874,0.0977656939953865,1.4851554261412008,11.0,10.0,1.0,0.4936575052854122,0.4799154334038055,0.013742071881606699,2.0434549682875267,2.125907399577167,-0.08245243128964042,0.0023444499165864,0.002878717836997,-0.0005342679204106003
44,1302722,1300002,3.282034610182118,72.83106760015228,64.14217476663956,8.688892833512725,-71.5398950338459,-63.97199829981353,-7.567896734032367,1.5568196796062317,0.1524253342336808,1.404394345372551,1.0,0.0,1.0,1.5589048803512895,0.0620613102328526,1.4968435701184368,11.0,10.0,1.0,0.4989429175475687,0.5084566596194503,-0.009513742071881603,2.011742494714588,1.9546600422832985,0.0570824524312894,0.0448289256198347,8.92561983471075e-05,0.0447396694214876
