variant,n,gamma,family,mean_score,std_score,mean_log_H,mean_penalty,mean_dim_consistency,mean_dim_multi_consistency,mean_d_order,mean_d_chain,mean_d_width,count
A2_full,28,0.6,lorentzian_like_2d,-35.53077543910911,0.1961693662449199,36.001208411158245,0.7840549534152335,1.1810656684908623,1.2109634572187307,2.259368253968254,1.859738746970775,2.163144040586079,2
A2_full,28,0.8,lorentzian_like_2d,-35.37396444842605,0.11459414043309987,36.001208411158245,0.7840549534152335,1.1810656684908623,1.2109634572187307,2.259368253968254,1.859738746970775,2.163144040586079,2
A2_full,28,0.8,KR_like,-35.17280458027882,0.45438838429674827,44.87472111654186,12.127395670328804,4.800427229060945,5.5970814657287935,2.814923809523809,3.033103256304337,4.807354922057602,2
A2_full,28,1.0,lorentzian_like_2d,-35.21715345774301,0.03301891462129239,36.001208411158245,0.7840549534152335,1.1810656684908623,1.2109634572187307,2.259368253968254,1.859738746970775,2.163144040586079,2
A2_full,28,1.0,KR_like,-32.747325446213054,0.6196552665381626,44.87472111654186,12.127395670328804,4.800427229060945,5.5970814657287935,2.814923809523809,3.033103256304337,4.807354922057602,2
A2_full,28,1.5,lorentzian_like_2d,-34.82512598103539,0.17091914990823007,36.001208411158245,0.7840549534152335,1.1810656684908623,1.2109634572187307,2.259368253968254,1.859738746970775,2.163144040586079,2
A2_full,28,1.5,KR_like,-26.683627611048657,1.0328224721417136,44.87472111654186,12.127395670328804,4.800427229060945,5.5970814657287935,2.814923809523809,3.033103256304337,4.807354922057602,2
A2_full,28,2.0,lorentzian_like_2d,-34.43309850432777,0.3748572144377626,36.001208411158245,0.7840549534152335,1.1810656684908623,1.2109634572187307,2.259368253968254,1.859738746970775,2.163144040586079,2
A2_full,28,2.0,KR_like,-20.619929775884255,1.4459896777452619,44.87472111654186,12.127395670328804,4.800427229060945,5.5970814657287935,2.814923809523809,3.033103256304337,4.807354922057602,2
A2_full,32,0.0,KR_like,-54.49058504100736,0.6541199076872984,54.49058504100736,12.679989342226335,5.020036880889282,5.971479576960256,2.7674967741935483,3.154648767857287,4.999999999999998,2
A2_full,32,0.0,lorentzian_like_2d,-42.218720736719106,0.33947329528093334,42.218720736719106,0.605684258213691,1.006899344072914,1.0723673542929941,1.8179,1.7238513011033887,2.2851806134465935,2
A2_full,32,0.1,KR_like,-53.22258610678472,0.4884669234797254,54.49058504100736,12.679989342226335,5.020036880889282,5.971479576960256,2.7674967741935483,3.154648767857287,4.999999999999998,2
A2_full,32,0.1,lorentzian_like_2d,-42.158152310897734,0.37882994215563925,42.218720736719106,0.605684258213691,1.006899344072914,1.0723673542929941,1.8179,1.7238513011033887,2.2851806134465935,2
A2_full,32,0.2,KR_like,-51.95458717256209,0.3228139392721575,54.49058504100736,12.679989342226335,5.020036880889282,5.971479576960256,2.7674967741935483,3.154648767857287,4.999999999999998,2
A2_full,32,0.2,lorentzian_like_2d,-42.09758388507636,0.4181865890303452,42.218720736719106,0.605684258213691,1.006899344072914,1.0723673542929941,1.8179,1.7238513011033887,2.2851806134465935,2
A2_full,32,0.4,KR_like,-49.41858930411682,0.008492029142983396,54.49058504100736,12.679989342226335,5.020036880889282,5.971479576960256,2.7674967741935483,3.154648767857287,4.999999999999998,2
A2_full,32,0.4,lorentzian_like_2d,-41.97644703343363,0.496899882779747,42.218720736719106,0.605684258213691,1.006899344072914,1.0723673542929941,1.8179,1.7238513011033887,2.2851806134465935,2
A2_full,32,0.6,KR_like,-46.88259143567156,0.3397979975581243,54.49058504100736,12.679989342226335,5.020036880889282,5.971479576960256,2.7674967741935483,3.154648767857287,4.999999999999998,2
A2_full,32,0.6,lorentzian_like_2d,-41.855310181790884,0.5756131765291589,42.218720736719106,0.605684258213691,1.006899344072914,1.0723673542929941,1.8179,1.7238513011033887,2.2851806134465935,2
A2_full,32,0.8,KR_like,-44.34659356722629,0.6711039659732577,54.49058504100736,12.679989342226335,5.020036880889282,5.971479576960256,2.7674967741935483,3.154648767857287,4.999999999999998,2
A2_full,32,0.8,lorentzian_like_2d,-41.73417333014815,0.6543264702785607,42.218720736719106,0.605684258213691,1.006899344072914,1.0723673542929941,1.8179,1.7238513011033887,2.2851806134465935,2
