n,family,mean_score,mean_identity_variant,mean_score_A2,count,zeta,variant
40,multi_layer_random,-61.981398883276654,0.010416666666666657,-61.991815549943325,8,1.0,blind_self_hit_centered
30,lorentzian_like_2d,-37.44156393016996,0.01041666666666665,-37.45718893016996,8,1.5,blind_self_hit_centered
30,multi_layer_random,-42.22935839408848,-0.010416666666666682,-42.21373339408848,8,1.5,blind_self_hit_centered
40,lorentzian_like_2d,-56.75841173983671,-0.010416666666666682,-56.74278673983671,8,1.5,blind_self_hit_centered
40,multi_layer_random,-61.976190549943325,0.010416666666666657,-61.991815549943325,8,1.5,blind_self_hit_centered
30,lorentzian_like_2d,-37.43635559683663,0.01041666666666665,-37.45718893016996,8,2.0,blind_self_hit_centered
30,multi_layer_random,-42.234566727421814,-0.010416666666666682,-42.21373339408848,8,2.0,blind_self_hit_centered
40,lorentzian_like_2d,-56.763620073170046,-0.010416666666666682,-56.74278673983671,8,2.0,blind_self_hit_centered
40,multi_layer_random,-61.97098221660999,0.010416666666666657,-61.991815549943325,8,2.0,blind_self_hit_centered
30,lorentzian_like_2d,-37.43114726350329,0.01041666666666665,-37.45718893016996,8,2.5,blind_self_hit_centered
30,multi_layer_random,-42.23977506075515,-0.010416666666666682,-42.21373339408848,8,2.5,blind_self_hit_centered
40,lorentzian_like_2d,-56.768828406503374,-0.010416666666666682,-56.74278673983671,8,2.5,blind_self_hit_centered
40,multi_layer_random,-61.965773883276654,0.010416666666666657,-61.991815549943325,8,2.5,blind_self_hit_centered
30,lorentzian_like_2d,-37.42593893016996,0.01041666666666665,-37.45718893016996,8,3.0,blind_self_hit_centered
30,multi_layer_random,-42.24498339408848,-0.010416666666666682,-42.21373339408848,8,3.0,blind_self_hit_centered
40,lorentzian_like_2d,-56.77403673983671,-0.010416666666666682,-56.74278673983671,8,3.0,blind_self_hit_centered
40,multi_layer_random,-61.960565549943325,0.010416666666666657,-61.991815549943325,8,3.0,blind_self_hit_centered
30,lorentzian_like_2d,-37.42073059683663,0.01041666666666665,-37.45718893016996,8,3.5,blind_self_hit_centered
30,multi_layer_random,-42.250191727421814,-0.010416666666666682,-42.21373339408848,8,3.5,blind_self_hit_centered
40,lorentzian_like_2d,-56.779245073170046,-0.010416666666666682,-56.74278673983671,8,3.5,blind_self_hit_centered
40,multi_layer_random,-61.95535721660999,0.010416666666666657,-61.991815549943325,8,3.5,blind_self_hit_centered
30,lorentzian_like_2d,-37.41552226350329,0.01041666666666665,-37.45718893016996,8,4.0,blind_self_hit_centered
30,multi_layer_random,-42.25540006075515,-0.010416666666666682,-42.21373339408848,8,4.0,blind_self_hit_centered
40,lorentzian_like_2d,-56.784453406503374,-0.010416666666666682,-56.74278673983671,8,4.0,blind_self_hit_centered
40,multi_layer_random,-61.950148883276654,0.010416666666666657,-61.991815549943325,8,4.0,blind_self_hit_centered
30,lorentzian_like_2d,-37.40510559683663,0.01041666666666665,-37.45718893016996,8,5.0,blind_self_hit_centered
30,multi_layer_random,-42.265816727421814,-0.010416666666666682,-42.21373339408848,8,5.0,blind_self_hit_centered
40,lorentzian_like_2d,-56.794870073170046,-0.010416666666666682,-56.74278673983671,8,5.0,blind_self_hit_centered
40,multi_layer_random,-61.93973221660999,0.010416666666666657,-61.991815549943325,8,5.0,blind_self_hit_centered
30,lorentzian_like_2d,-37.39468893016996,0.01041666666666665,-37.45718893016996,8,6.0,blind_self_hit_centered
30,multi_layer_random,-42.27623339408848,-0.010416666666666682,-42.21373339408848,8,6.0,blind_self_hit_centered
40,lorentzian_like_2d,-56.80528673983671,-0.010416666666666682,-56.74278673983671,8,6.0,blind_self_hit_centered
40,multi_layer_random,-61.929315549943325,0.010416666666666657,-61.991815549943325,8,6.0,blind_self_hit_centered
