n,family,mean_score,mean_identity_variant,mean_score_A2,count,zeta,variant
40,multi_layer_random,-58.57254510255768,0.6838540894771281,-61.991815549943325,8,5.0,blind_knn3_zscore
30,lorentzian_like_2d,-39.128446973763424,-0.2785430072655777,-37.45718893016996,8,6.0,blind_knn3_zscore
30,multi_layer_random,-40.54247535049502,0.278543007265578,-42.21373339408848,8,6.0,blind_knn3_zscore
40,lorentzian_like_2d,-60.845911276699475,-0.6838540894771279,-56.74278673983671,8,6.0,blind_knn3_zscore
40,multi_layer_random,-57.88869101308055,0.6838540894771281,-61.991815549943325,8,6.0,blind_knn3_zscore
30,lorentzian_like_2d,-37.45718893016996,0.046077567758409085,-37.45718893016996,8,0.0,blind_knn5_zscore
30,multi_layer_random,-42.21373339408848,-0.04607756775840921,-42.21373339408848,8,0.0,blind_knn5_zscore
40,lorentzian_like_2d,-56.74278673983671,-0.6957610400187005,-56.74278673983671,8,0.0,blind_knn5_zscore
40,multi_layer_random,-61.991815549943325,0.6957610400187001,-61.991815549943325,8,0.0,blind_knn5_zscore
30,lorentzian_like_2d,-37.434150146290754,0.046077567758409085,-37.45718893016996,8,0.5,blind_knn5_zscore
30,multi_layer_random,-42.23677217796769,-0.04607756775840921,-42.21373339408848,8,0.5,blind_knn5_zscore
40,lorentzian_like_2d,-57.09066725984606,-0.6957610400187005,-56.74278673983671,8,0.5,blind_knn5_zscore
40,multi_layer_random,-61.64393502993397,0.6957610400187001,-61.991815549943325,8,0.5,blind_knn5_zscore
30,lorentzian_like_2d,-37.411111362411546,0.046077567758409085,-37.45718893016996,8,1.0,blind_knn5_zscore
30,multi_layer_random,-42.25981096184689,-0.04607756775840921,-42.21373339408848,8,1.0,blind_knn5_zscore
40,lorentzian_like_2d,-57.43854777985541,-0.6957610400187005,-56.74278673983671,8,1.0,blind_knn5_zscore
40,multi_layer_random,-61.29605450992462,0.6957610400187001,-61.991815549943325,8,1.0,blind_knn5_zscore
30,lorentzian_like_2d,-37.388072578532345,0.046077567758409085,-37.45718893016996,8,1.5,blind_knn5_zscore
30,multi_layer_random,-42.2828497457261,-0.04607756775840921,-42.21373339408848,8,1.5,blind_knn5_zscore
40,lorentzian_like_2d,-57.78642829986476,-0.6957610400187005,-56.74278673983671,8,1.5,blind_knn5_zscore
40,multi_layer_random,-60.948173989915276,0.6957610400187001,-61.991815549943325,8,1.5,blind_knn5_zscore
30,lorentzian_like_2d,-37.365033794653144,0.046077567758409085,-37.45718893016996,8,2.0,blind_knn5_zscore
30,multi_layer_random,-42.3058885296053,-0.04607756775840921,-42.21373339408848,8,2.0,blind_knn5_zscore
40,lorentzian_like_2d,-58.134308819874114,-0.6957610400187005,-56.74278673983671,8,2.0,blind_knn5_zscore
40,multi_layer_random,-60.60029346990592,0.6957610400187001,-61.991815549943325,8,2.0,blind_knn5_zscore
30,lorentzian_like_2d,-37.341995010773935,0.046077567758409085,-37.45718893016996,8,2.5,blind_knn5_zscore
30,multi_layer_random,-42.328927313484506,-0.04607756775840921,-42.21373339408848,8,2.5,blind_knn5_zscore
40,lorentzian_like_2d,-58.482189339883455,-0.6957610400187005,-56.74278673983671,8,2.5,blind_knn5_zscore
40,multi_layer_random,-60.25241294989657,0.6957610400187001,-61.991815549943325,8,2.5,blind_knn5_zscore
30,lorentzian_like_2d,-37.318956226894734,0.046077567758409085,-37.45718893016996,8,3.0,blind_knn5_zscore
30,multi_layer_random,-42.35196609736371,-0.04607756775840921,-42.21373339408848,8,3.0,blind_knn5_zscore
40,lorentzian_like_2d,-58.83006985989281,-0.6957610400187005,-56.74278673983671,8,3.0,blind_knn5_zscore
40,multi_layer_random,-59.904532429887226,0.6957610400187001,-61.991815549943325,8,3.0,blind_knn5_zscore
30,lorentzian_like_2d,-37.295917443015526,0.046077567758409085,-37.45718893016996,8,3.5,blind_knn5_zscore
30,multi_layer_random,-42.37500488124291,-0.04607756775840921,-42.21373339408848,8,3.5,blind_knn5_zscore
40,lorentzian_like_2d,-59.17795037990216,-0.6957610400187005,-56.74278673983671,8,3.5,blind_knn5_zscore
40,multi_layer_random,-59.55665190987787,0.6957610400187001,-61.991815549943325,8,3.5,blind_knn5_zscore
30,lorentzian_like_2d,-37.272878659136325,0.046077567758409085,-37.45718893016996,8,4.0,blind_knn5_zscore
30,multi_layer_random,-42.39804366512212,-0.04607756775840921,-42.21373339408848,8,4.0,blind_knn5_zscore
