n,gamma,K,lor4d_a2_rank,lor4d_in_topk,lor4d_sequential_rank,lor4d_a4_only_rank,lor4d_a6_hybrid_rank,sequential_top1,topk_families
40,0.5,3,5,False,,3,5,lorentzian_like_3d,"['KR_like', 'lorentzian_like_3d', 'multi_layer_random']"
40,0.5,5,5,True,2.0,3,5,KR_2layer,"['KR_like', 'lorentzian_like_3d', 'multi_layer_random', 'KR_2layer', 'lorentzian_like_4d']"
40,0.5,8,5,True,3.0,3,5,lorentzian_like_5d,"['KR_like', 'lorentzian_like_3d', 'multi_layer_random', 'KR_2layer', 'lorentzian_like_4d', 'KR_4layer', 'random_layered_k4_uniform', 'lorentzian_like_5d']"
40,0.5,10,5,True,3.0,3,5,lorentzian_like_5d,"['KR_like', 'lorentzian_like_3d', 'multi_layer_random', 'KR_2layer', 'lorentzian_like_4d', 'KR_4layer', 'random_layered_k4_uniform', 'lorentzian_like_5d', 'absolute_layered', 'random_layered_k6_middle_heavy']"
40,1.0,3,15,False,,3,15,multi_layer_random,"['multi_layer_random', 'KR_4layer', 'random_layered_k4_uniform']"
40,1.0,5,15,False,,3,15,KR_like,"['multi_layer_random', 'KR_4layer', 'random_layered_k4_uniform', 'KR_like', 'random_layered_k6_middle_heavy']"
40,1.0,8,15,False,,3,15,lorentzian_like_3d,"['multi_layer_random', 'KR_4layer', 'random_layered_k4_uniform', 'KR_like', 'random_layered_k6_middle_heavy', 'random_layered_k6_tapered', 'lorentzian_like_3d', 'random_layered_k6_longjump']"
40,1.0,10,15,False,,3,15,lorentzian_like_3d,"['multi_layer_random', 'KR_4layer', 'random_layered_k4_uniform', 'KR_like', 'random_layered_k6_middle_heavy', 'random_layered_k6_tapered', 'lorentzian_like_3d', 'random_layered_k6_longjump', 'random_layered_k6_uniform', 'interval_order']"
40,2.0,3,15,False,,2,15,random_layered_k4_uniform,"['random_layered_k4_uniform', 'random_layered_k6_tapered', 'random_layered_k6_middle_heavy']"
40,2.0,5,15,False,,2,15,multi_layer_random,"['random_layered_k4_uniform', 'random_layered_k6_tapered', 'random_layered_k6_middle_heavy', 'multi_layer_random', 'KR_4layer']"
40,2.0,8,15,False,,2,15,multi_layer_random,"['random_layered_k4_uniform', 'random_layered_k6_tapered', 'random_layered_k6_middle_heavy', 'multi_layer_random', 'KR_4layer', 'random_layered_k6_longjump', 'random_layered_k6_uniform', 'random_layered_k8_uniform']"
40,2.0,10,15,False,,2,15,multi_layer_random,"['random_layered_k4_uniform', 'random_layered_k6_tapered', 'random_layered_k6_middle_heavy', 'multi_layer_random', 'KR_4layer', 'random_layered_k6_longjump', 'random_layered_k6_uniform', 'random_layered_k8_uniform', 'lorentzian_like_2d', 'interval_order']"
