action_mode,n,gamma,lor4d_rank,lor4d_score,top1_family,top1_score,gap_to_top1,total_families
A4,20,0.2,2,-32.76494449758644,lorentzian_like_5d,-33.48011945499009,0.7151749574036472,17
A4,20,0.5,1,-31.465883149001236,lorentzian_like_4d,-31.465883149001236,0.0,17
A4,20,1.0,1,-29.300780901359225,lorentzian_like_4d,-29.300780901359225,0.0,17
A4,20,2.0,3,-24.970576406075203,lorentzian_like_3d,-26.007283123582233,1.0367067175070304,17
A4,40,0.0,3,-86.19585470613654,lorentzian_like_5d,-92.00747795446848,5.811623248331941,17
A4,40,0.1,3,-85.8538775977627,lorentzian_like_5d,-91.44405888261886,5.590181284856158,17
A4,40,0.2,3,-85.51190048938884,lorentzian_like_5d,-90.88063981076922,5.368739321380389,17
A4,40,0.5,3,-84.48596916426727,lorentzian_like_5d,-89.19038259522031,4.704413430953039,17
A4,40,1.0,3,-82.77608362239799,lorentzian_like_5d,-86.37328723597216,3.597203613574166,17
A4,40,2.0,2,-79.35631253865944,lorentzian_like_5d,-80.73909651747583,1.3827839788163914,17
A6,10,0.0,3,-12.491329803498651,lorentzian_like_5d,-13.3554285077196,0.8640987042209485,17
A6,10,0.1,13,-7.207779892645196,multi_layer_random,-8.337935762492574,1.1301558698473775,17
A6,10,0.2,15,-1.9242299817917405,KR_like,-7.642131274145013,5.717901292353273,17
A6,10,0.5,15,13.926419750768625,KR_4layer,-6.4730725910360905,20.399492341804716,17
A6,10,1.0,15,40.34416930503589,KR_4layer,-4.7254623880417075,45.069631693077596,17
A6,10,2.0,15,93.17966841357045,KR_4layer,-1.2302419820529402,94.4099103956234,17
A6,20,0.0,3,-33.63098539664324,lorentzian_like_5d,-34.897603148453754,1.2666177518105144,17
A6,20,0.1,2,-29.21766626226728,KR_2layer,-29.391113831507756,0.17344756924047644,17
A6,20,0.2,4,-24.804347127891315,lorentzian_like_3d,-25.788025102711316,0.9836779748200009,17
A6,20,0.5,14,-11.564389724763426,KR_4layer,-23.1193724126285,11.554982687865074,17
A6,20,1.0,15,10.50220594711639,KR_4layer,-20.8869070265888,31.389112973705192,17
A6,20,2.0,15,54.63539729087603,lorentzian_like_2d,-18.94995383529251,73.58535112616855,17
A6,40,0.0,3,-86.19585470613654,lorentzian_like_5d,-92.00747795446848,5.811623248331941,17
A6,40,0.1,3,-81.74185946945548,lorentzian_like_5d,-85.65951839812695,3.9176589286714716,17
A6,40,0.2,3,-77.28786423277441,KR_2layer,-79.52024848674758,2.2323842539731658,17
A6,40,0.5,5,-63.925878522731196,KR_like,-66.93807684434458,3.0121983216133827,17
A6,40,1.0,15,-41.65590233932583,multi_layer_random,-62.40461050388184,20.748708164556014,17
A6,40,2.0,15,2.884050027484899,random_layered_k4_uniform,-56.752921179403074,59.63697120688797,17
A7,10,0.0,3,-12.491329803498651,lorentzian_like_5d,-13.3554285077196,0.8640987042209485,17
A7,10,0.1,13,-7.1817548309168,multi_layer_random,-8.327505206937017,1.1457503760202172,17
A7,10,0.2,15,-1.8721798583349503,KR_like,-7.627310385256125,5.7551305269211745,17
A7,10,0.5,15,14.056545059410599,KR_4layer,-6.421202035480535,20.477747094891136,17
A7,10,1.0,15,40.60441992231985,KR_4layer,-4.621721276930596,45.22614119925044,17
A7,10,2.0,15,93.70016964813836,KR_4layer,-1.0227597598307177,94.72292940796908,17
A7,20,0.0,3,-33.63098539664324,lorentzian_like_5d,-34.897603148453754,1.2666177518105144,17
A7,20,0.1,2,-29.198594227545055,KR_2layer,-29.364449831507756,0.16585560396270083,17
A7,20,0.2,3,-24.76620305844687,lorentzian_like_3d,-25.762247352711313,0.9960442942644434,17
A7,20,0.5,14,-11.469029551152314,KR_4layer,-23.0646730376285,11.595643486476185,17
A7,20,1.0,15,10.692926294338614,KR_4layer,-20.7775082765888,31.470434570927416,17
A7,20,2.0,15,55.016837985320464,lorentzian_like_2d,-18.80108695887528,73.81792494419574,17
A7,40,0.0,3,-86.19585470613654,lorentzian_like_5d,-92.00747795446848,5.811623248331941,17
A7,40,0.1,3,-81.73054762006312,lorentzian_like_5d,-85.6390366709866,3.908489050923478,17
A7,40,0.2,3,-77.26524053398968,KR_2layer,-79.45456163518506,2.1893211011953753,17
A7,40,0.5,5,-63.869319275769385,KR_like,-66.88516987602861,3.0158506002592276,17
A7,40,1.0,15,-41.54278384540221,multi_layer_random,-62.324266832006835,20.781482986604622,17
A7,40,2.0,15,3.110287015332122,random_layered_k4_uniform,-56.625425476278075,59.735712491610194,17
