step,F,comp_frac,d_eff,trajectory,color
250,118.42925967510484,0.6512896825396826,1.0976619047619047,Microcanonical swap,#2563eb
260,115.9293080632375,0.6483134920634921,1.1155190476190475,Microcanonical swap,#2563eb
270,118.21379059852808,0.6716269841269841,0.9756380952380956,Microcanonical swap,#2563eb
280,121.61820092608,0.6468253968253969,1.124447619047619,Microcanonical swap,#2563eb
290,121.70329050905792,0.6235119047619048,1.2643285714285717,Microcanonical swap,#2563eb
300,116.02280171728589,0.6641865079365079,1.0202809523809526,Microcanonical swap,#2563eb
310,116.1042732122514,0.6329365079365079,1.2077809523809526,Microcanonical swap,#2563eb
320,114.36763217695012,0.6304563492063492,1.222661904761905,Microcanonical swap,#2563eb
330,114.51698804661862,0.6175595238095238,1.300042857142857,Microcanonical swap,#2563eb
340,114.51698804661862,0.6175595238095238,1.300042857142857,Microcanonical swap,#2563eb
350,114.73400946942658,0.6116071428571429,1.3357571428571426,Microcanonical swap,#2563eb
360,113.23044335417732,0.6180555555555556,1.2970666666666666,Microcanonical swap,#2563eb
370,114.20494917050252,0.6309523809523809,1.2196857142857145,Microcanonical swap,#2563eb
380,108.90453392030258,0.6220238095238095,1.2732571428571429,Microcanonical swap,#2563eb
390,107.51065756118324,0.6091269841269841,1.3506380952380956,Microcanonical swap,#2563eb
400,103.67813151688378,0.6309523809523809,1.2196857142857145,Microcanonical swap,#2563eb
410,103.67813151688378,0.6309523809523809,1.2196857142857145,Microcanonical swap,#2563eb
420,103.67813151688378,0.6309523809523809,1.2196857142857145,Microcanonical swap,#2563eb
430,103.75799584027511,0.6111111111111112,1.338733333333333,Microcanonical swap,#2563eb
