n,family,sample_id,gamma,beta,action_mode,log_H_mean,log_H_std,entropy_method,penalty_neutral,penalty_geometric,penalty_info,penalty_effective,score,score_per_node,score_per_nlogn,log_H_norm,penalty_norm,log_H_norm_scale,penalty_norm_scale,score_norm,score_norm_std_est,normalization_method,normalization_group,dropped_term
40,random_layered_k6_middle_heavy,3,1.0,1.0,A4,62.73444160705556,4.234064367947205,sis,0.09381059027777779,1.8422165492413558,1.282775019738572,1.282775019738572,-61.451666587316986,-1.5362916646829246,-0.41646567305679005,-0.35461021216397587,-0.3312707084027484,11.997395568797584,0.5296162941528668,0.023339503761227454,0.3529152926289281,robust_zscore,"n,gamma,action_mode",info_degree_heterogeneity
40,random_layered_k6_middle_heavy,4,0.0,1.0,A4,59.69939757029055,4.135084699876527,sis,0.0578669704861111,0.7827717373511082,1.367029616636625,1.367029616636625,-59.69939757029055,-1.4924849392572637,-0.40459032555070484,-0.6075854532786764,-0.1721845967625846,11.997395568797584,0.5296162941528668,0.6075854532786764,0.3446651963890325,robust_zscore,"n,gamma,action_mode",info_degree_heterogeneity
40,random_layered_k6_middle_heavy,4,0.2,1.0,A4,59.69939757029055,4.135084699876527,sis,0.0578669704861111,0.7827717373511082,1.367029616636625,1.367029616636625,-59.425991646963226,-1.4856497911740807,-0.4027374192228604,-0.6075854532786764,-0.1721845967625846,11.997395568797584,0.5296162941528668,0.5731485339261595,0.3446651963890325,robust_zscore,"n,gamma,action_mode",info_degree_heterogeneity
40,random_layered_k6_middle_heavy,4,0.5,1.0,A4,59.69939757029055,4.135084699876527,sis,0.0578669704861111,0.7827717373511082,1.367029616636625,1.367029616636625,-59.015882761972236,-1.475397069049306,-0.39995805973109366,-0.6075854532786764,-0.1721845967625846,11.997395568797584,0.5296162941528668,0.5214931548973841,0.3446651963890325,robust_zscore,"n,gamma,action_mode",info_degree_heterogeneity
40,random_layered_k6_middle_heavy,4,1.0,1.0,A4,59.69939757029055,4.135084699876527,sis,0.0578669704861111,0.7827717373511082,1.367029616636625,1.367029616636625,-58.33236795365393,-1.4583091988413481,-0.39532579391148254,-0.6075854532786764,-0.1721845967625846,11.997395568797584,0.5296162941528668,0.43540085651609184,0.3446651963890325,robust_zscore,"n,gamma,action_mode",info_degree_heterogeneity
40,random_layered_k6_middle_heavy,5,0.0,1.0,A4,61.18105208939184,4.4797515384488165,sis,0.08021684027777778,1.746978123829455,1.1750464668514107,1.1750464668514107,-61.18105208939184,-1.529526302234796,-0.41463168456996546,-0.484087439846934,-0.5346793913993236,11.997395568797584,0.5296162941528668,0.484087439846934,0.3733936680473886,robust_zscore,"n,gamma,action_mode",info_degree_heterogeneity
40,random_layered_k6_middle_heavy,5,0.2,1.0,A4,61.18105208939184,4.4797515384488165,sis,0.08021684027777778,1.746978123829455,1.1750464668514107,1.1750464668514107,-60.94604279602156,-1.523651069900539,-0.4130389970323706,-0.484087439846934,-0.5346793913993236,11.997395568797584,0.5296162941528668,0.37715156156706925,0.3733936680473886,robust_zscore,"n,gamma,action_mode",info_degree_heterogeneity
40,random_layered_k6_middle_heavy,5,0.5,1.0,A4,61.18105208939184,4.4797515384488165,sis,0.08021684027777778,1.746978123829455,1.1750464668514107,1.1750464668514107,-60.593528855966134,-1.5148382213991534,-0.4106499657259783,-0.484087439846934,-0.5346793913993236,11.997395568797584,0.5296162941528668,0.21674774414727216,0.3733936680473886,robust_zscore,"n,gamma,action_mode",info_degree_heterogeneity
40,random_layered_k6_middle_heavy,5,1.0,1.0,A4,61.18105208939184,4.4797515384488165,sis,0.08021684027777778,1.746978123829455,1.1750464668514107,1.1750464668514107,-60.00600562254043,-1.5001501405635107,-0.4066682468819911,-0.484087439846934,-0.5346793913993236,11.997395568797584,0.5296162941528668,-0.05059195155238966,0.3733936680473886,robust_zscore,"n,gamma,action_mode",info_degree_heterogeneity
40,random_layered_k6_middle_heavy,6,0.0,1.0,A4,62.749913397092214,4.531612208797501,sis,0.06941944444444444,1.3391469460967407,1.3340366597356204,1.3340366597356204,-62.749913397092214,-1.5687478349273054,-0.4252640549633023,-0.3533206164389758,-0.23448055945341822,11.997395568797584,0.5296162941528668,0.3533206164389758,0.37771632874914646,robust_zscore,"n,gamma,action_mode",info_degree_heterogeneity
