family,tier,N,seed,aw,cf,aw_over_sqrtN
lorentzian_like_2d,Tier-1,44,47,10,0.4788583509513742,1.507556722888818
lorentzian_like_2d,Tier-1,44,48,9,0.43868921775898523,1.3568010505999364
lorentzian_like_2d,Tier-1,44,49,9,0.5042283298097252,1.3568010505999364
lorentzian_like_2d,Tier-1,44,50,8,0.5031712473572939,1.2060453783110545
lorentzian_like_2d,Tier-1,44,51,9,0.4904862579281184,1.3568010505999364
lorentzian_like_2d,Tier-1,52,42,11,0.5294117647058824,1.52542553961938
lorentzian_like_2d,Tier-1,52,43,11,0.5346907993966817,1.52542553961938
lorentzian_like_2d,Tier-1,52,44,10,0.557315233785822,1.386750490563073
lorentzian_like_2d,Tier-1,52,45,12,0.5279034690799397,1.6641005886756874
lorentzian_like_2d,Tier-1,52,46,10,0.5339366515837104,1.386750490563073
lorentzian_like_2d,Tier-1,52,47,12,0.5233785822021116,1.6641005886756874
lorentzian_like_2d,Tier-1,52,48,10,0.4796380090497738,1.386750490563073
lorentzian_like_2d,Tier-1,52,49,10,0.5128205128205128,1.386750490563073
lorentzian_like_2d,Tier-1,52,50,9,0.49321266968325794,1.2480754415067656
lorentzian_like_2d,Tier-1,52,51,9,0.5052790346907994,1.2480754415067656
lorentzian_like_2d,Tier-1,56,42,12,0.5181818181818182,1.6035674514745464
lorentzian_like_2d,Tier-1,56,43,10,0.5435064935064935,1.3363062095621219
lorentzian_like_2d,Tier-1,56,44,12,0.5051948051948052,1.6035674514745464
lorentzian_like_2d,Tier-1,56,45,12,0.5064935064935064,1.6035674514745464
lorentzian_like_2d,Tier-1,56,46,12,0.5318181818181819,1.6035674514745464
lorentzian_like_2d,Tier-1,56,47,10,0.4831168831168831,1.3363062095621219
lorentzian_like_2d,Tier-1,56,48,10,0.4883116883116883,1.3363062095621219
lorentzian_like_2d,Tier-1,56,49,9,0.5194805194805194,1.2026755886059097
lorentzian_like_2d,Tier-1,56,50,10,0.4733766233766234,1.3363062095621219
lorentzian_like_2d,Tier-1,56,51,9,0.5136363636363637,1.2026755886059097
lorentzian_like_3d,Tier-1,20,42,10,0.29473684210526313,2.23606797749979
lorentzian_like_3d,Tier-1,20,43,9,0.3263157894736842,2.0124611797498106
lorentzian_like_3d,Tier-1,20,44,8,0.35789473684210527,1.7888543819998317
lorentzian_like_3d,Tier-1,20,45,13,0.1736842105263158,2.9068883707497264
lorentzian_like_3d,Tier-1,20,46,8,0.37894736842105264,1.7888543819998317
lorentzian_like_3d,Tier-1,20,47,11,0.24210526315789474,2.4596747752497685
lorentzian_like_3d,Tier-1,20,48,11,0.1631578947368421,2.4596747752497685
lorentzian_like_3d,Tier-1,20,49,9,0.3,2.0124611797498106
lorentzian_like_3d,Tier-1,20,50,8,0.4263157894736842,1.7888543819998317
lorentzian_like_3d,Tier-1,20,51,8,0.29473684210526313,1.7888543819998317
lorentzian_like_3d,Tier-1,28,42,12,0.3333333333333333,2.2677868380553634
lorentzian_like_3d,Tier-1,28,43,10,0.43386243386243384,1.889822365046136
lorentzian_like_3d,Tier-1,28,44,10,0.3835978835978836,1.889822365046136
lorentzian_like_3d,Tier-1,28,45,15,0.2566137566137566,2.834733547569204
lorentzian_like_3d,Tier-1,28,46,11,0.335978835978836,2.0788046015507495
lorentzian_like_3d,Tier-1,28,47,13,0.2804232804232804,2.456769074559977
lorentzian_like_3d,Tier-1,28,48,13,0.21693121693121692,2.456769074559977
lorentzian_like_3d,Tier-1,28,49,11,0.30952380952380953,2.0788046015507495
lorentzian_like_3d,Tier-1,28,50,12,0.2777777777777778,2.2677868380553634
lorentzian_like_3d,Tier-1,28,51,11,0.30952380952380953,2.0788046015507495
lorentzian_like_3d,Tier-1,36,42,16,0.319047619047619,2.6666666666666665
lorentzian_like_3d,Tier-1,36,43,13,0.3746031746031746,2.1666666666666665
lorentzian_like_3d,Tier-1,36,44,13,0.32063492063492066,2.1666666666666665
lorentzian_like_3d,Tier-1,36,45,16,0.2984126984126984,2.6666666666666665
lorentzian_like_3d,Tier-1,36,46,14,0.33174603174603173,2.3333333333333335
lorentzian_like_3d,Tier-1,36,47,15,0.2698412698412698,2.5
lorentzian_like_3d,Tier-1,36,48,15,0.2507936507936508,2.5
lorentzian_like_3d,Tier-1,36,49,14,0.32222222222222224,2.3333333333333335
lorentzian_like_3d,Tier-1,36,50,16,0.2619047619047619,2.6666666666666665
lorentzian_like_3d,Tier-1,36,51,13,0.2857142857142857,2.1666666666666665
lorentzian_like_3d,Tier-1,44,42,16,0.29704016913319237,2.412090756622109
lorentzian_like_3d,Tier-1,44,43,16,0.35200845665961944,2.412090756622109
lorentzian_like_3d,Tier-1,44,44,15,0.3308668076109937,2.2613350843332274
lorentzian_like_3d,Tier-1,44,45,17,0.3054968287526427,2.5628464289109907
lorentzian_like_3d,Tier-1,44,46,15,0.35095137420718814,2.2613350843332274
lorentzian_like_3d,Tier-1,44,47,19,0.24312896405919662,2.8643577734887544
lorentzian_like_3d,Tier-1,44,48,16,0.26744186046511625,2.412090756622109
lorentzian_like_3d,Tier-1,44,49,17,0.30021141649048627,2.5628464289109907
lorentzian_like_3d,Tier-1,44,50,14,0.29704016913319237,2.1105794120443453
lorentzian_like_3d,Tier-1,44,51,18,0.25898520084566595,2.7136021011998728
