scale_label,scale_factor,n,gamma,family,mean_score,std_score,mean_penalty,mean_log_H,entropy_method,count
1.960,1.96,52,0.2,KR_like,-105.34499005498867,0.5291471025708326,16.753301789151894,108.69565041281906,sis,2
1.960,1.96,52,0.2,lorentzian_like_2d,-79.68711438267074,1.339492794489899,1.8473976231027942,80.0565939072913,exact,2
1.960,1.96,52,0.4,KR_like,-101.9943296971583,0.6777715682000299,16.753301789151894,108.69565041281906,sis,2
1.960,1.96,52,0.4,lorentzian_like_2d,-79.31763485805018,1.3641109585089621,1.8473976231027942,80.0565939072913,exact,2
1.960,1.96,52,0.6,KR_like,-98.64366933932791,0.8263960338292171,16.753301789151894,108.69565041281906,sis,2
1.960,1.96,52,0.6,lorentzian_like_2d,-78.94815533342963,1.3887291225280052,1.8473976231027942,80.0565939072913,exact,2
1.960,1.96,52,0.8,KR_like,-95.29300898149755,0.9750204994584144,16.753301789151894,108.69565041281906,sis,2
1.960,1.96,52,0.8,lorentzian_like_2d,-78.57867580880907,1.4133472865470682,1.8473976231027942,80.0565939072913,exact,2
1.960,1.96,52,1.0,KR_like,-91.94234862366716,1.1236449650876015,16.753301789151894,108.69565041281906,sis,2
1.960,1.96,52,1.0,lorentzian_like_2d,-78.20919628418851,1.4379654505661315,1.8473976231027942,80.0565939072913,exact,2
1.960,1.96,52,1.5,KR_like,-83.56569772909123,1.4952061291605971,16.753301789151894,108.69565041281906,sis,2
1.960,1.96,52,1.5,lorentzian_like_2d,-77.2854974726371,1.4995108606137644,1.8473976231027942,80.0565939072913,exact,2
1.960,1.96,52,2.0,lorentzian_like_2d,-76.36179866108571,1.5610562706614273,1.8473976231027942,80.0565939072913,exact,2
1.960,1.96,52,2.0,KR_like,-75.18904683451527,1.8667672932335677,16.753301789151894,108.69565041281906,sis,2
1.980,1.98,52,0.0,KR_like,-108.69565041281906,0.3805226369416454,16.82799589803874,108.69565041281906,sis,2
1.980,1.98,52,0.0,lorentzian_like_2d,-80.0565939072913,1.3148746304708359,1.8652130146656716,80.0565939072913,exact,2
1.980,1.98,52,0.1,KR_like,-107.01285082301519,0.45559061782567983,16.82799589803874,108.69565041281906,sis,2
1.980,1.98,52,0.1,lorentzian_like_2d,-79.87007260582473,1.3272633269461522,1.8652130146656716,80.0565939072913,exact,2
1.980,1.98,52,0.2,KR_like,-105.33005123321132,0.5306585987097393,16.82799589803874,108.69565041281906,sis,2
1.980,1.98,52,0.2,lorentzian_like_2d,-79.68355130435816,1.3396520234214535,1.8652130146656716,80.0565939072913,exact,2
1.980,1.98,52,0.4,KR_like,-101.96445205360357,0.6807945604778031,16.82799589803874,108.69565041281906,sis,2
1.980,1.98,52,0.4,lorentzian_like_2d,-79.31050870142502,1.3644294163720863,1.8652130146656716,80.0565939072913,exact,2
1.980,1.98,52,0.6,KR_like,-98.59885287399581,0.8309305222458869,16.82799589803874,108.69565041281906,sis,2
1.980,1.98,52,0.6,lorentzian_like_2d,-78.9374660984919,1.3892068093227141,1.8652130146656716,80.0565939072913,exact,2
1.980,1.98,52,0.8,KR_like,-95.23325369438807,0.9810664840139608,16.82799589803874,108.69565041281906,sis,2
1.980,1.98,52,0.8,lorentzian_like_2d,-78.56442349555877,1.4139842022733418,1.8652130146656716,80.0565939072913,exact,2
1.980,1.98,52,1.0,KR_like,-91.86765451478033,1.1312024457820546,16.82799589803874,108.69565041281906,sis,2
1.980,1.98,52,1.0,lorentzian_like_2d,-78.19138089262563,1.4387615952239747,1.8652130146656716,80.0565939072913,exact,2
1.980,1.98,52,1.5,KR_like,-83.45365656576095,1.5065423502022468,16.82799589803874,108.69565041281906,sis,2
1.980,1.98,52,1.5,lorentzian_like_2d,-77.2587743852928,1.5007050776005415,1.8652130146656716,80.0565939072913,exact,2
1.980,1.98,52,2.0,lorentzian_like_2d,-76.32616787795996,1.5626485599771034,1.8652130146656716,80.0565939072913,exact,2
1.980,1.98,52,2.0,KR_like,-75.03965861674158,1.8818822546224538,16.82799589803874,108.69565041281906,sis,2
2.000,2.0,52,0.0,KR_like,-108.69565041281906,0.3805226369416454,16.90269000692558,108.69565041281906,sis,2
