n,family,sample_id,gamma,beta,action_mode,log_H_mean,log_H_std,entropy_method,penalty_neutral,penalty_geometric,penalty_effective,score,score_per_node,score_per_nlogn,log_H_norm,penalty_norm,log_H_norm_scale,penalty_norm_scale,score_norm,score_norm_std_est,normalization_method,normalization_group
20,lorentzian_like_2d,0,0.6,1.0,A3,23.380651766837136,0.0,exact,0.07201111111111111,0.19040909814908277,0.19040909814908277,-23.266406307947687,-1.1633203153973843,-0.3883258613151294,-0.7481974905509589,-0.5913771907402232,5.444251003571674,1.5817847880126672,0.3933711761068249,0.0,robust_zscore,n
20,lorentzian_like_2d,0,0.8,1.0,A1,23.380651766837136,0.0,exact,0.07201111111111111,0.19040909814908277,0.07201111111111111,-23.323042877948247,-1.1661521438974123,-0.3892711488914015,-0.7481974905509589,-0.6662280730696236,5.444251003571674,1.5817847880126672,0.21521503209525994,0.0,robust_zscore,n
20,lorentzian_like_2d,0,0.8,1.0,A2,23.380651766837136,0.0,exact,0.07201111111111111,0.19040909814908277,0.2624202092601939,-23.17071559942898,-1.158535779971449,-0.3867287441534349,-0.7481974905509589,-0.5458519640110011,5.444251003571674,1.5817847880126672,0.31151591934215794,0.0,robust_zscore,n
20,lorentzian_like_2d,0,0.8,1.0,A3,23.380651766837136,0.0,exact,0.07201111111111111,0.19040909814908277,0.19040909814908277,-23.22832448831787,-1.1614162244158934,-0.38769026013063773,-0.7481974905509589,-0.5913771907402232,5.444251003571674,1.5817847880126672,0.2750957379587803,0.0,robust_zscore,n
20,lorentzian_like_2d,0,1.0,1.0,A1,23.380651766837136,0.0,exact,0.07201111111111111,0.19040909814908277,0.07201111111111111,-23.308640655726027,-1.1654320327863013,-0.38903076989710084,-0.7481974905509589,-0.6662280730696236,5.444251003571674,1.5817847880126672,0.08196941748133524,0.0,robust_zscore,n
20,lorentzian_like_2d,0,1.0,1.0,A2,23.380651766837136,0.0,exact,0.07201111111111111,0.19040909814908277,0.2624202092601939,-23.11823155757694,-1.1559115778788471,-0.38585276397464247,-0.7481974905509589,-0.5458519640110011,5.444251003571674,1.5817847880126672,0.20234552653995774,0.0,robust_zscore,n
20,lorentzian_like_2d,0,1.0,1.0,A3,23.380651766837136,0.0,exact,0.07201111111111111,0.19040909814908277,0.19040909814908277,-23.190242668688054,-1.1595121334344027,-0.3870546589461461,-0.7481974905509589,-0.5913771907402232,5.444251003571674,1.5817847880126672,0.15682029981073564,0.0,robust_zscore,n
20,lorentzian_like_2d,0,1.5,1.0,A1,23.380651766837136,0.0,exact,0.07201111111111111,0.19040909814908277,0.07201111111111111,-23.27263510017047,-1.1636317550085233,-0.388429822411349,-0.7481974905509589,-0.6662280730696236,5.444251003571674,1.5817847880126672,-0.2511446190534766,0.0,robust_zscore,n
20,lorentzian_like_2d,0,1.5,1.0,A2,23.380651766837136,0.0,exact,0.07201111111111111,0.19040909814908277,0.2624202092601939,-22.987021452946845,-1.1493510726473422,-0.3836628135276615,-0.7481974905509589,-0.5458519640110011,5.444251003571674,1.5817847880126672,-0.07058045546554281,0.0,robust_zscore,n
20,lorentzian_like_2d,0,1.5,1.0,A3,23.380651766837136,0.0,exact,0.07201111111111111,0.19040909814908277,0.19040909814908277,-23.095038119613513,-1.1547519059806757,-0.38546565598491694,-0.7481974905509589,-0.5913771907402232,5.444251003571674,1.5817847880126672,-0.13886829555937596,0.0,robust_zscore,n
20,lorentzian_like_2d,0,2.0,1.0,A1,23.380651766837136,0.0,exact,0.07201111111111111,0.19040909814908277,0.07201111111111111,-23.236629544614914,-1.1618314772307456,-0.3878288749255972,-0.7481974905509589,-0.6662280730696236,5.444251003571674,1.5817847880126672,-0.5842586555882884,0.0,robust_zscore,n
20,lorentzian_like_2d,0,2.0,1.0,A2,23.380651766837136,0.0,exact,0.07201111111111111,0.19040909814908277,0.2624202092601939,-22.85581134831675,-1.1427905674158374,-0.38147286308068057,-0.7481974905509589,-0.5458519640110011,5.444251003571674,1.5817847880126672,-0.34350643747104337,0.0,robust_zscore,n
20,lorentzian_like_2d,0,2.0,1.0,A3,23.380651766837136,0.0,exact,0.07201111111111111,0.19040909814908277,0.19040909814908277,-22.99983357053897,-1.1499916785269486,-0.38387665302368773,-0.7481974905509589,-0.5913771907402232,5.444251003571674,1.5817847880126672,-0.43455689092948757,0.0,robust_zscore,n
20,lorentzian_like_2d,1,0.0,1.0,A1,21.399898012452944,0.0,exact,0.05130277777777778,1.1001891535507446,0.05130277777777778,-21.399898012452944,-1.0699949006226472,-0.35717307253002867,-1.1120223313021895,-0.679319824545721,5.444251003571674,1.5817847880126672,1.1120223313021895,0.0,robust_zscore,n
20,lorentzian_like_2d,1,0.0,1.0,A2,21.399898012452944,0.0,exact,0.05130277777777778,1.1001891535507446,1.1514919313285223,-21.399898012452944,-1.0699949006226472,-0.35717307253002867,-1.1120223313021895,0.016216737626562342,5.444251003571674,1.5817847880126672,1.1120223313021895,0.0,robust_zscore,n
20,lorentzian_like_2d,1,0.0,1.0,A3,21.399898012452944,0.0,exact,0.05130277777777778,1.1001891535507446,1.1001891535507446,-21.399898012452944,-1.0699949006226472,-0.35717307253002867,-1.1120223313021895,-0.016216737626562203,5.444251003571674,1.5817847880126672,1.1120223313021895,0.0,robust_zscore,n
