n,family,sample_id,gamma,beta,action_mode,log_H_mean,log_H_std,entropy_method,penalty_neutral,penalty_geometric,penalty_effective,score,score_per_node,score_per_nlogn,log_H_norm,penalty_norm,log_H_norm_scale,penalty_norm_scale,score_norm,score_norm_std_est,normalization_method,normalization_group
10,KR_like,9,15.0,1.0,A1,9.086815885690685,0.0,exact,0.04821111111111111,6.777653484137795,0.04821111111111111,-8.363649219024019,-0.8363649219024019,-0.36322867043965723,0.08916966381349241,-0.6852820552002044,2.4917559921107157,3.8019324860143353,-10.368400491816558,0.0,robust_zscore,n
10,KR_like,9,15.0,1.0,A2,9.086815885690685,0.0,exact,0.04821111111111111,6.777653484137795,6.825864595248905,93.3011530430429,9.33011530430429,4.052017592180432,0.08916966381349241,1.097404383622644,2.4917559921107157,3.8019324860143353,16.371896090526164,0.0,robust_zscore,n
10,KR_like,9,15.0,1.0,A3,9.086815885690685,0.0,exact,0.04821111111111111,6.777653484137795,6.777653484137795,92.57798637637623,9.257798637637624,4.0206108628974615,0.08916966381349241,1.0847236978691597,2.4917559921107157,3.8019324860143353,16.181685804223903,0.0,robust_zscore,n
10,KR_like,9,20.0,1.0,A1,9.086815885690685,0.0,exact,0.04821111111111111,6.777653484137795,0.04821111111111111,-8.122593663468463,-0.8122593663468463,-0.35275976067866716,0.08916966381349241,-0.6852820552002044,2.4917559921107157,3.8019324860143353,-13.79481076781758,0.0,robust_zscore,n
10,KR_like,9,20.0,1.0,A2,9.086815885690685,0.0,exact,0.04821111111111111,6.777653484137795,6.825864595248905,127.43047601928741,12.74304760192874,5.534235256148118,0.08916966381349241,1.097404383622644,2.4917559921107157,3.8019324860143353,21.858918008639385,0.0,robust_zscore,n
10,KR_like,9,20.0,1.0,A3,9.086815885690685,0.0,exact,0.04821111111111111,6.777653484137795,6.777653484137795,126.46625379706522,12.646625379706522,5.492359617104158,0.08916966381349241,1.0847236978691597,2.4917559921107157,3.8019324860143353,21.605304293569702,0.0,robust_zscore,n
10,lorentzian_like_2d,0,0.0,1.0,A1,7.090076835776092,0.0,exact,0.0929,1.987202168888886,0.0929,-7.090076835776092,-0.7090076835776091,-0.3079181246047624,-0.7121684512493698,-0.6735277988967903,2.4917559921107157,3.8019324860143353,0.7121684512493698,0.0,robust_zscore,n
10,lorentzian_like_2d,0,0.0,1.0,A2,7.090076835776092,0.0,exact,0.0929,1.987202168888886,2.080102168888886,-7.090076835776092,-0.7090076835776091,-0.3079181246047624,-0.7121684512493698,-0.15084566916436,2.4917559921107157,3.8019324860143353,0.7121684512493698,0.0,robust_zscore,n
10,lorentzian_like_2d,0,0.0,1.0,A3,7.090076835776092,0.0,exact,0.0929,1.987202168888886,1.987202168888886,-7.090076835776092,-0.7090076835776091,-0.3079181246047624,-0.7121684512493698,-0.17528061122125846,2.4917559921107157,3.8019324860143353,0.7121684512493698,0.0,robust_zscore,n
10,lorentzian_like_2d,0,0.5,1.0,A1,7.090076835776092,0.0,exact,0.0929,1.987202168888886,0.0929,-7.043626835776092,-0.7043626835776091,-0.3059008267363218,-0.7121684512493698,-0.6735277988967903,2.4917559921107157,3.8019324860143353,0.37540455180097465,0.0,robust_zscore,n
