n,gamma,family,action_mode,normalization_method,mean_score_norm,std_score_norm,count
12,1.0,multi_layer_random,A1,robust_zscore,-0.7639048097719658,0.6199361386743738,10
12,1.0,KR_like,A1,robust_zscore,-0.6533829705842481,0.30491212882982044,10
12,1.0,interval_order,A1,robust_zscore,-0.3720990394135897,0.8251369050938805,10
12,1.0,lorentzian_like_2d,A1,robust_zscore,-0.1707141060792367,0.26442904624906177,10
12,1.0,absolute_layered,A1,robust_zscore,0.612322445836974,0.5813359087423043,10
12,1.5,transitive_percolation,A1,robust_zscore,-2.7749737352331825,0.6218098690356683,10
12,1.5,lorentzian_like_3d,A1,robust_zscore,-1.9918721933363994,0.4804792657377266,10
12,1.5,multi_layer_random,A1,robust_zscore,-1.1016644890994511,0.617434485598166,10
12,1.5,KR_like,A1,robust_zscore,-0.9931596613956091,0.30651682227862487,10
12,1.5,interval_order,A1,robust_zscore,-0.7082018185916084,0.82388271010712,10
12,1.5,lorentzian_like_2d,A1,robust_zscore,-0.5083288355135236,0.2642012647446605,10
12,1.5,absolute_layered,A1,robust_zscore,0.28620005344162586,0.571173061509179,10
12,2.0,transitive_percolation,A1,robust_zscore,-3.093519161233009,0.6123962214523654,10
12,2.0,lorentzian_like_3d,A1,robust_zscore,-2.323970419920109,0.4803366494611957,10
12,2.0,multi_layer_random,A1,robust_zscore,-1.4394241684269364,0.6149414793049529,10
12,2.0,KR_like,A1,robust_zscore,-1.33293635220697,0.3081357491208277,10
12,2.0,interval_order,A1,robust_zscore,-1.0443045977696268,0.8226516824916662,10
12,2.0,lorentzian_like_2d,A1,robust_zscore,-0.8459435649478106,0.2640479700041604,10
12,2.0,absolute_layered,A1,robust_zscore,-0.03992233895372228,0.5610116283861577,10
12,3.0,transitive_percolation,A1,robust_zscore,-3.7306100132326625,0.5945485369704396,10
12,3.0,lorentzian_like_3d,A1,robust_zscore,-2.9881668730875277,0.48055878168432736,10
12,3.0,multi_layer_random,A1,robust_zscore,-2.1149435270819072,0.6099818307745613,10
12,3.0,KR_like,A1,robust_zscore,-2.0124897338296917,0.31141541310897325,10
12,3.0,interval_order,A1,robust_zscore,-1.7165101561256642,0.8202595446407898,10
12,3.0,lorentzian_like_2d,A1,robust_zscore,-1.5211730238163845,0.2639652968460963,10
12,3.0,absolute_layered,A1,robust_zscore,-0.6921671237444185,0.5406933233696397,10
12,4.0,transitive_percolation,A1,robust_zscore,-4.367700865232316,0.5781068970473421,10
12,4.0,lorentzian_like_3d,A1,robust_zscore,-3.652363326254946,0.4814563229536176,10
12,4.0,multi_layer_random,A1,robust_zscore,-2.790462885736878,0.6050580540332117,10
12,4.0,KR_like,A1,robust_zscore,-2.6920431154524134,0.3147493688862132,10
12,4.0,interval_order,A1,robust_zscore,-2.388715714481701,0.8179613082241405,10
12,4.0,lorentzian_like_2d,A1,robust_zscore,-2.1964024826849586,0.2641813069226843,10
12,4.0,absolute_layered,A1,robust_zscore,-1.3444119085351147,0.5203816936146901,10
12,6.0,transitive_percolation,A1,robust_zscore,-5.641882569231623,0.5499356327063385,10
12,6.0,lorentzian_like_3d,A1,robust_zscore,-4.980756232589783,0.48525982183520205,10
12,6.0,multi_layer_random,A1,robust_zscore,-4.141501603046819,0.5953216696974418,10
12,6.0,KR_like,A1,robust_zscore,-4.051149878697857,0.3215733738506935,10
12,6.0,interval_order,A1,robust_zscore,-3.7331268311937755,0.8136496899987523,10
12,6.0,lorentzian_like_2d,A1,robust_zscore,-3.546861400422106,0.2655054527534937,10
12,6.0,absolute_layered,A1,robust_zscore,-2.6489014781165077,0.4797818508001088,10
12,8.0,transitive_percolation,A1,robust_zscore,-6.91606427323093,0.528861020655123,10
