family,N,rep,perturbation,pert_rep,in_window_orig,F7_orig,cf_orig,returned,return_step,delta_F_recovery,basin_retention,final_F
Lor3D,16,2,del_edge,1,True,32.71961877690876,0.3,True,2,-17.470860380773487,False,15.248758396135274
Lor3D,16,2,del_edge,2,True,32.71961877690876,0.3,True,1,-19.314026104421433,False,13.405592672487327
Lor3D,16,2,del_node,0,True,32.71961877690876,0.3,True,1,-19.637759707260066,False,13.081859069648694
Lor3D,16,2,del_node,1,True,32.71961877690876,0.3,False,-1,-15.051265492122287,False,17.668353284786473
Lor3D,16,2,del_node,2,True,32.71961877690876,0.3,False,-1,-14.332667968971794,False,18.386950807936966
Lor4D,16,0,add_edge,0,False,33.90984475209876,0.24166666666666667,True,1,-13.936300098245553,False,19.97354465385321
Lor4D,16,0,add_edge,1,False,33.90984475209876,0.24166666666666667,True,2,-15.854078396444379,False,18.055766355654384
Lor4D,16,0,add_edge,2,False,33.90984475209876,0.24166666666666667,True,2,-17.7695521184209,False,16.140292633677863
Lor4D,16,0,del_edge,0,False,33.90984475209876,0.24166666666666667,False,-1,-13.86959804539229,False,20.040246706706473
Lor4D,16,0,del_edge,1,False,33.90984475209876,0.24166666666666667,False,-1,-8.395859364468262,False,25.513985387630502
Lor4D,16,0,del_edge,2,False,33.90984475209876,0.24166666666666667,False,-1,-14.942756719507543,False,18.96708803259122
Lor4D,16,0,del_node,0,False,33.90984475209876,0.24166666666666667,True,1,-18.81209931715469,False,15.097745434944072
Lor4D,16,0,del_node,1,False,33.90984475209876,0.24166666666666667,False,-1,-15.336353624142962,False,18.5734911279558
Lor4D,16,0,del_node,2,False,33.90984475209876,0.24166666666666667,False,-1,-16.10798869665391,False,17.801856055444855
Lor4D,16,1,add_edge,0,False,21.455819671841272,0.2,True,1,7.294365526714046,False,28.750185198555318
Lor4D,16,1,add_edge,1,False,21.455819671841272,0.2,False,-1,-1.6867934574272496,True,19.769026214414023
Lor4D,16,1,add_edge,2,False,21.455819671841272,0.2,False,-1,0.13090619201172515,False,21.586725863852998
Lor4D,16,1,del_edge,0,False,21.455819671841272,0.2,False,-1,-0.7293618153063228,True,20.72645785653495
Lor4D,16,1,del_edge,1,False,21.455819671841272,0.2,False,-1,-0.9652959125536604,False,20.490523759287612
