n,family,sample_id,comparable_fraction,cover_density,interval_empty_fraction,mean_interval_size_ratio,neutral_penalty,geo_width_height,geo_comparability_window,geo_cover_density,geo_interval_profile,geo_interval_shape,geo_layer_smoothness,geo_total
12,lorentzian_like_3d,5,0.3181818181818182,0.25757575757575757,0.8095238095238095,0.01984126984126984,0.050491898148148154,0.2609428178959135,0.0,0.0033149678604224037,0.3383885361552027,0.0,0.01736111111111112,2.2584954423713297
12,transitive_percolation,0,0.07575757575757576,0.07575757575757576,1.0,0.0,0.14348827606876852,1.9218120556728056,0.0005876951331496787,0.0,1.0188999999999997,0.0,0.1111111111111111,9.16387250436673
12,transitive_percolation,1,0.12121212121212122,0.09090909090909091,0.75,0.020833333333333332,0.21450617283950624,0.7179136642167333,0.0,0.0,0.20146944444444434,0.0,0.06250000000000001,2.568174550655688
12,transitive_percolation,2,0.015151515151515152,0.015151515151515152,1.0,0.0,0.8829845647127844,2.9061660579905504,0.007199265381083564,0.00022047750229568406,1.0188999999999997,0.0,0.6944444444444443,12.339578029663377
12,transitive_percolation,3,0.09090909090909091,0.09090909090909091,1.0,0.0,0.037781029996939094,1.5694150552333266,8.264462809917361e-05,0.0,1.0188999999999997,0.0,0.027777777777777783,8.289381533790802
12,transitive_percolation,4,0.045454545454545456,0.045454545454545456,1.0,0.0,0.32033120026017753,2.262248815493294,0.002975206611570248,0.0,1.0188999999999997,0.0,0.25,10.136848870656006
12,transitive_percolation,5,0.09090909090909091,0.06060606060606061,0.6666666666666666,0.027777777777777776,0.2819939929599021,0.9620260235635408,8.264462809917361e-05,0.0,0.068653086419753,0.0,0.125,2.517813346994442
16,multi_layer_random,0,0.25,0.15833333333333333,0.6333333333333333,0.027083333333333334,0.08929443359375,0.16440195389316542,0.0,0.0,0.03538958333333327,0.0,0.0390625,0.5838768244529973
16,multi_layer_random,1,0.39166666666666666,0.18333333333333332,0.46808510638297873,0.04920212765957447,0.060971069335937496,0.04979304449311734,0.0001361111111111109,0.0,0.0,0.0,0.009765625,0.11993400565290134
16,multi_layer_random,2,0.325,0.19166666666666668,0.5897435897435898,0.038461538461538464,0.1008148193359375,0.31316983010658395,0.0,0.0,0.007907232084155148,0.0036000000000000064,0.02734375,0.7385633206339437
16,multi_layer_random,3,0.38333333333333336,0.21666666666666667,0.5652173913043478,0.04076086956521739,0.16278076171875,0.4804530139182014,1.1111111111111254e-05,0.00027777777777777767,0.0011578449905481907,0.0,0.02734375,1.0222827527891436
