n,family,sample_id,gamma,beta,action_mode,log_H_mean,log_H_std,penalty_neutral,penalty_geometric,penalty_effective,score,score_per_node,score_per_nlogn,log_H_norm,penalty_norm,log_H_norm_scale,penalty_norm_scale,score_norm,score_norm_std_est,normalization_method,normalization_group
12,absolute_layered,3,0.0,1.0,A3,12.801827480081469,0.0,0.4855324074074075,1.6448540762019501,1.6448540762019501,-12.801827480081469,-1.0668189566734558,-0.42931953068115103,0.16569680175095633,0.7162272540284759,2.1580824009604482,1.0974676587417105,-0.16569680175095633,0.0,robust_zscore,n
12,absolute_layered,3,0.1,1.0,A1,12.801827480081469,0.0,0.4855324074074075,1.6448540762019501,0.4855324074074075,-12.753274239340728,-1.062772853278394,-0.4276912588925883,0.16569680175095633,-0.3401334136961204,2.1580824009604482,1.0974676587417105,-0.19971014312056837,0.0,robust_zscore,n
12,absolute_layered,3,0.1,1.0,A2,12.801827480081469,0.0,0.4855324074074075,1.6448540762019501,2.1303864836093576,-12.588788831720533,-1.049065735976711,-0.42217510909965655,0.16569680175095633,1.1586388399553809,2.1580824009604482,1.0974676587417105,-0.04983291775541823,0.0,robust_zscore,n
12,absolute_layered,3,0.1,1.0,A3,12.801827480081469,0.0,0.4855324074074075,1.6448540762019501,1.6448540762019501,-12.637342072461275,-1.0531118393717729,-0.4238033808882193,0.16569680175095633,0.7162272540284759,2.1580824009604482,1.0974676587417105,-0.09407407634810874,0.0,robust_zscore,n
12,absolute_layered,3,0.2,1.0,A1,12.801827480081469,0.0,0.4855324074074075,1.6448540762019501,0.4855324074074075,-12.704720998599987,-1.0587267498833322,-0.42606298710402557,0.16569680175095633,-0.3401334136961204,2.1580824009604482,1.0974676587417105,-0.2337234844901804,0.0,robust_zscore,n
12,absolute_layered,3,0.2,1.0,A2,12.801827480081469,0.0,0.4855324074074075,1.6448540762019501,2.1303864836093576,-12.375750183359598,-1.0313125152799665,-0.415030687518162,0.16569680175095633,1.1586388399553809,2.1580824009604482,1.0974676587417105,0.06603096624011986,0.0,robust_zscore,n
12,absolute_layered,3,0.2,1.0,A3,12.801827480081469,0.0,0.4855324074074075,1.6448540762019501,1.6448540762019501,-12.472856664841078,-1.03940472207009,-0.4182872310952874,0.16569680175095633,0.7162272540284759,2.1580824009604482,1.0974676587417105,-0.022451350945261156,0.0,robust_zscore,n
12,absolute_layered,3,0.4,1.0,A1,12.801827480081469,0.0,0.4855324074074075,1.6448540762019501,0.4855324074074075,-12.607614517118506,-1.050634543093209,-0.4228064435269001,0.16569680175095633,-0.3401334136961204,2.1580824009604482,1.0974676587417105,-0.3017501672294045,0.0,robust_zscore,n
12,absolute_layered,3,0.4,1.0,A2,12.801827480081469,0.0,0.4855324074074075,1.6448540762019501,2.1303864836093576,-11.949672886637726,-0.9958060738864772,-0.40074184435517296,0.16569680175095633,1.1586388399553809,2.1580824009604482,1.0974676587417105,0.29775873423119603,0.0,robust_zscore,n
12,absolute_layered,3,0.4,1.0,A3,12.801827480081469,0.0,0.4855324074074075,1.6448540762019501,1.6448540762019501,-12.14388584960069,-1.011990487466724,-0.4072549315094239,0.16569680175095633,0.7162272540284759,2.1580824009604482,1.0974676587417105,0.12079409986043402,0.0,robust_zscore,n
12,absolute_layered,4,0.0,1.0,A1,9.911455722185304,0.0,0.2684702932098766,1.2399588215232382,0.2684702932098766,-9.911455722185304,-0.825954643515442,-0.3323886004272668,-1.1736272929220801,-0.5379179337852145,2.1580824009604482,1.0974676587417105,1.1736272929220801,0.0,robust_zscore,n
12,absolute_layered,4,0.0,1.0,A2,9.911455722185304,0.0,0.2684702932098766,1.2399588215232382,1.5084291147331148,-9.911455722185304,-0.825954643515442,-0.3323886004272668,-1.1736272929220801,0.5919183868084141,2.1580824009604482,1.0974676587417105,1.1736272929220801,0.0,robust_zscore,n
12,absolute_layered,4,0.0,1.0,A3,9.911455722185304,0.0,0.2684702932098766,1.2399588215232382,1.2399588215232382,-9.911455722185304,-0.825954643515442,-0.3323886004272668,-1.1736272929220801,0.3472913209706032,2.1580824009604482,1.0974676587417105,1.1736272929220801,0.0,robust_zscore,n
12,absolute_layered,4,0.1,1.0,A1,9.911455722185304,0.0,0.2684702932098766,1.2399588215232382,0.2684702932098766,-9.884608692864315,-0.8237173910720262,-0.3314882638115607,-1.1736272929220801,-0.5379179337852145,2.1580824009604482,1.0974676587417105,1.1198354995435587,0.0,robust_zscore,n
