family,N,rep,center_layer,n_layers_total,n_nodes,total_relations,bd_ratio,bdg_d2c,bdg_d4,link_frac
Lor2D,36,10,1,10,12,23,0.41020793950850665,-0.6666666666666666,2.8333333333333335,0.6956521739130435
Lor2D,36,10,2,10,14,31,0.42143600416233085,-1.5714285714285714,-3.7142857142857144,0.7096774193548387
Lor2D,36,10,3,10,13,23,0.35160680529300575,-1.0,0.0,0.7391304347826086
Lor2D,36,10,4,10,16,30,0.4100000000000001,-0.75,1.625,0.7
Lor2D,36,10,5,10,14,21,0.38095238095238093,-0.42857142857142855,2.0,0.7142857142857143
Lor2D,36,10,6,10,12,12,0.3333333333333333,-0.16666666666666666,0.4166666666666667,0.75
Lor2D,36,10,7,10,7,6,0.19444444444444442,-0.14285714285714285,1.5714285714285714,0.8333333333333334
Lor2D,36,10,8,10,4,4,0.3125,0.0,2.5,0.75
Lor2D,36,11,0,9,9,6,0.0,-0.3333333333333333,0.3333333333333333,1.0
Lor2D,36,11,1,9,13,21,0.3945578231292517,-0.6923076923076923,0.15384615384615385,0.7142857142857143
Lor2D,36,11,2,9,13,23,0.41020793950850665,-0.5384615384615384,2.6923076923076925,0.6956521739130435
Lor2D,36,11,3,9,14,19,0.41551246537396125,0.0,3.9285714285714284,0.6842105263157895
Lor2D,36,11,4,9,16,27,0.3950617283950617,-0.5,2.75,0.7037037037037037
Lor2D,36,11,5,9,15,28,0.3482142857142857,-1.1333333333333333,3.6666666666666665,0.75
Lor2D,36,11,6,9,12,15,0.23999999999999994,-0.5,2.25,0.8
Lor2D,36,11,7,9,7,5,0.23999999999999994,0.14285714285714285,1.7142857142857142,0.8
Lor2D,36,11,8,9,3,1,0.0,0.3333333333333333,0.6666666666666666,1.0
Lor2D,36,12,0,7,8,4,0.0,0.0,0.5,1.0
Lor2D,36,12,1,7,15,30,0.39000000000000007,-0.6,5.0,0.7
Lor2D,36,12,2,7,17,33,0.28925619834710753,-1.7058823529411764,-1.2941176470588236,0.7878787878787878
Lor2D,36,12,3,7,21,45,0.43555555555555553,-0.9047619047619048,3.0952380952380953,0.6888888888888889
Lor2D,36,12,4,7,19,36,0.4243827160493827,-0.7894736842105263,0.9473684210526315,0.6944444444444444
Lor2D,36,12,5,7,15,26,0.5325443786982248,-0.7333333333333333,-3.066666666666667,0.6538461538461539
Lor2D,36,12,6,7,7,5,0.0,-0.42857142857142855,0.2857142857142857,1.0
Lor2D,36,13,0,9,11,8,0.0,-0.45454545454545453,0.2727272727272727,1.0
Lor2D,36,13,1,9,15,29,0.4280618311533888,-1.5333333333333334,-2.4,0.7241379310344828
Lor2D,36,13,2,9,11,19,0.3601108033240998,-1.0,-0.7272727272727273,0.7368421052631579
Lor2D,36,13,3,9,11,20,0.6525,0.6363636363636364,7.363636363636363,0.55
Lor2D,36,13,4,9,12,19,0.41551246537396125,-0.16666666666666666,4.416666666666667,0.6842105263157895
Lor2D,36,13,5,9,16,31,0.5150884495317378,-0.5,1.25,0.6451612903225806
Lor2D,36,13,6,9,13,16,0.0703125,-1.3076923076923077,-1.3846153846153846,0.9375
Lor2D,36,13,7,9,9,5,0.5599999999999999,0.7777777777777778,2.6666666666666665,0.6
Lor2D,36,14,0,8,11,10,0.0,-0.8181818181818182,0.09090909090909091,1.0
Lor2D,36,14,1,8,17,32,0.421875,-1.2352941176470589,-0.11764705882352941,0.71875
Lor2D,36,14,2,8,19,31,0.39334027055150883,-0.5789473684210527,1.4736842105263157,0.7096774193548387
Lor2D,36,14,3,8,15,24,0.3333333333333333,-0.8666666666666667,0.06666666666666667,0.75
Lor2D,36,14,4,8,16,40,0.58,-0.25,5.375,0.6
Lor2D,36,14,5,8,12,16,0.24609375,-1.0,-2.0,0.8125
Lor2D,36,14,6,8,10,6,0.19444444444444442,0.2,1.4,0.8333333333333334
Lor2D,36,14,7,8,3,1,0.0,0.3333333333333333,0.6666666666666666,1.0
Lor2D,36,15,0,10,10,5,0.0,0.0,0.5,1.0
Lor2D,36,15,1,10,14,14,0.36734693877551017,0.14285714285714285,2.857142857142857,0.7142857142857143
Lor2D,36,15,2,10,13,18,0.37037037037037035,-0.38461538461538464,1.5384615384615385,0.7222222222222222
Lor2D,36,15,3,10,13,27,0.6035665294924555,-0.07692307692307693,3.5384615384615383,0.5925925925925926
Lor2D,36,15,4,10,12,22,0.43388429752066127,-0.5,2.9166666666666665,0.6818181818181818
Lor2D,36,15,5,10,14,28,0.42474489795918363,-0.42857142857142855,5.428571428571429,0.6785714285714286
Lor2D,36,15,6,10,11,16,0.1640625,-1.5454545454545454,-1.0,0.875
Lor2D,36,15,7,10,9,8,0.3125,0.1111111111111111,2.3333333333333335,0.75
Lor2D,36,15,8,10,4,3,0.4444444444444445,0.5,2.75,0.6666666666666666
Lor2D,36,16,0,7,12,10,0.0,-0.6666666666666666,0.16666666666666666,1.0
Lor2D,36,16,1,7,21,73,0.6642897354100206,-1.6666666666666667,-6.0476190476190474,0.589041095890411
Lor2D,36,16,2,7,20,60,0.49083333333333334,-2.5,-1.15,0.6833333333333333
Lor2D,36,16,3,7,18,35,0.4489795918367347,-0.8888888888888888,-0.3888888888888889,0.6857142857142857
Lor2D,36,16,4,7,13,21,0.22675736961451246,-1.0,2.4615384615384617,0.8095238095238095
Lor2D,36,16,5,7,9,8,0.3125,0.1111111111111111,2.3333333333333335,0.75
Lor2D,36,16,6,7,6,2,0.0,0.3333333333333333,0.6666666666666666,1.0
Lor2D,36,17,0,8,8,6,0.0,-0.5,0.25,1.0
Lor2D,36,17,1,8,14,33,0.42240587695133147,-1.2857142857142858,0.42857142857142855,0.696969696969697
Lor2D,36,17,2,8,14,24,0.3645833333333333,-1.2857142857142858,-1.8571428571428572,0.75
Lor2D,36,17,3,8,14,20,0.42000000000000004,-0.42857142857142855,0.2857142857142857,0.7
Lor2D,36,17,4,8,13,18,0.4012345679012346,-0.6923076923076923,-2.3076923076923075,0.7222222222222222
Lor2D,36,17,5,8,17,35,0.5485714285714286,-1.3529411764705883,-7.235294117647059,0.6571428571428571
Lor2D,36,17,6,8,14,18,0.12345679012345685,-1.0,1.1428571428571428,0.8888888888888888
Lor2D,36,17,7,8,9,1,0.0,0.7777777777777778,0.8888888888888888,1.0
Lor2D,36,18,0,7,12,11,0.0,-0.8333333333333334,0.08333333333333333,1.0
Lor2D,36,18,1,7,18,43,0.38290968090859934,-1.5555555555555556,-0.2777777777777778,0.7209302325581395
Lor2D,36,18,2,7,18,43,0.408869659275284,-1.8888888888888888,-3.111111111111111,0.7209302325581395
Lor2D,36,18,3,7,17,41,0.5175490779298036,-0.5294117647058824,4.470588235294118,0.6341463414634146
Lor2D,36,18,4,7,15,28,0.3660714285714286,-1.4,0.3333333333333333,0.75
Lor2D,36,18,5,7,13,27,0.691358024691358,0.07692307692307693,2.3846153846153846,0.5555555555555556
Lor2D,36,18,6,7,7,6,0.0,-0.7142857142857143,0.14285714285714285,1.0
Lor2D,36,19,0,9,9,4,0.0,0.1111111111111111,0.5555555555555556,1.0
Lor2D,36,19,1,9,14,28,0.4362244897959183,-0.5714285714285714,3.642857142857143,0.6785714285714286
Lor2D,36,19,2,9,15,36,0.6049382716049382,-0.6,4.466666666666667,0.6111111111111112
Lor2D,36,19,3,9,15,20,0.23999999999999994,-0.6,2.3333333333333335,0.8
Lor2D,36,19,4,9,13,15,0.23999999999999994,-0.38461538461538464,2.1538461538461537,0.8
Lor2D,36,19,5,9,13,20,0.39000000000000007,-0.23076923076923078,4.076923076923077,0.7
Lor2D,36,19,6,9,11,13,0.18934911242603553,-0.8181818181818182,-0.6363636363636364,0.8461538461538461
Lor2D,36,19,7,9,9,5,0.23999999999999994,0.3333333333333333,1.5555555555555556,0.8
Lor2D,36,19,8,9,3,1,0.0,0.3333333333333333,0.6666666666666666,1.0
Lor2D,48,0,0,9,11,10,0.0,-0.8181818181818182,0.09090909090909091,1.0
Lor2D,48,0,1,9,15,23,0.34026465028355396,-0.6,1.8,0.7391304347826086
Lor2D,48,0,2,9,14,22,0.5123966942148761,0.0,3.357142857142857,0.6363636363636364
Lor2D,48,0,3,9,15,23,0.48393194706994325,-0.06666666666666667,3.1333333333333333,0.6521739130434783
Lor2D,48,0,4,9,17,27,0.34567901234567905,-0.6470588235294118,3.4705882352941178,0.7407407407407407
Lor2D,48,0,5,9,18,31,0.4120707596253902,-0.7777777777777778,1.4444444444444444,0.7096774193548387
Lor2D,48,0,6,9,19,34,0.31833910034602086,-1.3157894736842106,-1.8421052631578947,0.7647058823529411
Lor2D,48,0,7,9,16,22,0.16735537190082644,-1.25,-1.625,0.8636363636363636
Lor2D,48,0,8,9,10,5,0.0,0.0,0.5,1.0
Lor2D,48,1,0,11,16,15,0.0,-0.875,0.0625,1.0
Lor2D,48,1,1,11,20,32,0.47265625,-0.1,3.65,0.65625
