d,N,hubble,rep,R_dS,H2,n_causal_pairs,rho_eff,b1_mean,b1_std,b1_median,s_bdg,b1_mean_scaled,b1_std_scaled,s_bdg_scaled
4,256,0.25,7,0.75,0.0625,3704,14.46875,-0.62109375,25.043419021845057,1.0,-159.0,-2.3625046139626633,95.25968179281996,-604.8011811744418
4,256,0.25,8,0.75,0.0625,4282,16.7265625,-0.25,27.094308673594163,0.0,-64.0,-1.0224530093114303,110.81062975411656,-261.74797038372617
4,256,0.25,9,0.75,0.0625,4286,16.7421875,0.4765625,30.542993479415106,1.0,122.0,1.9499611826236474,124.97343304600473,499.1900627516537
4,256,0.25,10,0.75,0.0625,3668,14.328125,3.87109375,26.816414785140665,1.0,991.0,14.653061420272635,101.50686041074913,3751.1837235897947
4,256,0.25,11,0.75,0.0625,4565,17.83203125,1.7890625,27.19896377384796,1.0,458.0,7.554851305348499,114.85575656019942,1934.0419341692157
4,256,0.25,12,0.75,0.0625,4198,16.3984375,-0.22265625,31.910660725599776,1.0,-57.0,-0.9016461338542272,129.22217037236084,-230.82141026668216
4,256,0.25,13,0.75,0.0625,5109,19.95703125,0.84765625,33.377870814835326,1.0,217.0,3.7867596185901657,149.10994091783982,969.4104623590824
4,256,0.25,14,0.75,0.0625,4055,15.83984375,2.69140625,25.9621585417596,1.0,689.0,10.71160879612189,103.32757672767654,2742.171851807204
4,256,0.25,15,0.75,0.0625,4348,16.984375,0.578125,32.05283952295608,1.0,148.0,2.3825747512026476,132.09649496518136,609.9391363078778
4,256,0.5,0,3.0,0.25,3054,11.9296875,2.1875,25.866469004292025,1.0,560.0,7.555489309182554,89.34117944147671,1934.2052631507338
4,256,0.5,1,3.0,0.25,2718,10.6171875,3.11328125,18.70992747469638,1.0,797.0,10.14432371776997,60.96447631877732,2596.9468717491122
4,256,0.5,2,3.0,0.25,3199,12.49609375,0.4140625,24.795106417317385,1.0,106.0,1.4637032506759793,87.6502408788149,374.7080321730507
4,256,0.5,3,3.0,0.25,2754,10.7578125,-0.19140625,22.15108112254255,0.0,-49.0,-0.6277953578190375,72.65356224995331,-160.7156116016736
4,256,0.5,4,3.0,0.25,2979,11.63671875,0.28125,20.173635912683167,1.0,72.0,0.9594178628199742,68.81758809832805,245.6109728819134
4,256,0.5,5,3.0,0.25,2990,11.6796875,1.44140625,22.022282846527535,1.0,369.0,4.926086259030923,75.26238000062209,1261.0780823119162
4,256,0.5,6,3.0,0.25,3386,13.2265625,-0.5078125,25.54560752780884,1.0,-130.0,-1.8468298323993164,92.90513736688624,-472.788437094225
4,256,0.5,7,3.0,0.25,2875,11.23046875,3.22265625,23.010893190928854,1.0,825.0,10.799730674047822,77.11385569941335,2764.7310525562425
4,256,0.5,8,3.0,0.25,3035,11.85546875,-1.41796875,23.488384541598926,1.0,-363.0,-4.88231757135222,80.87466847920751,-1249.8732982661684
4,256,0.5,9,3.0,0.25,2863,11.18359375,0.2265625,19.793154926226233,1.0,58.0,0.7576676063056262,66.19203228332245,193.96290721424032
4,256,0.5,10,3.0,0.25,2802,10.9453125,-0.44921875,20.512699938444193,1.0,-115.0,-1.4861818660201125,67.86360246901457,-380.4625577011488
4,256,0.5,11,3.0,0.25,2768,10.8125,1.03125,22.849691429809287,0.5,264.0,3.390994003538085,75.13519187508254,868.0944649057498
4,256,0.5,12,3.0,0.25,2969,11.59765625,2.89453125,20.876324091965362,1.0,741.0,9.857422216637238,71.095014402024,2523.500087459133
4,256,0.5,13,3.0,0.25,2370,9.2578125,0.74609375,20.605151063901737,1.0,191.0,2.2701136093026117,62.694579403593075,581.1490839814686
4,256,0.5,14,3.0,0.25,2762,10.7890625,2.3515625,25.820924727991322,1.0,602.0,7.7241087624702045,84.81323840916895,1977.3718431923724
4,256,0.5,15,3.0,0.25,3412,13.328125,-1.20703125,26.898392968940048,0.0,-309.0,-4.406594039796545,98.1998586507487,-1128.0880741879155
4,256,1.0,0,12.0,1.0,907,3.54296875,1.3046875,9.479054701147353,1.0,334.0,2.4557839822702388,17.84221179565304,628.6806994611811
4,256,1.0,1,12.0,1.0,806,3.1484375,0.66796875,9.010579143374938,0.0,171.0,1.185232859318801,15.988224721920945,303.4196119856131
4,256,1.0,2,12.0,1.0,936,3.65625,-0.0625,9.618301240343849,-1.0,-16.0,-0.1195082698498309,18.391464642047616,-30.59411708155671
4,256,1.0,3,12.0,1.0,1259,4.91796875,1.0625,11.27410611755983,0.0,272.0,2.356252460832601,25.00201438417716,603.2006299731459
