family,N,rep,log_H,pi_geo,sigma_hist,xi_dim,pi_cg,d_eff,n_layers,comp_frac,log_H_cg,pi_geo_cg,sigma_hist_cg,xi_dim_cg,pi_cg_cg,d_eff_cg
Lor3D,16,5,21.543884253127953,20.226594798971654,0.28125,0.0,0.10508078937377542,3.5054,3,0.25,12.259583791166415,25.679952113736725,0.40909090909090906,0.0,0.16318311471459357,3.696309090909091
Lor3D,16,6,21.65975464732737,17.598756120804694,0.28125,0.0,0.12900813515824663,3.3054,3,0.2833333333333333,12.32815890900639,16.019981367544517,0.40909090909090906,0.0,0.18954225352818285,3.2599454545454547
Lor3D,16,7,22.87108535841854,31.612376238135028,0.1875,0.0,0.07262311081112285,3.6554,2,0.225,12.426220464114559,25.041984393347043,0.2727272727272727,0.0,0.09612492522496974,3.478127272727273
Lor4D,16,0,26.565684152337163,59.60254252868509,0.1875,0.0,0.10174331787460476,4.4554,2,0.09166666666666666,14.836385604330054,53.82980802449908,0.2727272727272727,0.0,0.11121519817551173,4.3508545454545455
Lor4D,16,1,24.496519009046423,43.938556505463616,0.28125,0.0,0.12928067307546473,4.2054,3,0.13333333333333333,14.658203456772402,52.69375932790262,0.2727272727272727,0.0,0.2584056563700268,4.3508545454545455
Lor4D,16,2,24.208593759847794,45.14091261020532,0.1875,0.0,0.18249764464715265,4.1053999999999995,2,0.15,13.912233375889008,38.94677323725777,0.2727272727272727,0.0,0.1232757030266514,3.914490909090909
Lor4D,16,3,24.370680892977475,38.72900370395534,0.1875,0.0,0.12902905585882127,3.9054,2,0.18333333333333332,14.03485239190001,36.873921577965575,0.2727272727272727,0.0,0.20173750360667161,3.914490909090909
Lor4D,16,4,23.967610141342373,39.10713708214276,0.28125,0.0,0.1284648196512573,4.055400000000001,3,0.15833333333333333,13.446610837867238,40.42606671234731,0.40909090909090906,0.0,0.10320415673870371,4.132672727272727
Lor4D,16,5,24.31196539155703,39.47401746184918,0.28125,0.0,0.15483302644789773,4.055400000000001,3,0.15833333333333333,14.630390463876878,52.69375932790262,0.2727272727272727,0.0,0.11489624894529082,4.3508545454545455
Lor4D,16,6,23.985349385115462,41.03602940836705,0.28125,0.0,0.14523401473910577,4.1053999999999995,3,0.15,12.99169787419285,29.06276082260847,0.40909090909090906,0.0,0.17375725270507925,3.8054
Lor4D,16,7,24.90058535789657,54.057797644385005,0.1875,0.0,0.10893737190690748,4.3553999999999995,2,0.10833333333333334,14.303815228130617,47.74796530721904,0.2727272727272727,0.0,0.10592031759076853,4.241763636363636
Lor5D,16,0,27.776148092734427,73.09418700800747,0.1875,0.0,0.10733463555620759,4.7554,2,0.041666666666666664,15.722549932630592,68.3329583175845,0.2727272727272727,0.0,0.09935706709044449,4.678127272727273
Lor5D,16,1,26.85384255776691,59.95201106322063,0.28125,0.0,0.15559600150167802,4.6054,3,0.06666666666666667,16.318490399259645,73.11817231116417,0.2727272727272727,0.0,0.16348652823093845,4.787218181818182
Lor5D,16,2,24.98717711395419,49.39730813046047,0.1875,0.0,0.17161480347592065,4.2054,2,0.13333333333333333,13.894781429387292,38.94677323725777,0.2727272727272727,0.0,0.1232757030266514,3.914490909090909
Lor5D,16,3,26.60882818171082,56.718996582660225,0.1875,0.0,0.08323438387400761,4.3553999999999995,2,0.10833333333333334,15.626940292787907,62.419311211439855,0.2727272727272727,0.0,0.1438943378876664,4.569036363636363
Lor5D,16,4,25.77141762957757,53.32809599974403,0.1875,0.0,0.15903433235970485,4.3553999999999995,2,0.10833333333333334,15.749095057328947,67.00745669876997,0.2727272727272727,0.0,0.07382634280449853,4.678127272727273
Lor5D,16,5,26.402873318049387,58.715908388164465,0.1875,0.0,0.12764828651795648,4.4554,2,0.09166666666666666,15.741411858461262,67.00745669876997,0.2727272727272727,0.0,0.13380121119253993,4.678127272727273
Lor5D,16,6,26.653061582529833,61.05707841023665,0.28125,0.0,0.12574242630376087,4.6554,3,0.058333333333333334,14.371306559796828,46.432859392517734,0.40909090909090906,0.0,0.18643233767099376,4.3508545454545455
Lor5D,16,7,26.93386554017581,67.78888340108094,0.1875,0.0,0.12290982368496446,4.6554,2,0.058333333333333334,15.072081267802467,62.41780858183805,0.2727272727272727,0.0,0.12212825530482928,4.569036363636363
KR_like,16,0,19.668276887366353,6.079976306090045,0.28125,0.0,0.1540981077203812,2.7054,3,0.38333333333333336,10.769071660003503,9.157092648133155,0.40909090909090906,0.0,0.15208973747371793,2.9326727272727275
KR_like,16,1,18.6823329280277,5.384984951842741,0.28125,7.0224682000359975,0.11135074748539435,2.3554000000000004,3,0.44166666666666665,10.901135896448814,5.54094807211328,0.40909090909090906,0.0,0.17357058148143834,2.6054
KR_like,16,2,19.08555487718354,7.793990315264264,0.28125,5.522471800035999,0.11015266927122719,2.6554,3,0.39166666666666666,10.902431428082927,9.52663452879905,0.40909090909090906,5.248236971936827,0.18697234372491603,2.714490909090909
KR_like,16,3,19.585570681223807,10.899157300905228,0.28125,4.202475400036,0.10904104420852283,2.9554,3,0.3416666666666667,10.590902711403423,5.893276030415635,0.40909090909090906,0.0,0.1396524882458527,2.823581818181818
KR_like,16,4,19.243573838745846,9.249526031686885,0.28125,4.839973600035999,0.12330769807459944,2.8054,3,0.36666666666666664,11.71085889480944,13.909699418162376,0.40909090909090906,0.0,0.15264079894485522,3.2599454545454547
KR_like,16,5,19.111713290248435,7.508672989185816,0.28125,5.522471800035999,0.1250050137066456,2.6554,3,0.39166666666666666,10.763112690291216,4.99434743623853,0.40909090909090906,0.0,0.1481920994286057,2.714490909090909
KR_like,16,6,18.078784399418865,4.843413671654837,0.28125,8.122465800035998,0.13205300891489638,2.1554,3,0.475,9.203240225485876,3.1808480828939603,0.40909090909090906,10.008557077721948,0.15152535756328053,1.8417636363636367
KR_like,16,7,18.462965450587475,5.634135607986715,0.28125,6.759968800035998,0.1319206410073014,2.4054,3,0.43333333333333335,10.609501598802897,3.6193527623386874,0.40909090909090906,0.0,0.13317403566606298,2.496309090909091
Lor2D,20,0,20.297537481933137,0.4856625665042582,0.44999999999999996,0.6353317675597059,0.10983333727203254,1.973821052631579,6,0.5052631578947369,13.781066229701683,0.5875316400172947,0.42857142857142855,1.257500301895906,0.10440683411057046,2.170235164835165
Lor2D,20,1,22.196663222481178,0.6114840909559612,0.375,3.272514910396292,0.1319731617466085,1.7843473684210527,5,0.5368421052631579,13.122877495223111,1.6206352193222644,0.42857142857142855,5.8938000362365095,0.12852597618547118,1.708696703296703
Lor2D,20,2,21.25826643066601,0.2702210310515141,0.44999999999999996,0.6485761772853184,0.10958187876864557,1.973821052631579,6,0.5052631578947369,12.178957068681239,3.623088509556359,0.5357142857142857,0.9916113190838466,0.04879607106613417,1.379026373626374
