d,N,hubble,rep,R_dS,R_hat,n_causal_pairs,bd_ratio,bdg_d4,bdg_d2c,occupancy_R,M1_mean_interval,M2_interval_entropy,M3_c1_ratio,M4_tail_weight,M5_log_interval_ratio,M6_weighted_depth_ratio,M7_norm_bd_shift,C0,C1,C2,C3,total_pairs
2,256,0.000000,5,0.000000,7.151792,15808,22.401671,1.746094,-0.757812,0.936994,22.908021,4.126695,0.436333,0.888221,-0.256059,43.203524,-0.757812,996,771,643,567,15808
2,256,0.000000,6,0.000000,-1.418325,16502,24.649556,0.078125,-0.906250,0.938492,25.265059,4.221612,0.431691,0.891771,-0.274956,50.045884,-0.906250,1015,771,689,608,16502
2,256,0.000000,7,0.000000,-1.014200,16525,23.800519,-0.382812,-0.890625,0.939123,24.343359,4.186709,0.431638,0.892890,-0.275170,47.458593,-0.890625,1006,764,702,626,16525
2,256,0.250000,0,0.125000,2.262986,15793,22.279273,1.589844,-1.070312,0.936048,22.801431,4.121219,0.424501,0.888875,-0.304321,43.289517,-1.070312,1010,745,645,597,15793
2,256,0.250000,1,0.125000,-4.304194,15091,20.476681,2.214844,-0.820312,0.933006,20.946988,4.035008,0.434880,0.881453,-0.261969,39.320368,-0.820312,1011,778,654,598,15091
2,256,0.250000,2,0.125000,-4.837951,14710,20.771439,2.808594,-1.507812,0.926105,21.428824,4.061992,0.413384,0.874031,-0.349995,43.150721,-1.507812,1087,766,627,586,14710
2,256,0.250000,3,0.125000,6.620404,15337,21.766472,5.335938,-1.015625,0.932516,22.341657,4.101000,0.428808,0.881854,-0.286716,44.209179,-1.015625,1035,777,616,626,15337
2,256,0.250000,4,0.125000,7.014641,15327,21.263958,-1.800781,-1.414062,0.932146,21.811835,4.076903,0.412761,0.884452,-0.352563,41.615895,-1.414062,1040,731,677,572,15327
2,256,0.250000,5,0.125000,5.343918,15331,21.068382,2.402344,-1.320312,0.930011,21.653904,4.070042,0.419686,0.879395,-0.324061,41.645354,-1.320312,1073,776,648,602,15331
2,256,0.250000,6,0.125000,2.121378,14681,20.146279,3.117188,-0.515625,0.931067,20.637831,4.021467,0.446995,0.875349,-0.212822,39.953588,-0.515625,1012,818,665,604,14681
2,256,0.250000,7,0.125000,-3.004973,15773,21.760769,-0.328125,-1.468750,0.930704,22.380967,4.094632,0.415508,0.881443,-0.341241,43.164690,-1.468750,1093,777,685,590,15773
2,256,0.500000,0,0.500000,22.369410,12832,17.097491,-0.679688,-0.921875,0.923628,17.511222,3.862741,0.428238,0.866428,-0.289044,32.985848,-0.921875,980,734,646,535,12832
2,256,0.500000,1,0.500000,52.910339,13911,19.172092,3.296875,-1.093750,0.928114,19.657034,3.977711,0.422633,0.875494,-0.311975,37.570549,-1.093750,1000,732,594,563,13911
2,256,0.500000,2,0.500000,-3.190481,13957,18.782682,0.558594,-1.382812,0.924554,19.315397,3.961964,0.415325,0.870961,-0.341996,37.721487,-1.382812,1053,748,647,570,13957
2,256,0.500000,3,0.500000,23.738339,13128,17.740186,3.863281,-0.523438,0.926569,18.146100,3.898581,0.443739,0.867992,-0.226000,34.799876,-0.523438,964,769,606,559,13128
2,256,0.500000,4,0.500000,26.193358,12711,17.687290,1.824219,-0.289062,0.924947,18.122492,3.902465,0.452668,0.862875,-0.189897,36.036027,-0.289062,954,789,648,554,12711
2,256,0.500000,5,0.500000,13.995231,13044,18.034087,4.011719,-1.289062,0.921420,18.572064,3.924418,0.416619,0.865302,-0.336667,37.345926,-1.289062,1025,732,613,627,13044
2,256,0.500000,6,0.500000,7.011569,13475,18.002047,-0.808594,-1.117188,0.926902,18.421744,3.915526,0.420247,0.873915,-0.321759,35.288568,-1.117188,985,714,666,594,13475
2,256,0.500000,7,0.500000,16.850743,13505,17.790629,-1.890625,-1.031250,0.926027,18.211773,3.905616,0.425201,0.871307,-0.301457,34.463151,-1.031250,999,739,672,545,13505
2,256,1.000000,0,2.000000,206.073317,10181,13.587430,-2.511719,-0.960938,0.907278,13.976034,3.649656,0.423335,0.839210,-0.309096,27.456659,-0.960938,944,693,644,514,10181
2,256,1.000000,1,2.000000,82.169994,10912,13.900899,2.875000,-0.187500,0.914315,14.203629,3.661137,0.455763,0.842559,-0.177414,26.894806,-0.187500,935,783,610,516,10912
2,256,1.000000,2,2.000000,145.756889,10842,13.693833,4.167969,-0.476562,0.915975,13.950009,3.643878,0.442131,0.849382,-0.232518,25.632956,-0.476562,911,722,562,527,10842
2,256,1.000000,3,2.000000,89.977535,10550,13.815317,0.664062,-1.046875,0.909668,14.187204,3.661749,0.420316,0.844171,-0.321475,27.719973,-1.046875,953,691,610,551,10550
2,256,1.000000,4,2.000000,128.520969,10762,13.739999,-1.140625,-0.906250,0.910983,14.082605,3.655655,0.427033,0.844639,-0.293965,27.025706,-0.906250,958,714,637,522,10762
2,256,1.000000,5,2.000000,229.370147,10839,14.541646,3.382812,-0.421875,0.916505,14.866408,3.714125,0.444103,0.849802,-0.224526,28.945872,-0.421875,905,723,593,562,10839
2,256,1.000000,6,2.000000,79.559645,10566,13.697715,0.453125,-1.031250,0.907723,14.090195,3.649823,0.423077,0.840053,-0.310155,27.375437,-1.031250,975,715,619,538,10566
2,256,1.000000,7,2.000000,97.673416,10817,14.079547,0.406250,-1.187500,0.909494,14.480632,3.681923,0.416567,0.844874,-0.336881,28.167132,-1.187500,979,699,618,553,10817
2,256,2.000000,0,8.000000,1450.906036,5586,7.033353,3.527344,-0.945312,0.848908,7.285177,3.032854,0.413482,0.742392,-0.349591,14.784445,-0.945312,844,595,447,411,5586
2,256,2.000000,1,8.000000,1183.570629,6359,8.398211,-0.128906,-1.132812,0.868376,8.671175,3.190086,0.402570,0.779682,-0.394770,17.051143,-1.132812,837,564,508,450,6359
2,256,2.000000,2,8.000000,1053.005936,5723,7.166639,5.226562,-0.671875,0.854971,7.382317,3.040715,0.426003,0.747335,-0.298179,14.484864,-0.671875,830,616,439,424,5723
2,256,2.000000,3,8.000000,1255.352102,5715,7.054481,1.851562,-0.671875,0.860192,7.201050,3.008867,0.422688,0.757830,-0.311749,13.606891,-0.671875,799,585,479,427,5715
2,256,2.000000,4,8.000000,1600.828252,5769,7.158816,-1.652344,-1.179688,0.853007,7.392442,3.043093,0.401553,0.754377,-0.399000,14.606819,-1.179688,848,569,500,381,5769
2,256,2.000000,5,8.000000,1207.684215,5828,7.512310,1.312500,-0.937500,0.857927,7.756349,3.085373,0.411932,0.758408,-0.355985,15.219228,-0.937500,828,580,468,397,5828
2,256,2.000000,6,8.000000,1713.888812,5611,7.360567,1.835938,-0.453125,0.859918,7.559615,3.062574,0.432900,0.752985,-0.270027,14.973973,-0.453125,786,600,471,392,5611
2,256,2.000000,7,8.000000,1207.448474,6697,8.253554,3.105469,-0.789062,0.875019,8.432432,3.167571,0.420761,0.784232,-0.319649,15.979919,-0.789062,837,608,479,446,6697
2,512,0.000000,0,0.000000,-0.467399,63017,45.838272,1.552734,-0.925781,0.962407,46.628783,4.827124,0.441932,0.932637,-0.233326,91.109708,-0.925781,2369,1876,1646,1513,63017
2,512,0.000000,1,0.000000,-6.182220,64292,45.994133,-0.576172,-1.246094,0.961908,46.815514,4.824882,0.433495,0.932760,-0.267605,90.137787,-1.246094,2449,1874,1688,1473,64292
2,512,0.000000,2,0.000000,5.860234,65090,47.190786,1.171875,-0.875000,0.963789,47.963835,4.853854,0.443316,0.934952,-0.227715,92.509562,-0.875000,2357,1877,1660,1514,65090
2,512,0.000000,3,0.000000,-2.062555,67522,49.706981,2.767578,-1.058594,0.964293,50.547584,4.903398,0.438650,0.936391,-0.246644,98.493517,-1.058594,2411,1884,1635,1565,67522
