family,N,rep,seed,log_H,pi_geo,sigma_hist,xi_dim,R,wall,F7,bd_ratio,bdg_d2c,bdg_d4s
KR_like,16,0,403626,19.412175541050694,10.81176036906834,0.28125,4.409974800035998,0.30952380952380953,17.556611232658796,36.80659635787872,0.5011337868480726,-2.0,-0.5
KR_like,16,1,403627,19.458949281121903,7.683039474361547,0.28125,5.2899724000359996,0.30434782608695654,17.42338443505113,37.24689037198438,0.5160680529300568,-2.75,-6.875
KR_like,16,2,403628,18.59224501051399,7.638707347917142,0.28125,5.522471800035999,0.3191489361702128,17.712262103913147,36.808545677387905,0.536441828881847,-2.375,0.3125
KR_like,16,3,403629,19.09018706351228,9.388019741871114,0.28125,4.839973600035999,0.31818181818181823,17.700645337143964,36.886071768574595,0.5134297520661159,-2.125,-3.0625
KR_like,16,4,403630,19.180376358795513,7.970615641227181,0.28125,5.522471800035999,0.276595744680851,15.291780447102475,34.97632813217608,0.4590312358533272,-2.875,-1.4375
KR_like,16,5,403631,19.4166366740985,9.74699260258048,0.28125,4.839973600035999,0.2727272727272727,14.66544693438162,34.17746656554275,0.44628099173553715,-2.75,-2.875
KR_like,16,6,403632,19.18440815148367,7.566429084633416,0.28125,5.522471800035999,0.34042553191489366,17.845546385137375,37.5339641882765,0.5504753282028069,-1.875,-2.4375
KR_like,16,7,403633,19.985203752406065,10.965922442017844,0.28125,0.0,0.3076923076923077,17.514405654599496,34.69149577598237,0.4497041420118344,-1.625,-3.3125
KR_like,16,8,403634,19.472179302200402,8.817242534098048,0.28125,5.062473000036,0.3111111111111111,17.58938435371933,37.290074352954974,0.5116049382716049,-2.375,-3.1875
KR_like,16,9,403635,18.422083165099952,5.620924160152499,0.28125,7.0224682000359975,0.28301886792452835,16.10617243256887,35.931484887354486,0.5339978640085441,-3.375,-3.1875
Lor2D,20,0,4026,19.809118593034658,0.3976371552310419,0.5249999999999999,1.302494045714286,0.6526315789473685,15.999999999964786,31.340774075290106,1.9578947368421054,-0.4,0.7
Lor2D,20,1,4027,21.78838683244372,0.33408137846610375,0.44999999999999996,0.9541135734072022,0.6703296703296704,15.999999999989178,33.86098860902861,1.7531699070160611,0.3,2.65
Lor2D,20,2,4028,21.066957541453444,0.2664940413501432,0.5249999999999999,0.7472674824234887,0.6458333333333333,15.999999999944592,32.265424628468665,1.782769097222222,-0.2,-0.8
Lor2D,20,3,4029,22.524791764431033,3.2491286433262796,0.5249999999999999,1.8275298799999997,0.5789473684210527,15.999999995212395,34.37260933910076,1.371191135734072,-0.3,3.55
Lor2D,20,4,4030,21.542440675170837,0.7151684006267688,0.44999999999999996,1.1995261711726686,0.6551724137931034,15.999999999970271,33.76244244520496,1.5513277843836701,0.3,0.25
Lor2D,20,5,4031,20.723354633316394,0.2166737043613421,0.44999999999999996,1.3540566165096952,0.7010309278350515,15.999999999998504,33.03587527270246,1.835689233712403,0.6,-0.4
Lor2D,20,6,4032,19.816316591892253,2.0916622581471227,0.44999999999999996,0.6538056352675673,0.6818181818181819,15.99999999999497,31.709436637951022,2.045454545454546,0.0,1.3
Lor2D,20,7,4033,22.067177124172005,0.5085612122611171,0.44999999999999996,0.7453696647634127,0.5842696629213483,15.999999996642455,34.01460234415741,1.470521398813281,-0.4,1.9
Lor2D,20,8,4034,18.552476935110203,4.453654280940053,0.5249999999999999,0.8394423087794673,0.7094017094017093,15.999999999998504,29.807923782088764,2.22521732778143,-0.1,-0.35
Lor2D,20,9,4035,16.87729720171107,1.812940206134781,0.6000000000000001,1.1665955311049552,0.75,15.999999999998504,27.577979696455003,2.379807692307692,0.7,0.05
Lor3D,20,0,104026,28.232933618692694,6.320817928847885,0.30000000000000004,0.5744044321329642,0.3802816901408451,15.99729600859896,41.577400613742974,0.6159492164253125,-1.8,2.8
Lor3D,20,1,104027,28.509726123551406,12.17079963378522,0.30000000000000004,0.0,0.2542372881355932,9.122489021260996,34.63708346466592,0.36196495259982764,-2.7,-2.05
Lor3D,20,2,104028,28.904211725769876,11.928985491353501,0.22499999999999998,0.0,0.18181818181818177,0.16806151221256604,26.827044832178984,0.2506887052341597,-4.1,-2.75
Lor3D,20,3,104029,31.225824378105735,27.66269409320095,0.22499999999999998,0.0,0.16666666666666663,0.061616517694883924,29.048505973437898,0.19444444444444442,-1.8,2.4
Lor3D,20,4,104030,29.391200357119782,17.64894860665618,0.22499999999999998,0.0,0.2075471698113207,0.8914315297906185,28.039691466353062,0.27411890352438584,-2.6,-1.2
Lor3D,20,5,104031,28.756194122060343,14.132611183337195,0.30000000000000004,0.0,0.36363636363636365,15.991800494684888,41.753647661218565,0.5487603305785124,-1.1,3.15
Lor3D,20,6,104032,28.40295124935692,17.901819846977258,0.30000000000000004,0.0,0.36734693877551017,15.993596693722854,41.40370867101856,0.5697625989171178,-1.0,1.2
Lor3D,20,7,104033,28.205453379130272,15.609747240944253,0.375,0.4933518005540166,0.32692307692307687,15.90572376149371,40.66343211985277,0.496671597633136,-1.2,4.7
Lor3D,20,8,104034,26.984563385181893,7.497418853240494,0.30000000000000004,0.5913019390581713,0.4242424242424242,15.999855695067863,40.34219921122595,0.7134986225895316,-1.2,-0.5
Lor3D,20,9,104035,28.68166251261022,12.017860497923236,0.30000000000000004,0.0,0.21666666666666667,1.5643615976127896,27.25083125442218,0.27805555555555556,-2.7,1.95
Lor4D,20,0,204026,31.742181544923806,26.864741838053334,0.22499999999999998,0.0,0.19047619047619047,0.29688953169542365,29.799816973354453,0.2403628117913832,-1.8,1.6
Lor4D,20,1,204027,31.88281811914445,29.566253766162703,0.22499999999999998,0.0,0.07317073170731703,0.00012144649599241916,29.644766067146907,0.0803093396787626,-2.6,-0.8
Lor4D,20,2,204028,32.70125313579503,31.001144459550687,0.22499999999999998,0.0,0.050000000000000044,2.5913506707569506e-05,30.463679507085555,0.05250000000000005,-2.6,0.0
Lor4D,20,3,204029,35.208110934102514,55.1139506129237,0.15000000000000002,0.0,0.0,9.244397096952596e-07,33.730157438787394,0.0,-1.2,-0.1
Lor4D,20,4,204030,33.010050515015166,32.187735349920445,0.22499999999999998,0.0,0.1351351351351351,0.0075550335950688285,30.780480642750206,0.1533966398831263,-1.7,1.65
Lor4D,20,5,204031,33.69758191027981,30.190243361857025,0.15000000000000002,0.0,0.0,9.244397096952596e-07,32.209658932064265,0.0,-3.7,-1.35
Lor4D,20,6,204032,33.74317154256268,36.497378722881706,0.22499999999999998,0.0,0.15625,0.03082775461323961,31.53859824866507,0.1953125,-1.5,-1.85
Lor4D,20,7,204033,37.241844382232685,68.38736874957857,0.15000000000000002,0.0,0.0,9.244397096952596e-07,35.769200254172226,0.0,-0.2,0.4
Lor4D,20,8,204034,34.30351232300095,46.648945423126015,0.22499999999999998,0.0,0.20833333333333337,0.9365904459898883,33.008762347160086,0.25173611111111116,-0.4,2.3
Lor4D,20,9,204035,31.102955200235492,26.829031827857264,0.22499999999999998,0.0,0.09090909090909094,0.00039623755152563394,28.86408305051816,0.0991735537190083,-2.6,0.8
Lor5D,20,0,304026,36.74096911907434,57.464716120263596,0.22499999999999998,0.0,0.125,0.0038449874051028204,34.51779999292755,0.140625,-0.2,1.2
Lor5D,20,1,304027,34.922680686182225,47.877923532683994,0.22499999999999998,0.0,0.13043478260869568,0.005523348228873147,32.697355203824166,0.14744801512287337,-0.7,1.35
Lor5D,20,2,304028,36.17562610244492,63.67772994464113,0.15000000000000002,0.0,0.0,9.244397096952596e-07,34.70109811886249,0.0,-0.5,0.25
Lor5D,20,3,304029,36.722271655133326,67.59339791209268,0.15000000000000002,0.0,0.0,9.244397096952596e-07,35.24930993873787,0.0,-0.2,0.4
Lor5D,20,4,304030,35.422166154814064,55.16273133943359,0.22499999999999998,0.0,0.11111111111111116,0.001523468313382167,33.19575471566322,0.12345679012345685,-0.4,1.1
Lor5D,20,5,304031,38.2767836450405,68.11661056444659,0.22499999999999998,0.0,0.11111111111111116,0.001523468313382167,36.05555375757966,0.12345679012345685,0.3,1.05
Lor5D,20,6,304032,37.62779373947096,71.07962102104666,0.15000000000000002,0.0,0.0,9.244397096952596e-07,36.15622651231909,0.0,0.0,0.5
Lor5D,20,7,304033,34.36448995689726,51.35659637936061,0.15000000000000002,0.0,0.0,9.244397096952596e-07,32.885033519888715,0.0,-1.4,-0.2
Lor5D,20,8,304034,34.91248214499645,53.658870949997734,0.15000000000000002,0.0,0.0,9.244397096952596e-07,33.43394661781616,0.0,-1.2,-0.1
Lor5D,20,9,304035,35.514463671794026,55.17421508649906,0.22499999999999998,0.0,0.05555555555555558,3.7529750744656857e-05,33.286570887579366,0.058641975308642,-0.6,0.6
KR_like,20,0,404026,26.13109907613559,6.785122040381807,0.22499999999999998,6.705342887570627,0.30487804878048785,15.598035541462199,43.50505439895632,0.598602022605592,-4.5,-1.35
KR_like,20,1,404027,27.040211807403384,7.831650291931737,0.22499999999999998,5.912546998373949,0.3116883116883117,15.742361755937113,44.08323442248164,0.5828976218586608,-3.6,1.5
KR_like,20,2,404028,26.515569196212134,9.321110288469134,0.22499999999999998,5.314210564024918,0.3013698630136986,15.49546112411275,42.953285102855226,0.5614561831488083,-3.7,-2.55
KR_like,20,3,404029,26.22505666256532,6.940788297832588,0.22499999999999998,6.38224115239057,0.3125,15.755725537914008,43.5629032072328,0.61328125,-4.4,-4.9
KR_like,20,4,404030,27.521057696544084,9.540623470382139,0.22499999999999998,0.0,0.3484848484848485,15.97750528199186,41.252379227924095,0.5860881542699724,-2.6,-3.6
KR_like,20,5,404031,27.607582384535046,11.823153754477966,0.22499999999999998,4.213271767349019,0.32307692307692304,15.878377898310967,43.768652604757214,0.5517159763313609,-2.6,0.4
KR_like,20,6,404032,26.51033868228958,7.751493777619641,0.22499999999999998,6.067117256545694,0.3076923076923077,15.66536065167647,43.569070285404514,0.6074950690335307,-4.1,0.85
KR_like,20,7,404033,26.420600890178264,8.643059566134927,0.22499999999999998,5.460802982861484,0.32432432432432434,15.888014950884209,43.33855485460582,0.6267348429510592,-3.7,-1.75
KR_like,20,8,404034,27.63030323308731,10.579110121990087,0.22499999999999998,0.0,0.34375,15.96917224538676,41.35370712252287,0.5478515625,-2.3,-3.85
KR_like,20,9,404035,26.89021505894931,8.871381041420593,0.22499999999999998,5.314210564024918,0.3287671232876712,15.916572782401657,43.74886273218249,0.5809720397823231,-3.3,-4.35
Lor2D,28,0,4826,35.308522930473,0.1954495215312562,0.375,0.7698699338933619,0.6596858638743455,13.522468075637667,45.5429911462553,2.2242811326443896,-1.5,-1.9642857142857142
