family,N,rep,seed,log_H,f5_calibrated,C0,C1,C2,C3,total_relations,link_fraction,mean_k,s_bd_exact,bd_ratio_stored,abs_diff
Lor3D,16,7,8642,22.87108535841854,61.27073999144515,27,0,0,0,27,1.0,0.0,0.0,0.0,0.0
Lor4D,16,0,1642,26.565684152337163,82.6564767349106,11,0,0,0,11,1.0,0.0,0.0,0.0,0.0
Lor4D,16,1,2642,24.496519009046423,70.54690530447843,13,3,0,0,16,0.8125,0.1875,0.22265625,0.22265625,0.0
Lor4D,16,2,3642,24.208593759847794,70.71551870703061,18,0,0,0,18,1.0,0.0,0.0,0.0,0.0
Lor4D,16,3,4642,24.370680892977475,67.83106509072557,22,0,0,0,22,1.0,0.0,0.0,0.0,0.0
Lor4D,16,4,5642,23.967610141342373,67.07333706473868,17,2,0,0,19,0.8947368421052632,0.10526315789473684,0.11634349030470913,0.11634349030470913,0.0
Lor4D,16,5,6642,24.31196539155703,67.94680616536104,17,2,0,0,19,0.8947368421052632,0.10526315789473684,0.11634349030470913,0.11634349030470913,0.0
Lor4D,16,6,7642,23.985349385115462,68.07410017515141,16,2,0,0,18,0.8888888888888888,0.1111111111111111,0.12345679012345685,0.12345679012345685,0.0
Lor4D,16,7,8642,24.90058535789657,76.554266406581,13,0,0,0,13,1.0,0.0,0.0,0.0,0.0
Lor5D,16,0,1642,27.776148092734427,91.8235064212504,5,0,0,0,5,1.0,0.0,0.0,0.0,0.0
Lor5D,16,1,2642,26.85384255776691,83.26959544721922,6,2,0,0,8,0.75,0.25,0.3125,0.3125,0.0
Lor5D,16,2,3642,24.98717711395419,74.40033903331242,16,0,0,0,16,1.0,0.0,0.0,0.0,0.0
Lor5D,16,3,4642,26.60882818171082,81.30006637394546,13,0,0,0,13,1.0,0.0,0.0,0.0,0.0
Lor5D,16,4,5642,25.77141762957757,77.93358497564513,13,0,0,0,13,1.0,0.0,0.0,0.0,0.0
Lor5D,16,5,6642,26.402873318049387,81.8888332445069,11,0,0,0,11,1.0,0.0,0.0,0.0,0.0
Lor5D,16,6,7642,26.653061582529833,83.41907449149318,5,2,0,0,7,0.7142857142857143,0.2857142857142857,0.36734693877551017,0.36734693877551017,0.0
Lor5D,16,7,8642,26.93386554017581,87.48706827207633,7,0,0,0,7,1.0,0.0,0.0,0.0,0.0
KR_like,16,0,1642,19.668276887366353,41.96237183316375,32,6,5,3,46,0.6956521739130435,0.5434782608695652,0.4697542533081286,0.4697542533081286,0.0
KR_like,16,1,2642,18.6823329280277,40.34309768935464,37,1,7,7,53,0.6981132075471698,0.7547169811320755,0.5297258810964757,0.5297258810964757,0.0
KR_like,16,2,3642,19.08555487718354,42.20398472546637,33,4,1,7,47,0.7021276595744681,0.7446808510638298,0.5196921684019918,0.5196921684019918,0.0
KR_like,16,3,4642,19.585570681223807,44.62454460511425,28,4,5,3,41,0.6829268292682927,0.6585365853658537,0.5258774538964901,0.5258774538964901,0.0
KR_like,16,4,5642,19.243573838745846,43.18019843824246,29,5,7,2,44,0.6590909090909091,0.6590909090909091,0.5655991735537191,0.5655991735537191,0.0
KR_like,16,5,6642,19.111713290248435,42.114385505778706,31,7,3,5,47,0.6595744680851063,0.6808510638297872,0.5722046174739702,0.5722046174739702,0.0
KR_like,16,6,7642,18.078784399418865,38.9762498651145,41,1,4,4,57,0.7192982456140351,0.9122807017543859,0.5367805478608803,0.5367805478608803,0.0
KR_like,16,7,8642,18.462965450587475,40.00371661722228,36,1,8,3,52,0.6923076923076923,0.8076923076923077,0.5562130177514794,0.5562130177514794,0.0
Lor2D,20,0,2042,20.297537481933137,40.23193109073797,33,23,14,10,96,0.34375,1.7708333333333333,1.8183593749999998,1.8183593749999998,0.0
Lor2D,20,1,3042,22.196663222481178,44.47041863956729,47,18,12,3,102,0.4607843137254901,1.6666666666666667,1.4379084967320266,1.4379084967320266,0.0
Lor2D,20,2,4042,21.25826643066601,42.04698008852475,39,21,10,16,96,0.40625,1.46875,1.4658203125,1.4658203125,0.0
Lor2D,20,3,5042,22.049786120122352,44.14546045878169,34,14,15,6,88,0.38636363636363635,1.8409090909090908,1.743285123966942,1.743285123966942,0.0
Lor2D,20,4,6042,21.094086567207007,41.93717684318529,40,21,12,8,99,0.404040404040404,1.6767676767676767,1.595245383124171,1.595245383124171,0.0
Lor2D,20,5,7042,23.073133096509977,46.084315335541895,38,22,6,5,88,0.4318181818181819,1.4886363636363635,1.4139979338842972,1.4139979338842972,0.0
