family,N,rep,seed,log_H,f5_calibrated,C0,C1,C2,C3,total_relations,link_fraction,mean_k,s_bd_exact,bd_ratio_stored,abs_diff
Lor5D,36,4,7642,80.31554350412063,190.94720554531412,69,0,0,0,69,1.0,0.0,0.0,0.0,0.0
Lor5D,36,5,8642,82.05213052073421,195.62101406186645,49,2,0,0,51,0.9607843137254902,0.0392156862745098,0.040753556324490556,0.040753556324490556,0.0
Lor5D,36,6,9642,77.9148817019231,180.5807436172987,77,4,0,0,81,0.9506172839506173,0.04938271604938271,0.05182136869379667,0.05182136869379667,0.0
Lor5D,36,7,10642,77.14652979782959,179.02278236632523,81,5,0,0,86,0.9418604651162791,0.05813953488372093,0.06151974040021633,0.06151974040021633,0.0
KR_like,36,0,3642,64.24466196908143,135.56959907971816,154,5,7,14,234,0.6581196581196581,1.3846153846153846,0.8152531229454306,0.8152531229454306,0.0
KR_like,36,1,4642,64.08875928411454,134.47079939171263,172,2,10,7,253,0.6798418972332015,1.66798418972332,0.8541767563936323,0.8541767563936323,0.0
KR_like,36,2,5642,64.45533800209195,135.2827712930559,167,4,12,10,248,0.6733870967741935,1.532258064516129,0.8270681581685745,0.8270681581685745,0.0
KR_like,36,3,6642,64.02441279248671,134.9292973832747,160,5,8,19,241,0.6639004149377593,1.4730290456431536,0.831184036087533,0.831184036087533,0.0
KR_like,36,4,7642,63.80095222924163,133.2134097673078,191,0,1,6,272,0.7022058823529411,1.8345588235294117,0.8441149437716264,0.8441149437716264,0.0
KR_like,36,5,8642,64.32052214810841,134.73348582955515,176,0,2,17,257,0.6848249027237354,1.649805447470817,0.8351526896697905,0.8351526896697905,0.0
KR_like,36,6,9642,64.59919931208094,136.42723105629614,151,5,11,21,232,0.6508620689655172,1.3232758620689655,0.8111437277051129,0.8111437277051129,0.0
KR_like,36,7,10642,65.08392629204783,137.80628916307654,143,8,9,23,222,0.6441441441441441,1.2567567567567568,0.8030801071341613,0.8030801071341613,0.0
