d,N,hubble,rep,R_dS,H2,n_causal_pairs,w_max_ratio,n_layers,layer_ratio,mean_layer_width,layer_width_std,b1_mean,b1_std
4,512,0.0,1,0.0,0.0,23570,0.25390625,7.0,0.013671875,73.14285714285714,32.33498137324596,0.36328125,45.238094723732544
4,512,0.0,2,0.0,0.0,21988,0.255859375,9.0,0.017578125,56.888888888888886,40.15648403280027,0.91015625,43.73736128129572
4,512,0.0,3,0.0,0.0,23248,0.263671875,7.0,0.013671875,73.14285714285714,27.637596398635637,-1.119140625,43.275772045527674
4,512,0.0,4,0.0,0.0,22711,0.259765625,7.0,0.013671875,73.14285714285714,28.989794122506392,-1.986328125,47.819584938650756
4,512,0.0,5,0.0,0.0,22080,0.26171875,7.0,0.013671875,73.14285714285714,29.84928126164405,-3.755859375,44.4833730002596
4,512,0.0,6,0.0,0.0,22711,0.2578125,7.0,0.013671875,73.14285714285714,29.60901682851054,-2.728515625,44.32231167097595
4,512,0.0,7,0.0,0.0,22074,0.255859375,7.0,0.013671875,73.14285714285714,31.606638414053695,-0.447265625,42.05726602307494
4,512,0.0,8,0.0,0.0,22757,0.251953125,7.0,0.013671875,73.14285714285714,35.546462839615465,1.982421875,44.77467113653122
4,512,0.0,9,0.0,0.0,22433,0.259765625,7.0,0.013671875,73.14285714285714,32.686513476743066,1.005859375,40.70259374465864
4,512,0.0,10,0.0,0.0,22056,0.251953125,7.0,0.013671875,73.14285714285714,29.342453746009973,0.369140625,42.24780949438651
4,512,0.0,11,0.0,0.0,22012,0.271484375,7.0,0.013671875,73.14285714285714,35.02418989143104,2.865234375,43.39867197105596
4,512,0.0,12,0.0,0.0,22114,0.263671875,8.0,0.015625,64.0,34.55792239125495,2.44921875,41.70953034097421
4,512,0.0,13,0.0,0.0,21579,0.2578125,7.0,0.013671875,73.14285714285714,32.30404031089863,0.06640625,36.58230612550227
4,512,0.0,14,0.0,0.0,23392,0.259765625,7.0,0.013671875,73.14285714285714,35.518319504280655,2.42578125,43.777071528108735
4,512,0.0,15,0.0,0.0,22763,0.2578125,7.0,0.013671875,73.14285714285714,33.4511523244975,0.033203125,43.489008029932
4,512,0.25,0,0.75,0.0625,16213,0.330078125,7.0,0.013671875,73.14285714285714,40.325208604291085,-0.228515625,38.184386730496676
4,512,0.25,1,0.75,0.0625,17924,0.341796875,7.0,0.013671875,73.14285714285714,40.40660685520402,1.8828125,40.850885679992835
4,512,0.25,2,0.75,0.0625,16654,0.30859375,7.0,0.013671875,73.14285714285714,26.951960286133293,-1.7890625,39.29757314861941
4,512,0.25,3,0.75,0.0625,17539,0.318359375,7.0,0.013671875,73.14285714285714,42.15423575201826,0.03515625,38.98074863362793
4,512,0.25,4,0.75,0.0625,15941,0.3125,7.0,0.013671875,73.14285714285714,37.15384452873358,0.646484375,35.23229313893549
4,512,0.25,5,0.75,0.0625,16086,0.3515625,6.0,0.01171875,85.33333333333333,35.35376767600433,2.3828125,41.31928293290971
4,512,0.25,6,0.75,0.0625,16462,0.33984375,6.0,0.01171875,85.33333333333333,35.34905310691583,1.251953125,38.66246408336906
4,512,0.25,7,0.75,0.0625,17291,0.3359375,7.0,0.013671875,73.14285714285714,34.44012846926666,1.240234375,44.06217755138832
4,512,0.25,8,0.75,0.0625,16289,0.314453125,7.0,0.013671875,73.14285714285714,30.605455029308427,0.2265625,36.44204835329092
4,512,0.25,9,0.75,0.0625,16179,0.32421875,7.0,0.013671875,73.14285714285714,42.56903157201948,-0.154296875,41.19325667629794
4,512,0.25,10,0.75,0.0625,17021,0.326171875,6.0,0.01171875,85.33333333333333,27.59629604775894,3.439453125,42.543317149417575
4,512,0.25,11,0.75,0.0625,17043,0.345703125,7.0,0.013671875,73.14285714285714,41.97764225131745,-2.65625,42.236950185086755
4,512,0.25,12,0.75,0.0625,17276,0.314453125,7.0,0.013671875,73.14285714285714,37.33412292653836,-4.01953125,41.36904707665229
4,512,0.25,13,0.75,0.0625,15883,0.3359375,6.0,0.01171875,85.33333333333333,31.7787490139069,0.115234375,40.461261401046535
4,512,0.25,14,0.75,0.0625,16789,0.3125,7.0,0.013671875,73.14285714285714,33.27130282746281,1.13671875,38.3404371451787
4,512,0.25,15,0.75,0.0625,16683,0.328125,7.0,0.013671875,73.14285714285714,34.186165002103124,-0.412109375,43.06907707669201
4,512,0.5,0,3.0,0.25,9699,0.39453125,6.0,0.01171875,85.33333333333333,52.90137574350553,0.79296875,31.543498447564808
