d,N,hubble,rep,R_dS,log_H,log_H_std,n_causal,order_frac,log_H_per_N,log_H_per_NlogN
2,64,0.0,4,0.0,105.49379279549821,5.0964589030913805,995,0.4935515873015873,1.6483405124296595,0.3963421138297738
2,64,0.2,0,0.08000000000000002,111.55839048400445,5.674402196912074,946,0.46924603174603174,1.7430998513125695,0.4191269185438223
2,64,0.2,1,0.08000000000000002,103.7308353333675,5.784389543668256,1010,0.5009920634920635,1.620794302083867,0.38971865031958064
2,64,0.2,2,0.08000000000000002,105.83627014319326,6.356947007063794,960,0.47619047619047616,1.6536917209873947,0.39762880750460833
2,64,0.2,3,0.08000000000000002,103.18046107400167,5.534783404636854,987,0.4895833333333333,1.612194704281276,0.38765088413567433
2,64,0.2,4,0.08000000000000002,106.70181802013731,6.598994364117502,939,0.46577380952380953,1.6672159065646455,0.4008806867486686
2,64,0.5,0,0.5,108.89462810013868,6.45158083323597,874,0.43353174603174605,1.7014785640646668,0.4091191144258282
2,64,0.5,1,0.5,109.32571386489921,8.05018959865409,919,0.4558531746031746,1.7082142791390502,0.4107387115482706
2,64,0.5,2,0.5,105.2817063412279,6.214280140371288,865,0.4290674603174603,1.645026661581686,0.3955453011323376
2,64,0.5,3,0.5,108.47212696690484,5.660521522385142,830,0.4117063492063492,1.694876983857888,0.4075317699214365
2,64,0.5,4,0.5,109.61131252720989,6.039158055670242,791,0.3923611111111111,1.7126767582376545,0.41181171095920843
2,64,1.0,0,2.0,113.86531844444947,6.595554999721547,698,0.3462301587301587,1.779145600694523,0.4277940891902341
2,64,1.0,1,2.0,116.16378787167848,6.32416134229449,710,0.3521825396825397,1.8150591854949762,0.4364294809722606
2,64,1.0,2,2.0,115.44324331249733,6.679159890712511,698,0.3462301587301587,1.8038006767577708,0.43372238185176537
2,64,1.0,3,2.0,118.4272715368362,6.102767000512855,614,0.30456349206349204,1.8504261177630656,0.4449334306046987
2,64,1.0,4,2.0,120.03023338455047,6.707252258226124,649,0.3219246031746032,1.875472396633601,0.45095578765790595
2,64,2.0,0,8.0,142.38695215021696,8.962186108501777,325,0.16121031746031747,2.22479612734714,0.5349503899854483
2,64,2.0,1,8.0,131.37736194289357,7.581776814041992,444,0.22023809523809523,2.052771280357712,0.4935871577085599
2,64,2.0,2,8.0,146.47318925560117,7.008406782686563,332,0.16468253968253968,2.2886435821187683,0.5503024577141834
2,64,2.0,3,8.0,139.89785627537051,7.345348936696992,379,0.18799603174603174,2.1859040043026643,0.5255988111444636
2,64,2.0,4,8.0,140.48494431336218,9.655377698027861,403,0.19990079365079366,2.195077254896284,0.527804511667838
2,96,0.0,0,0.0,170.6719023635553,7.574523404540585,2335,0.5120614035087719,1.7778323162870342,0.38950409603069874
2,96,0.0,1,0.0,172.957246002295,7.917902138235114,2217,0.4861842105263158,1.8016379791905728,0.39471966283343274
2,96,0.0,2,0.0,168.7892964827681,7.292955911014077,2238,0.49078947368421055,1.7582218383621677,0.3852076495059738
2,96,0.0,3,0.0,171.3080985274331,8.657551597829405,2232,0.48947368421052634,1.7844593596607614,0.3909560105419788
2,96,0.0,4,0.0,170.72796717685895,8.037083061075244,2256,0.49473684210526314,1.7784163247589475,0.389632046057168
2,96,0.2,0,0.08000000000000002,177.02724241732324,7.580730959567145,2050,0.44956140350877194,1.8440337751804503,0.40400812949097836
2,96,0.2,1,0.08000000000000002,182.41196283360492,7.672589849438697,1862,0.4083333333333333,1.9001246128500513,0.41629703369299603
2,96,0.2,2,0.08000000000000002,173.70037772341436,7.083305340218575,2026,0.4442982456140351,1.8093789346188995,0.3964156235935687
2,96,0.2,3,0.08000000000000002,179.5859477992426,9.834644710936853,2005,0.43969298245614036,1.8706869562421105,0.40984755714715126
2,96,0.2,4,0.08000000000000002,173.33127687544274,7.680545372574483,2125,0.46600877192982454,1.8055341341191953,0.39557326881728505
2,96,0.5,0,0.5,179.26391363820915,8.520874827232598,1781,0.3905701754385965,1.8673324337313453,0.4091126170483578
2,96,0.5,1,0.5,183.0866701089411,8.287525379202211,1758,0.38552631578947366,1.907152813634803,0.41783683751381095
2,96,0.5,2,0.5,183.64825829207197,9.348903000185244,1839,0.40328947368421053,1.9130026905424165,0.41911848314254463
2,96,0.5,3,0.5,181.34769377145443,9.690106102582757,1793,0.3932017543859649,1.8890384767859836,0.41386817953923294
2,96,0.5,4,0.5,186.0857838070585,9.07432403583006,1682,0.368859649122807,1.938393581323526,0.42468135646333405
2,96,1.0,0,2.0,202.928432750886,10.531664783377522,1439,0.3155701754385965,2.1138378411550627,0.46311932229589153
2,96,1.0,1,2.0,205.22113605150844,8.866373033706381,1322,0.2899122807017544,2.137720167203213,0.46835168517583
2,96,1.0,2,2.0,203.30570064847066,10.196305251529106,1211,0.2655701754385965,2.117767715088236,0.46398031575395415
2,96,1.0,3,2.0,194.7470606769076,10.24798070010889,1536,0.3368421052631579,2.028615215384454,0.444447954075142
2,96,1.0,4,2.0,199.08431212836993,10.084656167745859,1327,0.29100877192982455,2.0737949180038533,0.4543463449787663
2,96,2.0,0,8.0,231.56404184583053,13.711814409249056,755,0.16557017543859648,2.412125435894068,0.5284709524139873
2,96,2.0,1,8.0,223.09014120271002,10.525385852606782,822,0.18026315789473685,2.3238556375282293,0.5091319811823793
2,96,2.0,2,8.0,233.07251876762655,10.960132079994995,677,0.14846491228070174,2.4278387371627765,0.5319135691052559
2,96,2.0,3,8.0,241.90413276417772,12.781997413839097,662,0.14517543859649124,2.5198347162935177,0.5520689067945912
2,96,2.0,4,8.0,228.89254074564914,10.314174230401274,718,0.15745614035087718,2.3842972994338454,0.522374104563457
2,128,0.0,0,0.0,240.54094552746582,8.971289212102196,4124,0.5073818897637795,1.8792261369333267,0.3873071754946621
2,128,0.0,1,0.0,245.2607145865153,10.149390910766968,4194,0.515994094488189,1.9160993327071507,0.3949067150210369
2,128,0.0,2,0.0,239.43887802153927,8.579714801395841,4207,0.5175935039370079,1.8706162345432755,0.38553268071171
2,128,0.0,3,0.0,242.9302960571505,9.870126555238617,4413,0.5429379921259843,1.8978929379464884,0.39115438995908347
2,128,0.0,4,0.0,246.87070805411264,9.038427564505255,4141,0.5094734251968503,1.928677406672755,0.3974990471544815
2,128,0.2,0,0.08000000000000002,241.8741957042818,8.943256624528702,3945,0.48535925196850394,1.8896421539397015,0.38945390922050666
2,128,0.2,1,0.08000000000000002,246.10382007329525,9.344340178261987,3985,0.4902805118110236,1.9226860943226192,0.39626424192363036
2,128,0.2,2,0.08000000000000002,239.8518048594773,10.098375093279637,3895,0.47920767716535434,1.8738422254646665,0.38619755515517334
2,128,0.2,3,0.08000000000000002,250.7042012798233,9.83738021520145,3823,0.4703494094488189,1.9586265724986196,0.40367154901387237
2,128,0.2,4,0.08000000000000002,258.92380139562897,10.85934379281611,3484,0.4286417322834646,2.0228421984033513,0.41690634401963483
2,128,0.5,0,0.5,252.78638403400026,12.490951617589927,3658,0.4500492125984252,1.974893625265627,0.4070241770648496
2,128,0.5,1,0.5,265.1522660603163,11.260998410135915,3238,0.3983759842519685,2.0715020785962213,0.42693511085456404
2,128,0.5,2,0.5,253.84544069049338,10.224769273232562,3309,0.40711122047244097,1.9831675053944795,0.40872941789782175
2,128,0.5,3,0.5,262.7889427920199,11.430085317313157,3570,0.4392224409448819,2.0530386155626554,0.42312980420368373
2,128,0.5,4,0.5,261.4967894855089,10.537223639255629,3470,0.4269192913385827,2.042943667855538,0.4210492426329564
2,128,1.0,0,2.0,267.603428348347,12.158664533345512,2495,0.30696358267716534,2.090651783971461,0.43088185156589875
2,128,1.0,1,2.0,269.55271957951874,10.627902928206252,2608,0.32086614173228345,2.10588062171499,0.4340205042360548
2,128,1.0,2,2.0,285.8947752402657,11.358724353964712,2373,0.2919537401574803,2.2335529315645757,0.46033367684731713
2,128,1.0,3,2.0,287.6965820179363,11.870090226158869,2721,0.33476870078740156,2.2476295470151273,0.46323485731917596
2,128,1.0,4,2.0,284.31216625076104,13.9595117403552,2539,0.312376968503937,2.2211887988340706,0.457785437850861
2,128,2.0,0,8.0,324.66532602738204,14.077303189234835,1424,0.17519685039370078,2.536447859588922,0.5227601069289092
2,128,2.0,1,8.0,324.8475260590186,13.47111044148659,1359,0.1671998031496063,2.537871297336083,0.5230534764401724
2,128,2.0,2,8.0,302.77912751157965,15.629530829660752,1887,0.23216043307086615,2.365461933684216,0.48752002873397665
2,128,2.0,3,8.0,317.9333967440892,12.603291949604492,1670,0.20546259842519685,2.4838546620631967,0.5119206861782152
2,128,2.0,4,8.0,321.2893259010278,14.580354562348651,1386,0.1705216535433071,2.5100728586017795,0.5173242379106817
3,32,0.0,0,0.0,55.85894410976414,3.6390082704392617,121,0.2439516129032258,1.7455920034301293,0.5036713853528156
3,32,0.0,1,0.0,58.80892566579515,3.437306691258636,106,0.21370967741935484,1.8377789270560985,0.5302709088628147
3,32,0.0,2,0.0,55.54365799432948,3.050814601456133,144,0.2903225806451613,1.7357393123227962,0.5008284996328235
3,32,0.0,3,0.0,55.008148381908455,3.2474455805017732,144,0.2903225806451613,1.7190046369346392,0.49599989299414743
3,32,0.0,4,0.0,59.31259233388003,2.6877621475947437,121,0.2439516129032258,1.853518510433751,0.5348123926397342
