d,N,hubble,rep,R_dS,R_occupancy,sigma_val,wall_val,alpha_N,R_hat,n_causal_pairs,n_links
2,512,0.5,1,0.5,0.9532272046654583,1.0,3.1622776601683795,3.1622776601683795,23.186280659711638,50756,2374
2,512,0.5,2,0.5,0.9572151656957311,1.0,3.1622776601683795,3.1622776601683795,27.899863344194134,52355,2240
2,512,0.5,3,0.5,0.9564616447823082,1.0,3.1622776601683795,3.1622776601683795,6.334416316106951,54986,2394
2,512,0.5,4,0.5,0.9568087055699942,1.0,3.1622776601683795,3.1622776601683795,1.969196997425895,53483,2310
2,512,1.0,0,2.0,0.9454982570020435,1.0,3.1622776601683795,3.1622776601683795,124.6951383509359,41595,2267
2,512,1.0,1,2.0,0.9496682842206438,1.0,3.1622776601683795,3.1622776601683795,120.06301229854225,42657,2147
2,512,1.0,2,2.0,0.9457210016310084,1.0,3.1622776601683795,3.1622776601683795,166.0102338797851,41692,2263
2,512,1.0,3,2.0,0.9462107811190764,1.0,3.1622776601683795,3.1622776601683795,129.3970393960481,42964,2311
2,512,1.0,4,2.0,0.9485314685314685,1.0,3.1622776601683795,3.1622776601683795,102.10807566655065,42900,2208
2,512,2.0,0,8.0,0.9256133770901703,1.0,3.1622776601683795,3.1622776601683795,1398.3350947925635,25596,1904
2,512,2.0,1,8.0,0.9215817135229832,1.0,3.1622776601683795,3.1622776601683795,1765.0180058587064,23974,1880
2,512,2.0,2,8.0,0.9126899493468409,1.0,3.1622776601683795,3.1622776601683795,1856.4780283834293,22506,1965
2,512,2.0,3,8.0,0.9178117156591654,1.0,3.1622776601683795,3.1622776601683795,1592.4590959198636,23507,1932
2,512,2.0,4,8.0,0.9104652170146409,1.0,3.1622776601683795,3.1622776601683795,1343.1213675710624,23086,2067
2,1024,0.0,0,0.0,0.978510608023605,1.0,2.23606797749979,2.23606797749979,4.050785421914194,267062,5739
2,1024,0.0,1,0.0,0.9781803039766812,1.0,2.23606797749979,2.23606797749979,2.901660994916418,264165,5764
2,1024,0.0,2,0.0,0.978309943940705,1.0,2.23606797749979,2.23606797749979,0.26109718339212373,265790,5765
2,1024,0.0,3,0.0,0.9779073705683353,1.0,2.23606797749979,2.23606797749979,5.360535828226894,256873,5675
2,1024,0.0,4,0.0,0.978031503008779,1.0,2.23606797749979,2.23606797749979,2.0337260050124195,260737,5728
2,1024,0.25,0,0.125,0.9770229729004782,1.0,2.23606797749979,2.23606797749979,-3.549825090222901,242329,5568
2,1024,0.25,1,0.125,0.9764020092192571,1.0,2.23606797749979,2.23606797749979,2.6440299288213787,241885,5708
2,1024,0.25,2,0.125,0.977193129451194,1.0,2.23606797749979,2.23606797749979,-2.150195580150362,238700,5444
2,1024,0.25,3,0.125,0.9763152091144002,1.0,2.23606797749979,2.23606797749979,-4.306893444581013,240323,5692
2,1024,0.25,4,0.125,0.9763137366144246,1.0,2.23606797749979,2.23606797749979,-7.255807660275139,239717,5678
2,1024,0.5,0,0.5,0.975023558279919,1.0,2.23606797749979,2.23606797749979,4.757160738225816,214362,5354
2,1024,0.5,1,0.5,0.9739122640663845,1.0,2.23606797749979,2.23606797749979,4.181136053342021,211977,5530
2,1024,0.5,2,0.5,0.974598234999133,1.0,2.23606797749979,2.23606797749979,11.6525789937096,213371,5420
2,1024,0.5,3,0.5,0.9753738352178557,1.0,2.23606797749979,2.23606797749979,11.42124747517596,217208,5349
2,1024,0.5,4,0.5,0.9754849249825782,1.0,2.23606797749979,2.23606797749979,11.52050777057799,216683,5312
2,1024,1.0,0,2.0,0.9685555494008383,1.0,2.23606797749979,2.23606797749979,168.32995409125616,162477,5109
2,1024,1.0,1,2.0,0.9692508995747465,1.0,2.23606797749979,2.23606797749979,124.61949791843361,168135,5170
2,1024,1.0,2,2.0,0.9699318905599851,1.0,2.23606797749979,2.23606797749979,102.17377898039548,172076,5174
2,1024,1.0,3,2.0,0.9698347443356676,1.0,2.23606797749979,2.23606797749979,105.07737964205752,172218,5195
2,1024,1.0,4,2.0,0.9700511737009206,1.0,2.23606797749979,2.23606797749979,59.389198957410166,176067,5273
2,1024,2.0,0,8.0,0.9509995746490855,1.0,2.23606797749979,2.23606797749979,1743.7933056582963,94040,4608
2,1024,2.0,1,8.0,0.9491110694721527,1.0,2.23606797749979,2.23606797749979,2044.9193344370472,90727,4617
2,1024,2.0,2,8.0,0.951022474398591,1.0,2.23606797749979,2.23606797749979,1487.0792562570339,94819,4644
2,1024,2.0,3,8.0,0.9506873461666613,1.0,2.23606797749979,2.23606797749979,1647.0876329128705,93039,4588
2,1024,2.0,4,8.0,0.9507016306464687,1.0,2.23606797749979,2.23606797749979,1452.0332092122783,94993,4683
3,64,0.0,0,0.0,0.586021505376344,0.9999999998132842,8.944271908329123,8.94427190999916,-63.61073983855459,744,308
3,64,0.0,1,0.0,0.48070175438596496,0.9999997908297176,8.944270039123278,8.94427190999916,-61.21020364561758,570,296
3,64,0.0,2,0.0,0.5532286212914486,0.9999999983379955,8.944271895133738,8.94427190999916,152.06566238305527,573,256
3,64,0.0,3,0.0,0.571900826446281,0.9999999995213518,8.944271905717999,8.94427190999916,-21.383441432338053,605,259
3,64,0.0,4,0.0,0.5712187958883994,0.9999999994990858,8.944271905518846,8.94427190999916,-17.38376595430938,681,292
3,64,0.25,0,0.375,0.40897097625329815,0.9999750363563988,8.944048628382927,8.94427190999916,-101.69969624156994,379,224
3,64,0.25,1,0.375,0.49480249480249483,0.999999918296288,8.944271179218942,8.94427190999916,9.308089952619389,481,243
3,64,0.25,2,0.375,0.5854922279792747,0.9999999998065783,8.944271908269142,8.94427190999916,-12.566054197229949,579,240
3,64,0.25,3,0.375,0.47344110854503463,0.9999996605958452,8.944268874276112,8.94427190999916,4.824590701513658,433,228
3,64,0.25,4,0.375,0.5040322580645161,0.9999999558416552,8.944271515034917,8.94427190999916,3.4452960886554624,496,246
3,64,0.5,0,1.5,0.47073170731707314,0.9999995934047269,8.944268273300478,8.94427190999916,5.853261314854749,410,217
3,64,0.5,1,1.5,0.5267665952890792,0.9999999902996742,8.944271823236807,8.94427190999916,-10.662627166036282,467,221
3,64,0.5,2,1.5,0.39622641509433965,0.9999416170146688,8.94374971670344,8.94427190999916,-57.72115983034482,371,224
3,64,0.5,3,1.5,0.49104859335038364,0.9999998950630694,8.944270971414719,8.94427190999916,70.98388861622071,391,199
3,64,0.5,4,1.5,0.45789473684210524,0.9999990431795489,8.944263351936875,8.94427190999916,42.86944402386005,380,206
3,64,1.0,0,6.0,0.42400000000000004,0.9999908339962802,8.94418992676956,8.94427190999916,-108.30193483241878,250,144
3,64,1.0,1,6.0,0.2893401015228426,0.9323066246484032,8.338803954348842,8.94427190999916,-37.03591883016299,197,140
3,64,1.0,2,6.0,0.17721518987341767,0.007749704505840944,0.06931546432238707,8.94427190999916,-111.38610655280502,158,130
3,64,1.0,3,6.0,0.17105263157894735,0.005152241302552751,0.04608304715596005,8.94427190999916,-1.0148866572848025,152,126
3,64,1.0,4,6.0,0.36458333333333337,0.9995188685960458,8.939968539897754,8.94427190999916,-93.48429469918803,192,122
3,64,2.0,0,24.0,0.0,5.7777481855953726e-08,5.16777507994693e-07,8.94427190999916,-0.0,35,35
3,64,2.0,1,24.0,0.10869565217391308,8.105594892163871e-05,0.0007249864470781398,8.94427190999916,-388.4661336558669,46,41
3,64,2.0,2,24.0,0.09090909090909094,2.476484697035212e-05,0.00022150352511234825,8.94427190999916,-273.17450652236613,44,40
3,64,2.0,3,24.0,0.07017543859649122,6.216457731108603e-06,5.560168826405178e-05,8.94427190999916,-65.04638009933683,57,53
3,64,2.0,4,24.0,0.1568627450980392,0.002006909599189278,0.01795034515393633,8.94427190999916,-1276.1240507769203,51,43
3,128,0.0,0,0.0,0.6528716216216216,0.999999999997834,6.32455532032306,6.324555320336759,-19.87833677110752,2368,822
3,128,0.0,1,0.0,0.6798531810766721,0.9999999999996416,6.324555320334492,6.324555320336759,-30.7849196530911,2452,785
3,128,0.0,2,0.0,0.6649305555555556,0.9999999999990306,6.324555320330628,6.324555320336759,-33.6043448959763,2304,772
3,128,0.0,3,0.0,0.6649087221095334,0.9999999999990292,6.324555320330619,6.324555320336759,-31.013821276135772,2465,826
