scope,alpha,focus_family,control_family,win_rate_focus_vs_control,mean_score_focus,mean_score_control,mean_gap_control_minus_focus
28,-4.0,Lor4D,KR_like,1.0,-125.8365699255389,-98.1446742478494,27.6918956776895
28,-3.75,Lor4D,KR_like,1.0,-125.78648620738754,-97.96671109206369,27.81977511532385
28,-3.5,Lor4D,KR_like,1.0,-125.73640248923621,-97.78874793627801,27.947654552958205
28,-3.25,Lor4D,KR_like,1.0,-125.68631877108487,-97.61078478049232,28.07553399059256
28,-3.0,Lor4D,KR_like,1.0,-125.63623505293353,-97.43282162470663,28.20341342822691
28,-2.75,Lor4D,KR_like,1.0,-125.58615133478219,-97.25485846892093,28.33129286586126
28,-2.5,Lor4D,KR_like,1.0,-125.53606761663085,-97.07689531313522,28.459172303495613
28,-2.25,Lor4D,KR_like,1.0,-125.4859838984795,-96.89893215734953,28.58705174112996
28,-2.0,Lor4D,KR_like,1.0,-125.43590018032815,-96.72096900156384,28.714931178764317
28,-1.75,Lor4D,KR_like,1.0,-125.38581646217682,-96.54300584577814,28.842810616398666
28,-1.5,Lor4D,KR_like,1.0,-125.33573274402548,-96.36504268999245,28.970690054033025
28,-1.25,Lor4D,KR_like,1.0,-125.28564902587414,-96.18707953420676,29.098569491667376
28,-1.0,Lor4D,KR_like,1.0,-125.2355653077228,-96.00911637842106,29.22644892930173
28,-0.75,Lor4D,KR_like,1.0,-125.18548158957145,-95.83115322263536,29.354328366936077
28,-0.5,Lor4D,KR_like,1.0,-125.1353978714201,-95.65319006684967,29.48220780457043
28,-0.25,Lor4D,KR_like,1.0,-125.08531415326877,-95.47522691106397,29.610087242204784
28,0.0,Lor4D,KR_like,1.0,-125.03523043511743,-95.29726375527828,29.73796667983914
28,0.25,Lor4D,KR_like,1.0,-124.98514671696609,-95.11930059949259,29.865846117473488
28,0.5,Lor4D,KR_like,1.0,-124.93506299881474,-94.9413374437069,29.993725555107844
28,0.75,Lor4D,KR_like,1.0,-124.8849792806634,-94.76337428792121,30.1216049927422
28,1.0,Lor4D,KR_like,1.0,-124.83489556251206,-94.5854111321355,30.249484430376544
28,1.25,Lor4D,KR_like,1.0,-124.78481184436072,-94.40744797634981,30.377363868010892
28,1.5,Lor4D,KR_like,1.0,-124.73472812620936,-94.22948482056412,30.505243305645244
28,1.75,Lor4D,KR_like,1.0,-124.68464440805803,-94.05152166477842,30.633122743279607
28,2.0,Lor4D,KR_like,1.0,-124.63456068990668,-93.87355850899273,30.76100218091396
28,2.25,Lor4D,KR_like,1.0,-124.58447697175535,-93.69559535320704,30.88888161854831
28,2.5,Lor4D,KR_like,1.0,-124.53439325360401,-93.51763219742135,31.016761056182663
28,2.75,Lor4D,KR_like,1.0,-124.48430953545265,-93.33966904163564,31.14464049381701
28,3.0,Lor4D,KR_like,1.0,-124.43422581730132,-93.16170588584995,31.272519931451363
28,3.25,Lor4D,KR_like,1.0,-124.38414209914997,-92.98374273006426,31.40039936908571
28,3.5,Lor4D,KR_like,1.0,-124.33405838099864,-92.80577957427857,31.528278806720067
28,3.75,Lor4D,KR_like,1.0,-124.2839746628473,-92.62781641849287,31.656158244354422
28,4.0,Lor4D,KR_like,1.0,-124.23389094469596,-92.44985326270717,31.784037681988767
28,4.25,Lor4D,KR_like,1.0,-124.1838072265446,-92.27189010692148,31.911917119623126
28,4.5,Lor4D,KR_like,1.0,-124.13372350839325,-92.09392695113578,32.039796557257475
28,4.75,Lor4D,KR_like,1.0,-124.08363979024192,-91.9159637953501,32.16767599489182
28,5.0,Lor4D,KR_like,1.0,-124.03355607209058,-91.73800063956439,32.295555432526186
28,5.25,Lor4D,KR_like,1.0,-123.98347235393925,-91.5600374837787,32.42343487016054
28,5.5,Lor4D,KR_like,1.0,-123.9333886357879,-91.38207432799301,32.55131430779488
28,5.75,Lor4D,KR_like,1.0,-123.88330491763655,-91.20411117220732,32.67919374542924
28,6.0,Lor4D,KR_like,1.0,-123.83322119948521,-91.02614801642162,32.80707318306359
28,6.25,Lor4D,KR_like,1.0,-123.78313748133387,-90.84818486063593,32.93495262069794
28,6.5,Lor4D,KR_like,1.0,-123.73305376318254,-90.67022170485022,33.0628320583323
