d,N,hubble,rep,R_dS,R_hat,n_causal_pairs,bd_ratio,occupancy_R,S1_c1_over_c0,S2_c2_over_c1,S3_c2_over_c0,S4_nonlink_low,S5_log_curvature,S6_log_concavity,S7_depth_over_linkfrac,S8_bdg_d2c_shape,S9_gini,S10_kl_vs_flat,S11_link_frac,S12_bdg_d2c_intensive,S13_c3_over_c2,S14_geo_mean_ratio,S15_ratio_of_ratios,C0,C1,C2,C3,C4,total_pairs
2,256,0.500000,3,0.500000,23.738339,13128,17.740186,0.926569,0.797718,0.788036,0.628631,0.587858,1.012286,0.012211,247.118257,-0.523438,0.572314,-0.350452,0.073431,-0.002045,0.922442,0.833895,0.987864,964,769,606,559,528,13128
2,256,0.500000,4,0.500000,26.193358,12711,17.687290,0.924947,0.827044,0.821293,0.679245,0.601004,1.007003,0.006978,241.462264,-0.289062,0.620789,-0.354207,0.075053,-0.001129,0.854938,0.834297,0.993046,954,789,648,554,523,12711
2,256,0.500000,5,0.500000,13.995231,13044,18.034087,0.921420,0.714146,0.837432,0.598049,0.567511,0.852782,-0.159252,236.345366,-1.289062,0.619532,-0.353821,0.078580,-0.005035,1.022838,0.848883,1.172633,1025,732,613,627,550,13044
2,256,0.500000,6,0.500000,7.011569,13475,18.002047,0.926902,0.724873,0.932773,0.676142,0.583510,0.777116,-0.252165,252.013198,-1.117188,0.598559,-0.349721,0.073098,-0.004364,0.891892,0.844857,1.286809,985,714,666,594,529,13475
2,256,0.500000,7,0.500000,16.850743,13505,17.790629,0.926027,0.739740,0.909337,0.672673,0.585477,0.813494,-0.206417,246.196196,-1.031250,0.607066,-0.348788,0.073973,-0.004028,0.811012,0.817103,1.229266,999,739,672,545,506,13505
2,256,1.000000,0,2.000000,206.073317,10181,13.587430,0.907278,0.734110,0.929293,0.682203,0.586146,0.789966,-0.235765,150.730932,-0.960938,0.598573,-0.363961,0.092722,-0.003754,0.798137,0.816577,1.265877,944,693,644,514,445,10181
2,256,1.000000,1,2.000000,82.169994,10912,13.900899,0.914315,0.837433,0.779055,0.652406,0.598368,1.074935,0.072260,165.764706,-0.187500,0.574735,-0.361793,0.085685,-0.000732,0.845902,0.820250,0.930289,935,783,610,516,486,10912
2,256,1.000000,2,2.000000,145.756889,10842,13.693833,0.915975,0.792536,0.778393,0.616905,0.584966,1.018169,0.018006,166.021954,-0.476562,0.593410,-0.360290,0.084025,-0.001862,0.937722,0.833228,0.982156,911,722,562,527,492,10842
2,256,1.000000,3,2.000000,89.977535,10550,13.815317,0.909668,0.725079,0.882779,0.640084,0.577196,0.821360,-0.196794,157.056663,-1.046875,0.581232,-0.363767,0.090332,-0.004089,0.903279,0.833079,1.217493,953,691,610,551,515,10550
2,256,1.000000,4,2.000000,128.520969,10762,13.739999,0.910983,0.745303,0.892157,0.664927,0.585102,0.835394,-0.179852,158.201461,-0.906250,0.584217,-0.362151,0.089017,-0.003540,0.819466,0.816774,1.197040,958,714,637,522,463,10762
2,256,1.000000,5,2.000000,229.370147,10839,14.541646,0.916505,0.798895,0.820194,0.655249,0.592526,0.974032,-0.026311,178.051934,-0.421875,0.625673,-0.360939,0.083495,-0.001648,0.947723,0.853158,1.026660,905,723,593,562,464,10839
2,256,1.000000,6,2.000000,79.559645,10566,13.697715,0.907723,0.733333,0.865734,0.634872,0.577739,0.847065,-0.165978,152.694359,-1.031250,0.552131,-0.364077,0.092277,-0.004028,0.869144,0.820212,1.180547,975,715,619,538,498,10566
2,256,1.000000,7,2.000000,97.673416,10817,14.079547,0.909494,0.713994,0.884120,0.631256,0.573606,0.807576,-0.213719,159.996936,-1.187500,0.590134,-0.362972,0.090506,-0.004639,0.894822,0.826636,1.238274,979,699,618,553,502,10817
2,256,2.000000,0,8.000000,1450.906036,5586,7.033353,0.848908,0.704976,0.751261,0.529621,0.552492,0.938391,-0.063588,48.216825,-0.945312,0.620785,-0.351655,0.151092,-0.003693,0.919463,0.786743,1.065654,844,595,447,411,359,5586
2,256,2.000000,1,8.000000,1183.570629,6359,8.398211,0.868376,0.673835,0.900709,0.606930,0.561551,0.748116,-0.290197,65.878136,-1.132812,0.563779,-0.362378,0.131624,-0.004425,0.885827,0.813134,1.336691,837,564,508,450,360,6359
2,256,2.000000,2,8.000000,1053.005936,5723,7.166639,0.854971,0.742169,0.712662,0.528916,0.559682,1.041403,0.040569,50.902410,-0.671875,0.585785,-0.354285,0.145029,-0.002625,0.965831,0.799397,0.960243,830,616,439,424,344,5723
2,256,2.000000,3,8.000000,1255.352102,5715,7.054481,0.860192,0.732165,0.818803,0.599499,0.571122,0.894189,-0.111838,51.506884,-0.671875,0.547326,-0.355773,0.139808,-0.002625,0.891441,0.811510,1.118332,799,585,479,427,359,5715
2,256,2.000000,4,8.000000,1600.828252,5769,7.158816,0.853007,0.670991,0.878735,0.589623,0.557642,0.763587,-0.269728,50.291274,-1.179688,0.595677,-0.355154,0.146993,-0.004608,0.762000,0.765908,1.309608,848,569,500,381,356,5769
2,256,2.000000,5,8.000000,1207.684215,5828,7.512310,0.857927,0.700483,0.806897,0.565217,0.558635,0.868120,-0.141425,54.594203,-0.937500,0.587440,-0.357418,0.142073,-0.003662,0.848291,0.782684,1.151914,828,580,468,397,370,5828
2,256,2.000000,6,8.000000,1713.888812,5611,7.360567,0.859918,0.763359,0.785000,0.599237,0.576737,0.972432,-0.027956,53.965649,-0.453125,0.587189,-0.355085,0.140082,-0.001770,0.832272,0.793027,1.028350,786,600,471,392,358,5611
2,256,2.000000,7,8.000000,1207.448474,6697,8.253554,0.875019,0.726404,0.787829,0.572282,0.564969,0.922032,-0.081175,67.469534,-0.789062,0.612010,-0.364681,0.124981,-0.003082,0.931106,0.810718,1.084561,837,608,479,446,401,6697
2,512,0.000000,0,0.000000,-0.467399,63017,45.838272,0.962407,0.791895,0.877399,0.694808,0.597861,0.902549,-0.102532,1240.357113,-0.925781,0.625070,-0.274695,0.037593,-0.001808,0.919198,0.861175,1.107973,2369,1876,1646,1513,1382,63017
2,512,0.000000,1,0.000000,-6.182220,64292,45.994133,0.961908,0.765210,0.900747,0.689261,0.592580,0.849528,-0.163074,1229.017150,-1.246094,0.589208,-0.274172,0.038092,-0.002434,0.872630,0.844121,1.177124,2449,1874,1688,1473,1447,64292
2,512,0.000000,2,0.000000,5.860234,65090,47.190786,0.963789,0.796351,0.884390,0.704285,0.600102,0.900453,-0.104858,1324.550700,-0.875000,0.605016,-0.270773,0.036211,-0.001709,0.912048,0.862824,1.110553,2357,1877,1660,1514,1408,65090
2,512,0.000000,3,0.000000,-2.062555,67522,49.706981,0.964293,0.781418,0.867834,0.678142,0.593423,0.900424,-0.104890,1415.625881,-1.058594,0.595333,-0.266902,0.035707,-0.002068,0.957187,0.865843,1.110588,2411,1884,1635,1565,1393,67522
