d,N,hubble,rep,R_dS,R_hat,ratio,flat_prefactor,flat_r2,n_causal_pairs,intercept
3,256,0.5,8,1.5,11.938046707671209,7.958697805114139,0.13037562202977565,0.32206793224322516,5998,0.15688687779756644
3,256,0.5,9,1.5,-0.29899142770435483,-0.1993276184695699,0.11800633715435446,0.33035579761007994,6996,0.11766309679885437
3,256,1.0,0,6.0,94.94040369838234,15.823400616397057,0.15638470848183836,0.2731954120244049,3253,0.2724587145342251
3,256,1.0,1,6.0,25.73627838250835,4.289379730418058,0.16648074037194557,0.2849593011927414,3821,0.20472230315259235
3,256,1.0,2,6.0,106.06731831654105,17.677886386090176,0.16224156508569387,0.24391124907609696,3428,0.2832997784836391
3,256,1.0,3,6.0,12.823730541229784,2.137288423538297,0.1560527618314996,0.2036987985842107,3421,0.18143877328661873
3,256,1.0,4,6.0,15.539859404018143,2.589976567336357,0.16717899703749423,0.2651737352786624,3617,0.19131451725159815
3,256,1.0,5,6.0,27.201796339817363,4.533632723302894,0.17091795948639874,0.2388022185602593,3167,0.20607074897340105
3,256,1.0,6,6.0,21.524840025696225,3.5874733376160375,0.1817541326634859,0.2752515602834208,3991,0.21277573119581525
3,256,1.0,7,6.0,65.00892655319201,10.834821092198668,0.1871355226968362,0.21902551660721337,2909,0.2608684862580647
3,256,1.0,8,6.0,38.39132773049421,6.398554621749035,0.14516741376717116,0.23572581624934374,3785,0.203127616442521
3,256,1.0,9,6.0,42.96457586265545,7.160762643775908,0.1521405206226913,0.22463745689662762,3334,0.2122442082452846
3,256,2.0,0,24.0,168.79504168760997,7.033126736983749,0.11334968745036689,0.14076025026711236,912,0.23239273062695026
3,256,2.0,1,24.0,568.4544744820653,23.685603103419385,0.18512899452466947,0.029152244283329742,567,0.42385869632214374
3,256,2.0,2,24.0,1023.9598828991956,42.664995120799816,0.18532189238513294,0.09650211879078086,761,0.6394611512732371
3,256,2.0,3,24.0,296.91363140764724,12.371401308651969,0.1777872970292273,0.03250903827481588,558,0.2947759445766729
3,256,2.0,4,24.0,2120.590214612047,88.35792560883529,0.30460645903422656,0.17707196870806252,483,0.9606762761670663
3,256,2.0,5,24.0,972.6868001774334,40.52861667405973,0.18928113854103243,0.04123814532375092,582,0.673643046577556
3,256,2.0,6,24.0,598.1468580466887,24.922785751945366,0.10551183491311147,0.05076462273186244,815,0.4212953760530244
3,256,2.0,7,24.0,337.6091468305061,14.067047784604421,0.0874010068560597,0.06804570654420938,717,0.30554956938793787
3,256,2.0,8,24.0,4147.039053221137,172.79329388421402,0.18640371413922624,0.09050108846459903,609,1.7774301224019344
3,256,2.0,9,24.0,604.4212771673307,25.184219881972112,0.1536312967565781,0.14907996902441611,927,0.45888635394754473
3,512,0.0,0,0.0,7.169688782519983,nan,0.25130904695981293,0.8545754159075588,38840,0.26423824491617975
3,512,0.0,1,0.0,26.42637270768987,nan,0.26073364210480005,0.7816935276973542,37427,0.30590488771303714
3,512,0.0,2,0.0,12.754621751587488,nan,0.238443008397834,0.8674980445666174,38677,0.2614107138862015
3,512,0.0,3,0.0,-20.069191270719745,nan,0.25213737656173796,0.8527211354548037,36995,0.22224833338189118
