d,N,H,H_sq,rep,n_causal_pairs,C_0,C_1,C_2,N_2,N_3,N_4,N_5,longest_chain,longest_chain_ratio,N3_over_N2,N4_over_N3,N5_over_N4,N4_over_N2sq,chain_entropy,N2_per_N,N3_per_N,N4_per_N
2,256,0.0,0.0,3,16244,931,763,690,16244.0,392412.0,4770438.0,34683849.0,25.0,0.09765625,24.157350406303866,12.15670774594049,7.270579556845724,0.01807891214021872,0.42382278762114944,63.453125,1532.859375,18634.5234375
2,256,0.0,0.0,4,15804,1038,742,692,15804.0,371963.0,4394491.0,30497456.0,22.0,0.0859375,23.536003543406732,11.81432292996884,6.939929106692903,0.01759440308420008,0.43682547494350854,61.734375,1452.98046875,17165.98046875
2,256,0.0,0.0,5,16991,1004,785,688,16991.0,446586.0,5943670.0,46773120.0,23.0,0.08984375,26.283679595079747,13.30912746928923,7.869400555549013,0.020588125601369706,0.4005397518074477,66.37109375,1744.4765625,23217.4609375
2,256,0.0,0.0,6,16309,943,788,633,16309.0,386912.0,4583851.0,32259395.0,24.0,0.09375,23.723833466184317,11.847270180299397,7.03761858751517,0.017233592788418316,0.4331595730286395,63.70703125,1511.375,17905.66796875
2,256,0.0,0.0,7,16724,1022,797,621,16724.0,405235.0,4794515.0,32811634.0,23.0,0.08984375,24.230746232958623,11.83144348341086,6.8435772961394425,0.017142113406847678,0.44018830470684406,65.328125,1582.94921875,18728.57421875
2,256,0.25,0.0625,0,15134,995,769,685,15134.0,314273.0,3216411.0,19452273.0,22.0,0.0859375,20.76602352319281,10.234449029983486,6.0478194484473535,0.014043135278416474,0.48023100571276156,59.1171875,1227.62890625,12564.10546875
2,256,0.25,0.0625,1,15422,1042,790,614,15422.0,342834.0,3852999.0,25921096.0,22.0,0.0859375,22.230190636752692,11.238672360384326,6.727511738258951,0.016200092664722273,0.44730293423419804,60.2421875,1339.1953125,15050.77734375
2,256,0.25,0.0625,2,15548,1002,836,657,15548.0,344392.0,3796499.0,24748764.0,21.0,0.08203125,22.150244404425006,11.023772329206253,6.518838540455298,0.015704865664436327,0.4563718278173603,60.734375,1345.28125,14830.07421875
2,256,0.25,0.0625,3,14568,977,765,673,14568.0,298253.0,3043823.0,18584074.0,21.0,0.08203125,20.473160351455245,10.205506734215582,6.105504163678374,0.014342323986645521,0.4779456777093245,56.90625,1165.05078125,11889.93359375
2,256,0.25,0.0625,4,14655,1016,753,706,14655.0,311622.0,3294022.0,20291238.0,21.0,0.08203125,21.26386898669396,10.570569471988499,6.160018967693597,0.015337509680457878,0.4734861126706112,57.24609375,1217.2734375,12867.2734375
2,256,0.25,0.0625,5,14707,1029,759,680,14707.0,302676.0,3068227.0,18171292.0,20.0,0.078125,20.580403889304414,10.137001281898796,5.922407957429487,0.014185325396605277,0.4863774996189543,57.44921875,1182.328125,11985.26171875
2,256,0.25,0.0625,6,14625,1005,759,632,14625.0,297831.0,2981757.0,17476549.0,20.0,0.078125,20.36451282051282,10.011573677689697,5.861158035346274,0.013940568923953539,0.4899211268915512,57.12890625,1163.40234375,11647.48828125
2,256,0.25,0.0625,7,15559,982,739,675,15559.0,337824.0,3557707.0,21599015.0,23.0,0.08984375,21.71244938620734,10.531244079757506,6.071049414693228,0.014696259660359314,0.477427175734941,60.77734375,1319.625,13897.29296875
2,256,0.5,0.25,0,13997,990,741,659,13997.0,274608.0,2618197.0,14480194.0,20.0,0.078125,19.619061227405872,9.534307085008448,5.530597582993182,0.013363874720416544,0.5086973441705958,54.67578125,1072.6875,10227.33203125
2,256,0.5,0.25,1,13181,1030,812,596,13181.0,240745.0,2184879.0,11674840.0,19.0,0.07421875,18.2645474546696,9.075490664395938,5.343472109897161,0.012575656620459036,0.5216880729356019,51.48828125,940.41015625,8534.68359375
2,256,0.5,0.25,2,14315,1002,805,636,14315.0,283390.0,2755719.0,15717838.0,21.0,0.08203125,19.796716730702062,9.724122234376654,5.703715799760426,0.013447830480522263,0.49910065921671676,55.91796875,1106.9921875,10764.52734375
2,256,0.5,0.25,3,13226,963,761,637,13226.0,244862.0,2257563.0,12385796.0,22.0,0.0859375,18.51368516558294,9.219736014571472,5.48635674840525,0.012905737931616715,0.5133463126609521,51.6640625,956.4921875,8818.60546875
2,256,0.5,0.25,4,13794,1073,763,649,13794.0,259798.0,2364531.0,12444773.0,18.0,0.0703125,18.8341307814992,9.101421104088562,5.2631041842970125,0.012426950512679487,0.5254785194128394,53.8828125,1014.8359375,9236.44921875
2,256,0.5,0.25,5,13623,982,742,652,13623.0,248932.0,2210179.0,11394672.0,19.0,0.07421875,18.272920795713134,8.878645573891665,5.155542605372687,0.011909182070390616,0.5330387538876917,53.21484375,972.390625,8633.51171875
2,256,0.5,0.25,6,13747,946,759,661,13747.0,262821.0,2456076.0,13302100.0,20.0,0.078125,19.118425838364733,9.345052336000547,5.415996899118757,0.012996485781731548,0.5158128874247389,53.69921875,1026.64453125,9594.046875
2,256,0.5,0.25,7,13660,979,768,620,13660.0,263112.0,2515861.0,14234605.0,20.0,0.078125,19.261493411420204,9.561939402231749,5.657945729116196,0.013482959941177606,0.5024499495411445,53.359375,1027.78125,9827.58203125
2,256,1.0,1.0,0,9957,978,731,631,9957.0,134304.0,879157.0,3310982.0,17.0,0.06640625,13.488400120518229,6.5460224565165595,3.766087285888641,0.008867667981459576,0.6509464432521358,38.89453125,524.625,3434.20703125
2,256,1.0,1.0,1,10203,939,775,605,10203.0,141882.0,968441.0,3865010.0,19.0,0.07421875,13.905910026462806,6.825679085437194,3.990960729667579,0.009302879469920469,0.6296235349435217,39.85546875,554.2265625,3782.97265625
2,256,1.0,1.0,2,9975,901,718,606,9975.0,131620.0,833705.0,3021387.0,17.0,0.06640625,13.194987468671679,6.3341817352985865,3.624048074558747,0.008378892092386354,0.6657947149077516,38.96484375,514.140625,3256.66015625
2,256,1.0,1.0,3,11062,1053,714,624,11062.0,162538.0,1140284.0,4591544.0,17.0,0.06640625,14.693364671849576,7.015491761926442,4.026667040842457,0.009318493835684479,0.6238694129252953,43.2109375,634.9140625,4454.234375
2,256,1.0,1.0,4,9763,943,673,576,9763.0,130690.0,845486.0,3150807.0,17.0,0.06640625,13.386254225135717,6.469400872293213,3.726622321363098,0.008870331328570288,0.655298310132075,38.13671875,510.5078125,3302.6796875
2,256,1.0,1.0,5,11258,921,784,667,11258.0,161405.0,1084876.0,4158827.0,19.0,0.07421875,14.336915970865162,6.721452247452062,3.8334583860275275,0.008559681655169923,0.6424518708389411,43.9765625,630.48828125,4237.796875
2,256,1.0,1.0,6,10217,992,728,586,10217.0,141528.0,960189.0,3824837.0,18.0,0.0703125,13.852207105804052,6.784445480752925,3.983420972329406,0.009198350190606426,0.6307934157575645,39.91015625,552.84375,3750.73828125
2,256,1.0,1.0,7,11048,971,744,624,11048.0,156736.0,1046884.0,3942030.0,18.0,0.0703125,14.186821144098479,6.679282360146999,3.765488822066246,0.00857691747052294,0.6483838863456923,43.15625,612.25,4089.390625
2,256,1.5,2.25,0,8112,925,612,566,8112.0,85354.0,435641.0,1310289.0,16.0,0.0625,10.521942800788954,5.103931860252595,3.0077265454812565,0.006620226712611214,0.7491536414376283,31.6875,333.4140625,1701.72265625
2,256,1.5,2.25,1,8068,897,676,553,8068.0,88412.0,482817.0,1570718.0,17.0,0.06640625,10.958353991075855,5.460989458444555,3.2532367335864314,0.007417384187799835,0.7169488912391704,31.515625,345.359375,1886.00390625
2,256,1.5,2.25,2,8426,918,702,563,8426.0,93151.0,494310.0,1501166.0,15.0,0.05859375,11.055186328032281,5.3065452866850595,3.0368918290141815,0.0069623601830577754,0.7404345233679666,32.9140625,363.87109375,1930.8984375
2,256,1.5,2.25,3,8077,958,696,586,8077.0,83444.0,405393.0,1114700.0,14.0,0.0546875,10.331063513680823,4.858264225109055,2.7496774734640215,0.006214069119208245,0.7819923504087753,31.55078125,325.953125,1583.56640625
