d,N,hubble,rep,seed,R_dS,R_hat,flat_prefactor,flat_r2,n_causal_pairs,bd_ratio,bdg_d4,bdg_d2c,occupancy_R,f_link,wall_sigma
2,256,1.000000,3,20716453,2.000000,132.573650,0.490591,0.468497,10496,13.738461,-1.781250,-1.500000,0.905107,0.094893,1.000000
2,256,1.000000,4,20716463,2.000000,159.554648,0.515282,0.453242,10270,13.458067,3.015625,-0.968750,0.904479,0.095521,1.000000
2,256,1.000000,5,20716473,2.000000,156.711934,0.500929,0.480969,10967,14.185704,3.625000,-0.437500,0.915565,0.084435,1.000000
2,256,1.000000,6,20716483,2.000000,105.749707,0.470403,0.516425,11232,14.399077,-2.363281,-0.789062,0.915153,0.084847,1.000000
2,256,1.000000,7,20716493,2.000000,71.873671,0.459522,0.533535,10779,13.112303,0.050781,-1.335938,0.905743,0.094257,1.000000
2,256,2.000000,0,20716523,8.000000,2092.092803,0.703308,0.271584,5434,7.070525,0.238281,-0.648438,0.859036,0.140964,1.000000
2,256,2.000000,1,20716533,8.000000,1076.256598,0.676367,0.382295,6833,8.453094,2.253906,-0.867188,0.875165,0.124835,1.000000
2,256,2.000000,2,20716543,8.000000,1605.020406,0.848437,0.393658,6129,7.902861,-0.210938,-0.171875,0.873062,0.126938,1.000000
2,256,2.000000,3,20716553,8.000000,1011.632845,0.725209,0.354259,5943,7.342434,0.429688,-1.453125,0.850076,0.149924,1.000000
2,256,2.000000,4,20716563,8.000000,2312.599299,0.752801,0.356328,5641,6.680822,-0.535156,-0.882812,0.856940,0.143060,1.000000
2,256,2.000000,5,20716573,8.000000,1620.256478,0.614934,0.249088,5979,7.603496,2.609375,-0.656250,0.861515,0.138485,1.000000
2,256,2.000000,6,20716583,8.000000,1710.879851,0.857975,0.364899,5368,6.897692,-0.785156,-0.945312,0.844262,0.155738,1.000000
2,256,2.000000,7,20716593,8.000000,1535.962240,0.750573,0.349251,5126,6.519872,-0.128906,-1.132812,0.839446,0.160554,1.000000
