d,N,hubble,rep,R_dS,H2,n_causal_pairs,b1_mean,b1_std,w_max_ratio,mean_layer_width,n_patches,b1_std_patch_mean,b1_std_patch_std,wmr_patch_mean,wmr_patch_std
4,128,1.0,7,12.0,1.0,285,0.25,7.1752613192830825,0.7109375,32.0,1,7.074188581617554,nan,nan,nan
4,128,1.0,8,12.0,1.0,247,-0.390625,5.5470070406819385,0.7578125,32.0,1,5.127417340222772,nan,nan,nan
4,128,1.0,9,12.0,1.0,170,0.375,2.979093821953246,0.7421875,32.0,1,2.8962466705185097,nan,nan,nan
4,128,1.0,10,12.0,1.0,333,0.140625,7.39481910592646,0.703125,42.666666666666664,1,7.39481910592646,nan,nan,nan
4,128,1.0,11,12.0,1.0,191,0.328125,3.4575763164932454,0.75,42.666666666666664,1,3.4575763164932454,nan,nan,nan
4,128,1.0,12,12.0,1.0,193,-0.3515625,4.080421707200586,0.7734375,42.666666666666664,1,4.080421707200586,nan,nan,nan
4,128,1.0,13,12.0,1.0,311,-0.21875,4.339026208436635,0.703125,32.0,1,4.217886150801982,nan,nan,nan
4,128,1.0,14,12.0,1.0,270,0.5703125,4.900069504848248,0.6953125,32.0,1,4.938504419430103,nan,nan,nan
4,128,1.0,15,12.0,1.0,266,0.1328125,5.982227707120797,0.703125,42.666666666666664,1,5.982227707120797,nan,nan,nan
4,128,1.0,16,12.0,1.0,218,-0.15625,4.325501235406135,0.671875,42.666666666666664,1,4.325501235406135,nan,nan,nan
4,128,1.0,17,12.0,1.0,268,1.2109375,3.650026420602151,0.7109375,32.0,1,3.664320244531816,nan,nan,nan
4,128,1.0,18,12.0,1.0,234,0.8671875,4.232262791916843,0.71875,32.0,1,3.686134018182193,nan,nan,nan
4,128,1.0,19,12.0,1.0,275,0.8046875,5.733752307812376,0.7109375,32.0,1,5.309571262274011,nan,nan,nan
4,128,1.0,20,12.0,1.0,121,0.6328125,3.4705706792750597,0.765625,32.0,1,2.7253650865947683,nan,nan,nan
4,128,1.0,21,12.0,1.0,253,0.8984375,5.468431910392023,0.6875,32.0,1,5.442272249405985,nan,nan,nan
4,128,1.0,22,12.0,1.0,290,0.40625,4.404254867454879,0.734375,32.0,1,4.369504112039759,nan,nan,nan
4,128,1.0,23,12.0,1.0,161,0.5234375,2.9763779470345746,0.7265625,42.666666666666664,1,2.9763779470345746,nan,nan,nan
4,128,1.0,24,12.0,1.0,265,0.4921875,5.791961150149727,0.7265625,42.666666666666664,1,5.791961150149727,nan,nan,nan
4,128,1.0,25,12.0,1.0,254,-0.4375,2.7859861360028337,0.7578125,42.666666666666664,1,2.7859861360028337,nan,nan,nan
4,128,1.0,26,12.0,1.0,152,0.2421875,2.6390874776793116,0.75,42.666666666666664,1,2.6390874776793116,nan,nan,nan
4,128,1.0,27,12.0,1.0,331,-0.0234375,9.442643336671875,0.6640625,42.666666666666664,1,9.442643336671875,nan,nan,nan
4,128,1.0,28,12.0,1.0,239,0.1875,3.4747976559794096,0.703125,32.0,1,3.4884111480765387,nan,nan,nan
4,128,1.0,29,12.0,1.0,241,0.0546875,4.435842284994333,0.703125,42.666666666666664,1,4.435842284994333,nan,nan,nan
4,128,1.0,30,12.0,1.0,208,0.8984375,4.85708220628329,0.7265625,42.666666666666664,1,4.85708220628329,nan,nan,nan
4,128,1.0,31,12.0,1.0,362,0.7109375,8.52400318929397,0.7578125,32.0,1,7.847067453774478,nan,nan,nan
4,128,2.0,0,48.0,4.0,12,0.984375,0.7601847534481339,0.96875,42.666666666666664,1,0.7601847534481339,nan,nan,nan
