d,N,hubble,rep,R_dS,H2,n_causal_pairs,b1_mean,b1_std,w_max_ratio,mean_layer_width,n_patches,b1_std_patch_mean,b1_std_patch_std,wmr_patch_mean,wmr_patch_std
4,128,0.1,6,0.12000000000000002,0.010000000000000002,1348,-2.359375,25.4456327217339,0.3671875,25.6,2,10.420117086338857,10.211818191113592,nan,nan
4,128,0.1,7,0.12000000000000002,0.010000000000000002,1250,1.203125,14.242519623801646,0.421875,25.6,2,5.584166508959376,5.307781109763092,nan,nan
4,128,0.1,8,0.12000000000000002,0.010000000000000002,1158,2.921875,25.191643385940008,0.40625,32.0,2,6.042555695965324,6.042555695965324,nan,nan
4,128,0.1,9,0.12000000000000002,0.010000000000000002,1323,-0.1328125,24.20497466100396,0.3828125,21.333333333333332,2,6.344927790155492,4.845298206261893,nan,nan
4,128,0.1,10,0.12000000000000002,0.010000000000000002,1048,-2.9921875,16.855774276634218,0.421875,32.0,2,7.099417971720648,7.099417971720648,nan,nan
4,128,0.1,11,0.12000000000000002,0.010000000000000002,1259,-1.6640625,30.025321954911554,0.3671875,25.6,2,7.552817964023642,7.175078269192493,nan,nan
4,128,0.1,12,0.12000000000000002,0.010000000000000002,1133,1.8359375,18.393603398901853,0.390625,25.6,2,7.203104243473275,6.8104275172239745,nan,nan
4,128,0.1,13,0.12000000000000002,0.010000000000000002,1585,5.0625,21.588390253791506,0.390625,25.6,2,7.4235743549354005,7.0569682993389335,nan,nan
4,128,0.1,14,0.12000000000000002,0.010000000000000002,1481,4.8828125,26.77411911884019,0.359375,25.6,2,5.446423772791606,5.068684077960457,nan,nan
4,128,0.1,15,0.12000000000000002,0.010000000000000002,1069,-0.828125,17.47547807598908,0.4296875,32.0,2,6.423411833777674,6.423411833777674,nan,nan
4,128,0.1,16,0.12000000000000002,0.010000000000000002,1286,-4.1953125,21.604418888906586,0.3671875,25.6,2,7.064670891962774,6.607858363730007,nan,nan
4,128,0.1,17,0.12000000000000002,0.010000000000000002,1421,0.5078125,24.341000677146447,0.3671875,25.6,2,9.102148341905737,8.741347129611627,nan,nan
4,128,0.1,18,0.12000000000000002,0.010000000000000002,1157,0.6875,15.07520211307298,0.40625,25.6,2,4.757915950162689,4.385237953912724,nan,nan
4,128,0.1,19,0.12000000000000002,0.010000000000000002,1212,-0.515625,21.220930254335578,0.4609375,25.6,2,8.853357842797742,8.565878055509707,nan,nan
4,128,0.1,20,0.12000000000000002,0.010000000000000002,1175,-3.0703125,17.57581061152924,0.4140625,25.6,2,4.389619043010556,3.9690253394490944,nan,nan
4,128,0.1,21,0.12000000000000002,0.010000000000000002,1307,1.453125,23.664932975488753,0.3671875,25.6,2,8.236400078960012,8.032468958967689,nan,nan
4,128,0.1,22,0.12000000000000002,0.010000000000000002,1381,-1.8359375,24.29884814134394,0.3671875,25.6,2,5.923101495770762,5.71917037577844,nan,nan
4,128,0.1,23,0.12000000000000002,0.010000000000000002,1403,0.3125,30.2225469434659,0.4140625,25.6,2,9.564720453823169,9.255425666757299,nan,nan
4,128,0.1,24,0.12000000000000002,0.010000000000000002,1061,-1.625,17.747799159332406,0.3984375,25.6,2,7.31458470731644,6.9419067110664745,nan,nan
4,128,0.1,25,0.12000000000000002,0.010000000000000002,1195,3.34375,22.811194311949123,0.3984375,25.6,2,7.18918153732975,6.7010963533562915,nan,nan
4,128,0.1,26,0.12000000000000002,0.010000000000000002,1132,1.796875,16.967965854349632,0.4453125,32.0,2,6.6603587044418,6.6603587044418,nan,nan
