d,N,hubble,rep,R_dS,H2,n_causal_pairs,b1_mean,b1_std,w_max_ratio,mean_layer_width,layer_width_std
4,256,0.0,14,0.0,0.0,5499,2.89453125,33.552905538757344,0.3125,42.666666666666664,21.116081286282473
4,256,0.0,15,0.0,0.0,6377,-3.578125,31.8606853580455,0.3125,42.666666666666664,18.891503087073005
4,256,0.25,0,0.75,0.0625,4272,-0.90625,28.190600577807846,0.3671875,42.666666666666664,19.947152400502908
4,256,0.25,1,0.75,0.0625,4819,2.24609375,31.23784114045353,0.41796875,51.2,19.23954261410598
4,256,0.25,2,0.75,0.0625,3903,-1.80859375,30.79757632342943,0.40625,51.2,14.358272876638054
4,256,0.25,3,0.75,0.0625,3747,-1.8984375,23.8053105432085,0.38671875,51.2,18.137254478007414
4,256,0.25,4,0.75,0.0625,5247,1.08203125,35.09280538264252,0.3671875,42.666666666666664,25.29602515987223
4,256,0.25,5,0.75,0.0625,4412,2.37109375,27.572896713597412,0.39453125,51.2,9.325234581499814
4,256,0.25,6,0.75,0.0625,3704,-0.62109375,25.043419021845057,0.375,42.666666666666664,27.6204433144888
4,256,0.25,7,0.75,0.0625,4282,-0.25,27.094308673594163,0.390625,51.2,16.01749044014074
4,256,0.25,8,0.75,0.0625,4286,0.4765625,30.542993479415106,0.359375,42.666666666666664,24.36983563524565
4,256,0.25,9,0.75,0.0625,3668,3.87109375,26.816414785140665,0.39453125,42.666666666666664,25.09758731210809
4,256,0.25,10,0.75,0.0625,4565,1.7890625,27.19896377384796,0.37109375,42.666666666666664,22.551176367443794
4,256,0.25,11,0.75,0.0625,4198,-0.22265625,31.910660725599776,0.3515625,42.666666666666664,25.15728301881761
4,256,0.25,12,0.75,0.0625,5109,0.84765625,33.377870814835326,0.34765625,42.666666666666664,22.20860694015323
4,256,0.25,13,0.75,0.0625,4055,2.69140625,25.9621585417596,0.38671875,42.666666666666664,20.030532250098155
4,256,0.25,14,0.75,0.0625,4348,0.578125,32.05283952295608,0.3828125,51.2,17.93766985982293
4,256,0.25,15,0.75,0.0625,4564,1.53515625,26.924785543028676,0.36328125,42.666666666666664,21.80723631172817
4,256,0.5,0,3.0,0.25,2718,3.11328125,18.70992747469638,0.47265625,51.2,24.766105870725823
4,256,0.5,1,3.0,0.25,3199,0.4140625,24.795106417317385,0.4765625,51.2,25.91833327974621
4,256,0.5,2,3.0,0.25,2754,-0.19140625,22.15108112254255,0.4765625,51.2,29.915882069562983
4,256,0.5,3,3.0,0.25,2979,0.28125,20.173635912683167,0.45703125,51.2,24.790320691753866
