family,N,rep,seed,n_layers,bd_ratio,bdg_d2c,bdg_d4,link_frac,total_relations,C0,C1,C2,C3
Lor3D,36,3,6642,5,0.8484135841836735,-2.4444444444444446,3.0555555555555554,0.5089285714285714,224,114,52,27,19
Lor3D,36,4,7642,4,0.6262716342977936,-3.3333333333333335,-1.8333333333333333,0.6149425287356322,174,107,29,22,12
Lor3D,36,5,8642,4,0.6236332179930797,-3.1666666666666665,-4.416666666666667,0.6058823529411764,170,103,28,25,7
Lor3D,36,6,9642,6,0.963355247139031,-1.7777777777777777,-3.5,0.44594594594594594,222,99,49,38,13
Lor3D,36,7,10642,4,0.4383156709364757,-6.0,1.0555555555555556,0.6816143497757847,223,152,26,11,12
Lor3D,36,8,11642,6,0.8054956896551725,-3.2222222222222223,-2.6666666666666665,0.5043103448275862,232,117,41,31,14
Lor3D,36,9,12642,5,0.7397107438016529,-3.2777777777777777,-1.3611111111111112,0.5363636363636364,220,118,41,27,12
Lor3D,36,10,13642,6,0.8304326530612246,-1.5555555555555556,2.388888888888889,0.49714285714285716,175,87,41,20,11
Lor3D,36,11,14642,5,0.655328798185941,-2.7777777777777777,4.444444444444445,0.5952380952380952,168,100,32,12,16
Lor3D,36,12,15642,5,0.5222790357925492,-3.0555555555555554,1.1944444444444444,0.6486486486486487,148,96,23,11,9
Lor3D,36,13,16642,5,0.9046146315414738,-1.6111111111111112,3.9166666666666665,0.4858490566037736,212,103,56,27,17
Lor3D,36,14,17642,4,0.6312921125644074,-3.0,3.2222222222222223,0.603448275862069,174,105,33,14,14
Lor3D,36,15,18642,6,0.9552553116073477,-1.9444444444444444,-4.916666666666667,0.45662100456621,219,100,47,40,13
Lor3D,36,16,19642,4,0.6647030226772285,-3.5,-0.1388888888888889,0.5828877005347594,187,109,28,19,15
Lor3D,36,17,20642,5,0.88882505027291,-1.3333333333333333,0.5,0.4858757062146893,177,86,44,26,11
Lor3D,36,18,21642,5,0.7450815654974445,-1.9444444444444444,6.194444444444445,0.5072463768115942,207,105,52,15,8
Lor3D,36,19,22642,5,0.7157239120513302,-2.6666666666666665,5.611111111111111,0.5544041450777202,193,107,41,14,16
Lor3D,48,0,4842,5,0.753105084127253,-2.8333333333333335,3.4166666666666665,0.5415162454873647,277,150,58,27,22
Lor3D,48,1,5842,5,0.8179357813491932,-2.5833333333333335,4.208333333333333,0.5086705202312138,346,176,90,40,20
Lor3D,48,2,6842,6,0.9146827505579764,-4.541666666666667,-9.9375,0.4742268041237113,388,184,51,67,34
Lor3D,48,3,7842,5,0.8573229228668464,-3.4583333333333335,1.6041666666666667,0.5029585798816568,338,170,63,40,34
Lor3D,48,4,8842,5,0.6666846885813148,-3.5,-2.25,0.5661764705882353,272,154,46,32,12
Lor3D,48,5,9842,6,0.9425484764542935,-3.125,-0.7291666666666666,0.4368421052631579,380,166,67,48,31
Lor3D,48,6,10842,5,0.8223843723068084,-2.875,0.8958333333333334,0.5186440677966102,295,153,60,37,25
Lor3D,48,7,11842,5,0.8038751147842059,-2.9583333333333335,4.354166666666667,0.48787878787878786,330,161,66,28,22
Lor3D,48,8,12842,6,0.9774408772625182,-1.7916666666666667,2.9375,0.41954022988505746,348,146,79,42,25
Lor3D,48,9,13842,5,0.6851506264996001,-3.0,6.166666666666667,0.5454545454545454,341,186,90,28,9
Lor3D,48,10,14842,6,0.9059691241900326,-1.7916666666666667,11.9375,0.43989071038251365,366,161,94,24,28
Lor3D,48,11,15842,6,0.884983563445102,-2.9166666666666665,3.2083333333333335,0.4512820512820513,390,176,82,41,25
Lor3D,48,12,16842,6,0.6719793379764021,-4.0,-0.3333333333333333,0.5382059800664452,301,162,42,25,15
Lor3D,48,13,17842,6,0.788910934744268,-2.4583333333333335,0.4375,0.5277777777777778,252,133,50,31,19
Lor3D,48,14,18842,6,0.9465020576131687,-2.6666666666666665,5.5,0.4444444444444444,378,168,80,39,36
Lor3D,48,15,19842,5,0.8561236623067775,-2.1666666666666665,7.25,0.4827586206896552,319,154,78,28,25
Lor3D,48,16,20842,6,0.9786827914840242,-3.4166666666666665,-1.0416666666666667,0.44386422976501305,383,170,64,52,41
Lor3D,48,17,21842,7,0.9201625123001045,-2.8333333333333335,3.0833333333333335,0.42997542997543,407,175,83,43,27
Lor3D,48,18,22842,5,0.7714679689744326,-3.2083333333333335,2.5625,0.5288135593220339,295,156,55,29,25
Lor3D,48,19,23842,5,0.7800099206349205,-3.3333333333333335,-2.8333333333333335,0.49404761904761907,336,166,62,42,12
Lor4D,20,0,2042,3,0.20081632653061218,-1.3,2.25,0.8285714285714286,35,29,6,0,0
Lor4D,20,1,3042,3,0.12051039697542537,-2.6,1.2,0.8913043478260869,46,41,5,0,0
Lor4D,20,2,4042,2,0.0,-1.6,-0.3,1.0,26,26,0,0,0
Lor4D,20,3,5042,3,0.07956104252400548,-1.3,0.65,0.9259259259259259,27,25,2,0,0
Lor4D,20,4,6042,3,0.19444444444444442,-0.6,1.8,0.8333333333333334,24,20,4,0,0
Lor4D,20,5,7042,3,0.2001953125,-1.6,-3.1,0.84375,32,27,1,4,0
Lor4D,20,6,8042,3,0.1025390625,-1.6,0.9,0.90625,32,29,3,0,0
Lor4D,20,7,9042,3,0.15111111111111108,-1.2,1.5,0.8666666666666667,30,26,4,0,0
Lor4D,20,8,10042,3,0.1025390625,-1.6,0.9,0.90625,32,29,3,0,0
Lor4D,20,9,11042,3,0.12869822485207105,-1.0,1.2,0.8846153846153846,26,23,3,0,0
Lor4D,20,10,12042,3,0.0991735537190083,-3.5,0.75,0.9090909090909091,55,50,5,0,0
Lor4D,20,11,13042,3,0.09027777777777782,-1.0,0.8,0.9166666666666666,24,22,2,0,0
Lor4D,20,12,14042,3,0.07283057851239674,-2.8,0.3,0.9318181818181818,44,41,3,0,0
Lor4D,20,13,15042,4,0.4419642857142857,-1.3,3.45,0.6785714285714286,56,38,15,3,0
Lor4D,20,14,16042,3,0.0498866213151928,-0.9,0.45,0.9523809523809523,21,20,1,0,0
Lor4D,20,15,17042,3,0.1327160493827161,-2.0,-0.1,0.8888888888888888,36,32,2,1,1
Lor4D,20,16,18042,3,0.08437499999999995,-2.6,-2.0,0.925,40,37,1,2,0
Lor4D,20,17,19042,3,0.1533966398831263,-1.7,1.65,0.8648648648648649,37,32,5,0,0
Lor4D,20,18,20042,2,0.0,-2.0,-0.5,1.0,30,30,0,0,0
Lor4D,20,19,21042,3,0.10330578512396696,-0.9,-0.35,0.9090909090909091,22,20,1,1,0
Lor4D,28,0,2842,3,0.26570305027101715,-3.5714285714285716,1.5714285714285714,0.7938144329896907,97,77,13,3,3
Lor4D,28,1,3842,3,0.23223177908555917,-1.1428571428571428,1.6428571428571428,0.8085106382978723,47,38,8,1,0
Lor4D,28,2,4842,3,0.1838134430727023,-2.0,-0.7857142857142857,0.8518518518518519,54,46,4,3,1
Lor4D,28,3,5842,3,0.09679012345679014,-1.6428571428571428,0.8214285714285714,0.9111111111111111,45,41,4,0,0
Lor4D,28,4,6842,3,0.2698600101197503,-2.642857142857143,-0.5357142857142857,0.7922077922077922,77,61,10,5,1
Lor4D,28,5,7842,3,0.263544536271809,-1.8571428571428572,1.8571428571428572,0.7878787878787878,66,52,12,2,0
Lor4D,28,6,8842,3,0.09541397353031708,-2.357142857142857,0.75,0.9122807017543859,57,52,5,0,0
Lor4D,28,7,9842,3,0.18681956742633177,-3.2857142857142856,0.0,0.8433734939759037,83,70,10,3,0
Lor4D,28,8,10842,4,0.16326530612244902,-2.4285714285714284,1.2857142857142858,0.8571428571428571,63,54,6,0,1
Lor4D,28,9,11842,3,0.14744801512287337,-2.642857142857143,1.75,0.8695652173913043,69,60,9,0,0
Lor4D,28,10,12842,3,0.11548405630565925,-2.5,-0.75,0.8983050847457628,59,53,4,2,0
Lor4D,28,11,13842,3,0.14141414141414144,-2.7857142857142856,-1.1785714285714286,0.8787878787878788,66,58,5,3,0
Lor4D,28,12,14842,3,0.08066115702479341,-2.5,-1.3214285714285714,0.9272727272727272,55,51,2,2,0
Lor4D,28,13,15842,3,0.25770399305555547,-3.857142857142857,-2.2857142857142856,0.8020833333333334,96,77,9,7,2
Lor4D,28,14,16842,3,0.08612072279892356,-2.142857142857143,-0.2857142857142857,0.9215686274509803,51,47,3,1,0
Lor4D,28,15,17842,2,0.0,-1.5,-0.25,1.0,35,35,0,0,0
Lor4D,28,16,18842,3,0.13549088274363003,-3.9285714285714284,1.6785714285714286,0.8791208791208791,91,80,11,0,0
Lor4D,28,17,19842,3,0.15695600475624263,-2.0,1.7857142857142858,0.8620689655172413,58,50,8,0,0
Lor4D,28,18,20842,3,0.17428700769578995,-3.857142857142857,0.8571428571428571,0.851063829787234,94,80,12,2,0
Lor4D,28,19,21842,3,0.1959764134582032,-3.857142857142857,-1.4285714285714286,0.8387096774193549,93,78,10,5,0
Lor4D,36,0,3642,3,0.17742919921875,-4.277777777777778,-0.08333333333333333,0.8515625,128,109,14,4,1
Lor4D,36,1,4642,3,0.0671468144044321,-3.7222222222222223,-0.9166666666666666,0.9368421052631579,95,89,4,1,0
Lor4D,36,2,5642,4,0.3779843893480257,-2.8333333333333335,2.1944444444444446,0.7196969696969697,132,95,26,7,2
Lor4D,36,3,6642,4,0.16104400944051095,-5.222222222222222,0.3333333333333333,0.8639455782312925,147,127,15,3,2
Lor4D,36,4,7642,3,0.03804393569564852,-4.611111111111111,-0.9166666666666666,0.963302752293578,109,105,4,0,0
Lor4D,36,5,8642,3,0.1647230320699709,-3.0,1.8888888888888888,0.8571428571428571,98,84,12,0,1
Lor4D,36,6,9642,4,0.18857142857142856,-4.666666666666667,-0.9444444444444444,0.8428571428571429,140,118,16,6,0
Lor4D,36,7,10642,3,0.190517959738608,-5.444444444444445,-1.3333333333333333,0.8410596026490066,151,127,11,5,3
Lor4D,36,8,11642,4,0.31782352146299714,-4.222222222222222,-0.05555555555555555,0.7583892617449665,149,113,19,8,4
Lor4D,36,9,12642,3,0.26117926394934704,-3.5,2.3055555555555554,0.7894736842105263,133,105,24,4,0
Lor4D,36,10,13642,3,0.23582766439909297,-2.0555555555555554,1.6944444444444444,0.8095238095238095,84,68,13,2,1
Lor4D,36,11,14642,4,0.3099255349231785,-2.5,0.5833333333333334,0.7669902912621359,103,79,16,6,2
Lor4D,36,12,15642,3,0.26651183045434756,-1.8888888888888888,1.1111111111111112,0.7831325301204819,83,65,13,3,0
Lor4D,36,13,16642,3,0.2384444444444445,-4.388888888888889,2.0833333333333335,0.8066666666666666,150,121,24,4,1
Lor4D,36,14,17642,4,0.15612711233924964,-3.2222222222222223,-1.1111111111111112,0.865979381443299,97,84,8,4,0
Lor4D,36,15,18642,4,0.28708910034602075,-3.8333333333333335,-0.3055555555555556,0.7794117647058824,136,106,19,8,2
Lor4D,36,16,19642,3,0.2748942714340638,-2.5555555555555554,0.1111111111111111,0.7843137254901961,102,80,16,6,0
Lor4D,36,17,20642,4,0.2402579951625907,-3.5,0.3055555555555556,0.8032786885245902,122,98,17,5,0
Lor4D,36,18,21642,4,0.40606609325486637,-3.6666666666666665,-0.8888888888888888,0.723404255319149,141,102,18,12,8
