d,N,hubble,rep,R_dS,H2,n_causal_pairs,w_max_ratio,n_layers,layer_ratio,mean_layer_width,layer_width_std,layer_width_cv,max_layer_width_ratio,layer_entropy,b1_mean,b1_std,b1_neg_frac,eig_min,eig_max,eig_gap,eig_spread
2,256,0.0,4,0.0,0.0,15999,0.08203125,23.0,0.08984375,11.130434782608695,3.4679194091494376,0.3115708844157698,0.0625,3.0730329572578117,-0.953125,5.20495463326771,0.5546875,-8.448006744350113,11.56132660030463,0.3825990893337945,20.009333344654742
2,256,0.0,5,0.0,0.0,16783,0.09765625,24.0,0.09375,10.666666666666666,3.7712361663282534,0.3535533905932738,0.06640625,3.104730433027515,-1.21875,5.316450736863834,0.58984375,-7.573403843704334,11.033883198440616,0.15725452934452733,18.60728704214495
2,256,0.0,6,0.0,0.0,16596,0.09375,24.0,0.09375,10.666666666666666,3.2489314482696545,0.30458732327528015,0.0625,3.121127354505232,-0.3203125,4.429012294219079,0.50390625,-7.451093297008826,10.748775522255745,0.2005059900799342,18.19986881926457
2,256,0.0,7,0.0,0.0,16570,0.09765625,21.0,0.08203125,12.19047619047619,4.170406484916441,0.3421036569658018,0.07421875,2.9737024157080714,-1.3203125,5.618654189603036,0.5703125,-7.941312962338759,10.865987673252466,0.3258570922032167,18.807300635591226
2,256,0.25,0,0.125,0.0625,14653,0.10546875,21.0,0.08203125,12.19047619047619,4.3383017043544285,0.35587631168532424,0.08203125,2.9664764241981887,-0.7734375,5.171609462594188,0.53125,-7.305776578110514,10.662955537875181,0.6377068892176148,17.968732115985695
2,256,0.25,1,0.125,0.0625,14705,0.09765625,21.0,0.08203125,12.19047619047619,3.20147358361364,0.2626208799058064,0.0625,3.0012694179481443,-0.9921875,4.712012729698823,0.546875,-7.168644245624935,10.657419185839473,0.23810748260802406,17.82606343146441
2,256,0.25,2,0.125,0.0625,14596,0.11328125,20.0,0.078125,12.8,4.214261501141095,0.32923917977664807,0.078125,2.9261279065495067,-0.703125,5.637984146339452,0.55078125,-7.7803473542662696,10.82028341718641,0.5093117952762718,18.60063077145268
2,256,0.25,3,0.125,0.0625,14438,0.1015625,22.0,0.0859375,11.636363636363637,3.6624067415424886,0.3147380793513076,0.06640625,3.026683896211922,-0.5546875,4.943917654789949,0.53515625,-7.504044828300535,11.036600556336074,0.5111153209771757,18.54064538463661
2,256,0.25,4,0.125,0.0625,15113,0.09765625,24.0,0.09375,10.666666666666666,3.8693955887479667,0.3627558364451219,0.06640625,3.0993382789527915,-0.734375,4.961546468529242,0.54296875,-7.477906657505295,11.345712454663236,0.7190053576412563,18.82361911216853
2,256,0.25,5,0.125,0.0625,15017,0.1015625,22.0,0.0859375,11.636363636363637,3.8203457071728537,0.3283109592101671,0.0703125,3.025476697356805,-0.6171875,5.002532317721071,0.51953125,-7.238674287097311,10.877653653177346,0.3969815101112406,18.116327940274658
2,256,0.25,6,0.125,0.0625,15518,0.09765625,23.0,0.08984375,11.130434782608695,3.6152376532152006,0.3248065079060532,0.05859375,3.066645856781975,-1.140625,4.957214400182324,0.5625,-6.781642986899431,10.443710031280368,0.42464423587414224,17.2253530181798
2,256,0.25,7,0.125,0.0625,14855,0.09765625,25.0,0.09765625,10.24,3.420877080516048,0.3340700273941453,0.0625,3.146500798908864,-1.3046875,5.218744152317083,0.58984375,-7.5107385134943545,10.705296835503367,0.3493561136109733,18.21603534899772
