metric,scope,alpha,win_rate_focus_vs_control,mean_gap_control_minus_focus
bd_ratio,28,-4.0,1.0,27.6918956776895
bd_ratio,28,-3.75,1.0,27.81977511532385
bd_ratio,28,-3.5,1.0,27.947654552958205
bd_ratio,28,-3.25,1.0,28.07553399059256
bd_ratio,28,-3.0,1.0,28.20341342822691
bd_ratio,28,-2.75,1.0,28.33129286586126
bd_ratio,28,-2.5,1.0,28.459172303495613
bd_ratio,28,-2.25,1.0,28.58705174112996
bd_ratio,28,-2.0,1.0,28.714931178764317
bd_ratio,28,-1.75,1.0,28.842810616398666
bd_ratio,28,-1.5,1.0,28.970690054033025
bd_ratio,28,-1.25,1.0,29.098569491667376
bd_ratio,28,-1.0,1.0,29.22644892930173
bd_ratio,28,-0.75,1.0,29.354328366936077
bd_ratio,28,-0.5,1.0,29.48220780457043
bd_ratio,28,-0.25,1.0,29.610087242204784
bd_ratio,28,0.0,1.0,29.73796667983914
bd_ratio,28,0.25,1.0,29.865846117473488
bd_ratio,28,0.5,1.0,29.993725555107844
bd_ratio,28,0.75,1.0,30.1216049927422
bd_ratio,28,1.0,1.0,30.249484430376544
bd_ratio,28,1.25,1.0,30.377363868010892
bd_ratio,28,1.5,1.0,30.505243305645244
bd_ratio,28,1.75,1.0,30.633122743279607
bd_ratio,28,2.0,1.0,30.76100218091396
bd_ratio,28,2.25,1.0,30.88888161854831
bd_ratio,28,2.5,1.0,31.016761056182663
bd_ratio,28,2.75,1.0,31.14464049381701
bd_ratio,28,3.0,1.0,31.272519931451363
bd_ratio,28,3.25,1.0,31.40039936908571
bd_ratio,28,3.5,1.0,31.528278806720067
bd_ratio,28,3.75,1.0,31.656158244354422
bd_ratio,28,4.0,1.0,31.784037681988767
bd_ratio,28,4.25,1.0,31.911917119623126
bd_ratio,28,4.5,1.0,32.039796557257475
bd_ratio,28,4.75,1.0,32.16767599489182
bd_ratio,28,5.0,1.0,32.295555432526186
bd_ratio,28,5.25,1.0,32.42343487016054
bd_ratio,28,5.5,1.0,32.55131430779488
bd_ratio,28,5.75,1.0,32.67919374542924
bd_ratio,28,6.0,1.0,32.80707318306359
bd_ratio,28,6.25,1.0,32.93495262069794
bd_ratio,28,6.5,1.0,33.0628320583323
bd_ratio,28,6.75,1.0,33.19071149596665
bd_ratio,28,7.0,1.0,33.318590933601
bd_ratio,28,7.25,1.0,33.44647037123535
bd_ratio,28,7.5,1.0,33.5743498088697
bd_ratio,28,7.75,1.0,33.70222924650405
bd_ratio,28,8.0,1.0,33.83010868413841
bd_ratio,28,8.25,1.0,33.957988121772765
bd_ratio,28,8.5,1.0,34.08586755940712
bd_ratio,28,8.75,1.0,34.21374699704147
bd_ratio,28,9.0,1.0,34.34162643467582
bd_ratio,28,9.25,1.0,34.469505872310165
bd_ratio,28,9.5,1.0,34.59738530994452
bd_ratio,28,9.75,1.0,34.725264747578876
bd_ratio,28,10.0,1.0,34.85314418521323
bd_ratio,36,-10.0,1.0,23.484192602649827
bd_ratio,36,-9.75,1.0,23.64681509927653
bd_ratio,36,-9.5,1.0,23.809437595903226
bd_ratio,36,-9.25,1.0,23.97206009252992
bd_ratio,36,-9.0,1.0,24.134682589156625
bd_ratio,36,-8.75,1.0,24.297305085783325
bd_ratio,36,-8.5,1.0,24.459927582410025
bd_ratio,36,-8.25,1.0,24.62255007903672
bd_ratio,36,-8.0,1.0,24.785172575663427
bd_ratio,36,-7.75,1.0,24.947795072290127
bd_ratio,36,-7.5,1.0,25.110417568916812
bd_ratio,36,-7.25,1.0,25.273040065543515
bd_ratio,36,-7.0,1.0,25.435662562170226
bd_ratio,36,-6.75,1.0,25.598285058796915
bd_ratio,36,-6.5,1.0,25.760907555423614
bd_ratio,36,-6.25,1.0,25.92353005205032
bd_ratio,36,-6.0,1.0,26.086152548677013
bd_ratio,36,-5.75,1.0,26.248775045303727
bd_ratio,36,-5.5,1.0,26.411397541930427
bd_ratio,36,-5.25,1.0,26.574020038557126
bd_ratio,36,-5.0,1.0,26.736642535183815
bd_ratio,36,-4.75,1.0,26.899265031810526
bd_ratio,36,-4.5,1.0,27.06188752843723
bd_ratio,36,-4.25,1.0,27.224510025063918
bd_ratio,36,-4.0,1.0,27.38713252169061
bd_ratio,36,-3.75,1.0,27.54975501831732
bd_ratio,36,-3.5,1.0,27.712377514944023
bd_ratio,36,-3.25,1.0,27.87500001157072
bd_ratio,36,-3.0,1.0,28.03762250819742
bd_ratio,36,-2.75,1.0,28.200245004824115
bd_ratio,36,-2.5,1.0,28.36286750145082
bd_ratio,36,-2.25,1.0,28.52548999807751
bd_ratio,36,-2.0,1.0,28.68811249470421
bd_ratio,36,-1.75,1.0,28.850734991330913
bd_ratio,36,-1.5,1.0,29.013357487957617
bd_ratio,36,-1.25,1.0,29.175979984584316
bd_ratio,36,-1.0,1.0,29.338602481211016
bd_ratio,36,-0.75,1.0,29.501224977837705
bd_ratio,36,-0.5,1.0,29.66384747446442
bd_ratio,36,-0.25,1.0,29.82646997109111
bd_ratio,36,0.0,1.0,29.98909246771781
bd_ratio,36,0.25,1.0,30.15171496434451
bd_ratio,36,0.5,1.0,30.314337460971203
bd_ratio,36,0.75,1.0,30.476959957597916
bd_ratio,36,1.0,1.0,30.639582454224605
bd_ratio,36,1.25,1.0,30.802204950851305
bd_ratio,36,1.5,1.0,30.964827447478005
bd_ratio,36,1.75,1.0,31.127449944104708
bd_ratio,36,2.0,1.0,31.29007244073141
bd_ratio,36,2.25,1.0,31.45269493735811
bd_ratio,36,2.5,1.0,31.615317433984803
bd_ratio,36,2.75,1.0,31.777939930611506
bd_ratio,36,3.0,1.0,31.940562427238202
bd_ratio,36,3.25,1.0,32.1031849238649
bd_ratio,36,3.5,1.0,32.2658074204916
bd_ratio,36,3.75,1.0,32.4284299171183
bd_ratio,36,4.0,1.0,32.59105241374501
bd_ratio,36,4.25,1.0,32.7536749103717
bd_ratio,36,4.5,1.0,32.916297406998396
bd_ratio,36,4.75,1.0,33.07891990362509
bd_ratio,36,5.0,1.0,33.2415424002518
bd_ratio,36,5.25,1.0,33.4041648968785
bd_ratio,36,5.5,1.0,33.566787393505194
bd_ratio,36,5.75,1.0,33.72940989013189
bd_ratio,36,6.0,1.0,33.89203238675861
bd_ratio,36,6.25,1.0,34.0546548833853
bd_ratio,36,6.5,1.0,34.21727738001201
bd_ratio,36,6.75,1.0,34.3798998766387
bd_ratio,36,7.0,1.0,34.5425223732654
bd_ratio,36,7.25,1.0,34.70514486989211
bd_ratio,36,7.5,1.0,34.867767366518805
bd_ratio,36,7.75,1.0,35.030389863145494
bd_ratio,36,8.0,1.0,35.1930123597722
bd_ratio,36,8.25,1.0,35.35563485639889
bd_ratio,36,8.5,1.0,35.518257353025604
bd_ratio,36,8.75,1.0,35.68087984965229
bd_ratio,36,9.0,1.0,35.843502346278996
bd_ratio,36,9.25,1.0,36.006124842905706
bd_ratio,36,9.5,1.0,36.168747339532395
bd_ratio,36,9.75,1.0,36.33136983615909
bd_ratio,36,10.0,1.0,36.493992332785794
bd_ratio,ALL,-10.0,1.0,23.822514735704402
bd_ratio,ALL,-9.75,1.0,23.953233109830954
bd_ratio,ALL,-9.5,1.0,24.0839514839575
bd_ratio,ALL,-9.25,1.0,24.214669858084044
bd_ratio,ALL,-9.0,1.0,24.345388232210592
bd_ratio,ALL,-8.75,1.0,24.47610660633714
bd_ratio,ALL,-8.5,1.0,24.606824980463685
bd_ratio,ALL,-8.25,1.0,24.73754335459023
bd_ratio,ALL,-8.0,1.0,24.86826172871678
bd_ratio,ALL,-7.75,1.0,24.99898010284333
bd_ratio,ALL,-7.5,1.0,25.129698476969875
bd_ratio,ALL,-7.25,1.0,25.260416851096423
bd_ratio,ALL,-7.0,1.0,25.39113522522297
bd_ratio,ALL,-6.75,1.0,25.521853599349512
bd_ratio,ALL,-6.5,1.0,25.652571973476057
bd_ratio,ALL,-6.25,1.0,25.78329034760261
bd_ratio,ALL,-6.0,1.0,25.914008721729154
bd_ratio,ALL,-5.75,1.0,26.04472709585571
bd_ratio,ALL,-5.5,1.0,26.17544546998225
bd_ratio,ALL,-5.25,1.0,26.306163844108802
bd_ratio,ALL,-5.0,1.0,26.436882218235347
bd_ratio,ALL,-4.75,1.0,26.567600592361895
bd_ratio,ALL,-4.5,1.0,26.698318966488443
bd_ratio,ALL,-4.25,1.0,26.82903734061499
bd_ratio,ALL,-4.0,1.0,26.959755714741533
bd_ratio,ALL,-3.75,1.0,27.09047408886808
bd_ratio,ALL,-3.5,1.0,27.22119246299463
bd_ratio,ALL,-3.25,1.0,27.351910837121178
bd_ratio,ALL,-3.0,1.0,27.482629211247726
bd_ratio,ALL,-2.75,1.0,27.61334758537427
bd_ratio,ALL,-2.5,1.0,27.744065959500816
bd_ratio,ALL,-2.25,1.0,27.874784333627364
bd_ratio,ALL,-2.0,1.0,28.005502707753912
bd_ratio,ALL,-1.75,1.0,28.136221081880457
bd_ratio,ALL,-1.5,1.0,28.26693945600701
bd_ratio,ALL,-1.25,1.0,28.397657830133554
bd_ratio,ALL,-1.0,1.0,28.5283762042601
bd_ratio,ALL,-0.75,1.0,28.659094578386643
bd_ratio,ALL,-0.5,1.0,28.789812952513195
bd_ratio,ALL,-0.25,1.0,28.92053132663974
bd_ratio,ALL,0.0,1.0,29.051249700766288
bd_ratio,ALL,0.25,1.0,29.181968074892836
bd_ratio,ALL,0.5,1.0,29.31268644901938
bd_ratio,ALL,0.75,1.0,29.443404823145933
bd_ratio,ALL,1.0,1.0,29.574123197272478
bd_ratio,ALL,1.25,1.0,29.704841571399022
bd_ratio,ALL,1.5,1.0,29.835559945525567
bd_ratio,ALL,1.75,1.0,29.96627831965212
bd_ratio,ALL,2.0,1.0,30.096996693778667
bd_ratio,ALL,2.25,1.0,30.227715067905216
bd_ratio,ALL,2.5,1.0,30.35843344203176
bd_ratio,ALL,2.75,1.0,30.489151816158305
bd_ratio,ALL,3.0,1.0,30.619870190284853
bd_ratio,ALL,3.25,1.0,30.7505885644114
bd_ratio,ALL,3.5,1.0,30.881306938537946
bd_ratio,ALL,3.75,1.0,31.012025312664495
bd_ratio,ALL,4.0,1.0,31.142743686791043
bd_ratio,ALL,4.25,1.0,31.273462060917588
bd_ratio,ALL,4.5,1.0,31.404180435044132
bd_ratio,ALL,4.75,1.0,31.53489880917068
bd_ratio,ALL,5.0,1.0,31.665617183297236
bd_ratio,ALL,5.25,1.0,31.796335557423774
bd_ratio,ALL,5.5,1.0,31.927053931550326
bd_ratio,ALL,5.75,1.0,32.05777230567686
bd_ratio,ALL,6.0,1.0,32.18849067980342
bd_ratio,ALL,6.25,1.0,32.31920905392997
bd_ratio,ALL,6.5,1.0,32.44992742805651
bd_ratio,ALL,6.75,1.0,32.580645802183064
bd_ratio,ALL,7.0,1.0,32.7113641763096
bd_ratio,ALL,7.25,1.0,32.84208255043615
bd_ratio,ALL,7.5,1.0,32.972800924562705
bd_ratio,ALL,7.75,1.0,33.10351929868925
bd_ratio,ALL,8.0,1.0,33.234237672815794
bd_ratio,ALL,8.25,1.0,33.364956046942346
bd_ratio,ALL,8.5,1.0,33.4956744210689
bd_ratio,ALL,8.75,1.0,33.62639279519544
bd_ratio,ALL,9.0,1.0,33.75711116932199
bd_ratio,ALL,9.25,1.0,33.88782954344853
bd_ratio,ALL,9.5,1.0,34.01854791757508
bd_ratio,ALL,9.75,1.0,34.14926629170163
bd_ratio,ALL,10.0,1.0,34.27998466582818
bdg_d2_corrected_norm,16,-10.0,1.0,48.49874079619005
bdg_d2_corrected_norm,16,-9.75,1.0,48.02999079619005
bdg_d2_corrected_norm,16,-9.5,1.0,47.56124079619005
bdg_d2_corrected_norm,16,-9.25,1.0,47.09249079619005
bdg_d2_corrected_norm,16,-9.0,1.0,46.62374079619005
bdg_d2_corrected_norm,16,-8.75,1.0,46.15499079619005
bdg_d2_corrected_norm,16,-8.5,1.0,45.68624079619005
bdg_d2_corrected_norm,16,-8.25,1.0,45.21749079619005
bdg_d2_corrected_norm,16,-8.0,1.0,44.74874079619005
bdg_d2_corrected_norm,16,-7.75,1.0,44.27999079619005
bdg_d2_corrected_norm,16,-7.5,1.0,43.81124079619005
bdg_d2_corrected_norm,16,-7.25,1.0,43.34249079619005
bdg_d2_corrected_norm,16,-7.0,1.0,42.87374079619005
bdg_d2_corrected_norm,16,-6.75,1.0,42.40499079619005
bdg_d2_corrected_norm,16,-6.5,1.0,41.93624079619005
bdg_d2_corrected_norm,16,-6.25,1.0,41.46749079619005
bdg_d2_corrected_norm,16,-6.0,1.0,40.99874079619005
bdg_d2_corrected_norm,16,-5.75,1.0,40.52999079619005
bdg_d2_corrected_norm,16,-5.5,1.0,40.06124079619005
bdg_d2_corrected_norm,16,-5.25,1.0,39.59249079619005
bdg_d2_corrected_norm,16,-5.0,1.0,39.12374079619005
bdg_d2_corrected_norm,16,-4.75,1.0,38.65499079619005
bdg_d2_corrected_norm,16,-4.5,1.0,38.18624079619005
bdg_d2_corrected_norm,16,-4.25,1.0,37.71749079619005
bdg_d2_corrected_norm,16,-4.0,1.0,37.24874079619005
bdg_d2_corrected_norm,16,-3.75,1.0,36.77999079619005
bdg_d2_corrected_norm,16,-3.5,1.0,36.31124079619005
bdg_d2_corrected_norm,16,-3.25,1.0,35.84249079619005
bdg_d2_corrected_norm,16,-3.0,1.0,35.37374079619005
bdg_d2_corrected_norm,16,-2.75,1.0,34.90499079619005
bdg_d2_corrected_norm,16,-2.5,1.0,34.43624079619005
bdg_d2_corrected_norm,16,-2.25,1.0,33.96749079619005
bdg_d2_corrected_norm,16,-2.0,1.0,33.49874079619005
bdg_d2_corrected_norm,16,-1.75,1.0,33.02999079619005
bdg_d2_corrected_norm,16,-1.5,1.0,32.56124079619005
bdg_d2_corrected_norm,16,-1.25,1.0,32.09249079619005
bdg_d2_corrected_norm,16,-1.0,1.0,31.62374079619005
bdg_d2_corrected_norm,16,-0.75,1.0,31.15499079619005
bdg_d2_corrected_norm,16,-0.5,1.0,30.68624079619005
bdg_d2_corrected_norm,16,-0.25,1.0,30.21749079619005
bdg_d2_corrected_norm,16,0.0,1.0,29.74874079619005
bdg_d2_corrected_norm,16,0.25,1.0,29.27999079619005
bdg_d2_corrected_norm,16,0.5,1.0,28.81124079619005
bdg_d2_corrected_norm,16,0.75,1.0,28.34249079619005
bdg_d2_corrected_norm,16,1.0,1.0,27.87374079619005
bdg_d2_corrected_norm,16,1.25,1.0,27.40499079619005
bdg_d2_corrected_norm,16,1.5,1.0,26.93624079619005
bdg_d2_corrected_norm,16,1.75,1.0,26.46749079619005
bdg_d2_corrected_norm,16,2.0,1.0,25.99874079619005
bdg_d2_corrected_norm,16,2.25,1.0,25.52999079619005
bdg_d2_corrected_norm,16,2.5,1.0,25.06124079619005
bdg_d2_corrected_norm,16,2.75,1.0,24.59249079619005
bdg_d2_corrected_norm,16,3.0,1.0,24.12374079619005
bdg_d2_corrected_norm,16,3.25,1.0,23.65499079619005
bdg_d2_corrected_norm,16,3.5,1.0,23.18624079619005
bdg_d2_corrected_norm,16,3.75,1.0,22.71749079619005
bdg_d2_corrected_norm,16,4.0,1.0,22.24874079619005
bdg_d2_corrected_norm,16,4.25,1.0,21.77999079619005
bdg_d2_corrected_norm,16,4.5,1.0,21.31124079619005
bdg_d2_corrected_norm,16,4.75,1.0,20.84249079619005
bdg_d2_corrected_norm,16,5.0,1.0,20.37374079619005
bdg_d2_corrected_norm,16,5.25,1.0,19.90499079619005
bdg_d2_corrected_norm,16,5.5,1.0,19.43624079619005
bdg_d2_corrected_norm,16,5.75,1.0,18.96749079619005
bdg_d2_corrected_norm,16,6.0,1.0,18.49874079619005
bdg_d2_corrected_norm,16,6.25,1.0,18.02999079619005
bdg_d2_corrected_norm,16,6.5,1.0,17.56124079619005
bdg_d2_corrected_norm,16,6.75,1.0,17.09249079619005
bdg_d2_corrected_norm,16,7.0,1.0,16.62374079619005
bdg_d2_corrected_norm,16,7.25,1.0,16.15499079619005
bdg_d2_corrected_norm,16,7.5,1.0,15.686240796190047
bdg_d2_corrected_norm,16,7.75,1.0,15.217490796190047
bdg_d2_corrected_norm,16,8.0,1.0,14.748740796190047
bdg_d2_corrected_norm,16,8.25,1.0,14.279990796190047
bdg_d2_corrected_norm,16,8.5,1.0,13.811240796190047
bdg_d2_corrected_norm,16,8.75,1.0,13.342490796190049
bdg_d2_corrected_norm,16,9.0,0.875,12.873740796190049
bdg_d2_corrected_norm,16,9.25,0.875,12.404990796190049
bdg_d2_corrected_norm,16,9.5,0.75,11.936240796190049
bdg_d2_corrected_norm,16,9.75,0.75,11.467490796190049
bdg_d2_corrected_norm,16,10.0,0.75,10.998740796190047
bdg_d2_corrected_norm,20,-10.0,1.0,43.97919885931816
bdg_d2_corrected_norm,20,-9.75,1.0,43.547948859318154
bdg_d2_corrected_norm,20,-9.5,1.0,43.116698859318156
bdg_d2_corrected_norm,20,-9.25,1.0,42.68544885931816
