rs,N,rep,mean_K,median_K,std_K,max_K,n_causal_pairs,C_0,C_1,C_2,C_3,C_4,bd_ratio,n_layers,layer_ratio,mean_layer_width,layer_width_std,layer_width_cv,max_layer_width_ratio,layer_entropy,w_max_ratio,bin0_density,bin0_mean_K,bin0_layer_ratio,bin1_density,bin1_mean_K,bin1_layer_ratio,bin2_density,bin2_mean_K,bin2_layer_ratio
0.0,256,4,0.0,0.0,0.0,0.0,5298,2321,932,517,372,246,0.07110906862745098,6.0,0.0234375,42.666666666666664,16.629959577688563,0.3897646776020757,0.2265625,1.6926949766538988,0.296875,0.3224089635854342,0.0,0.058823529411764705,0.12885154061624648,0.0,0.058823529411764705,0.12120383036935704,0.0,0.05813953488372093
0.0,256,5,0.0,0.0,0.0,0.0,4979,2312,857,463,302,240,0.07083333333333333,6.0,0.0234375,42.666666666666664,16.58982285083907,0.3888239730665407,0.23046875,1.6898156558695911,0.3046875,0.26554621848739496,0.0,0.07058823529411765,0.15938375350140055,0.0,0.058823529411764705,0.12421340629274966,0.0,0.05813953488372093
0.0,256,6,0.0,0.0,0.0,0.0,5203,2244,880,572,344,262,0.06875,6.0,0.0234375,42.666666666666664,18.607047649270484,0.436102679279777,0.2421875,1.6720177407167214,0.3125,0.2854341736694678,0.0,0.07058823529411765,0.16806722689075632,0.0,0.058823529411764705,0.09575923392612859,0.0,0.05813953488372093
0.0,256,7,0.0,0.0,0.0,0.0,5000,2257,953,527,340,227,0.0691482843137255,6.0,0.0234375,42.666666666666664,22.462314118441927,0.5264604871509827,0.25,1.5964939283498372,0.3125,0.2350140056022409,0.0,0.058823529411764705,0.15126050420168066,0.0,0.058823529411764705,0.13515731874145007,0.0,0.05813953488372093
0.0,256,8,0.0,0.0,0.0,0.0,5463,2349,849,526,396,299,0.07196691176470588,6.0,0.0234375,42.666666666666664,17.470610241838212,0.40946742754308313,0.22265625,1.6741727932295727,0.3046875,0.27983193277310925,0.0,0.07058823529411765,0.19747899159663865,0.0,0.058823529411764705,0.11846785225718194,0.0,0.05813953488372093
0.0,256,9,0.0,0.0,0.0,0.0,5294,2329,914,498,360,279,0.07135416666666666,7.0,0.02734375,36.57142857142857,21.750908965289856,0.5947514170196445,0.2265625,1.6916655292025233,0.3125,0.2837535014005602,0.0,0.058823529411764705,0.17899159663865546,0.0,0.058823529411764705,0.11764705882352941,0.0,0.06976744186046512
0.0,512,0,0.0,0.0,0.0,0.0,20451,7006,2994,1862,1339,1029,0.05355613992172211,8.0,0.015625,64.0,36.1420807370024,0.5647200115156625,0.20703125,1.876330229954095,nan,0.2581970066132962,0.0,0.03529411764705882,0.16009631922944617,0.0,0.03508771929824561,0.1195046439628483,0.0,0.03508771929824561
0.0,512,1,0.0,0.0,0.0,0.0,20994,7065,3132,1977,1418,1090,0.05400715508806262,7.0,0.013671875,73.14285714285714,32.550745312637055,0.44502972107120975,0.220703125,1.8206628398217486,nan,0.2866689871214758,0.0,0.03529411764705882,0.15349157206742345,0.0,0.03508771929824561,0.1153078775369797,0.0,0.03508771929824561
0.0,512,2,0.0,0.0,0.0,0.0,21641,7147,3146,1965,1467,1144,0.0546339897260274,8.0,0.015625,64.0,34.835326896700714,0.5443019827609487,0.1953125,1.882157510397563,nan,0.27782805429864255,0.0,0.041176470588235294,0.1674578603371173,0.0,0.03508771929824561,0.1173718610251118,0.0,0.029239766081871343
0.0,512,3,0.0,0.0,0.0,0.0,21519,6957,3117,1993,1427,1237,0.053181568003913895,7.0,0.013671875,73.14285714285714,32.23320635364615,0.440688368116256,0.2109375,1.8073896499387814,nan,0.26710755308040374,0.0,0.041176470588235294,0.16683866529067767,0.0,0.03508771929824561,0.12693498452012383,0.0,0.04093567251461988
0.0,512,4,0.0,0.0,0.0,0.0,20909,7052,3084,2035,1486,1066,0.05390777886497065,8.0,0.015625,64.0,31.929610082179206,0.4989001575340501,0.203125,1.9057229402845755,nan,0.2948137835015663,0.0,0.041176470588235294,0.14881320949432406,0.0,0.03508771929824561,0.11214310285517716,0.0,0.029239766081871343
0.0,512,5,0.0,0.0,0.0,0.0,20872,7044,3065,1931,1383,1068,0.05384662426614482,7.0,0.013671875,73.14285714285714,30.11135794930246,0.41167872196311955,0.185546875,1.8207872308129145,nan,0.28256178210929345,0.0,0.041176470588235294,0.15060199518403852,0.0,0.03508771929824561,0.12260061919504645,0.0,0.03508771929824561
0.0,512,6,0.0,0.0,0.0,0.0,19652,6806,2822,1810,1413,1020,0.05202727495107632,7.0,0.013671875,73.14285714285714,31.393486910634238,0.42920782885632747,0.20703125,1.8170902063232655,nan,0.25958927949878174,0.0,0.03529411764705882,0.15122119023047817,0.0,0.04093567251461988,0.1065015479876161,0.0,0.03508771929824561
0.0,512,7,0.0,0.0,0.0,0.0,20710,6858,3043,1951,1316,1057,0.05242477984344423,7.0,0.013671875,73.14285714285714,24.339436379368077,0.33276573174917295,0.177734375,1.8691543856587065,nan,0.29808562478245737,0.0,0.041176470588235294,0.13959408324733402,0.0,0.04093567251461988,0.11276229790161679,0.0,0.03508771929824561
0.0,512,8,0.0,0.0,0.0,0.0,22045,6723,3257,2198,1586,1280,0.05139279598825832,7.0,0.013671875,73.14285714285714,32.379131601469894,0.44268343986384623,0.2109375,1.7935049752969543,nan,0.3060911938739993,0.0,0.03529411764705882,0.1695218438252494,0.0,0.03508771929824561,0.11867905056759546,0.0,0.03508771929824561
0.0,512,9,0.0,0.0,0.0,0.0,21809,7022,3130,1922,1456,1212,0.05367844911937378,8.0,0.015625,64.0,33.08322837934654,0.5169254434272896,0.197265625,1.8951770726942758,nan,0.30623042116254784,0.0,0.041176470588235294,0.16422428620571036,0.0,0.03508771929824561,0.11929824561403508,0.0,0.03508771929824561
0.5,128,0,0.009981457466238967,0.00020340878612947068,0.04301834807194851,0.3266154384993347,3007,955,409,252,203,160,0.11749507874015748,7.0,0.0546875,18.285714285714285,4.266624149448022,0.23333100817293873,0.1796875,1.9149628678054906,0.2578125,0.45063879210220675,0.030035858905853502,0.16666666666666666,0.3576965669988926,0.00028072701149467585,0.13953488372093023,0.34108527131782945,9.416791019697058e-05,0.13953488372093023
0.5,128,1,0.008896166119004883,0.0002316427807452236,0.05304021511881769,0.5633959764702966,3198,973,430,259,225,210,0.11970964566929133,7.0,0.0546875,18.285714285714285,7.085483867221283,0.38748739898866397,0.234375,1.8551859687169026,0.2421875,0.49361207897793263,0.026691996025274018,0.14285714285714285,0.37209302325581395,0.00030980401639171286,0.11627906976744186,0.3709856035437431,0.00010055482479703529,0.11627906976744186
0.5,128,2,0.021606127198514836,0.0002241599191531333,0.1680343759413018,1.8659522289683785,3118,956,433,256,214,154,0.11761811023622047,7.0,0.0546875,18.285714285714285,7.45872998983235,0.40789929631895666,0.203125,1.8160767041251051,0.25,0.5121951219512195,0.06548969804057567,0.11904761904761904,0.3798449612403101,0.0002528276937115341,0.11627906976744186,0.2967884828349945,9.640402037497136e-05,0.11627906976744186
0.5,128,3,0.010377228294491432,0.0002184632402605542,0.07384975669887706,0.8246581382004188,2777,933,441,287,185,148,0.11478838582677166,6.0,0.046875,21.333333333333332,4.422166387140533,0.2072890493972125,0.2109375,1.7694656798953128,0.2578125,0.47038327526132406,0.03128182684059007,0.11904761904761904,0.3532668881506091,0.00023338424508034946,0.11627906976744186,0.2646733111849391,0.000102627252364318,0.09302325581395349
0.5,128,4,0.008079021863834784,0.0002942351198077899,0.03444603855410867,0.32343021304039077,3156,994,419,281,183,162,0.12229330708661418,8.0,0.0625,16.0,6.461423991660043,0.4038389994787527,0.1796875,1.9590328649826911,0.2578125,0.5284552845528455,0.024131855659128353,0.14285714285714285,0.39313399778516056,0.0003741536611988912,0.13953488372093023,0.28017718715393136,0.00010437798734672529,0.11627906976744186
0.5,128,5,0.016730522261996783,0.0002530876990662233,0.14323409925506933,1.621791119901995,2927,1026,400,245,167,147,0.12623031496062992,8.0,0.0625,16.0,7.035623639735144,0.4397264774834465,0.1875,1.9432659052525725,0.2421875,0.47619047619047616,0.050587473658737885,0.16666666666666666,0.3842746400885936,0.00029611606310144396,0.13953488372093023,0.292358803986711,9.534802686592944e-05,0.13953488372093023
0.5,128,6,0.014251188140994527,0.0002292961417200524,0.06648800874335968,0.5531562575807666,2892,955,437,260,235,156,0.11749507874015748,7.0,0.0546875,18.285714285714285,8.08374534331149,0.44207982346234714,0.2265625,1.8167733191915614,0.2578125,0.4959349593495935,0.04304978735805191,0.14285714285714285,0.32447397563676633,0.00028032285852809167,0.13953488372093023,0.3167220376522702,9.31890719165503e-05,0.11627906976744186
0.5,128,7,0.012742845351803183,0.0002674067249782365,0.07451590964313981,0.6604826208086837,2973,942,396,284,180,147,0.11589566929133858,7.0,0.0546875,18.285714285714285,5.823947745897002,0.3184971423537423,0.1953125,1.8852893136177913,0.2578125,0.4692218350754936,0.03844292426885192,0.14285714285714285,0.39424141749723146,0.0002901872232228582,0.11627906976744186,0.28792912513842744,9.310081721962132e-05,0.13953488372093023
0.5,128,8,0.02598454526343039,0.000298158804802706,0.12348360253999982,1.1310120386374738,3151,989,418,281,214,166,0.12167814960629922,8.0,0.0625,16.0,7.3824115301167,0.46140072063229376,0.1953125,1.9332953329185103,0.234375,0.5470383275261324,0.0787398136958792,0.14285714285714285,0.3853820598006645,0.0003449683289481677,0.11627906976744186,0.3133997785160576,9.57204731951752e-05,0.11627906976744186
0.5,128,9,0.014033824740627383,0.00022684966493317183,0.12009292829393399,1.3441484903648604,3164,972,453,275,202,145,0.11958661417322834,7.0,0.0546875,18.285714285714285,6.0642815076546075,0.33164039494986136,0.203125,1.8813990962150557,0.2421875,0.5249709639953543,0.042412543195627456,0.14285714285714285,0.42524916943521596,0.00025600793196531405,0.13953488372093023,0.28017718715393136,9.289329091727904e-05,0.11627906976744186
