beta,gamma,lam,eta,kappa,L_B,L_C,L_A,L_D,L_total
0.5,0.5,1.0333333333333332,0.1,0.5,0.0,0.040241243188312625,4.1129272917991075,0.0,2.0967048890878663
0.5,0.5,1.0333333333333332,0.4,0.05,0.0,0.020803210070236312,4.748268477878932,0.0,2.3949374490097024
0.5,0.5,1.0333333333333332,0.4,0.2,0.0,0.020999368565093574,4.762247956295804,0.0,2.4021233467129957
0.5,0.5,1.0333333333333332,0.4,0.35,0.0,0.021195656337509944,4.7762642805415645,0.0,2.409327796608292
0.5,0.5,1.0333333333333332,0.4,0.5,0.0,0.021392061559154327,4.79031745061629,0.0,2.4165507868672993
0.5,0.5,1.0333333333333332,0.7,0.05,0.0,0.01227992705727711,5.636805593854671,0.0,2.8306827239846126
0.5,0.5,1.0333333333333332,0.7,0.2,0.0,0.012407745884582454,5.652419535601945,0.0,2.838617513685555
0.5,0.5,1.0333333333333332,0.7,0.35,0.0,0.012535917075356617,5.668055213281956,0.0,2.846563523716335
0.5,0.5,1.0333333333333332,0.7,0.5,0.0,0.012664434526261543,5.683712626894769,0.0,2.854520747973646
0.5,0.5,1.0333333333333332,1.0,0.05,0.0,0.008271381924963225,6.607109458464649,0.0,3.3118261111572878
0.5,0.5,1.0333333333333332,1.0,0.2,0.0,0.008358112019246347,6.624004532205082,0.0,3.320360378121787
0.5,0.5,1.0333333333333332,1.0,0.35,0.0,0.008445163324953125,6.640921341878238,0.0,3.3289058342640723
0.5,0.5,1.0333333333333332,1.0,0.5,0.0,0.00853253294587563,6.657859887484213,0.0,3.3374624766879823
0.5,0.5,1.5,0.1,0.05,0.0,0.03240379123348317,3.9293067861173987,0.0,1.9970571842921825
0.5,0.5,1.5,0.1,0.2,0.0,0.032676398508830605,3.940170419578778,0.0,2.00276160829822
0.5,0.5,1.5,0.1,0.35,0.0,0.032948507721033464,3.951070898869059,0.0,2.008483957155563
0.5,0.5,1.5,0.1,0.5,0.0,0.0332201015987218,3.962008223988259,0.0,2.0142242135928514
0.5,0.5,1.5,0.4,0.05,0.0,0.01674520170523543,4.603595800855328,0.0,2.3185431021328995
0.5,0.5,1.5,0.4,0.2,0.0,0.016928744853761092,4.617519298004089,0.0,2.3256883938558053
0.5,0.5,1.5,0.4,0.35,0.0,0.01711259989867866,4.631479640981763,0.0,2.3328524203895604
0.5,0.5,1.5,0.4,0.5,0.0,0.017296754235212774,4.645476829788372,0.0,2.340035169129399
0.5,0.5,1.5,0.7,0.05,0.0,0.009870250996178869,5.4823154010432456,0.0,2.7510279515178016
0.5,0.5,1.5,0.7,0.2,0.0,0.00998759999509004,5.497713024971899,0.0,2.75884411248104
0.5,0.5,1.5,0.7,0.35,0.0,0.010105378960346002,5.513132384833316,0.0,2.766671571377004
0.5,0.5,1.5,0.7,0.5,0.0,0.010223581849873242,5.528573480627492,0.0,2.774510322163619
0.5,0.5,1.5,1.0,0.05,0.0,0.006700755620562812,6.439822949948944,0.0,3.226612230595035
0.5,0.5,1.5,1.0,0.2,0.0,0.006779972552598972,6.4565017058707594,0.0,3.2350308254879785
0.5,0.5,1.5,1.0,0.35,0.0,0.006859544316265109,6.473202197725339,0.0,3.2434606431789343
0.5,0.5,1.5,1.0,0.5,0.0,0.006939468135878177,6.4899244255126565,0.0,3.2519016808922063
0.5,1.3333333333333335,0.1,0.1,0.05,0.0,0.09775036575278558,67.01927625694375,0.0,33.607388494224665
0.5,1.3333333333333335,0.1,0.1,0.2,0.0,0.09788523222185706,67.03885603271108,0.0,33.617313248577396
0.5,1.3333333333333335,0.1,0.1,0.35,0.0,0.09801965455295478,67.05847285689977,0.0,33.62725608300284
0.5,1.3333333333333335,0.1,0.1,0.5,0.0,0.09815362121785916,67.07812672950949,0.0,33.63721698597261
0.5,1.3333333333333335,0.1,0.4,0.05,0.0,0.06685765542345123,66.43800829239002,0.0,33.285861801618466
0.5,1.3333333333333335,0.1,0.4,0.2,0.0,0.06699060185540598,66.46075978894696,0.0,33.29737049632889
0.5,1.3333333333333335,0.1,0.4,0.35,0.0,0.06712403257042043,66.48354833392519,0.0,33.30889819953301
0.5,1.3333333333333335,0.1,0.4,0.5,0.0,0.06725792787434348,66.50637392732447,0.0,33.32044489153658
0.5,1.3333333333333335,0.1,0.7,0.05,0.0,0.04640560543853378,66.20534856872067,0.0,33.14907988979887
0.5,1.3333333333333335,0.1,0.7,0.2,0.0,0.046488629989482465,66.23127178606725,0.0,33.16212452302311
0.5,1.3333333333333335,0.1,0.7,0.35,0.0,0.046572956565992765,66.25723205183492,0.0,33.175188982483455
0.5,1.3333333333333335,0.1,0.7,0.5,0.0,0.046658569843692044,66.28322936602392,0.0,33.18827325285565
0.5,1.3333333333333335,0.1,1.0,0.05,0.0,0.03526038016583527,66.32129708593597,0.0,33.19590892313382
0.5,1.3333333333333335,0.1,1.0,0.2,0.0,0.03527424459839002,66.35039202407202,0.0,33.2104702566344
0.5,1.3333333333333335,0.1,1.0,0.35,0.0,0.03528976046813534,66.37952401062942,0.0,33.22505176578285
0.5,1.3333333333333335,0.1,1.0,0.5,0.0,0.03530692671288929,66.40869304560806,0.0,33.23965344951692
0.5,1.3333333333333335,0.5666666666666667,0.1,0.05,0.0,0.09036198277746521,66.24408582549361,0.0,33.21240489552427
0.5,1.3333333333333335,0.5666666666666667,0.1,0.2,0.0,0.09051814102576043,66.26362752271476,0.0,33.22233190238314
0.5,1.3333333333333335,0.5666666666666667,0.1,0.35,0.0,0.09067319529899175,66.2832062683569,0.0,33.23227632947744
0.5,1.3333333333333335,0.5666666666666667,0.1,0.5,0.0,0.09082715161390632,66.30282206242046,0.0,33.24223818282414
0.5,1.3333333333333335,0.5666666666666667,0.4,0.05,0.0,0.0607925227139097,65.67878091838728,0.0,32.90018298190755
0.5,1.3333333333333335,0.5666666666666667,0.4,0.2,0.0,0.060955268862007125,65.70149433639796,0.0,32.91170243706099
0.5,1.3333333333333335,0.5666666666666667,0.4,0.35,0.0,0.06111826666478822,65.72424480282973,0.0,32.92324066807965
0.5,1.3333333333333335,0.5666666666666667,0.4,0.5,0.0,0.06128149375954135,65.74703231768291,0.0,32.934797652601
0.5,1.3333333333333335,0.5666666666666667,0.7,0.05,0.0,0.04125739092753024,65.4620842521653,0.0,32.77229951701018
