step,F,accepted,n_comparable,label,comp_frac,n_layers,d_eff,aw,aw_ratio,height_ratio,width_ratio
380,108.90453392030258,68,1254,mc_Lor2D,0.6220238095238095,37,1.2732571428571429,15,0.234375,0.578125,0.21875
390,107.51065756118324,70,1228,mc_Lor2D,0.6091269841269841,40,1.3506380952380956,16,0.25,0.625,0.234375
400,103.67813151688378,72,1272,mc_Lor2D,0.6309523809523809,40,1.2196857142857145,15,0.234375,0.625,0.21875
410,103.67813151688378,72,1272,mc_Lor2D,0.6309523809523809,40,1.2196857142857145,15,0.234375,0.625,0.21875
420,103.67813151688378,72,1272,mc_Lor2D,0.6309523809523809,40,1.2196857142857145,15,0.234375,0.625,0.21875
430,103.75799584027511,73,1232,mc_Lor2D,0.6111111111111112,40,1.338733333333333,16,0.25,0.625,0.234375
440,103.75799584027511,73,1232,mc_Lor2D,0.6111111111111112,40,1.338733333333333,16,0.25,0.625,0.234375
450,103.75799584027511,73,1232,mc_Lor2D,0.6111111111111112,40,1.338733333333333,16,0.25,0.625,0.234375
460,103.75799584027511,73,1232,mc_Lor2D,0.6111111111111112,40,1.338733333333333,16,0.25,0.625,0.234375
470,103.75799584027511,73,1232,mc_Lor2D,0.6111111111111112,40,1.338733333333333,16,0.25,0.625,0.234375
480,103.75799584027511,73,1232,mc_Lor2D,0.6111111111111112,40,1.338733333333333,16,0.25,0.625,0.234375
490,103.75799584027511,73,1232,mc_Lor2D,0.6111111111111112,40,1.338733333333333,16,0.25,0.625,0.234375
500,105.25951392836146,75,1210,mc_Lor2D,0.6001984126984127,41,1.404209523809524,16,0.25,0.640625,0.21875
510,97.58208386370218,76,1167,mc_Lor2D,0.5788690476190477,41,1.532185714285714,17,0.265625,0.640625,0.21875
