d,N,p_frw,rep,bin_label,n_matched,H_local,n_causal_pairs,w_max_ratio,n_layers,layer_ratio,mean_layer_width
2,256,1.5,5,late,128,1.71952718455999,1678,0.2109375,10.0,0.078125,12.8
2,256,1.5,6,early,128,3.207552482391545,4705,0.15625,23.0,0.1796875,5.565217391304348
2,256,1.5,6,late,128,1.7006137229858302,1652,0.234375,11.0,0.0859375,11.636363636363637
2,256,1.5,7,early,128,3.317293161517945,5007,0.15625,19.0,0.1484375,6.7368421052631575
2,256,1.5,7,late,128,1.7370054021342747,1778,0.2109375,11.0,0.0859375,11.636363636363637
2,256,2.0,0,early,128,4.0075331112676755,5133,0.1484375,22.0,0.171875,5.818181818181818
2,256,2.0,0,late,128,2.2567039719118624,1499,0.25,10.0,0.078125,12.8
2,256,2.0,1,early,128,3.7610832712540683,4984,0.140625,24.0,0.1875,5.333333333333333
2,256,2.0,1,late,128,2.235887162664751,1401,0.21875,10.0,0.078125,12.8
2,256,2.0,2,early,128,3.6875616654881096,5005,0.140625,21.0,0.1640625,6.095238095238095
2,256,2.0,2,late,128,2.2159232069051207,1213,0.21875,9.0,0.0703125,14.222222222222223
2,256,2.0,3,early,128,3.504721984361188,4609,0.125,20.0,0.15625,6.4
2,256,2.0,3,late,128,2.219003741072685,1388,0.234375,8.0,0.0625,16.0
2,256,2.0,4,early,128,3.547928622235699,4604,0.140625,25.0,0.1953125,5.12
2,256,2.0,4,late,128,2.2102213911619417,1256,0.234375,9.0,0.0703125,14.222222222222223
2,256,2.0,5,early,128,3.9356332821178968,5018,0.15625,24.0,0.1875,5.333333333333333
2,256,2.0,5,late,128,2.2477620035650565,1314,0.2421875,9.0,0.0703125,14.222222222222223
2,256,2.0,6,early,128,3.878083079746757,5044,0.1484375,21.0,0.1640625,6.095238095238095
2,256,2.0,6,late,128,2.2664185526707232,1431,0.265625,9.0,0.0703125,14.222222222222223
2,256,2.0,7,early,128,4.1233018809932265,5156,0.1484375,26.0,0.203125,4.923076923076923
2,256,2.0,7,late,128,2.2358744661258005,1405,0.21875,9.0,0.0703125,14.222222222222223
3,128,0.5,0,early,64,1.161769194684158,419,0.359375,5.0,0.078125,12.8
3,128,0.5,0,late,64,0.6019376526952553,129,0.53125,6.0,0.09375,10.666666666666666
3,128,0.5,1,early,64,1.138374696082515,469,0.390625,6.0,0.09375,10.666666666666666
3,128,0.5,1,late,64,0.5647041975941474,57,0.671875,3.0,0.046875,21.333333333333332
3,128,0.5,2,early,64,1.23488120633648,430,0.40625,5.0,0.078125,12.8
3,128,0.5,2,late,64,0.5829256720540154,125,0.53125,3.0,0.046875,21.333333333333332
3,128,0.5,3,early,64,1.0157714189227898,410,0.453125,6.0,0.09375,10.666666666666666
3,128,0.5,3,late,64,0.5655936859737729,69,0.671875,3.0,0.046875,21.333333333333332
3,128,0.5,4,early,64,1.3360768055033503,423,0.359375,5.0,0.078125,12.8
3,128,0.5,4,late,64,0.6108912425950558,122,0.5625,3.0,0.046875,21.333333333333332
3,128,0.5,5,early,64,1.279045270391366,451,0.40625,6.0,0.09375,10.666666666666666
3,128,0.5,5,late,64,0.6019925507390625,121,0.53125,4.0,0.0625,16.0
3,128,0.5,6,early,64,1.1598788205250186,594,0.359375,6.0,0.09375,10.666666666666666
3,128,0.5,6,late,64,0.5605625813337163,38,0.71875,3.0,0.046875,21.333333333333332
3,128,0.5,7,early,64,1.2261630715208205,462,0.40625,6.0,0.09375,10.666666666666666
3,128,0.5,7,late,64,0.5847549999072685,74,0.65625,3.0,0.046875,21.333333333333332
3,128,1.0,0,early,64,1.7032582046333047,429,0.359375,7.0,0.109375,9.142857142857142
3,128,1.0,0,late,64,1.0865396168710706,30,0.75,3.0,0.046875,21.333333333333332
3,128,1.0,1,early,64,2.0660179107510683,694,0.359375,7.0,0.109375,9.142857142857142
3,128,1.0,1,late,64,1.105252641414971,51,0.671875,3.0,0.046875,21.333333333333332
3,128,1.0,2,early,64,1.8118736379459661,501,0.421875,7.0,0.109375,9.142857142857142
3,128,1.0,2,late,64,1.119695754073859,44,0.703125,3.0,0.046875,21.333333333333332
3,128,1.0,3,early,64,1.9585889457017176,599,0.328125,6.0,0.09375,10.666666666666666
3,128,1.0,3,late,64,1.113236224800646,55,0.6875,3.0,0.046875,21.333333333333332
3,128,1.0,4,early,64,1.7946294895315371,591,0.40625,7.0,0.109375,9.142857142857142
3,128,1.0,4,late,64,1.0957285392815064,37,0.71875,3.0,0.046875,21.333333333333332
3,128,1.0,5,early,64,1.736559745200403,438,0.453125,6.0,0.09375,10.666666666666666
3,128,1.0,5,late,64,1.1171183175323578,31,0.75,3.0,0.046875,21.333333333333332
3,128,1.0,6,early,64,1.9379789626033355,558,0.40625,5.0,0.078125,12.8
3,128,1.0,6,late,64,1.123441320320109,40,0.75,3.0,0.046875,21.333333333333332
3,128,1.0,7,early,64,1.672103335693682,536,0.453125,6.0,0.09375,10.666666666666666
3,128,1.0,7,late,64,1.1123721070890655,37,0.734375,2.0,0.03125,32.0
3,128,1.5,0,early,64,2.283248467655028,535,0.46875,7.0,0.109375,9.142857142857142
3,128,1.5,0,late,64,1.6215258486396324,34,0.71875,3.0,0.046875,21.333333333333332
3,128,1.5,1,early,64,2.3417852373670254,450,0.40625,7.0,0.109375,9.142857142857142
3,128,1.5,1,late,64,1.6309551618622489,46,0.671875,4.0,0.0625,16.0
3,128,1.5,2,early,64,2.437041868734153,530,0.421875,6.0,0.09375,10.666666666666666
3,128,1.5,2,late,64,1.6381118350128867,34,0.78125,2.0,0.03125,32.0
3,128,1.5,3,early,64,2.353727802971913,543,0.453125,6.0,0.09375,10.666666666666666
3,128,1.5,3,late,64,1.6356733728942436,33,0.703125,3.0,0.046875,21.333333333333332
3,128,1.5,4,early,64,2.37631078521213,484,0.484375,7.0,0.109375,9.142857142857142
3,128,1.5,4,late,64,1.6437330711954075,35,0.765625,3.0,0.046875,21.333333333333332
3,128,1.5,5,early,64,2.3405843793741687,564,0.421875,7.0,0.109375,9.142857142857142
3,128,1.5,5,late,64,1.6000523579811992,27,0.796875,3.0,0.046875,21.333333333333332
3,128,1.5,6,early,64,2.3753190595007236,607,0.421875,7.0,0.109375,9.142857142857142
3,128,1.5,6,late,64,1.6017732304966217,28,0.75,3.0,0.046875,21.333333333333332
3,128,1.5,7,early,64,2.4066494308417647,572,0.421875,7.0,0.109375,9.142857142857142
3,128,1.5,7,late,64,1.6152375287629046,34,0.734375,3.0,0.046875,21.333333333333332
3,128,2.0,0,early,64,2.8645236594870274,385,0.5,6.0,0.09375,10.666666666666666
3,128,2.0,0,late,64,2.171779122673226,26,0.75,2.0,0.03125,32.0
3,128,2.0,1,early,64,3.0594187052033686,549,0.40625,6.0,0.09375,10.666666666666666
3,128,2.0,1,late,64,2.216468330821997,47,0.671875,3.0,0.046875,21.333333333333332
3,128,2.0,2,early,64,2.838361120626998,529,0.4375,6.0,0.09375,10.666666666666666
3,128,2.0,2,late,64,2.138252070386348,9,0.890625,2.0,0.03125,32.0
3,128,2.0,3,early,64,2.752594786645237,396,0.578125,5.0,0.078125,12.8
3,128,2.0,3,late,64,2.113322351974807,17,0.8125,3.0,0.046875,21.333333333333332
3,128,2.0,4,early,64,2.938449309803362,531,0.4375,6.0,0.09375,10.666666666666666
3,128,2.0,4,late,64,2.149366847986914,31,0.75,3.0,0.046875,21.333333333333332
3,128,2.0,5,early,64,2.867409136886862,419,0.453125,5.0,0.078125,12.8
3,128,2.0,5,late,64,2.153235704828752,25,0.75,2.0,0.03125,32.0
3,128,2.0,6,early,64,2.785046122110425,410,0.484375,6.0,0.09375,10.666666666666666
3,128,2.0,6,late,64,2.1061233224695193,15,0.84375,3.0,0.046875,21.333333333333332
3,128,2.0,7,early,64,2.9521018282540243,550,0.421875,7.0,0.109375,9.142857142857142
3,128,2.0,7,late,64,2.1253467180543284,19,0.796875,2.0,0.03125,32.0
3,256,0.5,0,early,128,1.2927737632581433,2023,0.3125,7.0,0.0546875,18.285714285714285
3,256,0.5,0,late,128,0.5846286863579534,364,0.5078125,4.0,0.03125,32.0
3,256,0.5,1,early,128,1.237346810347227,2151,0.3125,8.0,0.0625,16.0
3,256,0.5,1,late,128,0.5773828332117963,277,0.515625,5.0,0.0390625,25.6
3,256,0.5,2,early,128,1.2526317881117597,2040,0.3203125,7.0,0.0546875,18.285714285714285
3,256,0.5,2,late,128,0.5768690961231427,357,0.4609375,4.0,0.03125,32.0
3,256,0.5,3,early,128,1.2971067035342347,1967,0.328125,7.0,0.0546875,18.285714285714285
3,256,0.5,3,late,128,0.5792787089556084,398,0.484375,4.0,0.03125,32.0
3,256,0.5,4,early,128,1.3362881442052976,1995,0.296875,8.0,0.0625,16.0
3,256,0.5,4,late,128,0.585675152656161,366,0.484375,4.0,0.03125,32.0
3,256,0.5,5,early,128,1.2515417510214402,1671,0.359375,7.0,0.0546875,18.285714285714285
3,256,0.5,5,late,128,0.582183858301106,423,0.484375,5.0,0.0390625,25.6
3,256,0.5,6,early,128,1.2730833116100402,1887,0.3359375,7.0,0.0546875,18.285714285714285
3,256,0.5,6,late,128,0.6073521409323857,455,0.46875,4.0,0.03125,32.0
