d,N,p_frw,rep,t_center,H_local,n_causal_pairs,w_max_ratio,n_layers,layer_ratio,mean_layer_width,layer_width_std,layer_width_cv,max_layer_width_ratio,layer_entropy
2,128,1.5,5,0.6,2.5,1868,0.2265625,11.0,0.0859375,11.636363636363637,5.26174404672283,0.4521811290152432,0.1484375,2.2805330933897747
2,128,1.5,6,0.6,2.5,1655,0.2109375,10.0,0.078125,12.8,3.655133376499413,0.2855572950390166,0.1328125,2.25344342093131
2,128,1.5,7,0.6,2.5,1831,0.1953125,11.0,0.0859375,11.636363636363637,5.068130859915038,0.43554249577394855,0.140625,2.26336558966249
2,128,1.5,0,0.8,1.875,1139,0.2421875,9.0,0.0703125,14.222222222222221,5.513171657802345,0.3876448821892274,0.15625,2.107915787715559
2,128,1.5,1,0.8,1.875,1076,0.25,9.0,0.0703125,14.222222222222221,6.860155129081392,0.48235465751353535,0.1640625,2.0433873215508607
2,128,1.5,2,0.8,1.875,1188,0.2421875,10.0,0.078125,12.8,6.337191807101943,0.4950931099298393,0.1484375,2.147015220354291
2,128,1.5,3,0.8,1.875,1232,0.2421875,9.0,0.0703125,14.222222222222221,7.2076776623230465,0.5067898356320892,0.171875,2.0268520563766277
2,128,1.5,4,0.8,1.875,1121,0.2421875,9.0,0.0703125,14.222222222222221,5.553332888711022,0.3904687187374938,0.15625,2.101209783401505
2,128,1.5,5,0.8,1.875,1247,0.2265625,9.0,0.0703125,14.222222222222221,5.593205754956986,0.3932722796454131,0.1484375,2.08481138928805
2,128,1.5,6,0.8,1.875,1195,0.234375,10.0,0.078125,12.8,6.2257529665093525,0.48638695050854314,0.1484375,2.14298433666428
2,128,1.5,7,0.8,1.875,1073,0.234375,8.0,0.0625,16.0,7.0,0.4375,0.1796875,1.9547122050498773
2,128,2.0,0,0.2,10.0,6205,0.1015625,28.0,0.21875,4.571428571428571,2.470230923684369,0.5403630145559557,0.0703125,3.1805081407013356
2,128,2.0,1,0.2,10.0,6199,0.1015625,29.0,0.2265625,4.413793103448276,2.5799925337944676,0.5845295584378091,0.0859375,3.2004289775639743
2,128,2.0,2,0.2,10.0,6434,0.1171875,33.0,0.2578125,3.878787878787879,2.2930405348354683,0.5911745128872692,0.0703125,3.3197148216771755
2,128,2.0,3,0.2,10.0,6326,0.09375,25.0,0.1953125,5.12,2.103711006768753,0.410881056009522,0.078125,3.1347426104241687
2,128,2.0,4,0.2,10.0,6204,0.109375,25.0,0.1953125,5.12,2.232845717912458,0.436102679279777,0.0703125,3.1173597056010482
2,128,2.0,5,0.2,10.0,6718,0.09375,28.0,0.21875,4.571428571428571,2.145236773954458,0.46927054430253773,0.0703125,3.222343463204278
2,128,2.0,6,0.2,10.0,6075,0.09375,28.0,0.21875,4.571428571428571,2.1618208500602223,0.47289831095067364,0.078125,3.216810511752933
2,128,2.0,7,0.2,10.0,6446,0.0859375,31.0,0.2421875,4.129032258064516,1.9133138872692796,0.4633807070730287,0.0625,3.3206455460918676
2,128,2.0,0,0.4,5.0,3965,0.140625,18.0,0.140625,7.111111111111111,2.997941680718231,0.42158554885100125,0.1015625,2.7874162355249905
2,128,2.0,1,0.4,5.0,3683,0.140625,16.0,0.125,8.0,2.979093821953246,0.37238672774415577,0.0859375,2.6828908899887054
2,128,2.0,2,0.4,5.0,4103,0.140625,18.0,0.140625,7.111111111111111,2.051798368068821,0.288534145509678,0.0859375,2.8474501803132997
2,128,2.0,3,0.4,5.0,4325,0.1171875,16.0,0.125,8.0,2.5495097567963922,0.31868871959954903,0.09375,2.715479660873649
2,128,2.0,4,0.4,5.0,3947,0.1328125,15.0,0.1171875,8.533333333333333,2.390722810272148,0.28016282932876735,0.09375,2.6666831681172694
2,128,2.0,5,0.4,5.0,3783,0.140625,17.0,0.1328125,7.529411764705882,2.8100166852932205,0.37320534101550584,0.1015625,2.751479447894538
2,128,2.0,6,0.4,5.0,3788,0.1953125,15.0,0.1171875,8.533333333333333,3.9135093657171125,0.45861437879497413,0.1484375,2.6056376848548353
2,128,2.0,7,0.4,5.0,4312,0.1328125,18.0,0.140625,7.111111111111111,2.1829869671542776,0.3069825422560703,0.09375,2.8414296266178782
2,128,2.0,0,0.6,3.3333333333333335,2257,0.203125,13.0,0.1015625,9.846153846153847,4.588382551386689,0.4660076028752106,0.125,2.4360575799475783
2,128,2.0,1,0.6,3.3333333333333335,2316,0.171875,13.0,0.1015625,9.846153846153847,4.8965632193352455,0.49730720196373585,0.1328125,2.4117468144332874
2,128,2.0,2,0.6,3.3333333333333335,2082,0.203125,13.0,0.1015625,9.846153846153847,4.382590625613574,0.4451068604138786,0.1171875,2.4509140950967674
2,128,2.0,3,0.6,3.3333333333333335,1962,0.1796875,12.0,0.09375,10.666666666666666,4.4783429475148,0.41984465132951254,0.1328125,2.3686925166568362
2,128,2.0,4,0.6,3.3333333333333335,2072,0.2109375,13.0,0.1015625,9.846153846153847,5.216042617896826,0.5297543283801464,0.1640625,2.404658851154791
2,128,2.0,5,0.6,3.3333333333333335,2371,0.203125,13.0,0.1015625,9.846153846153847,4.849205388453688,0.4924974222648277,0.140625,2.4285221454093757
2,128,2.0,6,0.6,3.3333333333333335,2009,0.1875,11.0,0.0859375,11.636363636363637,3.053246477044848,0.26238836912104163,0.140625,2.364276250809067
2,128,2.0,7,0.6,3.3333333333333335,2260,0.1796875,12.0,0.09375,10.666666666666666,4.440970864824742,0.41634101857731953,0.125,2.3731384149544468
2,128,2.0,0,0.8,2.5,1271,0.2421875,9.0,0.0703125,14.222222222222221,5.30780929444275,0.3732053410155059,0.15625,2.094613228931649
2,128,2.0,1,0.8,2.5,1182,0.234375,9.0,0.0703125,14.222222222222221,5.028314888437671,0.35355339059327373,0.15625,2.125347881175692
2,128,2.0,2,0.8,2.5,1280,0.2265625,10.0,0.078125,12.8,6.209669878504009,0.4851304592581257,0.15625,2.155325362623716
2,128,2.0,3,0.8,2.5,1382,0.25,11.0,0.0859375,11.636363636363637,6.732184938754044,0.5785471431741755,0.1484375,2.1861810112668336
2,128,2.0,4,0.8,2.5,1219,0.234375,9.0,0.0703125,14.222222222222221,5.137612454087507,0.36123837567802786,0.1484375,2.1132717796867864
2,128,2.0,5,0.8,2.5,1378,0.234375,9.0,0.0703125,14.222222222222221,4.802262841105402,0.3376591060152236,0.15625,2.12491793856169
2,128,2.0,6,0.8,2.5,1400,0.21875,10.0,0.078125,12.8,4.791659420284375,0.37434839220971683,0.1328125,2.2171664931370514
2,128,2.0,7,0.8,2.5,1212,0.234375,9.0,0.0703125,14.222222222222221,7.284348179148339,0.5121807313463677,0.171875,2.0203759773534213
2,256,0.5,0,0.2,2.5,7198,0.14453125,16.0,0.0625,16.0,6.363961030678928,0.397747564417433,0.08984375,2.6585385277778655
2,256,0.5,1,0.2,2.5,7204,0.15625,15.0,0.05859375,17.066666666666666,7.689531122824648,0.4505584642280067,0.10546875,2.5743931559220634
2,256,0.5,2,0.2,2.5,6695,0.13671875,15.0,0.05859375,17.066666666666666,8.053708600528221,0.47189698831220045,0.10546875,2.554249583333057
2,256,0.5,3,0.2,2.5,7342,0.14453125,15.0,0.05859375,17.066666666666666,6.4649482252803505,0.37880556007502053,0.109375,2.6112222292698024
2,256,0.5,4,0.2,2.5,6880,0.14453125,14.0,0.0546875,18.285714285714285,5.94532915619566,0.3251351882294502,0.1015625,2.571191913132147
2,256,0.5,5,0.2,2.5,7121,0.140625,15.0,0.05859375,17.066666666666666,5.334999739664682,0.3125976409959775,0.08984375,2.6481324456838826
2,256,0.5,6,0.2,2.5,6984,0.1484375,16.0,0.0625,16.0,7.211102550927978,0.45069390943299864,0.109375,2.63674607480438
2,256,0.5,7,0.2,2.5,7237,0.1640625,14.0,0.0546875,18.285714285714285,6.13454587245254,0.3354829773997483,0.09765625,2.5713484261881834
2,256,0.5,0,0.4,1.25,4855,0.15625,12.0,0.046875,21.333333333333332,7.7387911774959335,0.3627558364451219,0.10546875,2.3955264753366925
2,256,0.5,1,0.4,1.25,5352,0.15625,15.0,0.05859375,17.066666666666666,8.636871861707546,0.5060667106469265,0.109375,2.533017652114931
2,256,0.5,2,0.4,1.25,5118,0.15625,12.0,0.046875,21.333333333333332,6.712343521867424,0.3146411025875355,0.11328125,2.4249031935986176
2,256,0.5,3,0.4,1.25,5128,0.16015625,13.0,0.05078125,19.692307692307693,7.299995947149722,0.3707029191911968,0.09765625,2.472551106372948
2,256,0.5,4,0.4,1.25,4955,0.17578125,13.0,0.05078125,19.692307692307693,9.602760944201377,0.48764020419772613,0.12109375,2.401102154542327
2,256,0.5,5,0.4,1.25,5394,0.1796875,13.0,0.05078125,19.692307692307693,7.4563820406477745,0.3786444005016448,0.11328125,2.4750658200220927
2,256,0.5,6,0.4,1.25,5164,0.1640625,14.0,0.0546875,18.285714285714285,9.85921303313064,0.539175712749332,0.12109375,2.4331377236933944
2,256,0.5,7,0.4,1.25,5408,0.1796875,14.0,0.0546875,18.285714285714285,9.490059245852784,0.5189876150075742,0.125,2.467647967163581
2,256,0.5,0,0.6,0.8333333333333334,4200,0.17578125,13.0,0.05078125,19.692307692307693,9.235255320152355,0.46897780922648674,0.1171875,2.4135081068276043
2,256,0.5,1,0.6,0.8333333333333334,4212,0.17578125,13.0,0.05078125,19.692307692307693,10.071930648204868,0.5114652282291534,0.1171875,2.395776824480493
2,256,0.5,2,0.6,0.8333333333333334,4090,0.18359375,13.0,0.05078125,19.692307692307693,11.438024408387312,0.5808371769884182,0.1171875,2.3359201136115795
2,256,0.5,3,0.6,0.8333333333333334,4488,0.1953125,12.0,0.046875,21.333333333333332,8.624899355290408,0.4042921572792379,0.11328125,2.3745664667506836
2,256,0.5,4,0.6,0.8333333333333334,4365,0.17578125,13.0,0.05078125,19.692307692307693,9.816662564503552,0.498502395853696,0.11328125,2.38558987249566
2,256,0.5,5,0.6,0.8333333333333334,4502,0.1875,13.0,0.05078125,19.692307692307693,11.35026001318313,0.5763803912944557,0.1328125,2.354899960314929
