d,N,p_frw,rep,bin_label,t_mean,H_local,H_local_sq,n_elements,n_causal_pairs,w_max_ratio,n_layers,layer_ratio,mean_layer_width
2,256,0.4,2,late,0.8063394449779953,0.5054954755503147,0.2555256758018388,128,1883,0.1953125,11.0,0.0859375,11.636363636363637
2,256,0.4,3,early,0.3671593463829523,1.31803672902269,1.737220819052832,128,3050,0.1484375,14.0,0.109375,9.142857142857142
2,256,0.4,3,late,0.7939024198681927,0.5169967829394606,0.26728567356975175,128,2304,0.1796875,13.0,0.1015625,9.846153846153847
2,256,0.4,4,early,0.36867451524765765,1.309131745176682,1.713825926229345,128,3187,0.1484375,18.0,0.140625,7.111111111111111
2,256,0.4,4,late,0.8019649216031792,0.5086358394147146,0.2587104171371113,128,2010,0.1875,12.0,0.09375,10.666666666666666
2,256,0.4,5,early,0.3882999889404275,1.2681912504292903,1.6083090476654067,128,3471,0.171875,14.0,0.109375,9.142857142857142
2,256,0.4,5,late,0.8375490811053444,0.4845492599900281,0.23478798535688386,128,1714,0.203125,10.0,0.078125,12.8
2,256,0.4,6,early,0.38190284824242904,1.3378720468357064,1.7899016137043624,128,3660,0.15625,13.0,0.1015625,9.846153846153847
2,256,0.4,6,late,0.819768522829901,0.49649131963997667,0.2465036304778455,128,2059,0.1796875,11.0,0.0859375,11.636363636363637
2,256,0.4,7,early,0.3982878757197423,1.2262127507476208,1.503597710096047,128,3202,0.15625,15.0,0.1171875,8.533333333333333
2,256,0.4,7,late,0.813129011075869,0.5004788071667818,0.2504790364230848,128,1964,0.1953125,10.0,0.078125,12.8
2,256,0.5,0,early,0.42774538900370407,1.4238161988341598,2.0272525680625555,128,3548,0.1484375,15.0,0.1171875,8.533333333333333
2,256,0.5,0,late,0.8226092318800566,0.6181629997922542,0.3821254943121585,128,1962,0.1796875,10.0,0.078125,12.8
2,256,0.5,1,early,0.42665462260269826,1.3997233458998508,1.9592254450570734,128,3551,0.1484375,16.0,0.125,8.0
2,256,0.5,1,late,0.8131966185305918,0.6244924317709217,0.3899907973391593,128,1795,0.1953125,10.0,0.078125,12.8
2,256,0.5,2,early,0.42396245012981804,1.4486884895276906,2.0986983396900216,128,3436,0.1640625,14.0,0.109375,9.142857142857142
2,256,0.5,2,late,0.8315393564239382,0.6121795776949008,0.37476383534670715,128,2006,0.1953125,11.0,0.0859375,11.636363636363637
2,256,0.5,3,early,0.40880369112654436,1.4663108762901431,2.1500675859267675,128,3502,0.15625,17.0,0.1328125,7.529411764705882
2,256,0.5,3,late,0.8202036216021031,0.6198360357386504,0.38419671120020554,128,1969,0.1953125,10.0,0.078125,12.8
2,256,0.5,4,early,0.39958867970449335,1.5049753441447282,2.264950786483543,128,3496,0.1640625,16.0,0.125,8.0
2,256,0.5,4,late,0.7975167963331695,0.6387109466993188,0.4079516734335401,128,1969,0.1796875,11.0,0.0859375,11.636363636363637
2,256,0.5,5,early,0.38733978551340364,1.585817352737465,2.5148166762432616,128,3672,0.140625,14.0,0.109375,9.142857142857142
2,256,0.5,5,late,0.8077071193570535,0.631498143411957,0.3987899051327486,128,2125,0.171875,11.0,0.0859375,11.636363636363637
2,256,0.5,6,early,0.39726136497871445,1.5273754429578188,2.332875743750593,128,3483,0.140625,15.0,0.1171875,8.533333333333333
2,256,0.5,6,late,0.7969761187409652,0.639961671745862,0.40955094130375846,128,2224,0.1875,14.0,0.109375,9.142857142857142
2,256,0.5,7,early,0.4255478638968834,1.4562716670037748,2.120727168117953,128,3826,0.1328125,15.0,0.1171875,8.533333333333333
2,256,0.5,7,late,0.8501045389977235,0.5951466288465732,0.35419950982744075,128,1760,0.1796875,10.0,0.078125,12.8
2,256,0.67,0,early,0.4474258822824069,1.7573314114503313,3.0882136896700136,128,4106,0.1796875,18.0,0.140625,7.111111111111111
2,256,0.67,0,late,0.8460232281986393,0.8022517518798615,0.6436078733943069,128,1950,0.1796875,12.0,0.09375,10.666666666666666
2,256,0.67,1,early,0.42695451369427806,1.9316456236699584,3.7312548154433025,128,4091,0.1484375,17.0,0.1328125,7.529411764705882
2,256,0.67,1,late,0.831791075280844,0.8159657336773198,0.6658000785355669,128,1798,0.2109375,11.0,0.0859375,11.636363636363637
2,256,0.67,2,early,0.4174760176990328,2.0565141931400523,4.229250626586481,128,4401,0.125,19.0,0.1484375,6.7368421052631575
2,256,0.67,2,late,0.8530274517239819,0.7944402514103739,0.631135313060978,128,1699,0.1953125,10.0,0.078125,12.8
2,256,0.67,3,early,0.4567164723226154,1.7725341545583657,3.1418773290759403,128,3788,0.1640625,16.0,0.125,8.0
2,256,0.67,3,late,0.8477120499473552,0.8003755310680916,0.6406009907325296,128,1773,0.1875,10.0,0.078125,12.8
2,256,0.67,4,early,0.4389167165453302,1.8345558638723642,3.3655952176684765,128,3724,0.171875,16.0,0.125,8.0
2,256,0.67,4,late,0.8578621658038391,0.790405978470623,0.6247416108021029,128,1734,0.203125,10.0,0.078125,12.8
2,256,0.67,5,early,0.44335746017847183,1.8012348473938173,3.2444469754658285,128,4129,0.140625,17.0,0.1328125,7.529411764705882
2,256,0.67,5,late,0.8524791256952977,0.796065692787538,0.6337205872333028,128,1745,0.1875,10.0,0.078125,12.8
2,256,0.67,6,early,0.443266492115875,1.8126559533529807,3.285721605226003,128,4173,0.140625,21.0,0.1640625,6.095238095238095
2,256,0.67,6,late,0.8396861074332687,0.8088927622923092,0.6543075008888822,128,1941,0.1875,10.0,0.078125,12.8
2,256,0.67,7,early,0.4406490043822682,1.788684255219933,3.199391364871686,128,3744,0.1484375,15.0,0.1171875,8.533333333333333
2,256,0.67,7,late,0.847688911345052,0.7989490534733324,0.6383195900459339,128,1696,0.2109375,10.0,0.078125,12.8
2,256,1.0,0,early,0.47777875684266924,2.4751449557197867,6.126342551825105,128,4496,0.1328125,20.0,0.15625,6.4
