d,N,p_frw,rep,H_eff_sq,R_eff,n_causal_pairs,w_max_ratio,n_layers,layer_ratio,mean_layer_width,layer_width_std,layer_width_cv,max_layer_width_ratio,layer_entropy,b1_mean,b1_std,b1_neg_frac,eig_min,eig_max,eig_gap,eig_spread
2,256,0.4,5,0.16000000000000003,-0.5762150690061665,17385,0.1015625,24.0,0.09375,10.666666666666666,4.403281604540969,0.4128076504257159,0.08203125,3.0831814988896435,-1.3046875,4.989142263690598,0.6171875,-7.017425663746301,10.764490861091396,0.529971277911212,17.781916524837698
2,256,0.4,6,0.16000000000000003,-0.6581116489704899,18009,0.08984375,24.0,0.09375,10.666666666666666,3.157882553582736,0.2960514893983815,0.06640625,3.133236416938797,-1.265625,4.656118915940077,0.625,-7.321529207117471,11.18155961981798,0.6016541329213592,18.50308882693545
2,256,0.4,7,0.16000000000000003,-0.557572899405637,16677,0.1015625,24.0,0.09375,10.666666666666666,3.0368111930481,0.2847010493482594,0.0625,3.1381063019553634,-0.4609375,4.940904433511515,0.546875,-7.750222539405811,10.969203413903665,0.4486542171897163,18.719425953309475
2,256,0.5,0,0.25,0.0,16852,0.08984375,24.0,0.09375,10.666666666666666,3.782268572636739,0.3545876786846943,0.06640625,3.109014226081025,-0.9453125,4.87789752632666,0.5625,-6.9124615517498675,10.512896919989632,0.36039582155132166,17.4253584717395
2,256,0.5,1,0.25,0.0,16580,0.09765625,26.0,0.1015625,9.846153846153847,4.408839963356031,0.44777280877834685,0.07421875,3.1485562728586967,-1.46875,5.220059715894062,0.62109375,-7.615900011284974,10.466677563926867,0.056482838339634966,18.08257757521184
2,256,0.5,2,0.25,0.0,17046,0.09765625,24.0,0.09375,10.666666666666666,3.636237371545238,0.3408972535823661,0.0703125,3.114989820176993,-0.8828125,5.508687873699484,0.546875,-7.888164052576502,11.525893862170069,0.5245995411384907,19.41405791474657
2,256,0.5,3,0.25,0.0,17358,0.09765625,27.0,0.10546875,9.481481481481481,3.326330091750771,0.35082387686433913,0.05859375,3.222557621578624,-0.296875,5.120973074951186,0.55859375,-7.433259365816287,10.890688158677047,0.19325135348230127,18.323947524493335
2,256,0.5,4,0.25,0.0,17289,0.08984375,26.0,0.1015625,9.846153846153847,3.4383840982503093,0.349210884978547,0.0625,3.1915473282083076,-0.609375,5.208518225884882,0.53125,-8.123024524312521,11.268829795495847,0.7571057188674519,19.391854319808367
2,256,0.5,5,0.25,0.0,17986,0.0859375,24.0,0.09375,10.666666666666666,3.1710495984067415,0.29728589985063203,0.05859375,3.122689915288151,-0.6015625,5.289789462596196,0.53125,-7.60000421406324,11.055852545214941,0.1091334908442203,18.65585675927818
2,256,0.5,6,0.25,0.0,17436,0.09765625,29.0,0.11328125,8.827586206896552,3.173912689380373,0.35954479684387036,0.05078125,3.291026486328649,-0.3828125,5.0134523623790175,0.5234375,-7.18669209129142,11.042406201804257,0.3987276427030011,18.229098293095674
2,256,0.5,7,0.25,0.0,17538,0.08984375,25.0,0.09765625,10.24,3.3139704283532767,0.3236299246438747,0.05859375,3.157865297783064,-1.3046875,4.738569460010452,0.625,-6.759487825485394,10.17899358952878,0.17574754240534673,16.938481415014174
2,256,0.67,0,0.4489000000000001,1.123462796580365,18436,0.09375,28.0,0.109375,9.142857142857142,3.786388080199592,0.4141361962718304,0.06640625,3.2377851937761952,-0.859375,5.0724968811597115,0.56640625,-8.13965238176167,11.677795762369954,1.3272001116460181,19.817448144131625
2,256,0.67,1,0.4489000000000001,1.4168247618223977,17854,0.10546875,25.0,0.09765625,10.24,4.752094275159111,0.46407170655850694,0.07421875,3.1105282307156363,-0.953125,4.828074433392157,0.54296875,-7.3246934475537016,10.753276029839046,0.4173014058723137,18.07796947739275
2,256,0.67,2,0.4489000000000001,1.6461122805535207,18777,0.09765625,27.0,0.10546875,9.481481481481481,3.881297705573059,0.4093556173846586,0.078125,3.213073961285444,-0.5546875,4.552314991006636,0.58203125,-6.570450957790655,10.223351406533542,0.28250984975583115,16.793802364324197
2,256,0.67,3,0.4489000000000001,1.2074754703247241,16949,0.09375,26.0,0.1015625,9.846153846153847,4.311811217612775,0.4379183267887975,0.0703125,3.149866784315545,-0.796875,5.189170476518862,0.55859375,-7.691031049614616,11.375650268767592,0.7044271930140908,19.06668131838221
2,256,0.67,4,0.4489000000000001,1.280591388633833,17597,0.1015625,26.0,0.1015625,9.846153846153847,4.203408028404385,0.4269086278848203,0.06640625,3.153820935903206,-0.8828125,5.253155441241364,0.578125,-7.990149522213235,11.86417427821079,1.203089588377912,19.854323800424027
2,256,0.67,5,0.4489000000000001,1.1818867174329903,17889,0.09765625,27.0,0.10546875,9.481481481481481,3.695546572819681,0.3897646776020757,0.06640625,3.214059651091151,-0.390625,4.8448335481598335,0.55078125,-6.9504233127975334,10.440006144873507,0.0896353856190153,17.39042945767104
2,256,0.67,6,0.4489000000000001,1.2253798412804644,18063,0.09375,30.0,0.1171875,8.533333333333333,3.0411985941218784,0.3563904602486576,0.0625,3.332379234542931,-0.7890625,5.13589139011854,0.578125,-7.301685424760229,10.888430474925357,0.4855037153264288,18.190115899685587
2,256,0.67,7,0.4489000000000001,1.1865562678113197,17512,0.10546875,24.0,0.09375,10.666666666666666,4.515405728048022,0.4233192870045021,0.08203125,3.0778853088362315,-0.75,5.1204247870660105,0.57421875,-7.152675268930358,10.935530373646188,0.7933509271650134,18.088205642576547
