d,N,hubble,rep,R_dS,H2,rho_est,n_causal_pairs,b1_mean,b1_std,b1_median,b1_min,b1_max,b1_neg_frac,eig_min,eig_max,eig_gap,eig_spread,R_est
2,256,0.0,0,0.0,0.0,-1.0703125,15756,-1.0703125,5.2718053029625205,-1.0,-17.0,17.0,0.5546875,-8.33770055978336,10.91395603617344,0.2788666494350931,19.251656595956803,2.140625
2,256,0.0,1,0.0,0.0,-0.453125,15981,-0.453125,4.546391726894527,-1.0,-13.0,13.0,0.53125,-7.253221518399625,11.220727916943375,0.411034454814704,18.473949435343002,0.90625
2,256,0.0,2,0.0,0.0,-0.4375,16049,-0.4375,5.237708826385827,-1.0,-17.0,15.0,0.5234375,-8.033259773241399,11.569088280914777,1.458212296302655,19.602348054156174,0.875
2,256,0.0,3,0.0,0.0,-1.3359375,16111,-1.3359375,5.522365525397042,-1.0,-15.0,17.0,0.5859375,-7.701264960418051,11.214303462873115,0.8215335394402263,18.915568423291166,2.671875
2,256,0.0,4,0.0,0.0,-0.6875,16753,-0.6875,5.00585594578989,-1.0,-15.0,13.0,0.5546875,-7.544244884396992,11.248836355734081,1.1169923273505926,18.793081240131073,1.375
2,256,0.0,5,0.0,0.0,-0.71875,16011,-0.71875,4.794100378329598,-1.0,-13.0,13.0,0.55078125,-7.314149087556067,10.714144261392887,0.2946579116458512,18.028293348948953,1.4375
2,256,0.0,6,0.0,0.0,-0.640625,15452,-0.640625,4.626240331994762,-1.0,-15.0,11.0,0.51953125,-7.18615989094112,11.269998552398459,0.7697546264891812,18.45615844333958,1.28125
2,256,0.0,7,0.0,0.0,-1.09375,16469,-1.09375,5.168168044626645,-1.0,-17.0,13.0,0.578125,-7.363841171751604,11.093549081006842,0.7219185654840246,18.457390252758444,2.1875
2,256,0.25,0,0.125,0.0625,-1.2734375,15243,-1.2734375,5.235418506059831,-1.0,-17.0,13.0,0.59375,-7.260231700154879,10.75748556104956,0.18728621014887104,18.01771726120444,2.546875
2,256,0.25,1,0.125,0.0625,-0.921875,15028,-0.921875,5.083074510999716,-1.0,-17.0,11.0,0.58984375,-7.5884118707827675,10.617240411407273,0.31137530448325457,18.20565228219004,1.84375
2,256,0.25,2,0.125,0.0625,-0.1640625,15123,-0.1640625,4.72076090223745,1.0,-21.0,13.0,0.48828125,-7.801038971696366,11.277013417739393,0.6294551950391121,19.07805238943576,0.328125
2,256,0.25,3,0.125,0.0625,-0.8515625,14400,-0.8515625,4.578464951115576,-1.0,-15.0,11.0,0.57421875,-6.693722370657591,10.670287179844777,0.4250078791565155,17.364009550502367,1.703125
2,256,0.25,4,0.125,0.0625,-0.7734375,14653,-0.7734375,5.171609462594188,-1.0,-13.0,13.0,0.53125,-7.305776578110514,10.662955537875181,0.6377068892176148,17.968732115985695,1.546875
2,256,0.25,5,0.125,0.0625,-0.9921875,14705,-0.9921875,4.712012729698823,-1.0,-15.0,13.0,0.546875,-7.168644245624935,10.657419185839473,0.23810748260802406,17.82606343146441,1.984375
2,256,0.25,6,0.125,0.0625,-0.703125,14596,-0.703125,5.637984146339452,-1.0,-23.0,17.0,0.55078125,-7.7803473542662696,10.82028341718641,0.5093117952762718,18.60063077145268,1.40625
2,256,0.25,7,0.125,0.0625,-0.5546875,14438,-0.5546875,4.943917654789949,-1.0,-15.0,15.0,0.53515625,-7.504044828300535,11.036600556336074,0.5111153209771757,18.54064538463661,1.109375
2,256,0.5,0,0.5,0.25,-0.71875,13365,-0.71875,4.701956873207155,-1.0,-13.0,11.0,0.5390625,-6.643390246572175,10.45660473264806,0.5899570925980768,17.099994979220234,1.4375
2,256,0.5,1,0.5,0.25,-1.0703125,13611,-1.0703125,4.928684525544696,-1.0,-15.0,15.0,0.578125,-8.036101465704313,11.26548206491016,0.5975954732790871,19.301583530614472,2.140625
2,256,0.5,2,0.5,0.25,-0.7578125,12447,-0.7578125,4.755335972867085,0.0,-13.0,13.0,0.5,-7.751545440782657,10.702294767238444,0.30221275691333105,18.4538402080211,1.515625
2,256,0.5,3,0.5,0.25,-0.6640625,14014,-0.6640625,4.636434081931259,-1.0,-15.0,13.0,0.52734375,-6.84435811633796,10.873496419850664,0.6263098391633442,17.717854536188625,1.328125
2,256,0.5,4,0.5,0.25,-0.8125,13192,-0.8125,5.3117646549899025,-1.0,-23.0,15.0,0.515625,-7.231091841193101,10.782703579180307,0.5135753773284115,18.01379542037341,1.625
2,256,0.5,5,0.5,0.25,-0.7421875,13657,-0.7421875,4.848882109810853,-1.0,-13.0,13.0,0.5390625,-7.752595075715132,10.744823709899123,0.3654748126134155,18.497418785614254,1.484375
