N,lambda,action_key,focus_family,control_family,mean_score_focus,mean_score_control,win_rate_focus_vs_control,mean_f5_focus,mean_f5_control,mean_action_focus,mean_action_control
28,7.0,bdg_d2_corrected_norm,Lor4D,KR_like,-108.84773043511743,-56.67226375527828,1.0,125.03523043511743,95.29726375527828,-2.3125,-5.517857142857142
28,10.0,bdg_d2_corrected_norm,Lor4D,KR_like,-101.91023043511743,-40.11869232670686,1.0,125.03523043511743,95.29726375527828,-2.3125,-5.517857142857142
28,15.0,bdg_d2_corrected_norm,Lor4D,KR_like,-90.34773043511741,-12.529406612421147,1.0,125.03523043511743,95.29726375527828,-2.3125,-5.517857142857142
28,20.0,bdg_d2_corrected_norm,Lor4D,KR_like,-78.78523043511743,15.059879101864569,1.0,125.03523043511743,95.29726375527828,-2.3125,-5.517857142857142
28,30.0,bdg_d2_corrected_norm,Lor4D,KR_like,-55.66023043511742,70.23845053043598,1.0,125.03523043511743,95.29726375527828,-2.3125,-5.517857142857142
28,50.0,bdg_d2_corrected_norm,Lor4D,KR_like,-9.410230435117422,180.59559338757884,1.0,125.03523043511743,95.29726375527828,-2.3125,-5.517857142857142
36,0.0,bdg_d2_corrected_norm,Lor4D,KR_like,-165.29320283821744,-135.30411037049961,1.0,165.29320283821744,135.30411037049961,-4.222222222222222,-7.923611111111111
36,1.0,bdg_d2_corrected_norm,Lor4D,KR_like,-161.0709806159952,-127.38049925938851,1.0,165.29320283821744,135.30411037049961,-4.222222222222222,-7.923611111111111
36,2.0,bdg_d2_corrected_norm,Lor4D,KR_like,-156.84875839377298,-119.4568881482774,1.0,165.29320283821744,135.30411037049961,-4.222222222222222,-7.923611111111111
36,3.0,bdg_d2_corrected_norm,Lor4D,KR_like,-152.62653617155078,-111.5332770371663,1.0,165.29320283821744,135.30411037049961,-4.222222222222222,-7.923611111111111
36,5.0,bdg_d2_corrected_norm,Lor4D,KR_like,-144.18209172710633,-95.68605481494407,1.0,165.29320283821744,135.30411037049961,-4.222222222222222,-7.923611111111111
36,7.0,bdg_d2_corrected_norm,Lor4D,KR_like,-135.7376472826619,-79.83883259272184,1.0,165.29320283821744,135.30411037049961,-4.222222222222222,-7.923611111111111
36,10.0,bdg_d2_corrected_norm,Lor4D,KR_like,-123.07098061599521,-56.067999259388515,1.0,165.29320283821744,135.30411037049961,-4.222222222222222,-7.923611111111111
36,15.0,bdg_d2_corrected_norm,Lor4D,KR_like,-101.9598695048841,-16.449943703832965,1.0,165.29320283821744,135.30411037049961,-4.222222222222222,-7.923611111111111
36,20.0,bdg_d2_corrected_norm,Lor4D,KR_like,-80.848758393773,23.168111851722596,1.0,165.29320283821744,135.30411037049961,-4.222222222222222,-7.923611111111111
36,30.0,bdg_d2_corrected_norm,Lor4D,KR_like,-38.62653617155077,102.4042229628337,1.0,165.29320283821744,135.30411037049961,-4.222222222222222,-7.923611111111111
36,50.0,bdg_d2_corrected_norm,Lor4D,KR_like,45.817908272893675,260.8764451850559,1.0,165.29320283821744,135.30411037049961,-4.222222222222222,-7.923611111111111
16,0.0,bdg_d4_standard_norm,Lor4D,KR_like,-71.42480945612216,-41.67606865993212,1.0,71.42480945612216,41.67606865993212,0.640625,-1.921875
16,1.0,bdg_d4_standard_norm,Lor4D,KR_like,-72.06543445612216,-39.75419365993212,1.0,71.42480945612216,41.67606865993212,0.640625,-1.921875
16,2.0,bdg_d4_standard_norm,Lor4D,KR_like,-72.70605945612216,-37.83231865993212,1.0,71.42480945612216,41.67606865993212,0.640625,-1.921875
16,3.0,bdg_d4_standard_norm,Lor4D,KR_like,-73.34668445612216,-35.91044365993212,1.0,71.42480945612216,41.67606865993212,0.640625,-1.921875
16,5.0,bdg_d4_standard_norm,Lor4D,KR_like,-74.62793445612216,-32.06669365993212,1.0,71.42480945612216,41.67606865993212,0.640625,-1.921875
16,7.0,bdg_d4_standard_norm,Lor4D,KR_like,-75.90918445612216,-28.22294365993212,1.0,71.42480945612216,41.67606865993212,0.640625,-1.921875
16,10.0,bdg_d4_standard_norm,Lor4D,KR_like,-77.83105945612216,-22.457318659932117,0.875,71.42480945612216,41.67606865993212,0.640625,-1.921875
16,15.0,bdg_d4_standard_norm,Lor4D,KR_like,-81.03418445612216,-12.84794365993212,0.875,71.42480945612216,41.67606865993212,0.640625,-1.921875
16,20.0,bdg_d4_standard_norm,Lor4D,KR_like,-84.23730945612216,-3.2385686599321186,0.75,71.42480945612216,41.67606865993212,0.640625,-1.921875
16,30.0,bdg_d4_standard_norm,Lor4D,KR_like,-90.64355945612218,15.980181340067883,0.75,71.42480945612216,41.67606865993212,0.640625,-1.921875
16,50.0,bdg_d4_standard_norm,Lor4D,KR_like,-103.45605945612216,54.41768134006789,0.75,71.42480945612216,41.67606865993212,0.640625,-1.921875
20,0.0,bdg_d4_standard_norm,Lor4D,KR_like,-85.69314774222659,-58.96394888290842,1.0,85.69314774222659,58.96394888290842,0.6125,0.20000000000000007
20,1.0,bdg_d4_standard_norm,Lor4D,KR_like,-86.30564774222657,-59.163948882908414,1.0,85.69314774222659,58.96394888290842,0.6125,0.20000000000000007
20,2.0,bdg_d4_standard_norm,Lor4D,KR_like,-86.91814774222658,-59.36394888290842,1.0,85.69314774222659,58.96394888290842,0.6125,0.20000000000000007
20,3.0,bdg_d4_standard_norm,Lor4D,KR_like,-87.53064774222659,-59.56394888290842,1.0,85.69314774222659,58.96394888290842,0.6125,0.20000000000000007
20,5.0,bdg_d4_standard_norm,Lor4D,KR_like,-88.75564774222659,-59.96394888290842,0.875,85.69314774222659,58.96394888290842,0.6125,0.20000000000000007
20,7.0,bdg_d4_standard_norm,Lor4D,KR_like,-89.98064774222658,-60.36394888290842,0.75,85.69314774222659,58.96394888290842,0.6125,0.20000000000000007
20,10.0,bdg_d4_standard_norm,Lor4D,KR_like,-91.81814774222659,-60.96394888290842,0.75,85.69314774222659,58.96394888290842,0.6125,0.20000000000000007
20,15.0,bdg_d4_standard_norm,Lor4D,KR_like,-94.88064774222659,-61.96394888290842,0.75,85.69314774222659,58.96394888290842,0.6125,0.20000000000000007
20,20.0,bdg_d4_standard_norm,Lor4D,KR_like,-97.94314774222659,-62.96394888290842,0.75,85.69314774222659,58.96394888290842,0.6125,0.20000000000000007
20,30.0,bdg_d4_standard_norm,Lor4D,KR_like,-104.06814774222659,-64.96394888290843,0.625,85.69314774222659,58.96394888290842,0.6125,0.20000000000000007
20,50.0,bdg_d4_standard_norm,Lor4D,KR_like,-116.31814774222659,-68.96394888290843,0.625,85.69314774222659,58.96394888290842,0.6125,0.20000000000000007
28,0.0,bdg_d4_standard_norm,Lor4D,KR_like,-125.03523043511743,-95.29726375527828,1.0,125.03523043511743,95.29726375527828,0.6651785714285714,-3.008928571428571
28,1.0,bdg_d4_standard_norm,Lor4D,KR_like,-125.700409006546,-92.28833518384971,1.0,125.03523043511743,95.29726375527828,0.6651785714285714,-3.008928571428571
28,2.0,bdg_d4_standard_norm,Lor4D,KR_like,-126.36558757797457,-89.27940661242116,1.0,125.03523043511743,95.29726375527828,0.6651785714285714,-3.008928571428571
