rs,N,rep,r_min_factor,r_max_factor,mean_K,median_K,std_K,max_K,n_causal_pairs,C_0,C_1,C_2,C_3,C_4,bd_ratio,n_layers,layer_ratio,mean_layer_width,layer_width_std,layer_width_cv,max_layer_width_ratio,layer_entropy
0.1,512,5,1.5,10.0,278.9109680865339,2.7430086669005966,1079.2175100384309,10483.631999364774,121851,1787,1402,1214,1056,945,0.013660408512720157,95.0,0.185546875,5.389473684210526,1.5781050384766453,0.2928124583110963,0.017578125,4.510069498175822
0.1,512,6,1.5,10.0,392.8399266924217,5.755039770517062,1319.5313724596217,9722.17272510228,121371,1831,1361,1200,1096,990,0.01399675880626223,91.0,0.177734375,5.626373626373627,1.6216146589623488,0.2882166679015112,0.021484375,4.469483987990416
0.1,512,7,1.5,10.0,329.4923472026832,2.5975444486521466,1187.20615129925,10099.729038084311,121727,1828,1391,1188,1071,1005,0.013973825831702544,91.0,0.177734375,5.626373626373627,1.8554840110732258,0.32978329103059284,0.021484375,4.455140253855905
0.1,512,8,1.5,10.0,423.8482299041765,5.117430962426139,1394.3260201872408,9641.258227814566,121654,1798,1364,1264,1076,976,0.013744496086105675,92.0,0.1796875,5.565217391304348,1.4766615389340605,0.265337620277214,0.017578125,4.485236874242686
0.1,512,9,1.5,10.0,305.9324165572966,3.4150271615451415,1060.4337567848029,10065.781384451193,122003,1855,1346,1137,1036,1027,0.014180222602739725,90.0,0.17578125,5.688888888888889,1.6775938088984235,0.294889536720426,0.021484375,4.4549582120486635
0.25,128,0,1.5,10.0,11.338610211498596,0.09959059840265319,40.08835484265091,254.02937630147386,6856,386,263,239,183,197,0.04749015748031496,28.0,0.21875,4.571428571428571,1.6567733578204575,0.3624191720232251,0.0625,3.258960032945757
0.25,128,1,1.5,10.0,10.969257529222538,0.08769830154022296,38.351872515066276,252.80742590078603,6738,390,314,228,220,182,0.04798228346456693,30.0,0.234375,4.266666666666667,1.590248058916875,0.3727143888086426,0.0546875,3.3264573702502647
0.25,128,2,1.5,10.0,5.385544294700541,0.09817820398051018,20.636158213490457,135.33199218864002,6960,355,298,210,175,194,0.0436761811023622,31.0,0.2421875,4.129032258064516,1.6212686287908469,0.39265099603528325,0.0625,3.357779454232359
0.25,128,3,1.5,10.0,13.205507565847082,0.18287357027572,39.193471382569825,229.42772522711937,6757,418,266,237,210,175,0.05142716535433071,26.0,0.203125,4.923076923076923,1.6153846153846154,0.328125,0.0703125,3.2010865107012747
0.25,128,4,1.5,10.0,9.468595682478387,0.06930715847792723,34.854903500896,235.30414191254945,6749,373,323,261,191,201,0.045890748031496065,29.0,0.2265625,4.413793103448276,1.2461593792822518,0.2823329843686352,0.0546875,3.3242941993427033
0.25,128,5,1.5,10.0,7.21389719019378,0.17471343597593225,27.106375337075825,215.21208439416026,6823,421,266,240,217,171,0.05179625984251968,28.0,0.21875,4.571428571428571,1.6130842558051737,0.35286218095738175,0.0625,3.264620996065065
0.25,128,6,1.5,10.0,12.306391713514381,0.14307968259115095,41.1955257733405,236.04616642490325,6808,353,301,195,205,171,0.04343011811023622,30.0,0.234375,4.266666666666667,1.2892719737209144,0.3021731188408393,0.0546875,3.351891897076042
0.25,128,7,1.5,10.0,11.553345723260573,0.10742124271320484,42.74262699942186,264.4031238633507,6764,377,287,225,201,183,0.04638287401574803,30.0,0.234375,4.266666666666667,1.730767331432956,0.40564859330459907,0.0625,3.3113647540638893
0.25,128,8,1.5,10.0,9.81053334400813,0.15166478720263105,31.914648874574937,199.9413014503778,6714,410,305,227,219,214,0.05044291338582677,27.0,0.2109375,4.7407407407407405,1.3496938635769329,0.2847010493482593,0.0625,3.255223775042048
0.25,128,9,1.5,10.0,6.83310338075553,0.0560071119157039,24.476233719609073,170.71794119801586,6778,384,293,252,205,188,0.047244094488188976,27.0,0.2109375,4.7407407407407405,1.2936480886350357,0.27287889369645285,0.0546875,3.2531247544594826
