family,N,rep,seed,log_H,f5_calibrated,bdg_d2_link_norm,bdg_d2_corrected_norm,bdg_d4_standard_norm,bd_d4_trunc_norm,bd_ratio,C0,C1,C2,C3,total_relations
KR_like,20,4,6042,27.600227778123365,58.88584181168686,-3.3,-2.7,-4.05,-1.3270152556440196,0.6487889273356402,43,6,11,8,68
KR_like,20,5,7042,26.931682656494353,57.456562854645334,-4.1,-3.4,5.2,-0.8643338597849747,0.5972991689750693,51,7,2,13,76
KR_like,20,6,8042,26.62614612673678,56.75318323153427,-5.0,-4.6,-2.6,-1.6400056116663144,0.588235294117647,60,4,5,4,85
KR_like,20,7,9042,26.963545609741047,59.24066970655028,-3.5,-2.8,-1.7,-1.1092828340632923,0.6099558916194077,45,7,8,7,69
Lor2D,28,0,2842,35.02739385462799,70.15151725095326,-3.357142857142857,-0.7142857142857143,-3.857142857142857,-1.2648059923352406,2.4225057670126873,61,37,33,15,204
Lor2D,28,1,3842,32.190614027571094,64.01592537298679,-3.2142857142857144,-1.2857142857142858,-0.7142857142857143,-1.0704020444953055,2.565838614757809,59,27,24,19,188
Lor2D,28,2,4842,32.90273103370051,65.56441895646056,-2.5714285714285716,0.0,4.785714285714286,-0.28306605574356986,2.7161053721900283,50,36,21,21,189
Lor2D,28,3,5842,36.38908467109813,72.9262928181673,-3.2142857142857144,-1.1428571428571428,-3.2142857142857144,-1.2259252027672536,1.88713891711424,59,29,28,16,166
Lor2D,28,4,6842,35.48937370807119,70.8507954540881,-3.0,-0.14285714285714285,7.571428571428571,-0.06922171311964156,2.210059171597633,56,40,17,19,182
Lor2D,28,5,7842,36.42468826716946,72.74035077120507,-3.142857142857143,-0.14285714285714285,3.857142857142857,-0.28306605574356986,2.329122995610499,58,42,21,12,183
Lor2D,28,6,8842,35.01885144225244,69.69415197260402,-3.357142857142857,-1.1428571428571428,-6.071428571428571,-1.556411914095143,2.3924168349452652,61,31,34,16,194
Lor2D,28,7,9842,35.478523412633834,70.7177479421127,-3.357142857142857,-0.7857142857142857,-0.17857142857142858,-0.8371173070873841,2.5055427893235023,61,36,25,13,199
Lor3D,28,0,2842,43.09869657750634,88.32692857253528,-4.428571428571429,-2.357142857142857,2.4642857142857144,-0.9051586888313612,1.0951999999999997,76,29,14,10,150
Lor3D,28,1,3842,46.8019976537174,103.61930934274758,-3.0714285714285716,-1.7857142857142858,1.8928571428571428,-0.4288690166235209,0.7034857401539157,57,18,8,6,94
Lor3D,28,2,4842,48.36413052569634,109.33829557131176,-3.857142857142857,-2.857142857142857,1.6428571428571428,-0.6718739514234393,0.3395061728395062,68,14,4,3,90
Lor3D,28,3,5842,50.553933779419815,116.53884069144955,-3.5714285714285716,-3.0,-0.42857142857142855,-0.7885163201274002,0.23011176857330706,64,8,4,2,78
Lor3D,28,4,6842,46.66411972426803,100.91202468339534,-3.5,-1.7857142857142858,4.75,-0.31222664791956,0.700952380952381,63,24,7,8,105
Lor3D,28,5,7842,47.08184344660441,103.09856948135142,-4.642857142857143,-4.357142857142857,-1.1071428571428572,-1.6147330984471233,0.6412447950909489,79,4,8,14,117
Lor3D,28,6,8842,47.05552824871137,101.72410799229331,-3.9285714285714284,-2.4285714285714284,1.2857142857142858,-0.7204749383834231,0.6018518518518519,69,21,9,4,108
Lor3D,28,7,9842,44.04809198314246,91.96404686630633,-4.071428571428571,-1.9285714285714286,2.6785714285714284,-0.6038325696794622,0.85235595703125,71,30,12,5,128
Lor4D,28,0,2842,49.43009866337738,110.74153794947159,-4.5,-3.5714285714285716,1.5714285714285714,-0.9148788862233579,0.2742055478796897,77,13,3,3,97
Lor4D,28,1,3842,54.651441023819245,133.01646096181875,-1.7142857142857142,-1.1428571428571428,1.6428571428571428,0.1446226295042868,0.23223177908555917,38,8,1,0,47
Lor4D,28,2,4842,54.146681445874265,129.67799150161372,-2.2857142857142856,-2.0,-0.7857142857142857,-0.36082763487954356,0.1838134430727023,46,4,3,1,54
Lor4D,28,3,5842,56.354983728468596,138.29371295021917,-1.9285714285714286,-1.6428571428571428,0.8214285714285714,-0.04006112094365109,0.09679012345679014,41,4,0,0,45
Lor4D,28,4,6842,51.296464677580126,118.21909087909586,-3.357142857142857,-2.642857142857143,-0.5357142857142857,-0.681594148815436,0.2698600101197503,61,10,5,1,77
Lor4D,28,5,7842,52.821634704955535,123.9913696733312,-2.7142857142857144,-1.8571428571428572,1.8571428571428572,-0.1664236870396088,0.263544536271809,52,12,2,0,66
Lor4D,28,6,8842,54.24722562507196,129.8452987583101,-2.7142857142857144,-2.357142857142857,0.75,-0.32194684531155665,0.09541397353031708,52,5,0,0,57
Lor4D,28,7,9842,50.84321028931897,116.49638080707898,-4.0,-3.2857142857142856,0.0,-0.8273971096953873,0.18681956742633177,70,10,3,0,83
Lor5D,28,0,2842,56.07306230146371,134.0796421175846,-2.7857142857142856,-2.5714285714285716,0.07142857142857142,-0.42886901662352067,0.05644132653061228,53,3,0,0,56
Lor5D,28,1,3842,58.64650005388593,151.5614742106746,-0.7857142857142857,-0.7857142857142857,0.10714285714285714,0.27098519560024453,0.0,25,0,0,0,25
Lor5D,28,2,4842,58.14343338378644,148.01543795111658,-1.2142857142857142,-1.2142857142857142,-0.10714285714285714,0.0960216425443032,0.0,31,0,0,0,31
Lor5D,28,3,5842,59.530965252480684,152.31929111553,-1.1428571428571428,-1.1428571428571428,-0.07142857142857142,0.1251822347202934,0.0,30,0,0,0,30
Lor5D,28,4,6842,54.54691722149631,133.2060340747461,-2.142857142857143,-1.9285714285714286,-0.75,-0.2830660557435696,0.11661807580174927,44,3,2,0,49
Lor5D,28,5,7842,56.89425443357048,139.21938434514357,-1.4285714285714286,-0.9285714285714286,2.0357142857142856,0.28070539299224123,0.19988102320047593,34,7,0,0,41
Lor5D,28,6,8842,58.29078098462366,145.6769893526925,-1.0,-0.7857142857142857,0.9642857142857143,0.30014578777623474,0.1061394380853278,28,3,0,0,31
Lor5D,28,7,9842,53.795825217698884,129.20524953361132,-2.357142857142857,-1.9285714285714286,0.10714285714285714,-0.2539054635675794,0.17190082644628105,47,6,2,0,55
KR_like,28,0,2842,44.836885382398876,96.65504931046637,-5.0,-4.571428571428571,-8.642857142857142,-2.382628692414865,0.6983858749490124,84,6,20,10,131
KR_like,28,1,3842,44.34183366720515,94.39917124780031,-6.071428571428571,-5.857142857142857,-3.2857142857142856,-2.411789284590856,0.7158509861212563,99,3,11,16,148
KR_like,28,2,4842,44.49408396200174,95.19091478039263,-5.571428571428571,-5.214285714285714,-3.25,-2.12990356022295,0.7030174421613788,92,5,11,13,139
KR_like,28,3,5842,43.84656337645848,92.82355449423794,-6.571428571428571,-6.285714285714286,-0.6428571428571429,-2.227105534142918,0.7179188345473466,106,4,5,13,155
KR_like,28,4,6842,45.58632042802335,97.56706690565902,-5.357142857142857,-4.857142857142857,-1.3571428571428572,-1.848017835855045,0.6941015089163239,89,7,9,13,135
KR_like,28,5,7842,45.07307447237972,96.03929875641758,-5.571428571428571,-5.357142857142857,-1.3214285714285714,-2.091022770654963,0.7151020408163264,92,3,9,18,140
KR_like,28,6,8842,44.48633139228622,94.34114269506425,-6.571428571428571,-6.571428571428571,-1.9285714285714286,-2.440949876766846,0.7219979188345476,106,0,6,15,155
