step,F,accepted,label,comp_frac,n_layers,d_eff,aw,aw_ratio,height_ratio,width_ratio
150,23.61853324354938,104,dim_Lor4D,0.49166666666666664,8,2.0554,5,0.3125,0.5,0.1875
160,20.716368191274867,108,dim_Lor4D,0.5333333333333333,10,1.8054000000000001,6,0.375,0.625,0.25
170,24.232655960785596,116,dim_Lor4D,0.7166666666666667,11,0.7054,5,0.3125,0.6875,0.1875
180,20.351901204293014,123,dim_Lor4D,0.9,12,0.5,3,0.1875,0.75,0.125
190,18.674061237757794,127,dim_Lor4D,0.5416666666666666,10,1.7554000000000003,4,0.25,0.625,0.1875
200,24.312830929920846,134,dim_Lor4D,0.5,9,2.0054,6,0.375,0.5625,0.25
210,30.958181855867767,139,dim_Lor4D,0.4083333333333333,9,2.5554,6,0.375,0.5625,0.3125
220,25.85018030514587,147,dim_Lor4D,0.7083333333333334,10,0.7553999999999998,3,0.1875,0.625,0.125
230,34.05768790291883,156,dim_Lor4D,0.35833333333333334,6,2.8554,5,0.3125,0.375,0.3125
240,27.963231287134853,163,dim_Lor4D,0.4166666666666667,8,2.5054,5,0.3125,0.5,0.25
250,25.985567386530743,168,dim_Lor4D,0.475,8,2.1554,5,0.3125,0.5,0.3125
260,21.64579291549412,178,dim_Lor4D,0.625,10,1.2554,4,0.25,0.625,0.25
270,20.859253751830842,183,dim_Lor4D,0.6333333333333333,10,1.2054000000000002,5,0.3125,0.625,0.3125
280,20.65191614194122,187,dim_Lor4D,0.6583333333333333,11,1.0554000000000001,5,0.3125,0.6875,0.25
290,17.956899659434313,197,dim_Lor4D,0.8916666666666667,14,0.5,3,0.1875,0.875,0.1875
300,22.958930727793728,202,dim_Lor4D,0.7083333333333334,10,0.7553999999999998,3,0.1875,0.625,0.1875
0,68.77134490512555,1,dim_Lor5D,0.15833333333333333,3,4.055400000000001,10,0.625,0.1875,0.625
10,50.931908296601186,9,dim_Lor5D,0.25833333333333336,4,3.4554,9,0.5625,0.25,0.375
20,35.25143372020914,19,dim_Lor5D,0.4083333333333333,6,2.5554,6,0.375,0.375,0.25
30,30.65627979646396,26,dim_Lor5D,0.475,7,2.1554,5,0.3125,0.4375,0.3125
40,32.09520406231036,34,dim_Lor5D,0.475,7,2.1554,6,0.375,0.4375,0.25
50,28.250526041492172,40,dim_Lor5D,0.425,8,2.4554,6,0.375,0.5,0.1875
60,28.123148930734477,45,dim_Lor5D,0.4583333333333333,9,2.2554000000000003,6,0.375,0.5625,0.3125
70,24.352091442389554,51,dim_Lor5D,0.7083333333333334,10,0.7553999999999998,5,0.3125,0.625,0.3125
80,26.095681010426908,58,dim_Lor5D,0.5833333333333334,10,1.5053999999999998,6,0.375,0.625,0.375
90,25.39997050773967,64,dim_Lor5D,0.525,9,1.8554,6,0.375,0.5625,0.375
100,27.671152743161496,71,dim_Lor5D,0.39166666666666666,9,2.6554,6,0.375,0.5625,0.3125
110,23.666325485168706,77,dim_Lor5D,0.7416666666666667,12,0.5553999999999999,4,0.25,0.75,0.1875
120,21.509291611591678,84,dim_Lor5D,0.5666666666666667,10,1.6054000000000002,5,0.3125,0.625,0.1875
130,33.01469639417035,89,dim_Lor5D,0.35,8,2.9054,7,0.4375,0.5,0.375
140,29.67129433291351,96,dim_Lor5D,0.4583333333333333,8,2.2554000000000003,6,0.375,0.5,0.3125
150,30.565569749244233,105,dim_Lor5D,0.4583333333333333,7,2.2554000000000003,5,0.3125,0.4375,0.3125
160,23.517018626008603,113,dim_Lor5D,0.6083333333333333,9,1.3554000000000004,4,0.25,0.5625,0.1875
170,27.090486002199892,123,dim_Lor5D,0.475,9,2.1554,6,0.375,0.5625,0.1875
180,31.58940247231724,127,dim_Lor5D,0.425,9,2.4554,7,0.4375,0.5625,0.3125
190,27.520280992639588,133,dim_Lor5D,0.7,10,0.8054000000000003,5,0.3125,0.625,0.1875
200,25.471257817964343,141,dim_Lor5D,0.525,8,1.8554,4,0.25,0.5,0.1875
210,16.236783636641704,149,dim_Lor5D,0.9666666666666667,14,0.5,2,0.125,0.875,0.125
220,25.343937779240353,157,dim_Lor5D,0.45,8,2.3054,4,0.25,0.5,0.25
230,22.037249487549065,164,dim_Lor5D,0.775,12,0.5,4,0.25,0.75,0.1875
240,18.589487853126283,171,dim_Lor5D,0.5166666666666667,11,1.9053999999999998,3,0.1875,0.6875,0.1875
250,27.463406967254464,180,dim_Lor5D,0.4,9,2.6054,5,0.3125,0.5625,0.3125
260,31.40470137000394,185,dim_Lor5D,0.4083333333333333,7,2.5554,5,0.3125,0.4375,0.3125
270,32.797995880201555,193,dim_Lor5D,0.4166666666666667,8,2.5054,5,0.3125,0.5,0.3125
280,34.9537410252166,196,dim_Lor5D,0.35,8,2.9054,6,0.375,0.5,0.375
290,19.962249308400448,204,dim_Lor5D,0.5916666666666667,10,1.4554,4,0.25,0.625,0.1875
300,22.703766596986434,208,dim_Lor5D,0.5166666666666667,10,1.9053999999999998,5,0.3125,0.625,0.25
