d,N,hubble,rep,R_dS,H2,n_causal_pairs,w_max,w_max_ratio,n_layers,layer_ratio,mean_layer_width,layer_width_std,layer_width_cv,max_layer_width,max_layer_width_ratio,min_layer_width,layer_entropy
2,256,0.25,5,0.125,0.0625,14596,29.0,0.11328125,20.0,0.078125,12.8,4.214261501141095,0.32923917977664807,20.0,0.078125,1.0,2.9261279065495067
2,256,0.25,6,0.125,0.0625,14438,26.0,0.1015625,22.0,0.0859375,11.636363636363637,3.6624067415424886,0.3147380793513076,17.0,0.06640625,1.0,3.026683896211922
2,256,0.25,7,0.125,0.0625,15113,25.0,0.09765625,24.0,0.09375,10.666666666666666,3.8693955887479667,0.3627558364451219,17.0,0.06640625,2.0,3.0993382789527915
2,256,0.5,0,0.5,0.25,13611,26.0,0.1015625,22.0,0.0859375,11.636363636363637,4.627442397317969,0.39767083101951295,17.0,0.06640625,1.0,2.9885860614852087
2,256,0.5,1,0.5,0.25,12447,29.0,0.11328125,21.0,0.08203125,12.19047619047619,4.816826139581635,0.395130269262556,20.0,0.078125,4.0,2.961693712674748
2,256,0.5,2,0.5,0.25,14014,29.0,0.11328125,21.0,0.08203125,12.19047619047619,4.316293026142727,0.3540709123007706,19.0,0.07421875,1.0,2.9649668237386333
2,256,0.5,3,0.5,0.25,13192,30.0,0.1171875,21.0,0.08203125,12.19047619047619,4.042854338436404,0.3316403949498613,19.0,0.07421875,1.0,2.9734498988349536
2,256,0.5,4,0.5,0.25,13657,27.0,0.10546875,21.0,0.08203125,12.19047619047619,3.361108768575485,0.27571595367220775,16.0,0.0625,1.0,2.993000823715586
2,256,0.5,5,0.5,0.25,13030,27.0,0.10546875,20.0,0.078125,12.8,3.722902093797257,0.2908517260779107,19.0,0.07421875,4.0,2.9495232954089263
2,256,0.5,6,0.5,0.25,12909,27.0,0.10546875,21.0,0.08203125,12.19047619047619,4.531572286998217,0.3717305391678225,17.0,0.06640625,2.0,2.9582028732031787
2,256,0.5,7,0.5,0.25,12831,28.0,0.109375,20.0,0.078125,12.8,3.5721142198983507,0.27907142342955865,18.0,0.0703125,3.0,2.950766164033298
2,256,1.0,0,2.0,1.0,10792,35.0,0.13671875,18.0,0.0703125,14.222222222222221,4.577184427565774,0.3218332800632185,23.0,0.08984375,4.0,2.8347575722667613
2,256,1.0,1,2.0,1.0,9460,34.0,0.1328125,22.0,0.0859375,11.636363636363637,5.338926130918554,0.45881396437581323,22.0,0.0859375,1.0,2.96365568024749
2,256,1.0,2,2.0,1.0,10966,34.0,0.1328125,18.0,0.0703125,14.222222222222221,4.197294837227578,0.2951222932425641,22.0,0.0859375,5.0,2.8443185473871013
2,256,1.0,3,2.0,1.0,10688,36.0,0.140625,20.0,0.078125,12.8,6.038211655780211,0.47173528560782896,20.0,0.078125,1.0,2.853683775775772
2,256,1.0,4,2.0,1.0,11925,32.0,0.125,20.0,0.078125,12.8,5.519057890618651,0.4311763977045821,22.0,0.0859375,1.0,2.8817864315043993
2,256,1.0,5,2.0,1.0,10683,33.0,0.12890625,19.0,0.07421875,13.473684210526315,5.1131247120845424,0.3794897247250247,20.0,0.078125,1.0,2.8536797164034113
2,256,1.0,6,2.0,1.0,11023,38.0,0.1484375,21.0,0.08203125,12.19047619047619,6.485287728088845,0.5319962589447881,24.0,0.09375,1.0,2.8686909951808857
2,256,1.0,7,2.0,1.0,9929,41.0,0.16015625,16.0,0.0625,16.0,6.773108592072033,0.42331928700450205,28.0,0.109375,3.0,2.675270467806932
2,256,2.0,0,8.0,4.0,5351,55.0,0.21484375,15.0,0.05859375,17.066666666666666,11.186102488753127,0.6554356927003785,35.0,0.13671875,1.0,2.4727559396790957
2,256,2.0,1,8.0,4.0,6320,60.0,0.234375,13.0,0.05078125,19.692307692307693,8.887195762483802,0.4513029098136306,38.0,0.1484375,9.0,2.4641980802197407
2,256,2.0,2,8.0,4.0,5714,58.0,0.2265625,14.0,0.0546875,18.285714285714285,9.676396698214914,0.5291779444336281,39.0,0.15234375,2.0,2.495306715555633
2,256,2.0,3,8.0,4.0,5863,63.0,0.24609375,14.0,0.0546875,18.285714285714285,11.13827744715474,0.6091245478912749,36.0,0.140625,2.0,2.4446153927772993
2,256,2.0,4,8.0,4.0,6473,58.0,0.2265625,14.0,0.0546875,18.285714285714285,10.291664945330217,0.5628254266977463,34.0,0.1328125,1.0,2.450300591186554
2,256,2.0,5,8.0,4.0,5727,60.0,0.234375,14.0,0.0546875,18.285714285714285,10.291664945330215,0.5628254266977462,38.0,0.1484375,1.0,2.455114193453166
2,256,2.0,6,8.0,4.0,5877,57.0,0.22265625,16.0,0.0625,16.0,9.937303457175895,0.6210814660734935,33.0,0.12890625,1.0,2.550246647732303
2,256,2.0,7,8.0,4.0,5763,55.0,0.21484375,16.0,0.0625,16.0,8.602325267042627,0.5376453291901642,32.0,0.125,1.0,2.6112215241882097
2,512,0.0,0,0.0,0.0,64525,32.0,0.0625,34.0,0.06640625,15.058823529411764,4.478321484864536,0.2973885361042856,21.0,0.041015625,1.0,3.465382542162891
2,512,0.0,1,0.0,0.0,61565,35.0,0.068359375,34.0,0.06640625,15.058823529411764,5.482277202203415,0.36405747045882053,23.0,0.044921875,1.0,3.4407987413945476
2,512,0.0,2,0.0,0.0,67213,34.0,0.06640625,32.0,0.0625,16.0,3.968626966596886,0.24803918541230538,23.0,0.044921875,2.0,3.4263521804608725
2,512,0.0,3,0.0,0.0,67338,32.0,0.0625,32.0,0.0625,16.0,2.9261749776799064,0.18288593610499415,23.0,0.044921875,7.0,3.4480634397685033
2,512,0.0,4,0.0,0.0,64337,32.0,0.0625,30.0,0.05859375,17.066666666666666,5.246797965320267,0.3074295682804844,23.0,0.044921875,1.0,3.3365277933770687
2,512,0.0,5,0.0,0.0,67780,33.0,0.064453125,32.0,0.0625,16.0,4.6097722286464435,0.2881107642904027,23.0,0.044921875,1.0,3.4137578145769982
2,512,0.0,6,0.0,0.0,64378,32.0,0.0625,34.0,0.06640625,15.058823529411764,5.240909084088529,0.3480291188652539,22.0,0.04296875,2.0,3.4479653560030576
2,512,0.0,7,0.0,0.0,67906,32.0,0.0625,33.0,0.064453125,15.515151515151516,4.697653909109357,0.30277847461056406,24.0,0.046875,2.0,3.4407516782965244
2,512,0.25,0,0.125,0.0625,59755,40.0,0.078125,30.0,0.05859375,17.066666666666666,4.878068834647125,0.28582434578010496,26.0,0.05078125,1.0,3.3484975879436134
2,512,0.25,1,0.125,0.0625,57440,35.0,0.068359375,33.0,0.064453125,15.515151515151516,5.141166075260241,0.3313642196945077,24.0,0.046875,2.0,3.4282164300485984
2,512,0.25,2,0.125,0.0625,58705,36.0,0.0703125,32.0,0.0625,16.0,5.0,0.3125,23.0,0.044921875,1.0,3.3984635118214515
2,512,0.25,3,0.125,0.0625,57432,36.0,0.0703125,31.0,0.060546875,16.516129032258064,5.852327729572091,0.35434015550143516,26.0,0.05078125,2.0,3.3565402411637404
2,512,0.25,4,0.125,0.0625,60293,36.0,0.0703125,34.0,0.06640625,15.058823529411764,6.453185152768898,0.42853182655105965,25.0,0.048828125,1.0,3.401481217859364
2,512,0.25,5,0.125,0.0625,56935,34.0,0.06640625,31.0,0.060546875,16.516129032258064,4.970045548839993,0.3009207265899215,25.0,0.048828125,2.0,3.377681905155319
2,512,0.25,6,0.125,0.0625,61235,35.0,0.068359375,30.0,0.05859375,17.066666666666666,3.881007887420769,0.22740280590356068,23.0,0.044921875,6.0,3.3725879785421005
2,512,0.25,7,0.125,0.0625,60332,35.0,0.068359375,31.0,0.060546875,16.516129032258064,4.13381779130839,0.2502897490831252,23.0,0.044921875,1.0,3.3920788495846543
2,512,0.5,0,0.5,0.25,52355,42.0,0.08203125,29.0,0.056640625,17.655172413793103,3.2085646384698254,0.18173510647582997,23.0,0.044921875,6.0,3.348287397151708
2,512,0.5,1,0.5,0.25,54986,38.0,0.07421875,31.0,0.060546875,16.516129032258064,5.446934430762693,0.3297948581125849,26.0,0.05078125,2.0,3.369227427579876
2,512,0.5,2,0.5,0.25,53483,40.0,0.078125,29.0,0.056640625,17.655172413793103,4.837182580294139,0.27398104458697276,26.0,0.05078125,2.0,3.32102863011837
2,512,0.5,3,0.5,0.25,53497,40.0,0.078125,29.0,0.056640625,17.655172413793103,6.121053898826774,0.34670031848823524,27.0,0.052734375,2.0,3.2945593625551735
2,512,0.5,4,0.5,0.25,54280,42.0,0.08203125,32.0,0.0625,16.0,6.067330549755798,0.3792081593597374,27.0,0.052734375,1.0,3.3691094486986177
2,512,0.5,5,0.5,0.25,52739,41.0,0.080078125,29.0,0.056640625,17.655172413793103,5.867948370062723,0.3323642631480839,31.0,0.060546875,1.0,3.2962152245851337
2,512,0.5,6,0.5,0.25,53439,42.0,0.08203125,28.0,0.0546875,18.285714285714285,5.534677322231576,0.30267766605953933,25.0,0.048828125,1.0,3.2694790736548067
2,512,0.5,7,0.5,0.25,55643,39.0,0.076171875,32.0,0.0625,16.0,5.744562646538029,0.3590351654086268,25.0,0.048828125,1.0,3.3808969242720908
2,512,1.0,0,2.0,1.0,41692,54.0,0.10546875,25.0,0.048828125,20.48,7.211768160444428,0.35213711720920055,38.0,0.07421875,4.0,3.152892388286569
2,512,1.0,1,2.0,1.0,42964,52.0,0.1015625,26.0,0.05078125,19.692307692307693,7.634784923519613,0.3877039218974803,35.0,0.068359375,1.0,3.1695827482689665
2,512,1.0,2,2.0,1.0,42900,50.0,0.09765625,27.0,0.052734375,18.962962962962962,6.635937408906488,0.3499420117978031,30.0,0.05859375,1.0,3.218921080863786
2,512,1.0,3,2.0,1.0,42676,55.0,0.107421875,26.0,0.05078125,19.692307692307693,6.8262459035764795,0.34664529979099307,30.0,0.05859375,1.0,3.183872229803596
2,512,1.0,4,2.0,1.0,42817,51.0,0.099609375,24.0,0.046875,21.333333333333332,6.162160515778717,0.28885127417712736,35.0,0.068359375,9.0,3.1357527893682544
2,512,1.0,5,2.0,1.0,40227,54.0,0.10546875,25.0,0.048828125,20.48,8.881981760845942,0.4336905156663058,36.0,0.0703125,2.0,3.108684325971028
2,512,1.0,6,2.0,1.0,42679,56.0,0.109375,26.0,0.05078125,19.692307692307693,6.689654646537505,0.3397090250194827,29.0,0.056640625,1.0,3.186147212527314
