N,lambda,action_field,beta_entropy,entropy_sign,action_sign,focus_lor,mean_score_focus,mean_score_kr,win_rate_focus_vs_kr,lambda_cross_mean_focus_vs_kr,mean_f5_focus,mean_f5_kr,win_rate_f5_focus_vs_kr,agreement_rate_score_vs_f5
16,14.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-7.008623306463499,19.072653455899747,1.0,1.449611182020694,31.810854423610923,41.67606865993212,1.0,1.0
16,16.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-5.7273733064635,24.510153455899747,1.0,1.449611182020694,31.810854423610923,41.67606865993212,1.0,1.0
16,18.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-4.4461233064635,29.947653455899747,1.0,1.449611182020694,31.810854423610923,41.67606865993212,1.0,1.0
16,20.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-3.1648733064634995,35.38515345589975,1.0,1.449611182020694,31.810854423610923,41.67606865993212,1.0,1.0
20,0.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-21.479102955691083,-27.150899454348938,0.0,2.5207984438479354,42.78131114512608,58.96394888290842,1.0,0.0
20,2.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-19.57910295569108,-20.75089945434894,0.375,2.5207984438479354,42.78131114512608,58.96394888290842,1.0,0.375
20,4.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-17.67910295569108,-14.35089945434894,0.625,2.5207984438479354,42.78131114512608,58.96394888290842,1.0,0.625
20,6.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-15.77910295569108,-7.95089945434894,0.75,2.5207984438479354,42.78131114512608,58.96394888290842,1.0,0.75
20,8.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-13.879102955691081,-1.5508994543489405,0.875,2.5207984438479354,42.78131114512608,58.96394888290842,1.0,0.875
20,10.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-11.97910295569108,4.84910054565106,1.0,2.5207984438479354,42.78131114512608,58.96394888290842,1.0,1.0
20,12.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-10.07910295569108,11.24910054565106,1.0,2.5207984438479354,42.78131114512608,58.96394888290842,1.0,1.0
20,14.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-8.17910295569108,17.64910054565106,1.0,2.5207984438479354,42.78131114512608,58.96394888290842,1.0,1.0
20,16.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-6.27910295569108,24.049100545651058,1.0,2.5207984438479354,42.78131114512608,58.96394888290842,1.0,1.0
20,18.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-4.3791029556910805,30.449100545651056,1.0,2.5207984438479354,42.78131114512608,58.96394888290842,1.0,1.0
20,20.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-2.47910295569108,36.849100545651055,1.0,2.5207984438479354,42.78131114512608,58.96394888290842,1.0,1.0
28,0.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-34.86515755214059,-44.67153639867887,0.0,2.022678509783218,69.58265006732223,95.29726375527828,1.0,0.0
28,2.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-33.525871837854865,-33.63582211296459,0.5,2.022678509783218,69.58265006732223,95.29726375527828,1.0,0.5
28,4.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-32.18658612356916,-22.6001078272503,1.0,2.022678509783218,69.58265006732223,95.29726375527828,1.0,1.0
28,6.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-30.847300409283438,-11.564393541536017,1.0,2.022678509783218,69.58265006732223,95.29726375527828,1.0,1.0
28,8.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-29.508014694997723,-0.5286792558217304,1.0,2.022678509783218,69.58265006732223,95.29726375527828,1.0,1.0
28,10.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-28.16872898071201,10.507035029892556,1.0,2.022678509783218,69.58265006732223,95.29726375527828,1.0,1.0
28,12.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-26.829443266426292,21.54274931560684,1.0,2.022678509783218,69.58265006732223,95.29726375527828,1.0,1.0
28,14.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-25.49015755214058,32.57846360132113,1.0,2.022678509783218,69.58265006732223,95.29726375527828,1.0,1.0
28,16.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-24.150871837854865,43.61417788703541,1.0,2.022678509783218,69.58265006732223,95.29726375527828,1.0,1.0
28,18.0,bdg_d2_corrected_norm,1.0,-1.0,-1.0,Lor2D,-22.811586123569157,54.649892172749695,1.0,2.022678509783218,69.58265006732223,95.29726375527828,1.0,1.0
