stage,n,n_cg,family,sample_id,keep_ratio,cg_repeat,gamma,beta,action_mode,entropy_method,log_H,penalty_local,score_local,penalty_global_consistency,score_augmented,score_augmented_full,sig_comp,sig_d_eff,sig_height_ratio,sig_width_ratio,sig_degree_var,sig_interval_empty,sig_interval_size_ratio,base_family_rank
original,30,30,lorentzian_like_2d,1,1.0,0,0.2,1.0,A2,sis,36.39764234836451,2.694341124580125,-35.85877412344849,0.0,-35.85877412344849,-35.85877412344849,0.5747126436781609,1.5571241379310348,0.3,0.16666666666666666,0.05532098765432099,0.25,0.12239583333333333,5
original,30,30,lorentzian_like_2d,1,1.0,0,0.8,1.0,A2,sis,36.39764234836451,2.694341124580125,-34.242169448700416,0.0,-34.242169448700416,-34.242169448700416,0.5747126436781609,1.5571241379310348,0.3,0.16666666666666666,0.05532098765432099,0.25,0.12239583333333333,4
original,30,30,lorentzian_like_2d,2,1.0,0,0.2,1.0,A2,sis,35.493764563208785,0.45026112937367657,-35.40371233733405,0.0,-35.40371233733405,-35.40371233733405,0.5218390804597701,1.8743655172413793,0.3,0.23333333333333334,0.048680246913580257,0.21875,0.1015625,5
original,30,30,lorentzian_like_2d,2,1.0,0,0.8,1.0,A2,sis,35.493764563208785,0.45026112937367657,-35.13355565970984,0.0,-35.13355565970984,-35.13355565970984,0.5218390804597701,1.8743655172413793,0.3,0.23333333333333334,0.048680246913580257,0.21875,0.1015625,4
original,30,30,lorentzian_like_2d,3,1.0,0,0.2,1.0,A2,sis,36.43304284923735,0.38407449186985576,-36.356227950863385,0.0,-36.356227950863385,-36.356227950863385,0.5241379310344828,1.8605724137931032,0.23333333333333334,0.2,0.04837777777777778,0.296875,0.09427083333333333,5
original,30,30,lorentzian_like_2d,3,1.0,0,0.8,1.0,A2,sis,36.43304284923735,0.38407449186985576,-36.12578325574147,0.0,-36.12578325574147,-36.12578325574147,0.5241379310344828,1.8605724137931032,0.23333333333333334,0.2,0.04837777777777778,0.296875,0.09427083333333333,4
original,30,30,lorentzian_like_3d,0,1.0,0,0.2,1.0,A2,sis,50.56740985815065,14.891329458169315,-47.58914396651679,0.0,-47.58914396651679,-47.58914396651679,0.2896551724137931,3.2674689655172413,0.16666666666666666,0.4,0.02532592592592593,0.5625,0.030729166666666665,1
original,30,30,lorentzian_like_3d,0,1.0,0,0.8,1.0,A2,sis,50.56740985815065,14.891329458169315,-38.6543462916152,0.0,-38.6543462916152,-38.6543462916152,0.2896551724137931,3.2674689655172413,0.16666666666666666,0.4,0.02532592592592593,0.5625,0.030729166666666665,3
original,30,30,lorentzian_like_3d,1,1.0,0,0.2,1.0,A2,sis,48.97733083443277,8.137589418008325,-47.34981295083111,0.0,-47.34981295083111,-47.34981295083111,0.36551724137931035,2.812296551724138,0.13333333333333333,0.3333333333333333,0.03478888888888888,0.59375,0.0234375,1
original,30,30,lorentzian_like_3d,1,1.0,0,0.8,1.0,A2,sis,48.97733083443277,8.137589418008325,-42.46725930002611,0.0,-42.46725930002611,-42.46725930002611,0.36551724137931035,2.812296551724138,0.13333333333333333,0.3333333333333333,0.03478888888888888,0.59375,0.0234375,3
