n,n_cg,keep_ratio,gamma,action_mode,family,mean_score_local,mean_score_augmented,mean_score_augmented_full,mean_penalty_cg,mean_penalty_global_consistency,mean_self_drift,family_switch_rate,mean_rank_shift,mean_gc_var_comp,mean_gc_var_d_eff,count
30,18,0.6,0.2,A1,lorentzian_like_2d,-18.24652498437405,-18.100482912804026,-18.100482912804026,0.14604207157002574,0.0,0.014604207157002575,0.0,0.0,0.03925072679727946,1.1567117385034817,8
30,18,0.6,0.8,A1,lorentzian_like_4d,-27.906081059176486,-27.59402328005472,-27.59402328005472,0.31205777912176524,0.0,0.006205777912176517,0.125,0.125,0.0,0.0,8
30,18,0.6,0.8,A1,lorentzian_like_3d,-25.03880094766651,-24.156468629511096,-24.156468629511096,0.8823323181554118,0.0,0.013233231815541181,0.375,0.375,0.0030864197530864196,0.11111044444544439,8
30,18,0.6,0.8,A1,KR_like,-24.025329153939044,-22.148433264602062,-22.148433264602062,1.876895889336979,0.0,0.031439588933697894,0.75,0.875,0.0,0.0,8
30,18,0.6,0.8,A1,multi_layer_random,-23.743861749485607,-21.083834199208855,-21.083834199208855,2.660027550276753,0.0,0.028502755027675308,1.0,1.75,0.0030902777777777777,0.11125,8
30,18,0.6,0.8,A1,lorentzian_like_2d,-18.204135199070357,-18.05809312750033,-18.05809312750033,0.14604207157002574,0.0,0.014604207157002575,0.0,0.0,0.03925072679727946,1.1567117385034817,8
30,24,0.8,0.2,A1,lorentzian_like_4d,-42.12006448687679,-42.08398651442799,-42.08398648066782,0.0360779724487996,3.376017114912557e-08,0.0036077972448799603,0.0,0.0,0.0,0.0,8
30,24,0.8,0.2,A1,lorentzian_like_3d,-37.53220823308105,-37.228837291352036,-37.22883727869197,0.3033709417290132,1.2660064180922088e-08,0.005337094172901319,0.125,0.125,0.006120795540438397,0.220347576957626,8
30,24,0.8,0.2,A1,KR_like,-35.80017364203503,-35.516497179846404,-35.51649714608623,0.28367646218862297,3.376017114912557e-08,0.003367646218862301,0.125,0.125,0.0,0.0,8
30,24,0.8,0.2,A1,multi_layer_random,-35.58978530519042,-33.4494053891499,-33.44940537648984,2.1403799160405166,1.2660064180922088e-08,0.007787991604051656,0.875,1.5,0.017218364197530863,0.6198592486139547,8
30,24,0.8,0.2,A1,lorentzian_like_2d,-27.08074598674152,-27.001105735780378,-27.001026462505795,0.07964025096114011,7.927327458604123e-05,0.00796402509611401,0.0,0.0,0.04492954414498342,1.0793776228388534,8
30,24,0.8,0.8,A1,lorentzian_like_4d,-42.03284253592193,-41.996764563473135,-41.99676452971296,0.0360779724487996,3.376017114912557e-08,0.0036077972448799603,0.0,0.0,0.0,0.0,8
30,24,0.8,0.8,A1,lorentzian_like_3d,-37.47405737225929,-37.170686430530274,-37.170686417870215,0.3033709417290132,1.2660064180922088e-08,0.005337094172901319,0.125,0.125,0.006120795540438397,0.220347576957626,8
30,24,0.8,0.8,A1,KR_like,-35.74092500741408,-35.457248545225454,-35.45724851146528,0.28367646218862297,3.376017114912557e-08,0.003367646218862301,0.125,0.125,0.0,0.0,8
30,24,0.8,0.8,A1,multi_layer_random,-35.521048958980934,-33.38066904294041,-33.38066903028035,2.1403799160405166,1.2660064180922088e-08,0.007787991604051656,0.875,1.5,0.017218364197530863,0.6198592486139547,8
30,24,0.8,0.8,A1,lorentzian_like_2d,-27.039100389429244,-26.959460138468103,-26.95938086519352,0.07964025096114011,7.927327458604123e-05,0.00796402509611401,0.0,0.0,0.04492954414498342,1.0793776228388534,8
