stage,n,n_cg,family,sample_id,keep_ratio,cg_repeat,gamma,beta,action_mode,entropy_method,log_H,penalty_local,score_local,penalty_global_consistency,score_augmented,score_augmented_full,sig_comp,sig_d_eff,sig_height_ratio,sig_width_ratio,sig_degree_var,sig_interval_empty,sig_interval_size_ratio,base_family_rank
original,30,30,lorentzian_like_3d,3,1.0,0,0.8,1.0,A1,sis,49.8556820006317,0.083820987654321,-49.78862521050824,0.0,-49.78862521050824,-49.78862521050824,0.2988505747126437,3.2122965517241377,0.13333333333333333,0.4,0.026876543209876553,0.671875,0.027083333333333334,2
original,30,30,lorentzian_like_4d,0,1.0,0,0.2,1.0,A1,sis,58.84489439542049,0.14499876543209878,-58.81589464233407,0.0,-58.81589464233407,-58.81589464233407,0.135632183908046,4.191606896551724,0.1,0.4666666666666667,0.007961728395061728,0.864406779661017,0.005649717514124294,1
original,30,30,lorentzian_like_4d,0,1.0,0,0.8,1.0,A1,sis,58.84489439542049,0.14499876543209878,-58.72889538307481,0.0,-58.72889538307481,-58.72889538307481,0.135632183908046,4.191606896551724,0.1,0.4666666666666667,0.007961728395061728,0.864406779661017,0.005649717514124294,1
original,30,30,lorentzian_like_4d,1,1.0,0,0.2,1.0,A1,sis,55.15600836942553,0.06986913580246913,-55.14203454226504,0.0,-55.14203454226504,-55.14203454226504,0.24367816091954023,3.543331034482759,0.1,0.4666666666666667,0.021720987654320987,0.78125,0.007291666666666667,1
original,30,30,lorentzian_like_4d,1,1.0,0,0.8,1.0,A1,sis,55.15600836942553,0.06986913580246913,-55.100113060783556,0.0,-55.100113060783556,-55.100113060783556,0.24367816091954023,3.543331034482759,0.1,0.4666666666666667,0.021720987654320987,0.78125,0.007291666666666667,1
original,30,30,lorentzian_like_4d,2,1.0,0,0.2,1.0,A1,sis,57.34120989194842,0.06293209876543208,-57.32862347219533,0.0,-57.32862347219533,-57.32862347219533,0.19540229885057472,3.832986206896552,0.1,0.43333333333333335,0.014783950617283947,0.859375,0.007291666666666667,1
original,30,30,lorentzian_like_4d,2,1.0,0,0.8,1.0,A1,sis,57.34120989194842,0.06293209876543208,-57.29086421293607,0.0,-57.29086421293607,-57.29086421293607,0.19540229885057472,3.832986206896552,0.1,0.43333333333333335,0.014783950617283947,0.859375,0.007291666666666667,1
original,30,30,lorentzian_like_4d,3,1.0,0,0.2,1.0,A1,sis,57.09015542483405,0.04557407407407408,-57.08104061001924,0.0,-57.08104061001924,-57.08104061001924,0.1724137931034483,3.9709172413793103,0.1,0.43333333333333335,0.01224074074074074,0.75,0.011458333333333333,1
original,30,30,lorentzian_like_4d,3,1.0,0,0.8,1.0,A1,sis,57.09015542483405,0.04557407407407408,-57.05369616557479,0.0,-57.05369616557479,-57.05369616557479,0.1724137931034483,3.9709172413793103,0.1,0.43333333333333335,0.01224074074074074,0.75,0.011458333333333333,1
original,30,30,KR_like,0,1.0,0,0.2,1.0,A1,sis,49.319663754606864,0.08012839506172839,-49.30363807559452,0.0,-49.30363807559452,-49.30363807559452,0.37701149425287356,2.743331034482759,0.1,0.4666666666666667,0.035683950617283945,0.671875,0.03854166666666667,3
original,30,30,KR_like,0,1.0,0,0.8,1.0,A1,sis,49.319663754606864,0.08012839506172839,-49.25556103855748,0.0,-49.25556103855748,-49.25556103855748,0.37701149425287356,2.743331034482759,0.1,0.4666666666666667,0.035683950617283945,0.671875,0.03854166666666667,3
original,30,30,KR_like,1,1.0,0,0.2,1.0,A1,sis,49.487317552337856,0.10895802469135801,-49.465525947399584,0.0,-49.465525947399584,-49.465525947399584,0.3954022988505747,2.6329862068965517,0.1,0.5,0.038587654320987645,0.625,0.0515625,3
original,30,30,KR_like,1,1.0,0,0.8,1.0,A1,sis,49.487317552337856,0.10895802469135801,-49.40015113258477,0.0,-49.40015113258477,-49.40015113258477,0.3954022988505747,2.6329862068965517,0.1,0.5,0.038587654320987645,0.625,0.0515625,3
original,30,30,KR_like,2,1.0,0,0.2,1.0,A1,sis,48.94687972689133,0.10586913580246914,-48.925705899730836,0.0,-48.925705899730836,-48.925705899730836,0.37701149425287356,2.743331034482759,0.1,0.5,0.03549876543209876,0.59375,0.046875,3
original,30,30,KR_like,2,1.0,0,0.8,1.0,A1,sis,48.94687972689133,0.10586913580246914,-48.862184418249356,0.0,-48.862184418249356,-48.862184418249356,0.37701149425287356,2.743331034482759,0.1,0.5,0.03549876543209876,0.59375,0.046875,3
original,30,30,KR_like,3,1.0,0,0.2,1.0,A1,sis,49.5797359201586,0.08101358024691357,-49.56353320410921,0.0,-49.56353320410921,-49.56353320410921,0.3839080459770115,2.701951724137931,0.1,0.4666666666666667,0.036569135802469135,0.59375,0.052083333333333336,3
original,30,30,KR_like,3,1.0,0,0.8,1.0,A1,sis,49.5797359201586,0.08101358024691357,-49.514925055961065,0.0,-49.514925055961065,-49.514925055961065,0.3839080459770115,2.701951724137931,0.1,0.4666666666666667,0.036569135802469135,0.59375,0.052083333333333336,3
original,30,30,multi_layer_random,0,1.0,0,0.2,1.0,A1,sis,47.90522382999533,0.04849259259259259,-47.89552531147681,0.0,-47.89552531147681,-47.89552531147681,0.3586206896551724,2.8536758620689655,0.13333333333333333,0.3,0.033214814814814815,0.359375,0.0453125,4
original,30,30,multi_layer_random,0,1.0,0,0.8,1.0,A1,sis,47.90522382999533,0.04849259259259259,-47.86642975592125,0.0,-47.86642975592125,-47.86642975592125,0.3586206896551724,2.8536758620689655,0.13333333333333333,0.3,0.033214814814814815,0.359375,0.0453125,4
original,30,30,multi_layer_random,1,1.0,0,0.2,1.0,A1,sis,46.23555267913556,0.08188765432098766,-46.21917514827136,0.0,-46.21917514827136,-46.21917514827136,0.4160919540229885,2.508848275862069,0.16666666666666666,0.3,0.03966543209876542,0.3125,0.0484375,4
original,30,30,multi_layer_random,1,1.0,0,0.8,1.0,A1,sis,46.23555267913556,0.08188765432098766,-46.17004255567877,0.0,-46.17004255567877,-46.17004255567877,0.4160919540229885,2.508848275862069,0.16666666666666666,0.3,0.03966543209876542,0.3125,0.0484375,4
original,30,30,multi_layer_random,2,1.0,0,0.2,1.0,A1,sis,50.01944612519608,0.12116172839506173,-49.99521377951707,0.0,-49.99521377951707,-49.99521377951707,0.2942528735632184,3.2398827586206895,0.13333333333333333,0.4,0.025328395061728397,0.40625,0.034375,4
original,30,30,multi_layer_random,2,1.0,0,0.8,1.0,A1,sis,50.01944612519608,0.12116172839506173,-49.922516742480035,0.0,-49.922516742480035,-49.922516742480035,0.2942528735632184,3.2398827586206895,0.13333333333333333,0.4,0.025328395061728397,0.40625,0.034375,4
original,30,30,multi_layer_random,3,1.0,0,0.2,1.0,A1,sis,51.761100781311974,0.07967407407407406,-51.74516596649716,0.0,-51.74516596649716,-51.74516596649716,0.31724137931034485,3.101951724137931,0.16666666666666666,0.36666666666666664,0.028562962962962964,0.46875,0.033854166666666664,4
original,30,30,multi_layer_random,3,1.0,0,0.8,1.0,A1,sis,51.761100781311974,0.07967407407407406,-51.69736152205272,0.0,-51.69736152205272,-51.69736152205272,0.31724137931034485,3.101951724137931,0.16666666666666666,0.36666666666666664,0.028562962962962964,0.46875,0.033854166666666664,4
