n,gamma,family,action_mode,score_norm_mean,score_norm_std,score_norm_ci_low,score_norm_ci_high,bootstrap_mode,count
20,0.4,multi_layer_random,A3,0.12404836797605538,0.46283663522162677,-0.30462487985416403,0.6535282561916085,outer_plus_measurement,8
20,0.4,transitive_percolation,A1,-1.448230333845585,0.4769416352116415,-1.917679300758764,-0.9354830206433968,outer_plus_measurement,8
20,0.4,transitive_percolation,A2,-0.006168615723846443,0.9705036427189592,-0.7168137293872421,0.7042352452565139,outer_plus_measurement,8
20,0.4,transitive_percolation,A3,-0.105684549550104,0.9606601837292961,-0.8039413469440545,0.6963273570072673,outer_plus_measurement,8
20,0.8,KR_like,A1,-0.6221282287963461,0.14443070526501664,-0.9076330406555717,-0.31031077234138565,outer_plus_measurement,8
20,0.8,KR_like,A2,7.569213298081259,0.6855193405087529,6.91770005349603,8.146160186017436,outer_plus_measurement,8
20,0.8,KR_like,A3,7.415991654477208,0.6524607053680901,6.823713464287374,7.850102383693155,outer_plus_measurement,8
20,0.8,absolute_layered,A1,0.5212783827365944,0.3764051789515783,0.24013371776794068,0.7427614729139635,outer_plus_measurement,8
20,0.8,absolute_layered,A2,5.424269148201262,1.0033863653414954,4.8032502981762955,5.986725050326009,outer_plus_measurement,8
20,0.8,absolute_layered,A3,5.100232190254168,1.0570558439459472,4.495430082867363,5.949189922855172,outer_plus_measurement,8
20,0.8,interval_order,A1,0.645145989297715,0.7589487524058075,0.1332012716239378,1.1669925369977483,outer_plus_measurement,8
20,0.8,interval_order,A2,1.9779409819149847,1.3336299089480483,1.1145917916330714,2.9720952973889414,outer_plus_measurement,8
20,0.8,interval_order,A3,1.772211681452814,1.3100101751861957,0.7786898406100584,2.6810640619930868,outer_plus_measurement,8
20,0.8,lorentzian_like_2d,A1,0.2165224479299312,0.2367866145901631,-0.14278889121304414,0.5603785927902459,outer_plus_measurement,8
20,0.8,lorentzian_like_2d,A2,0.4618649594422578,0.24139424211562416,0.07821111728148682,0.8119041966679762,outer_plus_measurement,8
20,0.8,lorentzian_like_2d,A3,0.34185482310914783,0.2532719891509609,-0.006556232099162826,0.6739092395485929,outer_plus_measurement,8
20,0.8,lorentzian_like_3d,A1,-1.3113849612041426,0.25471499411512405,-1.698941659033316,-0.9896017873612333,outer_plus_measurement,8
20,0.8,lorentzian_like_3d,A2,6.061407724242513,3.597737486744837,3.6363724898000074,8.569524433427855,outer_plus_measurement,8
20,0.8,lorentzian_like_3d,A3,5.851589848149018,3.5010537872920295,3.716874054703049,8.105207282447653,outer_plus_measurement,8
20,0.8,multi_layer_random,A1,-0.4783141544537173,0.4259425081266527,-0.9222113446655616,0.010252431965007826,outer_plus_measurement,8
20,0.8,multi_layer_random,A2,0.36189487686955824,0.7335615405730589,-0.15837618628739342,0.9622821021140535,outer_plus_measurement,8
20,0.8,multi_layer_random,A3,0.21450291352046763,0.7126848401643014,-0.29305204430908993,0.8130099547130173,outer_plus_measurement,8
20,0.8,transitive_percolation,A1,-1.6783643701365527,0.4691480251903343,-2.165122398959353,-1.1108932142671737,outer_plus_measurement,8
20,0.8,transitive_percolation,A2,1.2057590661069242,2.254957704301323,-0.31668862297787725,2.511078671530342,outer_plus_measurement,8
20,0.8,transitive_percolation,A3,1.006727198454409,2.233918243042803,-0.22671797191942789,2.641788348316486,outer_plus_measurement,8
20,1.2,KR_like,A1,-0.8751673771115461,0.14183564953775915,-1.2049655776478427,-0.5720366185973966,outer_plus_measurement,8
20,1.2,KR_like,A2,11.41184491320486,1.0435766882176647,10.743897167181856,12.27195350453891,outer_plus_measurement,8
20,1.2,KR_like,A3,11.182012447798785,0.992996247501998,10.535573756429589,11.877876569002327,outer_plus_measurement,8
20,1.2,absolute_layered,A1,0.3536468915929166,0.30836320979820103,0.1706889470946093,0.5471244703361953,outer_plus_measurement,8
20,1.2,absolute_layered,A2,7.708133039789919,1.427422322796814,6.890028908329319,8.769964694922272,outer_plus_measurement,8
20,1.2,absolute_layered,A3,7.222077602869276,1.4764729920465665,6.307525693259967,8.279598087994124,outer_plus_measurement,8
20,1.2,interval_order,A1,0.41836066941157496,0.7539503036909684,-0.1840789230143184,0.9686516321351861,outer_plus_measurement,8
20,1.2,interval_order,A2,2.4175531583374794,1.781566482653258,1.1279983598245855,3.555137138074233,outer_plus_measurement,8
20,1.2,interval_order,A3,2.108959207644223,1.7368400041872265,0.9907753179125242,3.2814109335683193,outer_plus_measurement,8
20,1.2,lorentzian_like_2d,A1,-0.05312245402073922,0.22745915671219136,-0.47418270800478446,0.32060608625117226,outer_plus_measurement,8
20,1.2,lorentzian_like_2d,A2,0.31489131324775066,0.2772343698572076,-0.09698906984991701,0.6995432138845284,outer_plus_measurement,8
20,1.2,lorentzian_like_2d,A3,0.13487610874808575,0.28706723984301874,-0.22024716936719207,0.5251678217397662,outer_plus_measurement,8
20,1.2,lorentzian_like_3d,A1,-1.5361259932746207,0.19677603686118322,-1.8708296784168366,-1.1862035368125616,outer_plus_measurement,8
20,1.2,lorentzian_like_3d,A2,9.523063034895362,5.541316173702544,6.0903426181836915,13.500518887184333,outer_plus_measurement,8
20,1.2,lorentzian_like_3d,A3,9.20833622075512,5.39254558106054,5.820844386313281,12.78904155202471,outer_plus_measurement,8
20,1.2,multi_layer_random,A1,-0.7342681428963974,0.44292842011954847,-1.1203883425369479,-0.31720802876329546,outer_plus_measurement,8
20,1.2,multi_layer_random,A2,0.5260454040885156,1.0477545832646773,-0.1896173423120244,1.209863308205047,outer_plus_measurement,8
20,1.2,multi_layer_random,A3,0.3049574590648799,1.0205147281561788,-0.43301361547499007,0.9777416195978194,outer_plus_measurement,8
20,1.2,transitive_percolation,A1,-1.9084984064275206,0.46254316670798207,-2.4166848880192253,-1.3465386241459951,outer_plus_measurement,8
