stage,n,n_cg,family,sample_id,keep_ratio,cg_repeat,gamma,beta,action_mode,entropy_method,log_H,penalty_local,score_local,penalty_global_consistency,score_augmented,score_augmented_full,sig_comp,sig_d_eff,sig_height_ratio,sig_width_ratio,sig_degree_var,sig_interval_empty,sig_interval_size_ratio,base_family_rank
original,16,16,lorentzian_like_2d,2,1.0,0,0.2,1.0,A2,exact,15.895811730055993,0.5789787140277775,-15.780015987250437,0.0,-15.780015987250437,-15.780015987250437,0.5333333333333333,1.8054000000000001,0.375,0.375,0.05712890625,0.40625,0.0859375,5
original,16,16,lorentzian_like_2d,2,1.0,0,0.8,1.0,A2,exact,15.895811730055993,0.5789787140277775,-15.43262875883377,0.0,-15.43262875883377,-15.43262875883377,0.5333333333333333,1.8054000000000001,0.375,0.375,0.05712890625,0.40625,0.0859375,1
original,16,16,lorentzian_like_3d,0,1.0,0,0.2,1.0,A2,exact,21.395543400098628,17.031406073211137,-17.9892621854564,0.0,-17.9892621854564,-17.9892621854564,0.2833333333333333,3.3054,0.1875,0.4375,0.02459716796875,0.8235294117647058,0.012867647058823529,2
original,16,16,lorentzian_like_3d,0,1.0,0,0.8,1.0,A2,exact,21.395543400098628,17.031406073211137,-7.770418541529718,0.0,-7.770418541529718,-7.770418541529718,0.2833333333333333,3.3054,0.1875,0.4375,0.02459716796875,0.8235294117647058,0.012867647058823529,4
original,16,16,lorentzian_like_3d,1,1.0,0,0.2,1.0,A2,exact,22.130167001925816,25.92381465088009,-16.9454040717498,0.0,-16.9454040717498,-16.9454040717498,0.225,3.6554,0.1875,0.5625,0.0181732177734375,0.7777777777777778,0.013888888888888888,2
original,16,16,lorentzian_like_3d,1,1.0,0,0.8,1.0,A2,exact,22.130167001925816,25.92381465088009,-1.3911152812217438,0.0,-1.3911152812217438,-1.3911152812217438,0.225,3.6554,0.1875,0.5625,0.0181732177734375,0.7777777777777778,0.013888888888888888,4
original,16,16,lorentzian_like_3d,2,1.0,0,0.2,1.0,A2,exact,20.756690090733574,13.93410645099249,-17.969868800535075,0.0,-17.969868800535075,-17.969868800535075,0.2916666666666667,3.2554,0.25,0.5,0.0254974365234375,0.6285714285714286,0.026785714285714284,2
original,16,16,lorentzian_like_3d,2,1.0,0,0.8,1.0,A2,exact,20.756690090733574,13.93410645099249,-9.609404929939583,0.0,-9.609404929939583,-9.609404929939583,0.2916666666666667,3.2554,0.25,0.5,0.0254974365234375,0.6285714285714286,0.026785714285714284,4
original,16,16,transitive_percolation,0,1.0,0,0.2,1.0,A2,exact,24.589045780384463,39.2413956662229,-16.740766647139882,0.0,-16.740766647139882,-16.740766647139882,0.14166666666666666,4.1554,0.25,0.625,0.0114593505859375,0.47058823529411764,0.04044117647058824,4
original,16,16,transitive_percolation,0,1.0,0,0.8,1.0,A2,exact,24.589045780384463,39.2413956662229,6.804070752593859,0.0,6.804070752593859,6.804070752593859,0.14166666666666666,4.1554,0.25,0.625,0.0114593505859375,0.47058823529411764,0.04044117647058824,5
original,16,16,transitive_percolation,1,1.0,0,0.2,1.0,A2,exact,28.592418564400838,70.15098067523236,-14.562222429354364,0.0,-14.562222429354364,-14.562222429354364,0.03333333333333333,4.805400000000001,0.1875,0.875,0.001708984375,0.75,0.015625,4
original,16,16,transitive_percolation,1,1.0,0,0.8,1.0,A2,exact,28.592418564400838,70.15098067523236,27.528365975785057,0.0,27.528365975785057,27.528365975785057,0.03333333333333333,4.805400000000001,0.1875,0.875,0.001708984375,0.75,0.015625,5
original,16,16,transitive_percolation,2,1.0,0,0.2,1.0,A2,exact,23.35379167667744,36.787517042934766,-15.996288268090485,0.0,-15.996288268090485,-15.996288268090485,0.15,4.1053999999999995,0.25,0.5,0.00994873046875,0.6111111111111112,0.034722222222222224,4
original,16,16,transitive_percolation,2,1.0,0,0.8,1.0,A2,exact,23.35379167667744,36.787517042934766,6.076221957670377,0.0,6.076221957670377,6.076221957670377,0.15,4.1053999999999995,0.25,0.5,0.00994873046875,0.6111111111111112,0.034722222222222224,5
original,16,16,multi_layer_random,0,1.0,0,0.2,1.0,A2,exact,18.355154855528106,3.6791652692711487,-17.619321801673877,0.0,-17.619321801673877,-17.619321801673877,0.39166666666666666,2.6554,0.3125,0.375,0.0375823974609375,0.5106382978723404,0.06382978723404255,3
original,16,16,multi_layer_random,0,1.0,0,0.8,1.0,A2,exact,18.355154855528106,3.6791652692711487,-15.411822640111186,0.0,-15.411822640111186,-15.411822640111186,0.39166666666666666,2.6554,0.3125,0.375,0.0375823974609375,0.5106382978723404,0.06382978723404255,3
original,16,16,multi_layer_random,1,1.0,0,0.2,1.0,A2,exact,21.54428991958877,20.65279723953634,-17.413730471681504,0.0,-17.413730471681504,-17.413730471681504,0.24166666666666667,3.5553999999999997,0.25,0.4375,0.0201263427734375,0.6896551724137931,0.032327586206896554,3
original,16,16,multi_layer_random,1,1.0,0,0.8,1.0,A2,exact,21.54428991958877,20.65279723953634,-5.022052127959697,0.0,-5.022052127959697,-5.022052127959697,0.24166666666666667,3.5553999999999997,0.25,0.4375,0.0201263427734375,0.6896551724137931,0.032327586206896554,3
original,16,16,multi_layer_random,2,1.0,0,0.2,1.0,A2,exact,18.325817736151734,7.4961705685305065,-16.826583622445632,0.0,-16.826583622445632,-16.826583622445632,0.3416666666666667,2.9554,0.25,0.3125,0.0273284912109375,0.5365853658536586,0.05030487804878049,3
original,16,16,multi_layer_random,2,1.0,0,0.8,1.0,A2,exact,18.325817736151734,7.4961705685305065,-12.328881281327329,0.0,-12.328881281327329,-12.328881281327329,0.3416666666666667,2.9554,0.25,0.3125,0.0273284912109375,0.5365853658536586,0.05030487804878049,3
