n,family,sample_id,gamma,beta,action_mode,log_H_mean,log_H_std,entropy_method,penalty_neutral,penalty_geometric,penalty_info,penalty_effective,score,score_per_node,score_per_nlogn,log_H_norm,penalty_norm,log_H_norm_scale,penalty_norm_scale,score_norm,score_norm_std_est,normalization_method,normalization_group
100,random_layered_k6_tapered,10,1.0,1.0,A4,210.41879007672682,7.413113485084685,sis,0.09465119444444445,6.9772043796807885,1.67140142793178,1.67140142793178,-208.74738864879504,-2.0874738864879503,-0.45328919500942594,-0.5170066038101954,-0.6899609107970878,42.66485726080266,0.5630583933660074,-0.1729543069868924,0.17375221578194075,robust_zscore,n
100,random_layered_k6_tapered,11,0.0,1.0,A4,215.07356567793673,6.806856163812773,sis,0.09771243444444444,7.246991721170055,1.7940744624494362,1.7940744624494362,-215.07356567793673,-2.1507356567793674,-0.46702631388592264,-0.4079056739100649,-0.47209179462193007,42.66485726080266,0.5630583933660074,0.4079056739100649,0.15954245720790006,robust_zscore,n
100,random_layered_k6_tapered,11,0.2,1.0,A4,215.07356567793673,6.806856163812773,sis,0.09771243444444444,7.246991721170055,1.7940744624494362,1.7940744624494362,-214.71475078544685,-2.1471475078544686,-0.46624715724675736,-0.4079056739100649,-0.47209179462193007,42.66485726080266,0.5630583933660074,0.31348731498567883,0.15954245720790006,robust_zscore,n
100,random_layered_k6_tapered,11,0.5,1.0,A4,215.07356567793673,6.806856163812773,sis,0.09771243444444444,7.246991721170055,1.7940744624494362,1.7940744624494362,-214.176528446712,-2.14176528446712,-0.46507842228800933,-0.4079056739100649,-0.47209179462193007,42.66485726080266,0.5630583933660074,0.17185977659909984,0.15954245720790006,robust_zscore,n
100,random_layered_k6_tapered,11,1.0,1.0,A4,215.07356567793673,6.806856163812773,sis,0.09771243444444444,7.246991721170055,1.7940744624494362,1.7940744624494362,-213.2794912154873,-2.132794912154873,-0.463130530690096,-0.4079056739100649,-0.47209179462193007,42.66485726080266,0.5630583933660074,-0.06418612071186519,0.15954245720790006,robust_zscore,n
100,random_layered_k6_tapered,12,0.0,1.0,A4,220.5009668327121,7.39297651640856,sis,0.08564548777777778,6.494827018376921,1.949430459355914,1.949430459355914,-220.5009668327121,-2.2050096683271208,-0.47881176574889406,-0.2806955646250711,-0.1961772558513643,42.66485726080266,0.5630583933660074,0.2806955646250711,0.17328023556288055,robust_zscore,n
100,random_layered_k6_tapered,12,0.2,1.0,A4,220.5009668327121,7.39297651640856,sis,0.08564548777777778,6.494827018376921,1.949430459355914,1.949430459355914,-220.11108074084092,-2.2011108074084094,-0.47796513885754166,-0.2806955646250711,-0.1961772558513643,42.66485726080266,0.5630583933660074,0.24146011345479826,0.17328023556288055,robust_zscore,n
100,random_layered_k6_tapered,12,0.5,1.0,A4,220.5009668327121,7.39297651640856,sis,0.08564548777777778,6.494827018376921,1.949430459355914,1.949430459355914,-219.52625160303413,-2.195262516030341,-0.476695198520513,-0.2806955646250711,-0.1961772558513643,42.66485726080266,0.5630583933660074,0.18260693669938896,0.17328023556288055,robust_zscore,n
100,random_layered_k6_tapered,12,1.0,1.0,A4,220.5009668327121,7.39297651640856,sis,0.08564548777777778,6.494827018376921,1.949430459355914,1.949430459355914,-218.55153637335619,-2.185515363733562,-0.47457863129213207,-0.2806955646250711,-0.1961772558513643,42.66485726080266,0.5630583933660074,0.08451830877370681,0.17328023556288055,robust_zscore,n
100,random_layered_k6_tapered,13,0.0,1.0,A4,217.7665376865794,8.044672843868614,sis,0.09994543444444445,6.523788585879186,1.5838248737418272,1.5838248737418272,-217.7665376865794,-2.177665376865794,-0.4728740283022898,-0.3447864657012805,-0.8454981609682701,42.66485726080266,0.5630583933660074,0.3447864657012805,0.18855501600985008,robust_zscore,n
