n,n_cg,keep_ratio,gamma,action_mode,family,mean_score_local,mean_score_augmented,mean_score_augmented_full,mean_penalty_cg,mean_penalty_global_consistency,mean_self_drift,family_switch_rate,mean_rank_shift,mean_gc_var_comp,mean_gc_var_d_eff,count,rank_local,rank_augmented_cg,rank_augmented_full,rank_delta_due_to_cg_penalty,rank_delta_due_to_full_penalty
30,18,0.6,0.8,A2,transitive_percolation,6.638611422191431,7.131680472184851,7.131680472184851,0.4930690499934187,0.0,0.01805690499934187,0.125,0.25,0.0,0.0,8,5,5,5,0,0
30,24,0.8,0.2,A2,lorentzian_like_3d,-35.07441508214989,-34.70854414042088,-34.70854412776082,0.3658709417290132,1.2660064180922088e-08,0.005337094172901319,0.125,0.25,0.006120795540438397,0.220347576957626,8,1,1,1,0,0
30,24,0.8,0.2,A2,KR_like,-33.74461028813579,-33.39843382594717,-33.398433792187,0.34617646218862297,3.376017114912557e-08,0.003367646218862301,0.125,0.25,0.0,0.0,8,2,2,2,0,0
30,24,0.8,0.2,A2,transitive_percolation,-32.95445549850197,-32.546499854186166,-32.54649982464602,0.4079556443158005,2.954014975548487e-08,0.0032955644315800486,0.125,0.375,0.006666666666666667,0.0681653709375,8,4,3,3,-1,-1
30,24,0.8,0.2,A2,multi_layer_random,-33.55215966840426,-31.724279752363742,-31.72427973970368,1.8278799160405166,1.2660064180922088e-08,0.007787991604051656,0.875,0.875,0.017218364197530863,0.6198592486139547,8,3,4,4,1,1
30,24,0.8,0.2,A2,lorentzian_like_2d,-26.83516590874909,-26.75552565778795,-26.755446384513363,0.07964025096114011,7.927327458604123e-05,0.00796402509611401,0.0,0.0,0.04492954414498342,1.0793776228388534,8,5,5,5,0,0
30,24,0.8,0.8,A2,lorentzian_like_3d,-27.642884768534664,-27.33951382680565,-27.339513814145587,0.3033709417290132,1.2660064180922088e-08,0.005337094172901319,0.125,0.125,0.006120795540438397,0.220347576957626,8,1,1,1,0,0
30,24,0.8,0.8,A2,KR_like,-27.518671591817135,-27.234995129628512,-27.234995095868342,0.28367646218862297,3.376017114912557e-08,0.003367646218862301,0.125,0.125,0.0,0.0,8,2,2,2,0,0
30,24,0.8,0.8,A2,lorentzian_like_2d,-26.05678007745952,-25.97713982649838,-25.977060553223794,0.07964025096114011,7.927327458604123e-05,0.00796402509611401,0.0,0.0,0.04492954414498342,1.0793776228388534,8,4,3,3,-1,-1
30,24,0.8,0.8,A2,multi_layer_random,-27.370546411836276,-25.23016649579576,-25.230166483135697,2.1403799160405166,1.2660064180922088e-08,0.007787991604051656,0.875,1.5,0.017218364197530863,0.6198592486139547,8,3,4,4,1,1
30,24,0.8,0.8,A2,transitive_percolation,-10.136761616452164,-9.791305972136364,-9.791305942596214,0.3454556443158005,2.954014975548487e-08,0.0032955644315800486,0.125,0.25,0.006666666666666667,0.0681653709375,8,5,5,5,0,0
