n,family,sample_id,gamma,beta,action_mode,log_H_mean,log_H_std,entropy_method,penalty_neutral,penalty_geometric,penalty_info,penalty_effective,score,score_per_node,score_per_nlogn,log_H_norm,penalty_norm,log_H_norm_scale,penalty_norm_scale,score_norm,score_norm_std_est,normalization_method,normalization_group
10,absolute_layered,0,1.0,1.0,A3,6.173786103901937,0.0,exact,0.1906,16.52718529491215,0.5972350669162926,16.52718529491215,10.353399191010215,1.0353399191010215,0.44964241375973274,-1.319188106747185,8.080256577565997,2.7748842334516826,1.8769069823977402,9.399444684313181,0.0,robust_zscore,n
10,absolute_layered,0,1.0,1.0,A4,6.173786103901937,0.0,exact,0.1906,16.52718529491215,0.5972350669162926,0.5972350669162926,-5.576551036985644,-0.5576551036985644,-0.24218653434147216,-1.319188106747185,-0.4070847650749794,2.7748842334516826,1.8769069823977402,0.9121033416722055,0.0,robust_zscore,n
10,absolute_layered,1,0.0,1.0,A1,5.662960480135946,0.0,exact,0.14,19.104177777777778,0.8343015854433914,0.14,-5.662960480135946,-0.5662960480135946,-0.24593924877592305,-1.5032770923732892,-0.6506957011546017,2.7748842334516826,1.8769069823977402,1.5032770923732892,0.0,robust_zscore,n
10,absolute_layered,1,0.0,1.0,A3,5.662960480135946,0.0,exact,0.14,19.104177777777778,0.8343015854433914,19.104177777777778,-5.662960480135946,-0.5662960480135946,-0.24593924877592305,-1.5032770923732892,9.45325614921953,2.7748842334516826,1.8769069823977402,1.5032770923732892,0.0,robust_zscore,n
10,absolute_layered,1,0.0,1.0,A4,5.662960480135946,0.0,exact,0.14,19.104177777777778,0.8343015854433914,0.8343015854433914,-5.662960480135946,-0.5662960480135946,-0.24593924877592305,-1.5032770923732892,-0.28077774999624205,2.7748842334516826,1.8769069823977402,1.5032770923732892,0.0,robust_zscore,n
10,absolute_layered,1,0.2,1.0,A1,5.662960480135946,0.0,exact,0.14,19.104177777777778,0.8343015854433914,0.14,-5.6349604801359465,-0.5634960480135947,-0.24472322422659396,-1.5032770923732892,-0.6506957011546017,2.7748842334516826,1.8769069823977402,1.3731379521423688,0.0,robust_zscore,n
10,absolute_layered,1,0.2,1.0,A3,5.662960480135946,0.0,exact,0.14,19.104177777777778,0.8343015854433914,19.104177777777778,-1.8421249245803901,-0.184212492458039,-0.08000246897217073,-1.5032770923732892,9.45325614921953,2.7748842334516826,1.8769069823977402,3.3939283222171954,0.0,robust_zscore,n
10,absolute_layered,1,0.2,1.0,A4,5.662960480135946,0.0,exact,0.14,19.104177777777778,0.8343015854433914,0.8343015854433914,-5.4961001630472675,-0.5496100163047267,-0.23869259727989905,-1.5032770923732892,-0.28077774999624205,2.7748842334516826,1.8769069823977402,1.447121542374041,0.0,robust_zscore,n
10,absolute_layered,1,0.5,1.0,A1,5.662960480135946,0.0,exact,0.14,19.104177777777778,0.8343015854433914,0.14,-5.592960480135946,-0.5592960480135946,-0.24289918740260028,-1.5032770923732892,-0.6506957011546017,2.7748842334516826,1.8769069823977402,1.1779292417959883,0.0,robust_zscore,n
10,absolute_layered,1,0.5,1.0,A3,5.662960480135946,0.0,exact,0.14,19.104177777777778,0.8343015854433914,19.104177777777778,3.889128408752943,0.3889128408752943,0.16890270073345773,-1.5032770923732892,9.45325614921953,2.7748842334516826,1.8769069823977402,6.2299051669830545,0.0,robust_zscore,n
