scale_label,scale_factor,n,gamma,family,mean_score,std_score,mean_penalty,mean_log_H,count
1.610,1.61,48,1.0,KR_like,-82.28305737004216,0.41899049846656955,14.724096730482891,97.00715410052504,2
1.610,1.61,48,1.0,lorentzian_like_2d,-68.95374668757269,4.486994314513945,1.8527915303761913,70.80653821794888,2
1.610,1.61,48,1.5,KR_like,-74.92100900480071,0.5737860262921451,14.724096730482891,97.00715410052504,2
1.610,1.61,48,1.5,lorentzian_like_2d,-68.02735092238458,4.798110271608801,1.8527915303761913,70.80653821794888,2
1.610,1.61,48,2.0,KR_like,-67.55896063955926,0.7285815541177207,14.724096730482891,97.00715410052504,2
1.610,1.61,48,2.0,lorentzian_like_2d,-67.1009551571965,5.109226228703646,1.8527915303761913,70.80653821794888,2
1.620,1.62,48,0.0,KR_like,-97.00715410052504,0.10939944281541335,14.761175115521947,97.00715410052504,2
1.620,1.62,48,0.0,lorentzian_like_2d,-70.80653821794888,3.8647624003242482,1.8609207533560512,70.80653821794888,2
1.620,1.62,48,0.1,KR_like,-95.53103658897285,0.14055003478272907,14.761175115521947,97.00715410052504,2
1.620,1.62,48,0.1,lorentzian_like_2d,-70.62044614261328,3.9269627724546052,1.8609207533560512,70.80653821794888,2
1.620,1.62,48,0.2,KR_like,-94.05491907742066,0.17170062675004477,14.761175115521947,97.00715410052504,2
1.620,1.62,48,0.2,lorentzian_like_2d,-70.43435406727767,3.989163144584967,1.8609207533560512,70.80653821794888,2
1.620,1.62,48,0.4,KR_like,-91.10268405431627,0.2340018106846812,14.761175115521947,97.00715410052504,2
1.620,1.62,48,0.4,lorentzian_like_2d,-70.06216991660645,4.113563888845672,1.8609207533560512,70.80653821794888,2
1.620,1.62,48,0.6,KR_like,-88.15044903121188,0.29630299461932263,14.761175115521947,97.00715410052504,2
1.620,1.62,48,0.6,lorentzian_like_2d,-69.68998576593525,4.237964633106375,1.8609207533560512,70.80653821794888,2
1.620,1.62,48,0.8,KR_like,-85.1982140081075,0.35860417855396914,14.761175115521947,97.00715410052504,2
1.620,1.62,48,0.8,lorentzian_like_2d,-69.31780161526405,4.362365377367084,1.8609207533560512,70.80653821794888,2
1.620,1.62,48,1.0,KR_like,-82.2459789850031,0.4209053624886056,14.761175115521947,97.00715410052504,2
1.620,1.62,48,1.0,lorentzian_like_2d,-68.94561746459283,4.486766121627804,1.8609207533560512,70.80653821794888,2
1.620,1.62,48,1.5,KR_like,-74.86539142724213,0.5766583223251992,14.761175115521947,97.00715410052504,2
1.620,1.62,48,1.5,lorentzian_like_2d,-68.0151570879148,4.797767982279574,1.8609207533560512,70.80653821794888,2
1.620,1.62,48,2.0,KR_like,-67.48480386948115,0.7324112821617927,14.761175115521947,97.00715410052504,2
1.620,1.62,48,2.0,lorentzian_like_2d,-67.08469671123677,5.108769842931344,1.8609207533560512,70.80653821794888,2
1.630,1.63,48,0.0,KR_like,-97.00715410052504,0.10939944281541335,14.798253500561005,97.00715410052504,2
1.630,1.63,48,0.0,lorentzian_like_2d,-70.80653821794888,3.8647624003242482,1.8690499763359107,70.80653821794888,2
1.630,1.63,48,0.1,KR_like,-95.52732875046894,0.14074152118493566,14.798253500561005,97.00715410052504,2
1.630,1.63,48,0.1,lorentzian_like_2d,-70.61963322031528,3.92693995316599,1.8690499763359107,70.80653821794888,2
1.630,1.63,48,0.2,KR_like,-94.04750340041285,0.17208359955446303,14.798253500561005,97.00715410052504,2
1.630,1.63,48,0.2,lorentzian_like_2d,-70.4327282226817,3.989117506007732,1.8690499763359107,70.80653821794888,2
1.630,1.63,48,0.4,KR_like,-91.08785270030064,0.23476775629350768,14.798253500561005,97.00715410052504,2
1.630,1.63,48,0.4,lorentzian_like_2d,-70.05891822741451,4.11347261169121,1.8690499763359107,70.80653821794888,2
1.630,1.63,48,0.6,KR_like,-88.12820200018845,0.29745191303253726,14.798253500561005,97.00715410052504,2
1.630,1.63,48,0.6,lorentzian_like_2d,-69.68510823214733,4.237827717374695,1.8690499763359107,70.80653821794888,2
1.630,1.63,48,0.8,KR_like,-85.16855130007625,0.36013606977159696,14.798253500561005,97.00715410052504,2
1.630,1.63,48,0.8,lorentzian_like_2d,-69.31129823688015,4.362182823058179,1.8690499763359107,70.80653821794888,2
1.630,1.63,48,1.0,KR_like,-82.20890059996404,0.4228202265106567,14.798253500561005,97.00715410052504,2
1.630,1.63,48,1.0,lorentzian_like_2d,-68.93748824161295,4.486537928741657,1.8690499763359107,70.80653821794888,2
1.630,1.63,48,1.5,KR_like,-74.80977384968355,0.5795306183582583,14.798253500561005,97.00715410052504,2
1.630,1.63,48,1.5,lorentzian_like_2d,-68.00296325344502,4.797425692950347,1.8690499763359107,70.80653821794888,2
1.630,1.63,48,2.0,KR_like,-67.41064709940304,0.736241010205885,14.798253500561005,97.00715410052504,2
1.630,1.63,48,2.0,lorentzian_like_2d,-67.06843826527705,5.108313457159059,1.8690499763359107,70.80653821794888,2
1.640,1.64,48,0.0,KR_like,-97.00715410052504,0.10939944281541335,14.835331885600063,97.00715410052504,2
1.640,1.64,48,0.0,lorentzian_like_2d,-70.80653821794888,3.8647624003242482,1.8771791993157705,70.80653821794888,2
1.640,1.64,48,0.1,KR_like,-95.52362091196504,0.14093300758713223,14.835331885600063,97.00715410052504,2
1.640,1.64,48,0.1,lorentzian_like_2d,-70.6188202980173,3.9269171338773847,1.8771791993157705,70.80653821794888,2
1.640,1.64,48,0.2,KR_like,-94.04008772340504,0.1724665723588662,14.835331885600063,97.00715410052504,2
1.640,1.64,48,0.2,lorentzian_like_2d,-70.43110237808573,3.9890718674305066,1.8771791993157705,70.80653821794888,2
1.640,1.64,48,0.4,KR_like,-91.07302134628503,0.23553370190231906,14.835331885600063,97.00715410052504,2
1.640,1.64,48,0.4,lorentzian_like_2d,-70.05566653822257,4.113381334536751,1.8771791993157705,70.80653821794888,2
1.640,1.64,48,0.6,KR_like,-88.10595496916501,0.298600831445782,14.835331885600063,97.00715410052504,2
1.640,1.64,48,0.6,lorentzian_like_2d,-69.68023069835942,4.237690801642999,1.8771791993157705,70.80653821794888,2
1.640,1.64,48,0.8,KR_like,-85.13888859204499,0.3616679609892298,14.835331885600063,97.00715410052504,2
1.640,1.64,48,0.8,lorentzian_like_2d,-69.30479485849627,4.362000268749258,1.8771791993157705,70.80653821794888,2
1.640,1.64,48,1.0,KR_like,-82.17182221492499,0.42473509053267766,14.835331885600063,97.00715410052504,2
