config,n,gamma,lor4d_rank,lor4d_raw_score,top1_family,top1_score,gap_to_top1,interval_weight,total_families
interval_2.0,20,0.5,3,-32.26322054536486,lorentzian_like_5d,-32.7073416699224,0.44412112455754027,2.0,17
interval_2.0,20,1.0,1,-30.89545569408648,lorentzian_like_4d,-30.89545569408648,0.0,2.0,17
interval_2.0,20,2.0,1,-28.159925991529718,lorentzian_like_4d,-28.159925991529718,0.0,2.0,17
interval_2.0,40,0.0,3,-86.19585470613654,lorentzian_like_5d,-92.00747795446848,5.811623248331941,2.0,17
interval_2.0,40,0.2,3,-85.70724739933496,lorentzian_like_5d,-91.19642352612769,5.489176126792728,2.0,17
interval_2.0,40,0.5,3,-84.97433643913259,lorentzian_like_5d,-89.97984188361649,5.005505444483902,2.0,17
interval_2.0,40,1.0,3,-83.75281817212861,lorentzian_like_5d,-87.95220581276449,4.1993876406358766,2.0,17
interval_2.0,40,2.0,3,-81.30978163812067,KR_2layer,-83.94625856599407,2.636476927873403,2.0,17
interval_3.0,10,0.0,3,-12.491329803498651,lorentzian_like_5d,-13.3554285077196,0.8640987042209485,3.0,17
interval_3.0,10,0.2,3,-11.331509672163744,transitive_percolation,-11.498269656979307,0.1667599848155632,3.0,17
interval_3.0,10,0.5,2,-9.591779475161381,lorentzian_like_3d,-9.702126728667313,0.11034725350593177,3.0,17
interval_3.0,10,1.0,14,-6.692229146824113,lorentzian_like_3d,-8.431842171738186,1.7396130249140729,3.0,17
interval_3.0,10,2.0,15,-0.8931284901495736,KR_like,-6.97096329095663,6.077834800807056,3.0,17
interval_3.0,20,0.0,3,-33.63098539664324,lorentzian_like_5d,-34.897603148453754,1.2666177518105144,3.0,17
interval_3.0,20,0.2,3,-32.97756780328341,lorentzian_like_5d,-33.84103885635751,0.8634710530741003,3.0,17
interval_3.0,20,0.5,2,-31.99744141324365,lorentzian_like_5d,-32.25619241821313,0.2587510049694828,3.0,17
interval_3.0,20,1.0,1,-30.36389742984406,lorentzian_like_4d,-30.36389742984406,0.0,3.0,17
interval_3.0,20,2.0,1,-27.096809463044877,lorentzian_like_4d,-27.096809463044877,0.0,3.0,17
interval_3.0,40,0.0,3,-86.19585470613654,lorentzian_like_5d,-92.00747795446848,5.811623248331941,3.0,17
interval_3.0,40,0.2,3,-85.64213176268626,lorentzian_like_5d,-91.09116228767486,5.449030524988601,3.0,17
interval_3.0,40,0.5,3,-84.81154734751081,lorentzian_like_5d,-89.71668878748443,4.905141439973619,3.0,17
interval_3.0,40,1.0,3,-83.42723998888508,lorentzian_like_5d,-87.42589962050037,3.998659631615297,3.0,17
