seed_label,n,scale_factor,gamma,family,mean_score,std_score,mean_penalty,mean_log_H,entropy_method,count
offset_100000,52,2.05,0.4,KR_like,-102.25652009159009,0.3931703218616103,16.709638543415796,108.94037550895641,sis,4
offset_100000,52,2.05,0.4,lorentzian_like_2d,-77.56494125835691,1.2111355842749363,1.7931099389321883,78.2821852339298,exact,4
offset_100000,52,2.05,0.6,KR_like,-98.91459238290693,0.46703033217754586,16.709638543415796,108.94037550895641,sis,4
offset_100000,52,2.05,0.6,lorentzian_like_2d,-77.20631927057048,1.2344912816974376,1.7931099389321883,78.2821852339298,exact,4
offset_100000,52,2.05,0.8,KR_like,-95.57266467422377,0.5423379042580266,16.709638543415796,108.94037550895641,sis,4
offset_100000,52,2.05,0.8,lorentzian_like_2d,-76.84769728278404,1.2586975298493701,1.7931099389321883,78.2821852339298,exact,4
offset_100000,52,2.05,1.0,KR_like,-92.23073696554061,0.6185645606209078,16.709638543415796,108.94037550895641,sis,4
offset_100000,52,2.05,1.0,lorentzian_like_2d,-76.4890752949976,1.2837062143196336,1.7931099389321883,78.2821852339298,exact,4
offset_100000,52,2.05,1.5,KR_like,-83.87591769383272,0.8114465217955109,16.709638543415796,108.94037550895641,sis,4
offset_100000,52,2.05,1.5,lorentzian_like_2d,-75.59252032553151,1.349442316623739,1.7931099389321883,78.2821852339298,exact,4
offset_100000,52,2.05,2.0,KR_like,-75.52109842212482,1.0061114811799095,16.709638543415796,108.94037550895641,sis,4
offset_100000,52,2.05,2.0,lorentzian_like_2d,-74.69596535606541,1.4192546985765306,1.7931099389321883,78.2821852339298,exact,4
offset_100000,52,2.1,0.0,KR_like,-108.94037550895641,0.25485283940068043,16.887140125612014,108.94037550895641,sis,4
offset_100000,52,2.1,0.0,lorentzian_like_2d,-78.2821852339298,1.167178237988034,1.8266756473531633,78.2821852339298,exact,4
offset_100000,52,2.1,0.2,KR_like,-105.56294748383401,0.3234504289598154,16.887140125612014,108.94037550895641,sis,4
offset_100000,52,2.1,0.2,lorentzian_like_2d,-77.91685010445916,1.1880474884909724,1.8266756473531633,78.2821852339298,exact,4
offset_100000,52,2.1,0.4,KR_like,-102.18551945871161,0.396715379822536,16.887140125612014,108.94037550895641,sis,4
offset_100000,52,2.1,0.4,lorentzian_like_2d,-77.55151497498852,1.2098942589684578,1.8266756473531633,78.2821852339298,exact,4
offset_100000,52,2.1,0.6,KR_like,-98.8080914335892,0.47248143617601546,16.887140125612014,108.94037550895641,sis,4
offset_100000,52,2.1,0.6,lorentzian_like_2d,-77.18617984551788,1.2326665762314581,1.8266756473531633,78.2821852339298,exact,4
offset_100000,52,2.1,0.8,KR_like,-95.4306634084668,0.5497154034806712,16.887140125612014,108.94037550895641,sis,4
offset_100000,52,2.1,0.8,lorentzian_like_2d,-76.82084471604725,1.2563141110923777,1.8266756473531633,78.2821852339298,exact,4
offset_100000,52,2.1,1.0,KR_like,-92.0532353833444,0.6278758193039807,16.887140125612014,108.94037550895641,sis,4
offset_100000,52,2.1,1.0,lorentzian_like_2d,-76.45550958657662,1.2807883863463743,1.8266756473531633,78.2821852339298,exact,4
offset_100000,52,2.1,1.5,KR_like,-83.6096653205384,0.8255974602393388,16.887140125612014,108.94037550895641,sis,4
offset_100000,52,2.1,1.5,lorentzian_like_2d,-75.54217176290004,1.345291236017077,1.8266756473531633,78.2821852339298,exact,4
offset_100000,52,2.1,2.0,KR_like,-75.16609525773238,1.0250969114803732,16.887140125612014,108.94037550895641,sis,4
offset_100000,52,2.1,2.0,lorentzian_like_2d,-74.62883393922345,1.4140084598131357,1.8266756473531633,78.2821852339298,exact,4
offset_100000,52,2.2,0.0,KR_like,-108.94037550895641,0.25485283940068043,17.242143290004442,108.94037550895641,sis,4
offset_100000,52,2.2,0.0,lorentzian_like_2d,-78.2821852339298,1.167178237988034,1.893807064195113,78.2821852339298,exact,4
offset_100000,52,2.2,0.2,KR_like,-105.49194685095551,0.3268461903983322,17.242143290004442,108.94037550895641,sis,4
offset_100000,52,2.2,0.2,lorentzian_like_2d,-77.90342382109077,1.186781795690655,1.893807064195113,78.2821852339298,exact,4
offset_100000,52,2.2,0.4,KR_like,-102.04351819295464,0.40382169502295523,17.242143290004442,108.94037550895641,sis,4
offset_100000,52,2.2,0.4,lorentzian_like_2d,-77.52466240825174,1.207413647888089,1.893807064195113,78.2821852339298,exact,4
offset_100000,52,2.2,0.6,KR_like,-98.59508953495374,0.4834051689116777,17.242143290004442,108.94037550895641,sis,4
offset_100000,52,2.2,0.6,lorentzian_like_2d,-77.14590099541272,1.2290220090803912,1.893807064195113,78.2821852339298,exact,4
offset_100000,52,2.2,0.8,KR_like,-95.14666087695285,0.564494659014444,17.242143290004442,108.94037550895641,sis,4
offset_100000,52,2.2,0.8,lorentzian_like_2d,-76.76713958257369,1.2515563014404802,1.893807064195113,78.2821852339298,exact,4
offset_100000,52,2.2,1.0,KR_like,-91.69823221895197,0.6465237424465871,17.242143290004442,108.94037550895641,sis,4
offset_100000,52,2.2,1.0,lorentzian_like_2d,-76.38837816973466,1.2749674300626719,1.893807064195113,78.2821852339298,exact,4
offset_100000,52,2.2,1.5,KR_like,-83.07716057394975,0.8539244348164922,17.242143290004442,108.94037550895641,sis,4
offset_100000,52,2.2,1.5,lorentzian_like_2d,-75.44147463763711,1.337024932160671,1.893807064195113,78.2821852339298,exact,4
offset_100000,52,2.2,2.0,KR_like,-74.45608892894752,1.0630910584205153,17.242143290004442,108.94037550895641,sis,4
