n,gamma,alpha,mode,lor4d_rank,top1_family,gap_to_top1,total_families
20,2.0,0.01,info_plus_smd,3,lorentzian_like_3d,0.9622418082991118,17
20,2.0,0.01,smd_only,3,lorentzian_like_5d,1.2431679072486972,17
20,2.0,0.01,geo_plus_smd,16,lorentzian_like_2d,66.22431790961987,17
20,2.0,0.05,info_only,3,lorentzian_like_3d,1.0367067175070304,17
20,2.0,0.05,info_plus_smd,2,lorentzian_like_3d,0.6643821714674196,17
20,2.0,0.05,smd_only,2,lorentzian_like_5d,1.1493685290014355,17
20,2.0,0.05,geo_plus_smd,16,lorentzian_like_2d,64.13179705686719,17
20,2.0,0.1,info_only,3,lorentzian_like_3d,1.0367067175070304,17
20,2.0,0.1,info_plus_smd,2,lorentzian_like_3d,0.2920576254278089,17
20,2.0,0.1,smd_only,2,lorentzian_like_5d,1.0321193061923566,17
20,2.0,0.1,geo_plus_smd,15,KR_4layer,62.569879883300764,17
20,2.0,0.5,info_only,3,lorentzian_like_3d,1.0367067175070304,17
20,2.0,0.5,info_plus_smd,1,lorentzian_like_4d,0.0,17
20,2.0,0.5,smd_only,2,lorentzian_like_5d,0.09412552371971827,17
20,2.0,0.5,geo_plus_smd,13,KR_4layer,52.99230784211687,17
20,2.0,1.0,info_only,3,lorentzian_like_3d,1.0367067175070304,17
20,2.0,1.0,info_plus_smd,1,lorentzian_like_4d,0.0,17
20,2.0,1.0,smd_only,1,lorentzian_like_4d,0.0,17
20,2.0,1.0,geo_plus_smd,12,KR_4layer,41.02034279063701,17
20,2.0,5.0,info_only,3,lorentzian_like_3d,1.0367067175070304,17
20,2.0,5.0,info_plus_smd,1,lorentzian_like_4d,0.0,17
20,2.0,5.0,smd_only,1,lorentzian_like_4d,0.0,17
20,2.0,5.0,geo_plus_smd,1,lorentzian_like_4d,0.0,17
40,0.0,0.0,info_only,3,lorentzian_like_5d,5.811623248331941,17
40,0.0,0.0,info_plus_smd,3,lorentzian_like_5d,5.811623248331941,17
40,0.0,0.0,smd_only,3,lorentzian_like_5d,5.811623248331941,17
40,0.0,0.0,geo_plus_smd,3,lorentzian_like_5d,5.811623248331941,17
40,0.0,0.01,info_only,3,lorentzian_like_5d,5.811623248331941,17
40,0.0,0.01,info_plus_smd,3,lorentzian_like_5d,5.748520512600663,17
40,0.0,0.01,smd_only,3,lorentzian_like_5d,5.748520512600663,17
40,0.0,0.01,geo_plus_smd,3,lorentzian_like_5d,5.748520512600663,17
40,0.0,0.05,info_only,3,lorentzian_like_5d,5.811623248331941,17
40,0.0,0.05,info_plus_smd,3,lorentzian_like_5d,5.49610956967561,17
40,0.0,0.05,smd_only,3,lorentzian_like_5d,5.49610956967561,17
40,0.0,0.05,geo_plus_smd,3,lorentzian_like_5d,5.49610956967561,17
40,0.0,0.1,info_only,3,lorentzian_like_5d,5.811623248331941,17
40,0.0,0.1,info_plus_smd,2,lorentzian_like_5d,5.180595891019294,17
40,0.0,0.1,smd_only,2,lorentzian_like_5d,5.180595891019294,17
40,0.0,0.1,geo_plus_smd,2,lorentzian_like_5d,5.180595891019294,17
40,0.0,0.5,info_only,3,lorentzian_like_5d,5.811623248331941,17
40,0.0,0.5,info_plus_smd,2,lorentzian_like_5d,2.6564864617687505,17
40,0.0,0.5,smd_only,2,lorentzian_like_5d,2.6564864617687505,17
40,0.0,0.5,geo_plus_smd,2,lorentzian_like_5d,2.6564864617687505,17
40,0.0,1.0,info_only,3,lorentzian_like_5d,5.811623248331941,17
40,0.0,1.0,info_plus_smd,1,lorentzian_like_4d,0.0,17
40,0.0,1.0,smd_only,1,lorentzian_like_4d,0.0,17
40,0.0,1.0,geo_plus_smd,1,lorentzian_like_4d,0.0,17
40,0.0,5.0,info_only,3,lorentzian_like_5d,5.811623248331941,17
40,0.0,5.0,info_plus_smd,1,lorentzian_like_4d,0.0,17
40,0.0,5.0,smd_only,1,lorentzian_like_4d,0.0,17
40,0.0,5.0,geo_plus_smd,1,lorentzian_like_4d,0.0,17
40,0.2,0.0,info_only,3,lorentzian_like_5d,5.368739321380389,17
40,0.2,0.0,info_plus_smd,3,lorentzian_like_5d,5.368739321380389,17
40,0.2,0.0,smd_only,3,lorentzian_like_5d,5.811623248331941,17
40,0.2,0.0,geo_plus_smd,3,KR_2layer,2.7769882431532835,17
40,0.2,0.01,info_only,3,lorentzian_like_5d,5.368739321380389,17
40,0.2,0.01,info_plus_smd,3,lorentzian_like_5d,5.305636585649097,17
40,0.2,0.01,smd_only,3,lorentzian_like_5d,5.748520512600663,17
40,0.2,0.01,geo_plus_smd,3,lorentzian_like_5d,2.403475800231277,17
40,0.2,0.05,info_only,3,lorentzian_like_5d,5.368739321380389,17
40,0.2,0.05,info_plus_smd,3,lorentzian_like_5d,5.053225642724058,17
40,0.2,0.05,smd_only,3,lorentzian_like_5d,5.49610956967561,17
40,0.2,0.05,geo_plus_smd,3,lorentzian_like_5d,2.1510648573062383,17
40,0.2,0.1,info_only,3,lorentzian_like_5d,5.368739321380389,17
40,0.2,0.1,info_plus_smd,2,lorentzian_like_5d,4.737711964067756,17
40,0.2,0.1,smd_only,2,lorentzian_like_5d,5.180595891019294,17
40,0.2,0.1,geo_plus_smd,2,lorentzian_like_5d,1.8355511786499363,17
40,0.2,0.5,info_only,3,lorentzian_like_5d,5.368739321380389,17
40,0.2,0.5,info_plus_smd,2,lorentzian_like_5d,2.2136025348172126,17
40,0.2,0.5,smd_only,2,lorentzian_like_5d,2.6564864617687505,17
40,0.2,0.5,geo_plus_smd,1,lorentzian_like_4d,0.0,17
40,0.2,1.0,info_only,3,lorentzian_like_5d,5.368739321380389,17
40,0.2,1.0,info_plus_smd,1,lorentzian_like_4d,0.0,17
40,0.2,1.0,smd_only,1,lorentzian_like_4d,0.0,17
40,0.2,1.0,geo_plus_smd,1,lorentzian_like_4d,0.0,17
40,0.2,5.0,info_only,3,lorentzian_like_5d,5.368739321380389,17
40,0.2,5.0,info_plus_smd,1,lorentzian_like_4d,0.0,17
40,0.2,5.0,smd_only,1,lorentzian_like_4d,0.0,17
40,0.2,5.0,geo_plus_smd,1,lorentzian_like_4d,0.0,17
40,0.5,0.0,info_only,3,lorentzian_like_5d,4.704413430953039,17
40,0.5,0.0,info_plus_smd,3,lorentzian_like_5d,4.704413430953039,17
40,0.5,0.0,smd_only,3,lorentzian_like_5d,5.811623248331941,17
40,0.5,0.0,geo_plus_smd,5,KR_like,2.0122278006427052,17
40,0.5,0.01,info_only,3,lorentzian_like_5d,4.704413430953039,17
40,0.5,0.01,info_plus_smd,3,lorentzian_like_5d,4.64131069522179,17
40,0.5,0.01,smd_only,3,lorentzian_like_5d,5.748520512600663,17
40,0.5,0.01,geo_plus_smd,5,KR_like,1.5251779618499057,17
40,0.5,0.05,info_only,3,lorentzian_like_5d,4.704413430953039,17
40,0.5,0.05,info_plus_smd,3,lorentzian_like_5d,4.388899752296737,17
40,0.5,0.05,smd_only,3,lorentzian_like_5d,5.49610956967561,17
40,0.5,0.05,geo_plus_smd,2,lorentzian_like_3d,0.15260067062423843,17
40,0.5,0.1,info_only,3,lorentzian_like_5d,4.704413430953039,17
40,0.5,0.1,info_plus_smd,2,lorentzian_like_5d,4.073386073640421,17
40,0.5,0.1,smd_only,2,lorentzian_like_5d,5.180595891019294,17
40,0.5,0.1,geo_plus_smd,1,lorentzian_like_4d,0.0,17
40,0.5,0.5,info_only,3,lorentzian_like_5d,4.704413430953039,17
40,0.5,0.5,info_plus_smd,2,lorentzian_like_5d,1.5492766443898773,17
40,0.5,0.5,smd_only,2,lorentzian_like_5d,2.6564864617687505,17
40,0.5,0.5,geo_plus_smd,1,lorentzian_like_4d,0.0,17
40,0.5,1.0,info_only,3,lorentzian_like_5d,4.704413430953039,17
40,0.5,1.0,info_plus_smd,1,lorentzian_like_4d,0.0,17
40,0.5,1.0,smd_only,1,lorentzian_like_4d,0.0,17
40,0.5,1.0,geo_plus_smd,1,lorentzian_like_4d,0.0,17
40,0.5,5.0,info_only,3,lorentzian_like_5d,4.704413430953039,17
40,0.5,5.0,info_plus_smd,1,lorentzian_like_4d,0.0,17
40,0.5,5.0,smd_only,1,lorentzian_like_4d,0.0,17
40,0.5,5.0,geo_plus_smd,1,lorentzian_like_4d,0.0,17
40,1.0,0.0,info_only,3,lorentzian_like_5d,3.597203613574166,17
